ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason,sleeve_id
1779353278256232,ACC-H,btc-updown-5m-1779353100,BTC,5m,POST_BID,up,0.14,20,2.80,ACC-H-00005337,0,0,0,96.315000,0,89.75,0,0,-6.565000,166.878385,post_initial_bid,poly_acc_h_btc_5m_shadow
1779353278256232,ACC-H,btc-updown-5m-1779353100,BTC,5m,POST_BID,dn,0.85,20,17.00,ACC-H-00005338,0,0,0,96.315000,0,89.75,0,0,-6.565000,166.878385,post_initial_bid,poly_acc_h_btc_5m_shadow
1779353279896449,ACC-H,btc-updown-5m-1779353100,BTC,5m,CANCEL,dn,0.85,20,17.00,ACC-H-00005338,0,0,0,96.315000,0,89.75,0,0,-6.565000,168.518602,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779353279896449,ACC-H,btc-updown-5m-1779353100,BTC,5m,POST_BID,dn,0.82,20,16.40,ACC-H-00005339,0,0,0,96.315000,0,89.75,0,0,-6.565000,168.518602,post_initial_bid,poly_acc_h_btc_5m_shadow
1779353280613699,ACC-H,btc-updown-5m-1779353100,BTC,5m,CANCEL,up,0.14,20,2.80,ACC-H-00005337,0,0,0,96.315000,0,89.75,0,0,-6.565000,169.235852,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779353280614185,ACC-H,btc-updown-5m-1779353100,BTC,5m,POST_BID,up,0.17,20,3.40,ACC-H-00005340,0,0,0,96.315000,0,89.75,0,0,-6.565000,169.236338,post_initial_bid,poly_acc_h_btc_5m_shadow
1779353280614618,ACC-H,btc-updown-15m-1779353100,BTC,15m,CANCEL,up,0.34,20,6.80,ACC-H-00002836,0,0,0,0,0,0,0,0,0.0,169.221569,cancel_displaced_3c,poly_acc_h_btc_15m_shadow
1779353280614882,ACC-H,btc-updown-15m-1779353100,BTC,15m,CANCEL,dn,0.65,20,13.00,ACC-H-00002837,0,0,0,0,0,0,0,0,0.0,169.221833,cancel_displaced_3c,poly_acc_h_btc_15m_shadow
1779353280614882,ACC-H,btc-updown-15m-1779353100,BTC,15m,POST_BID,up,0.37,20,7.40,ACC-H-00002838,0,0,0,0,0,0,0,0,0.0,169.221833,post_initial_bid,poly_acc_h_btc_15m_shadow
1779353280614882,ACC-H,btc-updown-15m-1779353100,BTC,15m,POST_BID,dn,0.60,20,12.00,ACC-H-00002839,0,0,0,0,0,0,0,0,0.0,169.221833,post_initial_bid,poly_acc_h_btc_15m_shadow
1779353280819065,ACC-H,btc-updown-5m-1779353100,BTC,5m,CANCEL,dn,0.82,20,16.40,ACC-H-00005339,0,0,0,96.315000,0,89.75,0,0,-6.565000,169.441218,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779353280819065,ACC-H,btc-updown-5m-1779353100,BTC,5m,POST_BID,dn,0.79,20,15.80,ACC-H-00005341,0,0,0,96.315000,0,89.75,0,0,-6.565000,169.441218,post_initial_bid,poly_acc_h_btc_5m_shadow
