ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779312739243793,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.55,20,11.00,ACC-PC-00000647,0,0,0,0,0,,0,0,,,post_initial_bid
1779312739243793,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.44,20,8.80,ACC-PC-00000648,0,0,0,0,0,,0,0,,,post_initial_bid
1779312743132786,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.44,20,8.80,ACC-PC-00000648,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312743132786,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.40,20,8.00,ACC-PC-00000649,0,0,0,0,0,,0,0,,,post_initial_bid
1779312743234545,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.55,20,11.00,ACC-PC-00000647,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312743234545,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.58,20,11.60,ACC-PC-00000650,0,0,0,0,0,,0,0,,,post_initial_bid
1779312747641179,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.58,20,11.60,ACC-PC-00000650,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312747641179,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.61,20,12.20,ACC-PC-00000651,0,0,0,0,0,,0,0,,,post_initial_bid
1779312755852784,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.40,20,8.00,ACC-PC-00000649,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312755852784,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.37,20,7.40,ACC-PC-00000652,0,0,0,0,0,,0,0,,,post_initial_bid
1779312756580586,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.61,20,12.20,ACC-PC-00000651,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312758118976,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.60,20,12.00,ACC-PC-00000653,0,0,0,0,0,,0,0,,,post_initial_bid
1779312759350106,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.37,20,7.40,ACC-PC-00000652,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312759350106,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.40,20,8.00,ACC-PC-00000654,0,0,0,0,0,,0,0,,,post_initial_bid
1779312768764716,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.40,20,8.00,ACC-PC-00000654,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312768764716,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.37,20,7.40,ACC-PC-00000655,0,0,0,0,0,,0,0,,,post_initial_bid
1779312778174207,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.60,20,12.00,ACC-PC-00000653,0,0,0,0,0,,0,0,,,cancel_age_20s
1779312778174207,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.62,20,12.40,ACC-PC-00000656,0,0,0,0,0,,0,0,,,post_initial_bid
