ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779234219746705,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.97,20,19.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0147
1779234222808900,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,up,0.03,20,0.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0134
1779234222808900,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.98,20,19.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0134
1779234225873966,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,up,0.03,20,0.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0134
1779234225873966,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.98,20,19.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0134
1779234228938103,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,up,0.03,20,0.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0134
1779234228938103,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.98,20,19.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0134
1779234231994188,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,up,0.02,20,0.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234231994188,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.99,20,19.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234235053685,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,up,0.02,20,0.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234235053685,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.99,20,19.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234238114215,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,up,0.02,20,0.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234238114215,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.99,20,19.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234241171191,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,up,0.02,20,0.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234241171191,PAT-SHADOW,btc-updown-5m-1779234000,BTC,5m,TAKE,dn,0.99,20,19.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0121
1779234313398036,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.57,20,11.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9938
1779234313398036,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.39,20,7.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9938
1779234318095554,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.42,20,8.40,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9944
1779234318095554,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.54,20,10.80,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9944
1779234408798174,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.19,9.73,1.8487,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9832
1779234408798174,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.77,9.73,7.4921,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9832
1779234412275709,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.14,7.5,1.050,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0169
1779234412275709,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,dn,0.86,7.5,6.450,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0169
1779234422914112,PAT-SHADOW,btc-updown-5m-1779234300,BTC,5m,TAKE,up,0.11,20,2.20,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0137
