sleeve,asset,tf,gate,n_base,wr_base,dpt_base,sum_pnl,wr_lift_pp,dpt_lift,n_gate,wr_gate,dpt_gate
momo_v2_anywhere,ALL,5m,g_microprice_with,5523,0.38312511316313597,-8.502688897678127,-15044.942002687032,3.7648817590428205,2.374402949536769,2455.0,0.4207739307535642,-6.128285948141357
momo_v2_anywhere,ALL,5m,g_spread_wide_skew,5523,0.38312511316313597,-8.502688897678127,-3951.3183162681516,33.31838997124005,6.806844126747589,2330.0,0.7163090128755365,-1.695844770930537
momo_v2_anywhere,ALL,5m,g_book_slope_steep_against,5523,0.38312511316313597,-8.502688897678127,-16383.440188171799,8.349445589373438,2.715532349401264,2831.0,0.46661956905687035,-5.7871565482768625
momo_v2_anywhere,ALL,5m,g_microprice_skew_with,5523,0.38312511316313597,-8.502688897678127,-15016.772822797438,3.7283050102170145,2.3733938679648867,2450.0,0.4204081632653061,-6.12929502971324
momo_v2_anywhere,ALL,5m,g_depth_high,5523,0.38312511316313597,-8.502688897678127,-19635.152325549672,5.293035679063907,2.4517944984332356,3245.0,0.43605546995377503,-6.050894399244891
momo_v2_anywhere,ALL,5m,g_queue_top_high,5523,0.38312511316313597,-8.502688897678127,-5427.524526417069,4.3822938784916,-0.3082275413106217,616.0,0.42694805194805197,-8.810916438988748
momo_v2_anywhere,ALL,5m,g_imb_change_with,5523,0.38312511316313597,-8.502688897678127,-1956.1607256286256,4.153242108343935,3.1433444439010696,365.0,0.4246575342465753,-5.359344453777057
momo_v2_anywhere,ALL,15m,NONE,2114,0.4597918637653737,-3.4896901866355643,-7377.205054547583,0.0,0.0,,,
momo_v2_anywhere,ALL,15m,g_imb5_with,2114,0.4597918637653737,-3.4896901866355643,-1680.3944068180513,-3.108187346469471,1.8598217028159219,1031.0,0.42870999030067897,-1.6298684838196424
momo_v2_anywhere,ALL,15m,g_imb5_strong_with,2114,0.4597918637653737,-3.4896901866355643,-1188.8814942148756,-8.942149339500332,1.1721824006416548,513.0,0.37037037037037035,-2.3175077859939095
momo_v2_anywhere,ALL,15m,g_microprice_with,2114,0.4597918637653737,-3.4896901866355643,-1760.5637396496554,-0.7750078390254989,1.8177398165979048,1053.0,0.4520417853751187,-1.6719503700376595
momo_v2_anywhere,ALL,15m,g_spread_wide_skew,2114,0.4597918637653737,-3.4896901866355643,-996.1774653607799,25.813074315926993,2.4752528492009613,982.0,0.7179226069246436,-1.0144373374346027
