asset,tf,bet_side,gate,n_base,wr_base,dpt_base,n_gate,wr_gate,dpt_gate,sum_pnl_gate,wr_lift_pp,dpt_lift
BTC,5m,DOWN,g_depth_high,53422,0.46376024858672454,-3.326080658168828,43809,0.5011299048140793,-1.9425817255452071,-85102.56281440998,3.7369656227354717,1.383498932623621
BTC,15m,DOWN,g_imb5_with,15276,0.4874967268918565,-1.8672890780584996,7305,0.47515400410677616,-0.5156790429926307,-3767.0354090611672,-1.2342722785080362,1.3516100350658689
ETH,ALL,DOWN,g_microprice_skew_with,63819,0.47023613657374763,-3.611367430747003,29565,0.5208185354304076,-2.2683820846713223,-67064.71633330765,5.058239885665994,1.3429853460756807
ETH,ALL,DOWN,g_microprice_with,63819,0.47023613657374763,-3.611367430747003,29630,0.5206547418157274,-2.2732421763087576,-67356.16568402848,5.041860524197972,1.3381252544382454
BTC,ALL,DOWN,g_imb5_with,68698,0.46903839995341934,-3.001697121853865,32047,0.45230442787156366,-1.6895989425917564,-54146.57731323801,-1.6733972081855675,1.3120981792621085
BTC,5m,UP,g_imb5_with,53107,0.4623119362795865,-3.252152677452991,24489,0.44236187676099475,-1.9601944452505715,-48003.201769741245,-1.9950059518591745,1.2919582322024197
BTC,5m,DOWN,g_imb5_with,53422,0.46376024858672454,-3.326080658168828,24742,0.44555816021340233,-2.0361952107419303,-50379.54190417684,-1.8202088373322212,1.2898854474268977
ETH,5m,DOWN,g_imb_change_with,49989,0.46396207165576425,-3.965609432339514,4342,0.5064486411791801,-2.679675182183265,-11635.149641039736,4.248656952341584,1.2859342501562492
ETH,ALL,UP,g_microprice_with,63726,0.46318614066472086,-3.7903565210074097,29796,0.5128205128205128,-2.5155249053916986,-74952.58008105106,4.963437215579192,1.2748316156157111
ETH,ALL,UP,g_microprice_skew_with,63726,0.46318614066472086,-3.7903565210074097,29744,0.5129101667563206,-2.516253708463984,-74843.45030455275,4.9724026091599764,1.2741028125434255
BTC,ALL,DOWN,g_depth_high,68698,0.46903839995341934,-3.001697121853865,56910,0.5010542962572483,-1.7803049509536097,-101317.15475876993,3.201589630382895,1.221392170900255
BTC,ALL,UP,g_depth_high,68395,0.46643760508809123,-3.1452661165601015,56858,0.49954272046150056,-1.9247347449683654,-109436.56812941132,3.310511537340932,1.220531371591736
ETH,ALL,DOWN,g_imb_change_with,63819,0.47023613657374763,-3.611367430747003,5124,0.5111241217798594,-2.4042057437580464,-12319.15023101623,4.088798520611181,1.2071616869889565
BTC,ALL,UP,g_imb5_with,68395,0.46643760508809123,-3.1452661165601015,31959,0.44816796520541946,-1.9742419409683256,-63094.79819140672,-1.8269639882671773,1.1710241755917759
BTC,ALL,UP,g_queue_top_high,68395,0.46643760508809123,-3.1452661165601015,8733,0.5305164319248826,-1.9774815966376837,-17269.346783436893,6.407882683679139,1.1677845199224177
ALL,5m,DOWN,g_imb5_with,103411,0.4638578100975718,-3.6352296258030106,47256,0.454608938547486,-2.4808161493080574,-117233.44795170156,-0.9248871550085802,1.1544134764949532
ALL,5m,UP,g_imb5_with,103041,0.4606418804165332,-3.5338405172897285,48092,0.4518423022540131,-2.426790025891467,-116709.18592517244,-0.8799578162520083,1.1070504913982613
ALL,ALL,DOWN,g_imb5_with,132517,0.46961521917942606,-3.2953088806716098,61053,0.4550963916597055,-2.2031421583176396,-134508.43819176685,-1.4518827519720556,1.0921667223539702
BTC,15m,DOWN,g_microprice_skew_with,15276,0.4874967268918565,-1.8672890780584996,7396,0.5283937263385614,-0.8244705656549471,-6097.784303583989,4.089699944670489,1.0428185124035525
BTC,15m,DOWN,g_microprice_with,15276,0.4874967268918565,-1.8672890780584996,7403,0.5282993381061731,-0.8264198395305526,-6117.986072044681,4.080261121431661,1.040869238527947
ALL,5m,UP,g_depth_high,103041,0.4606418804165332,-3.5338405172897285,58606,0.49941985462239363,-2.53016951545777,-148283.11462291807,3.8777974205860435,1.0036710018319583
ETH,5m,DOWN,g_imb5_with,49989,0.46396207165576425,-3.965609432339514,22514,0.4645553877587279,-2.969437063494924,-66853.90604752472,0.0593316102963648,0.99617236884459
ETH,15m,UP,g_imb_change_with,13792,0.4788283062645012,-3.6344164122073184,700,0.51,-2.682699124575867,-1877.8893872031067,3.117169373549883,0.9517172876314515
ALL,15m,DOWN,g_imb_change_with,29106,0.4900707757850615,-2.0876010481015803,2241,0.5198572066041945,-1.1540422716762109,-2586.2087308263885,2.978643081913307,0.9335587764253694
ALL,ALL,UP,g_imb5_with,132121,0.46486932433148404,-3.4564129525196323,62474,0.4508275442584115,-2.532119332776019,-158191.623195849,-1.4041780073072552,0.9242936197436133
ETH,5m,UP,g_imb5_with,49934,0.4588657027276004,-3.8334278948322758,23603,0.4616786001779435,-2.9109004853379314,-68705.9841554312,0.2812897450343077,0.9225274094943443
ALL,5m,DOWN,g_depth_high,103411,0.4638578100975718,-3.6352296258030106,58691,0.5000255575812305,-2.7190992125395557,-159586.65188315907,3.616774748365864,0.9161304132634549
ETH,ALL,DOWN,g_imb5_with,63819,0.47023613657374763,-3.611367430747003,29006,0.45818106598634767,-2.7705254388239964,-80361.86087852884,-1.2055070587399963,0.8408419919230066
ETH,5m,UP,g_book_slope_steep_against,49934,0.4588657027276004,-3.8334278948322758,17141,0.6331602590280614,-2.996865948204137,-51369.27921816711,17.4294556300461,0.8365619466281387
ALL,15m,DOWN,g_imb5_with,29106,0.4900707757850615,-2.0876010481015803,13797,0.45676596361527866,-1.2520830789349342,-17274.990240065286,-3.3304812169782814,0.8355179691666461
ALL,ALL,UP,g_depth_high,132121,0.46486932433148404,-3.4564129525196323,77290,0.49934014749644196,-2.623631530885866,-202780.4810221686,3.447082316495792,0.8327814216337663
ALL,ALL,DOWN,g_depth_high,132517,0.46961521917942606,-3.2953088806716098,77378,0.5001163121300628,-2.462675117732334,-190556.87525989255,3.0501092950636743,0.8326337629392757
BTC,5m,UP,g_imb5_strong_with,53107,0.4623119362795865,-3.252152677452991,12602,0.39303285192826537,-2.480091496268565,-31254.113035976457,-6.927908435132113,0.772061181184426
BTC,15m,UP,g_imb5_with,15288,0.4807692307692308,-2.773966758283104,7470,0.46720214190093706,-2.02029403235147,-15091.596421665483,-1.356708886829372,0.7536727259316338
ALL,5m,UP,g_imb5_strong_with,103041,0.4606418804165332,-3.5338405172897285,24052,0.40919674039580906,-2.8245131992141386,-67935.19146749846,-5.144514002072414,0.7093273180755899
ETH,ALL,UP,g_book_slope_steep_against,63726,0.46318614066472086,-3.7903565210074097,23446,0.6112343256845517,-3.091034648900695,-72472.3983781257,14.804818501983085,0.6993218721067147
BTC,15m,UP,g_microprice_skew_with,15288,0.4807692307692308,-2.773966758283104,7352,0.5198585418933623,-2.08231802006192,-15309.202083495235,3.908931112413155,0.691648738221184
BTC,15m,UP,g_microprice_with,15288,0.4807692307692308,-2.773966758283104,7357,0.5197770830501564,-2.0856097739826724,-15343.831107190523,3.9007852280925572,0.6883569843004316
ALL,15m,DOWN,g_microprice_skew_with,29106,0.4900707757850615,-2.0876010481015803,14056,0.5120233352305066,-1.4001230237255244,-19680.12922148597,2.1952559445445106,0.6874780243760559
ALL,15m,DOWN,g_microprice_with,29106,0.4900707757850615,-2.0876010481015803,14075,0.5118294849023091,-1.4081546331420585,-19819.776461474474,2.1758709117247585,0.6794464149595218
ETH,ALL,UP,g_imb5_with,63726,0.46318614066472086,-3.7903565210074097,30515,0.4536129772243159,-3.116396034882592,-95096.82500444229,-0.957316344040493,0.6739604861248178
ALL,5m,UP,g_book_slope_steep_against,103041,0.4606418804165332,-3.5338405172897285,63623,0.5090611885638842,-2.9028948426380694,-184690.8785731619,4.841930814735096,0.6309456746516591
ETH,5m,UP,g_imb5_strong_with,49934,0.4588657027276004,-3.8334278948322758,11450,0.42698689956331876,-3.203587635940787,-36681.07843152201,-3.1878803164281653,0.6298402588914889
BTC,15m,DOWN,g_depth_high,15276,0.4874967268918565,-1.8672890780584996,13101,0.5008014655369819,-1.2376606323456183,-16214.591944359945,1.330473864512538,0.6296284457128813
BTC,15m,UP,g_depth_high,15288,0.4807692307692308,-2.773966758283104,13109,0.4999618582653139,-2.175246547780703,-28515.306994857237,1.9192627496083137,0.598720210502401
BTC,15m,DOWN,g_imb_change_with,15276,0.4874967268918565,-1.8672890780584996,1459,0.5106237148732008,-1.3037752850239155,-1902.2081408498927,2.312698798134427,0.5635137930345842
BTC,5m,DOWN,g_imb5_strong_with,53422,0.46376024858672454,-3.326080658168828,12850,0.398443579766537,-2.7705301874277266,-35601.312908446285,-6.531666882018755,0.5555504707411014
ALL,15m,UP,g_microprice_skew_with,29080,0.4798486932599725,-3.1820589737893887,14068,0.4998578333807222,-2.640651625070375,-37148.68706149004,2.0009140120749724,0.5414073487190136
ALL,ALL,UP,g_book_slope_steep_against,132121,0.46486932433148404,-3.4564129525196323,83749,0.5057970841442883,-2.9195832185923507,-244512.17497389077,4.092775981280422,0.5368297339272816
