fire_us,sleeve_id,signal,condition_id,won,pnl_usd,family,version,policy,is_f7,symbol,tf,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
1779307321111333,poly_updown_eth_5m_momo_HOLD_f7,DOWN,0xf1ebeb54382f6cb15127497f85619ab3d93dd45a7a948113cdf495a90bd9ee78,False,-25.3778,momo,v1,HOLD,True,ETH,5m,0,True,1,False,1,False,1,False
1779308104967480,poly_updown_btc_15m_sniper,UP,0x7c7e816eedfabd2da624d06b26b8fddb53e5b65248f877e0a63f0fdd40924228,True,23.53921192,sniper,,,False,BTC,15m,2,True,2,True,1,False,1,False
1779308104967480,poly_updown_btc_15m_sniper,UP,0x7c7e816eedfabd2da624d06b26b8fddb53e5b65248f877e0a63f0fdd40924228,True,26.566526,sniper,,,False,BTC,15m,2,True,2,True,1,False,1,False
1779308105671476,poly_updown_sol_15m_sniper,UP,0x7ea5748f12dcaec963a21eb406285ee69182b8f4f62d5474e284314dbe23a66a,True,-2.05061176,sniper,,,False,SOL,15m,1,False,1,False,1,False,1,False
1779308105675707,poly_updown_eth_15m_sniper,UP,0x3918f8d91420fe19ef09d6a34dda91936484313ef2a586f7d392b04427f5df47,False,-24.999996,sniper,,,False,ETH,15m,1,False,2,True,1,False,1,False
1779308105711084,poly_updown_btc_15m_sniper,UP,0x7c7e816eedfabd2da624d06b26b8fddb53e5b65248f877e0a63f0fdd40924228,True,23.53921192,sniper,,,False,BTC,15m,2,True,2,True,1,False,1,False
1779308105711084,poly_updown_btc_15m_sniper,UP,0x7c7e816eedfabd2da624d06b26b8fddb53e5b65248f877e0a63f0fdd40924228,True,26.566526,sniper,,,False,BTC,15m,2,True,2,True,1,False,1,False
1779308228518991,poly_updown_btc_5m_momo_HOLD,DOWN,0xe4e5d75e766e96876057ce75298d6d8dc04e1e26625a41ae8d8dbe8ec4b5c504,True,23.51745984,momo,v1,HOLD,False,BTC,5m,1,False,2,False,1,False,1,False
1779308228519726,poly_updown_eth_5m_momo_SELL,DOWN,0xf460b329742b46fa8c2881ac05fb39386d49e0bd98d7f18b11348667b17f11aa,True,23.53921192,momo,v1,SELL,False,ETH,5m,0,True,2,False,1,False,1,False
1779308228574629,poly_updown_sol_5m_momo_HOLD,DOWN,0xe87044b7f477c440e981851ced5282fe72defdaf9dfade6fcbed83b38b1af3aa,True,23.863,momo,v1,HOLD,False,SOL,5m,0,True,1,False,1,False,1,False
1779308228688392,poly_updown_btc_5m_momo_HEDGE,DOWN,0xe4e5d75e766e96876057ce75298d6d8dc04e1e26625a41ae8d8dbe8ec4b5c504,True,23.51745984,momo,v1,HEDGE,False,BTC,5m,1,False,2,False,1,False,1,False
1779308228690522,poly_updown_sol_5m_momo_SELL,DOWN,0xe87044b7f477c440e981851ced5282fe72defdaf9dfade6fcbed83b38b1af3aa,True,23.863,momo,v1,SELL,False,SOL,5m,0,True,1,False,1,False,1,False
