sleeve,gates,n_train,wr_train,dpt_25_train,sum_train,n_val,wr_val,dpt_25_val,sum_val,n_lockbox,wr_lockbox,dpt_25_lockbox,sum_lockbox,n_full,wr_full,dpt_25_full,sum_full,max_dd_25,loss_streak,sharpe,bootstrap_p_lockbox,proj_32d,proj_full,proj_honest
V7_S1_ADX_VOLLOW+g_L_BTC_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_L_BTC_grandparent_adx_strong,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,33,0.8787878787878788,9.478654179141495,312.7955879116693,0.0,0,28.276995530306053,0.0,1082.7004646658077,313.05785400866057,313.05785400866057
V7_S1_ADX_VOLLOW+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_L_ETH_grandparent_adx_strong,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,33,0.8787878787878788,9.478654179141495,312.7955879116693,0.0,0,28.276995530306053,0.0,1082.7004646658077,313.05785400866057,313.05785400866057
V7_S1+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_adx_strong,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,33,0.8787878787878788,9.478654179141495,312.7955879116693,0.0,0,28.276995530306053,0.0,1082.7004646658077,313.05785400866057,313.05785400866057
V7_S5_SLOPE_STR+g_L_BTC_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_slope_with+g_BTC_slope_strong_with+g_L_BTC_grandparent_adx_strong,41,0.6341463414634146,0.9819333454699487,40.2592671642679,7,0.8571428571428571,8.257072134972734,57.799504944809144,16,0.9375,12.965356519605091,207.44570431368146,64,0.734375,4.773507444105602,305.5044764227585,25.0,1,12.637023638679674,0.023,1021.8113167316886,305.76062922587084,305.76062922587084
V7_S1+g_J_btc_eth_adx_either_strong+g_L_SOL_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_adx_either_strong+g_L_SOL_grandparent_adx_strong,14,0.7142857142857143,2.4026500380336353,33.637100532470896,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,32,0.875,9.5389621039703,305.2467873270496,0.0,0,28.276995530306053,0.0,1082.7004646658077,305.5027240685679,305.5027240685679
V7_S1_ADX_VOLLOW+g_L_SOL_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_L_SOL_grandparent_adx_strong,14,0.7142857142857143,2.4026500380336353,33.637100532470896,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,32,0.875,9.5389621039703,305.2467873270496,0.0,0,28.276995530306053,0.0,1082.7004646658077,305.5027240685679,305.5027240685679
V7_S3_XADX_ETHVOLLOW+g_J_btc_eth_slope_unan_either,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low+g_J_btc_eth_slope_unan_either,18,0.6666666666666666,2.928474085011196,52.712533530201526,3,0.6666666666666666,3.518211480047372,10.554634440142117,15,1.0,15.558364087972873,233.3754613195931,36,0.8055555555555556,8.240073035831577,296.64262928993674,0.0,0,22.499713717858608,0.0,1149.5330222083146,296.89135180263116,296.89135180263116
V6+g_J_btc_eth_vol_both_low+g_L_BTC_grandparent_trend_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_vol_both_low+g_L_BTC_grandparent_trend_with,32,0.625,0.24926127068214676,7.976360661828696,12,0.6666666666666666,0.9222618788586104,11.067142546303325,18,1.0,15.055667061900174,271.00200711420314,62,0.7419354838709677,4.678153392295728,290.04551032233513,0.0,0,38.679435231153214,0.0,1334.8693753020336,290.2887014250292,290.2887014250292
V7_BASE_S1_ADX_VOLLOW,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,16,0.9375,12.175454648255613,194.8072743720898,34,0.8529411764705882,8.464576115049098,287.7955879116693,25.0,1,12.990103990671106,0.033,959.5584453947561,288.0368925479554,288.0368925479554
V7_S1_ADX_VOLLOW+g_J_btc_eth_adx_either_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_adx_either_strong,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,16,0.9375,12.175454648255613,194.8072743720898,34,0.8529411764705882,8.464576115049098,287.7955879116693,25.0,1,12.990103990671106,0.033,959.5584453947561,288.0368925479554,288.0368925479554
V6+g_J_btc_eth_tr_stack_unan_with+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_tr_stack_unan_with+g_L_ETH_grandparent_adx_strong,36,0.5833333333333334,-0.6837935580547664,-24.61656808997159,17,0.5882352941176471,-1.2671995131469709,-21.542391723498504,30,0.9,11.126883104255468,333.80649312766406,83,0.6987951807228916,3.4656329314963124,287.64753331419394,50.0,2,30.0724897549512,0.0,1644.2242243811572,287.8887138128549,287.8887138128549
