sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,dd_lockbox,loss_streak_lockbox,sharpe_lockbox,composite
V6+g_BTC_tr_stack_with+g_ETH_vol_low,68,32,0.5625,-2.8812734989057436,-92.2007519649838,14,0.5,-5.881207308036998,-82.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,25.0,1,27.26497489829754,59.80283126990715
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with+g_ETH_vol_low,62,27,0.48148148148148145,-5.572537472934837,-150.4585117692406,13,0.5384615384615384,-4.410530947116768,-57.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,25.0,1,27.26497489829754,59.80283126990715
V6+g_ETH_tr_stack_with+g_BTC_vol_low+g_ETH_vol_low,70,35,0.5714285714285714,-2.1212867152179196,-74.24503503262719,14,0.5,-5.881207308036998,-82.33690231251798,21,0.9523809523809523,12.973961030537973,272.4531816412974,25.0,1,25.990748883990605,59.454158485847536
V6+g_BTC_tr_stack_with+g_BTC_vol_low+g_ETH_vol_low,66,31,0.5806451612903226,-2.1677661924188323,-67.2007519649838,14,0.5,-5.881207308036998,-82.33690231251798,21,0.9523809523809523,12.973961030537973,272.4531816412974,25.0,1,25.990748883990605,59.454158485847536
V6+g_BTC_vol_low+g_ETH_vol_low,139,73,0.6986301369863014,2.7951894215000954,204.04882776950697,25,0.6,-2.157015707566037,-53.925392689150925,41,0.8536585365853658,8.999983838791449,368.9993373904494,100.0,4,18.943609224244238,57.62801465466946
NOHOD_g_BTC_vol_low,650,308,0.6493506493506493,0.15814505752524002,48.708677717773924,140,0.6,-1.386702127292481,-194.13829782094734,202,0.7079207920792079,4.029487283709448,813.9564313093086,167.7102509544104,4,20.715205155519598,57.269774658665995
NOHOD_g_ETH_adx_strong,587,265,0.5849056603773585,-2.867132822776415,-759.7901980357499,133,0.6090225563909775,-1.6452148262641209,-218.81357189312808,189,0.708994708994709,4.105360904786099,775.9132110045726,200.0,8,10.964061089117218,56.439381303884076
ENSEMBLE_norm0.55_vwap_lt80,3266,1761,0.498580352072686,-1.321135454728408,-2326.5195357767266,804,0.5199004975124378,-0.32720772812260546,-263.0750134105748,701,0.5748930099857347,2.1059432844707477,1476.2662424139942,1112.4394361710906,21,8.4059084757359,55.75780644270913
NOHOD_g_BTC_tr_stack_with,579,276,0.5869565217391305,-2.0621308458669643,-569.1481134592822,142,0.5774647887323944,-1.9770305803546864,-280.7383424103655,161,0.7142857142857143,4.260816724070473,685.9914925753462,224.14558382311097,5,11.627248490920625,54.0637033890123
NOHOD_g_ETH_slope_with,613,316,0.6424050632911392,-0.15113078731366106,-47.75732879111689,146,0.6027397260273972,-0.8674730407212495,-126.65106394530244,151,0.7350993377483444,4.319701262873342,652.2748906938747,112.72864251989517,4,20.780326747761794,53.08137779928948
