sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,wr_full,dpt_full,sum_full,dd_lockbox,loss_streak_lockbox,dd_full,loss_streak_full,sharpe_lockbox,bootstrap_p_lockbox,bootstrap_p_full,min_split_dpt,stable_3split,composite,proj_28d_const25
V6+g_BTC_tr_stack_with+g_BTC_vol_low+g_ETH_vol_low,66,31,0.5806451612903226,-2.1677661924188323,-67.2007519649838,14,0.5,-5.881207308036998,-82.33690231251798,21,0.9523809523809523,12.973961030537973,272.4531816412974,0.6818181818181818,1.8623564752090258,122.9155273637957,25.0,1,241.850264590236,5,25.990748883990605,0.0,0.287,-5.881207308036998,False,59.454158485847536,105.46602675636277
V6+g_BTC_tr_stack_with+g_ETH_vol_low,68,32,0.5625,-2.8812734989057436,-92.2007519649838,14,0.5,-5.881207308036998,-82.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,0.6764705882352942,1.5582718822490018,105.96248799293213,25.0,1,266.850264590236,5,27.26497489829754,0.0,0.327,-5.881207308036998,False,59.80283126990715,90.91969772669283
V6+g_ETH_tr_stack_with+g_ETH_vol_low,72,36,0.5555555555555556,-2.756806528684088,-99.24503503262717,14,0.5,-5.881207308036998,-82.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,0.6666666666666666,1.3738639572956775,98.91820492528878,25.0,1,252.22046523933466,5,27.26497489829754,0.0,0.346,-5.881207308036998,False,59.80283126990715,84.87544471468246
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with+g_ETH_vol_low,62,27,0.48148148148148145,-5.572537472934837,-150.4585117692406,13,0.5384615384615384,-4.410530947116768,-57.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,0.6612903225806451,1.172656906268957,72.70472818867533,25.0,1,300.1080243944929,5,27.26497489829754,0.0,0.392,-5.572537472934837,False,59.80283126990715,62.383321073554285
V6+g_BTC_tr_stack_with+g_BTC_vol_low,75,34,0.5882352941176471,-2.130181279481436,-72.42616350236882,15,0.5333333333333333,-5.033290312998604,-75.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,0.6933333333333334,2.17383464242408,163.037598181806,38.47058861426828,1,240.23812851008213,5,17.719171046799875,0.001,0.261,-5.033290312998604,False,60.98488455480498,139.8922338041416
V6+g_ETH_tr_stack_with+g_BTC_vol_low,79,38,0.5789473684210527,-2.091327541316111,-79.47044657001223,15,0.5333333333333333,-5.033290312998604,-75.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,0.6835443037974683,1.974598925495729,155.99331511416258,38.47058861426828,1,225.60832915918078,5,17.719171046799875,0.001,0.288,-5.033290312998604,False,60.98488455480498,133.84798079213115
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with+g_BTC_vol_low,69,29,0.5172413793103449,-4.506342182987092,-130.68392330662567,14,0.5714285714285714,-3.6070967639270757,-50.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,0.6811594202898551,1.880867222863031,129.77983837754914,38.47058861426828,1,276.3611805563928,5,17.719171046799875,0.001,0.296,-4.506342182987092,False,60.98488455480498,111.35585715100298
V6+g_ETH_adx_strong+g_ETH_vol_low,57,28,0.5714285714285714,-1.6818977942244888,-47.09313823828569,6,0.6666666666666666,1.379294851392899,8.275769108357395,23,0.9130434782608695,11.043175319034713,253.99303233779838,0.7192982456140351,3.775011635225791,215.1756632078701,25.0,1,154.00788256148218,4,24.689294699584618,0.0,0.135,-1.6818977942244888,False,52.96120831249567,184.6286042123241
V6+g_ETH_adx_strong+g_BTC_vol_low+g_ETH_vol_low,52,26,0.5769230769230769,-1.198260815269284,-31.154781197001384,5,0.6,-1.1593467188065858,-5.796733594032929,21,0.9047619047619048,10.776845210766234,226.31374942609094,0.7115384615384616,3.64158143528955,189.3622346350566,25.0,1,138.06952552019786,4,31.06022256568437,0.0,0.133,-1.198260815269284,False,49.38570893115859,162.47973655562728
V6+g_ETH_adx_strong+g_BTC_vol_low,60,34,0.6176470588235294,0.2370879351751298,8.060989795954413,5,0.6,-1.1593467188065858,-5.796733594032929,21,0.9047619047619048,10.776845210766234,226.31374942609094,0.7166666666666667,3.8096334271335404,228.57800562801242,25.0,1,147.75200011483685,4,31.06022256568437,0.0,0.145,-1.1593467188065858,False,49.38570893115859,196.12830514186675
