sleeve_id,gate,dpt_lockbox,dpt_train,dpt_val,n_lockbox,n_train,n_val,wr_lockbox,wr_train,wr_val,base_dpt_lockbox,base_dpt_train,base_dpt_val,dpt_lift_train,dpt_lift_val,dpt_lift_lockbox
10_btc_15m_s7_hybrid_v1,g_as_norm_lt_05,-0.8283840684491008,-0.027598458971094416,2.5800626868773984,172,495,276,0.8023255813953488,0.8363636363636363,0.8840579710144928,-1.204341161611062,0.14618501731198275,1.0889222955306752,-0.17378347628307717,1.4911403913467232,0.37595709316196113
10_btc_15m_s7_hybrid_v1,g_as_norm_lt_15,-1.391984303884264,0.3463302542697469,1.8748530175609885,217,707,399,0.7880184331797235,0.8345120226308345,0.8621553884711779,-1.204341161611062,0.14618501731198275,1.0889222955306752,0.20014523695776415,0.7859307220303133,-0.1876431422732021
10_btc_15m_s7_hybrid_v1,g_as_stable,-1.01011211664209,0.34556405510307486,1.638116768532574,208,631,364,0.7980769230769231,0.8351822503961965,0.8626373626373627,-1.204341161611062,0.14618501731198275,1.0889222955306752,0.19937903779109212,0.5491944730018987,0.19422904496897186
10_btc_15m_s7_hybrid_v1,g_as_stable_AND_hy_with,-1.4364495204331185,0.5640479297544612,0.4149332040562416,111,572,234,0.7567567567567568,0.833916083916084,0.8504273504273504,-1.204341161611062,0.14618501731198275,1.0889222955306752,0.4178629124424784,-0.6739890914744335,-0.2321083588220565
10_btc_15m_s7_hybrid_v1,g_as_unstable_skip,-1.8586769921226693,0.3523793967435896,1.5757742676228508,226,734,415,0.7743362831858407,0.8365122615803815,0.8554216867469879,-1.204341161611062,0.14618501731198275,1.0889222955306752,0.20619437943160684,0.48685197209217557,-0.6543358305116074
10_btc_15m_s7_hybrid_v1,g_hy_cb_with_dir,-1.13836884171526,0.4961267387967187,0.010470792865907689,606,2332,283,0.7904290429042904,0.8344768439108061,0.8268551236749117,-1.204341161611062,0.14618501731198275,1.0889222955306752,0.34994172148473596,-1.0784515026647674,0.06597231989580199
10_btc_15m_s7_hybrid_v1,none,-1.204341161611062,0.14618501731198275,1.0889222955306752,1242,3071,454,0.784219001610306,0.8218821230869424,0.8480176211453745,-1.204341161611062,0.14618501731198275,1.0889222955306752,0.0,0.0,0.0
11_eth_15m_off120_240,g_as_norm_lt_05,-1.7586339352617337,1.0957005935260051,5.301313284027373,32,44,18,0.59375,0.7727272727272727,0.8888888888888888,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,1.7353144121191435,2.3636343080534634,-0.10986181885275403
11_eth_15m_off120_240,g_as_norm_lt_15,-1.6276036993552403,0.07391390860929421,2.703954009230485,61,124,78,0.6229508196721312,0.7580645161290323,0.8076923076923077,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,0.7135277272024326,-0.23372496674342447,0.021168417053739397
11_eth_15m_off120_240,g_as_stable,-1.601204454258489,0.27295468568134823,2.3135530337526657,55,85,57,0.6181818181818182,0.7529411764705882,0.8070175438596491,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,0.9125685042744867,-0.6241259422212435,0.0475676621504908
11_eth_15m_off120_240,g_as_stable_AND_hy_with,-13.173203575684374,0.10147571099376307,5.6444765255879314,11,83,22,0.36363636363636365,0.7469879518072289,0.8636363636363636,-1.6487721164089797,-0.6396138185931384,2.9376789759739093,0.7410895295869014,2.706797549614022,-11.524431459275394
