sleeve_id,gate,split,n,wr,dpt,sum,dpt_ci95_lo,dpt_ci95_hi
03_eth_5m_s6_hybrid_v2_sms,g_as_norm_lt_05,lockbox,35,0.7428571428571429,-1.0408912250045501,-36.431192875159255,-6.231097747254095,3.2854320925170084
03_eth_5m_s6_hybrid_v2_sms,g_as_unstable_skip,train,253,0.7272727272727273,-2.3179360950144754,-586.4378320386622,-4.016078596310955,-0.5080788272019429
03_eth_5m_s6_hybrid_v2_sms,g_as_unstable_skip,val,134,0.753731343283582,-0.17275357553360918,-23.14897912150363,-2.7922130060906674,2.225894741458281
03_eth_5m_s6_hybrid_v2_sms,g_as_unstable_skip,lockbox,86,0.7906976744186046,2.769291923035626,238.15910538106385,-0.726425255208941,6.53169994172416
03_eth_5m_s6_hybrid_v2_sms,g_as_norm_lt_15,train,220,0.7181818181818181,-2.482100067904905,-546.0620149390791,-4.22667772286903,-0.33325606541601077
03_eth_5m_s6_hybrid_v2_sms,g_as_norm_lt_15,val,114,0.7719298245614035,-0.09527827204476834,-10.86172301310359,-2.8278105304071524,2.656594811186523
03_eth_5m_s6_hybrid_v2_sms,g_as_norm_lt_15,lockbox,74,0.7702702702702703,1.685503593168895,124.72726589449823,-1.9118418330197,5.459965843771522
03_eth_5m_s6_hybrid_v2_sms,g_hy_cb_with_dir,train,997,0.7612838515546639,-0.25200720338735116,-251.25118177718912,-1.1787914289503398,0.666864835567425
03_eth_5m_s6_hybrid_v2_sms,g_hy_cb_with_dir,val,125,0.792,-0.006751697332160859,-0.8439621665201074,-2.464711462408951,2.5308680180743157
03_eth_5m_s6_hybrid_v2_sms,g_hy_cb_with_dir,lockbox,331,0.797583081570997,1.9219401420840119,636.1621870298079,0.4110041038427931,3.813146043162244
03_eth_5m_s6_hybrid_v2_sms,g_as_stable_AND_hy_with,train,162,0.7160493827160493,-3.028662685610814,-490.64335506895185,-5.008828689694337,-0.6623342689371983
03_eth_5m_s6_hybrid_v2_sms,g_as_stable_AND_hy_with,val,55,0.8,-0.05273232959527879,-2.9002781277403336,-3.8741286133055413,3.0343508261618504
03_eth_5m_s6_hybrid_v2_sms,g_as_stable_AND_hy_with,lockbox,39,0.7435897435897436,0.5564578891088848,21.701857675246508,-4.781113276166671,6.7293388359801805
04_eth_5m_s6_hybrid_v1,none,train,12388,0.6831611236680659,-0.5000149201551312,-6194.184830881764,-0.8201025016227642,-0.14590793251071166
04_eth_5m_s6_hybrid_v1,none,val,1505,0.7700996677740863,0.5691461969194324,856.5650263637457,-0.20191505218239383,1.5145323608422545
04_eth_5m_s6_hybrid_v1,none,lockbox,5638,0.7045051436679673,0.9754635105032131,5499.663272217115,0.41018617959445697,1.4690607649493785
04_eth_5m_s6_hybrid_v1,g_as_stable,train,1361,0.7942689199118296,-0.3091971237778822,-420.8172854616977,-1.1392472827155122,0.5988695023181365
04_eth_5m_s6_hybrid_v1,g_as_stable,val,730,0.8013698630136986,0.8778651505755983,640.8415599201868,-0.2782747016381816,2.0531613869836662
04_eth_5m_s6_hybrid_v1,g_as_stable,lockbox,671,0.7108792846497765,0.6617396151637527,444.0272817748781,-0.7534449943565923,2.090727302597455
04_eth_5m_s6_hybrid_v1,g_as_norm_lt_05,train,699,0.8168812589413448,0.07263941093565271,50.774948244021246,-0.8317790091414669,0.8705756567815114
04_eth_5m_s6_hybrid_v1,g_as_norm_lt_05,val,305,0.8098360655737705,0.1830602072852622,55.83336322200498,-1.3941499708821954,1.6534623197010057
04_eth_5m_s6_hybrid_v1,g_as_norm_lt_05,lockbox,402,0.7213930348258707,0.6035394757850189,242.6228692655776,-1.1386153650004271,2.2274784474237355
04_eth_5m_s6_hybrid_v1,g_as_unstable_skip,train,1877,0.7847629195524773,-0.023879731911042482,-44.82225679702674,-0.6743099276798238,0.6344673135470583
04_eth_5m_s6_hybrid_v1,g_as_unstable_skip,val,1061,0.7973609802073516,0.9875132481062323,1047.7515562407125,0.04095724057974039,2.0052062414369574
04_eth_5m_s6_hybrid_v1,g_as_unstable_skip,lockbox,861,0.7200929152148664,0.8178556330644935,704.1737000685289,-0.42280710882616124,2.2796632729466793
04_eth_5m_s6_hybrid_v1,g_as_norm_lt_15,train,1669,0.793289394847214,0.026732962183677534,44.6173138845578,-0.5902644495596631,0.6328310405353561
04_eth_5m_s6_hybrid_v1,g_as_norm_lt_15,val,919,0.794341675734494,0.7160051757891304,658.0087565502108,-0.24634360767279262,1.779584207970861
04_eth_5m_s6_hybrid_v1,g_as_norm_lt_15,lockbox,787,0.7153748411689962,0.6866722455993971,540.4110572867255,-0.2797335386167269,2.0819038613076177
04_eth_5m_s6_hybrid_v1,g_hy_cb_with_dir,train,9360,0.7238247863247863,-0.5769521108363567,-5400.271757428299,-0.8948711927264891,-0.260482614458279
04_eth_5m_s6_hybrid_v1,g_hy_cb_with_dir,val,892,0.7881165919282511,0.7775686035021078,693.5911943238801,-0.4236440744425417,1.895432658891159
04_eth_5m_s6_hybrid_v1,g_hy_cb_with_dir,lockbox,2781,0.695433297375045,0.29513699622546863,820.7759865030282,-0.3498778743461781,0.9702971598015677
04_eth_5m_s6_hybrid_v1,g_as_stable_AND_hy_with,train,1146,0.8054101221640488,-0.6383586748538369,-731.5590413824971,-1.3172107003256894,0.11290228610087356
04_eth_5m_s6_hybrid_v1,g_as_stable_AND_hy_with,val,435,0.8,0.6425140986698443,279.4936329213823,-0.8228466032996673,2.1588337518813896
04_eth_5m_s6_hybrid_v1,g_as_stable_AND_hy_with,lockbox,354,0.7090395480225988,0.2881780826811543,102.01504126912863,-1.3894728012752626,2.2589164127317702
05_btc_5m_off120_sms_liq,none,train,476,0.592436974789916,-1.5950682628720336,-759.252493127088,-3.4324514939927564,0.8422873360955727
