sleeve_id,slug,direction,placed_fire_us,live_vwap,live_shares,live_outcome,live_won,live_pnl,canon_outcome,bt_vwap,bt_shares,bt_pnl,fill_status,book_dt_us
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779963300,UP,1779963390000000,0.65,7.692307692307692,Down,False,-5.0,Down,0.6499999761581421,7.692307974459867,-5.0,OK,262000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779963600,DOWN,1779963690000000,0.35,14.285714285714286,Down,True,9.1,Down,0.3499999940395355,14.285714528998554,9.100000238418582,OK,108000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779963900,UP,1779963990000000,0.57,8.771929824561404,Up,True,3.696491228070176,Up,0.5699999928474427,8.771929934634617,3.6964913359419236,OK,239000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779964500,UP,1779964590000000,0.63,7.936507936507937,Up,True,2.8777777777777778,Up,0.6299999952316284,7.936507996578126,2.877777836646563,OK,676000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779964200,UP,1779964260000000,0.5,10.0,Up,True,4.9,Up,0.5,10.0,4.9,OK,511000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779964800,DOWN,1779964890000000,0.28,17.857142857142854,Down,True,12.599999999999996,Down,0.2800000011920929,17.857142781116526,12.599999925494195,OK,23982000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779965700,UP,1779965790000000,0.56,8.928571428571427,Down,False,-5.0,Down,0.5600000023841858,8.928571390558263,-5.0,OK,4806000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779967800,DOWN,1779967890000000,0.62,8.064516129032258,Up,False,-5.0,Up,0.6200000047683716,8.064516067008695,-5.0,OK,3000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779968100,DOWN,1779968190000000,0.6722689075630253,7.4375,Up,False,-5.0,Down,0.6722689199426439,7.437499863040799,2.3887498657799826,OK,1028000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779967800,DOWN,1779967860000000,0.53,9.433962264150942,Up,False,-5.0,Up,0.5299999713897705,9.433962773411018,-5.0,OK,2090000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779968400,DOWN,1779968490000000,0.56,8.928571428571427,Up,False,-5.0,Up,0.5600000023841858,8.928571390558263,-5.0,OK,1221000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779969900,UP,1779969990000000,0.56,8.928571428571427,Down,False,-5.0,Down,0.5600000023841858,8.928571390558263,-5.0,OK,184000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779970500,DOWN,1779970590000000,0.52,9.615384615384617,Down,True,4.523076923076923,Down,0.5199999809265137,9.615384968074833,4.523077268713337,OK,369000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779972900,DOWN,1779972990000000,0.67,7.462686567164178,Down,True,2.413432835820895,Down,,,,NO_BOOK,
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,eth-updown-5m-1779973800,DOWN,1779973860000000,0.51,9.803921568627452,Down,True,4.707843137254903,Down,0.5099999904632568,9.803921751955851,4.707843316916734,OK,4858000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779973200,UP,1779973230000000,0.57,8.771929824561404,Down,False,-5.0,Down,0.5699999928474427,8.771929934634617,-5.000000000000001,OK,2372000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779973200,UP,1779973260000000,0.69,7.246376811594203,Down,False,-5.0,Down,0.6899999976158142,7.246376836632911,-5.0,OK,1942000.0
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,eth-updown-5m-1779973800,DOWN,1779973860000000,0.51,9.803921568627452,Down,True,4.707843137254903,Down,0.5099999904632568,9.803921751955851,4.707843316916734,OK,4858000.0
