combo,symbol,n_trades,buy_hold_x,final_eq_x,win_rate,expectancy,profit_factor,sharpe,max_dd,outperform,median_hold_h,calmar,cagr
F4_funding_band__E2_trail_5pct,SOLUSDT,302,3.778629395852119,1.64581893956322,0.40066225165562913,0.003796154439535218,1.1612218868693085,0.5732482499016167,-0.5219244053282661,0.4355597670864123,45.0,0.3471443407196309,0.18118310359316636
F4_funding_band__E3_tp_or_24h,SOLUSDT,528,3.778629395852119,1.267848351403412,0.509469696969697,0.0014395507374720265,1.086700424015036,0.4257758904332596,-0.6104120111762968,0.3355312782976695,24.0,0.13522936656821946,0.08254562961700351
F4_funding_band__E4_zcross,SOLUSDT,790,3.778629395852119,0.6025335339782355,0.4341772151898734,-0.0005127730025722634,0.903201171330746,-0.5498891731930781,-0.4352144745482486,0.1594582243603062,2.0,-0.3578861783714969,-0.1557572450680318
F4_funding_band__E5_vol_scaled,SOLUSDT,587,3.778629395852119,2.361187570961151,0.5025553662691652,0.002107922825589879,1.1812965841106684,0.827364446581811,-0.3459025402043657,0.6248793738684921,14.0,0.9615819094122379,0.3326136250802574
F5_n_of_m__E0_24h_fixed,SOLUSDT,911,3.778629395852119,2.70988498857124,0.49286498353457736,0.002143731958534429,1.1360949290035738,0.8079558888901417,-0.6667860125838465,0.7171608286184239,24.0,0.592984910434275,0.39539404395085964
F5_n_of_m__E1_48h_fixed,SOLUSDT,497,3.778629395852119,1.3545843642059703,0.48490945674044267,0.002528885466864987,1.1140937025868092,0.5211103041615461,-0.8029553556246918,0.3584856365360747,48.0,0.1329510711070097,0.10675377458141266
F5_n_of_m__E2_trail_5pct,SOLUSDT,478,3.778629395852119,1.0340878051179956,0.40376569037656906,0.0020816349885572133,1.085158343504108,0.40735189314986825,-0.681711698048339,0.2736674324963267,40.0,0.016525502032690716,0.011265628051806864
F5_n_of_m__E3_tp_or_24h,SOLUSDT,1000,3.778629395852119,0.9777721804850267,0.5,0.0008712170031295298,1.0540244337503486,0.37149138557408873,-0.8450154608312896,0.2587637151074799,24.0,-0.00885715867078383,-0.00748443601584825
F5_n_of_m__E4_zcross,SOLUSDT,3068,3.778629395852119,0.3003620811889731,0.42926988265971316,-0.00028280568801019386,0.9427107568710221,-0.6315770889801436,-0.7086636978673269,0.07948969049959938,2.0,-0.4670823165471768,-0.33100428165275964
F5_n_of_m__E5_vol_scaled,SOLUSDT,1315,3.778629395852119,2.457256475819681,0.5019011406844106,0.0013139192161662511,1.1070513946710168,0.7673487269492995,-0.6771231679994986,0.6503036467447861,14.0,0.517622782934814,0.350494378609538
F6_btc_confluence__E0_24h_fixed,SOLUSDT,708,3.778629395852119,3.4533073933892213,0.5098870056497176,0.002719355659565576,1.1784758011144614,0.9415170042302471,-0.589990265137133,0.9139047605938782,24.0,0.869772292125151,0.5131571852398498
F6_btc_confluence__E1_48h_fixed,SOLUSDT,422,3.778629395852119,2.760062350433977,0.5071090047393365,0.004095612680969512,1.205691416727876,0.824480775845105,-0.7245219481139535,0.7304400779456581,48.0,0.5575767532315756,0.40397659547439435
F6_btc_confluence__E2_trail_5pct,SOLUSDT,406,3.778629395852119,1.4302721272372783,0.4187192118226601,0.002814993601477297,1.1210819620284331,0.5245831764342839,-0.7983381534421529,0.3785161171951179,43.0,0.1591412062778668,0.12704849675642893
F6_btc_confluence__E3_tp_or_24h,SOLUSDT,765,3.778629395852119,1.8764870790494015,0.515032679738562,0.0016813382113432156,1.1068311208376629,0.6494237337146289,-0.844044789752988,0.4966052191064995,24.0,0.2773707716055909,0.23411335460346505
F6_btc_confluence__E4_zcross,SOLUSDT,1708,3.778629395852119,0.6328047076001616,0.430327868852459,-0.00014780839260186975,0.9708549870859249,-0.23199085294067553,-0.5083025168130333,0.16746937614331922,2.0,-0.27899233110642163,-0.14181250407292922
F6_btc_confluence__E5_vol_scaled,SOLUSDT,955,3.778629395852119,0.8302151689001476,0.49842931937172774,0.00044427628246655146,1.0358752285926904,0.2198376720577436,-0.7898652165057714,0.21971330922569232,14.0,-0.0763327752173684,-0.060292604023553076
F7_top_trader__E0_24h_fixed,SOLUSDT,510,3.778629395852119,0.6670065487096533,0.47843137254901963,0.0003433721002323418,1.0202673502695632,0.06753317321579577,-0.7506230297159973,0.1765207642331477,24.0,-0.16863527929144764,-0.1265815242587498
F7_top_trader__E1_48h_fixed,SOLUSDT,343,3.778629395852119,0.6438290580085714,0.478134110787172,0.0009397785557421672,1.0391474832585803,0.1369470654749277,-0.8471678499029631,0.17038692884655904,48.0,-0.1615317130792739,-0.1368444740605108
F7_top_trader__E2_trail_5pct,SOLUSDT,342,3.778629395852119,0.30465152387097677,0.3684210526315789,-0.001501162842103897,0.9415256896366617,-0.2571530587643105,-0.880883684483353,0.0806248753067446,40.0,-0.37215621393757753,-0.32782633693670826
F7_top_trader__E3_tp_or_24h,SOLUSDT,545,3.778629395852119,0.9265466499811633,0.5082568807339449,0.0007905669837395726,1.0487531494821785,0.23725841263835096,-0.7562673154894807,0.24520707190767452,24.0,-0.03328840135545926,-0.025174929930029566
F7_top_trader__E4_zcross,SOLUSDT,949,3.778629395852119,0.4768062650097613,0.42571127502634354,-0.0006518797205844884,0.879005022893538,-0.7632088151023032,-0.6283662488236256,0.12618497742413204,2.0,-0.3489596078275552,-0.21927443976156435
F7_top_trader__E5_vol_scaled,SOLUSDT,610,3.778629395852119,0.21102009473414846,0.46885245901639344,-0.0018596959429928858,0.8656825217406394,-0.7754688835231303,-0.853584201289016,0.055845671175318135,14.0,-0.47500779110441416,-0.40545914597592114
F8_ma200_lowvol__E0_24h_fixed,SOLUSDT,169,3.778629395852119,1.4709953269842966,0.4911242603550296,0.0031437014975560515,1.2221851796861858,0.5655308447452764,-0.33097819851154003,0.3892933582211156,24.0,0.41595836765163463,0.13767315118113888
F8_ma200_lowvol__E1_48h_fixed,SOLUSDT,97,3.778629395852119,2.4264722427984093,0.5567010309278351,0.01068678353296477,1.6293264597449952,1.0385152279480723,-0.35972412831086154,0.6421567157292533,48.0,0.9585572503682921,0.34481617132479014
F8_ma200_lowvol__E2_trail_5pct,SOLUSDT,85,3.778629395852119,1.6970412519029503,0.36470588235294116,0.008748302912305187,1.3789070057878423,0.6763118329180723,-0.3734019889071006,0.449115558611233,46.0,0.5177907359451372,0.19334409063958558
F8_ma200_lowvol__E3_tp_or_24h,SOLUSDT,183,3.778629395852119,1.4824365875101586,0.5191256830601093,0.002882993434892105,1.2072339638980905,0.5808852657241798,-0.32830886355501493,0.3923212446125202,24.0,0.4283249039537041,0.14062286244935152
F8_ma200_lowvol__E4_zcross,SOLUSDT,514,3.778629395852119,0.68564780292205,0.40077821011673154,-0.0006432257697625693,0.8713968876691205,-0.5985743049989971,-0.38168098242392634,0.18145410176364477,2.0,-0.31046395743497623,-0.11849818828100178
F8_ma200_lowvol__E5_vol_scaled,SOLUSDT,228,3.778629395852119,1.3357838416642769,0.4824561403508772,0.001821860138091749,1.1604216934132314,0.4675241746386965,-0.34774294748635376,0.35351014924369,16.0,0.2921586572016393,0.10159611258895329
F0_none__E0_24h_fixed,BTCUSDT,892,2.670764124372448,1.2692306608876134,0.5089686098654709,0.0005835352127696315,1.0691087236177799,0.3990644176166935,-0.5792482871899892,0.4752312828022002,24.0,0.14311731954088594,0.08290046221128056
F0_none__E1_48h_fixed,BTCUSDT,494,2.670764124372448,1.635234057782065,0.4817813765182186,0.0016020207403428547,1.1402079599124242,0.5895906780669651,-0.5525533202417908,0.6122719872037735,48.0,0.32313646218299186,0.17855012507039802
F0_none__E2_trail_5pct,BTCUSDT,309,2.670764124372448,1.6442948238947268,0.44983818770226536,0.0025625357743993436,1.1608830859724182,0.5886593771808574,-0.5203294738657818,0.6156645616471609,96.0,0.34733302551599754,0.18072761042294916
F0_none__E3_tp_or_24h,BTCUSDT,912,2.670764124372448,0.9868314669219745,0.5032894736842105,0.0002919335465884607,1.0342392562709235,0.2034069982902055,-0.5742909572722356,0.3694940552467737,24.0,-0.0076938062458165625,-0.0044184833539770985
F0_none__E4_zcross,BTCUSDT,2800,2.670764124372448,0.11464249852405703,0.36714285714285716,-0.0007350770934942785,0.7625006342646543,-2.5945582339055693,-0.8898172981258342,0.04292498071165109,2.0,-0.5787388023942501,-0.5149717974670327
F0_none__E5_vol_scaled,BTCUSDT,827,2.670764124372448,1.7346714892267323,0.4969770253929867,0.0010040299896423297,1.1181339103096122,0.6416671349630575,-0.5102448888815212,0.6495038155547823,24.0,0.3959313970273567,0.20202197168092906
F1_ma200__E0_24h_fixed,BTCUSDT,511,2.670764124372448,1.0936189310275282,0.5107632093933464,0.00047407058396794723,1.0545000327875742,0.2523731758989621,-0.3943594449482551,0.40947791721760407,24.0,0.07695257554544986,0.030346974979442276
F1_ma200__E1_48h_fixed,BTCUSDT,285,2.670764124372448,1.2043507928489676,0.48771929824561405,0.0012703124912930462,1.1073747314569304,0.3514567646362166,-0.420625011497684,0.450938659037123,48.0,0.15235577182999666,0.06408464827773086
F1_ma200__E2_trail_5pct,BTCUSDT,178,2.670764124372448,1.2658606915263437,0.4438202247191011,0.0023292830282131763,1.1405077984876317,0.3976083301149191,-0.43901426043300823,0.4739694831058075,96.0,0.1866434030702857,0.08193911556360134
F1_ma200__E3_tp_or_24h,BTCUSDT,520,2.670764124372448,1.024643316736532,0.5153846153846153,0.00032707059747405775,1.0380320714020503,0.18260449719700864,-0.4056524956602959,0.3836517449766529,24.0,0.020129676865615394,0.008165653657372207
F1_ma200__E4_zcross,BTCUSDT,1554,2.670764124372448,0.28517593492019266,0.3642213642213642,-0.0007693865471597591,0.7584878376630879,-2.081722874094441,-0.7195300937620898,0.10677690789605043,2.0,-0.47583592366096183,-0.34237826676714245
F1_ma200__E5_vol_scaled,BTCUSDT,472,2.670764124372448,1.4549135041087646,0.4915254237288136,0.0011050893237637104,1.1300202520969278,0.5471669043919561,-0.357110812926249,0.5447555217743637,24.0,0.3736546197829345,0.13343610502433223
F2_ma50_up__E0_24h_fixed,BTCUSDT,495,2.670764124372448,1.4383479729995747,0.501010101010101,0.0010054622583619654,1.1346415468017441,0.5574838628064482,-0.3741781202762428,0.5385529781060485,24.0,0.34504574432425084,0.12910856802056525
F2_ma50_up__E1_48h_fixed,BTCUSDT,283,2.670764124372448,1.784560895031718,0.4911660777385159,0.00260661252963332,1.2562047003420314,0.7665894044880628,-0.3704239662479114,0.6681836403096952,48.0,0.5762629395993135,0.21346160368805833
F2_ma50_up__E2_trail_5pct,BTCUSDT,175,2.670764124372448,2.0699055347843656,0.48,0.005173824195941107,1.365724441576989,0.888402987602639,-0.423639381056389,0.7750237154584864,96.0,0.6493835891051837,0.27510446175669645
F2_ma50_up__E3_tp_or_24h,BTCUSDT,502,2.670764124372448,1.403139636927062,0.5059760956175299,0.000939413622297108,1.1252942739949041,0.531430045810302,-0.3520265209459132,0.5253701081733524,24.0,0.34031344119277357,0.1197993567342237
F2_ma50_up__E4_zcross,BTCUSDT,1507,2.670764124372448,0.3575257766516199,0.36230922362309226,-0.0006497361046780708,0.7759395939442109,-1.814684151638957,-0.6613141582702299,0.1338664741633176,2.0,-0.4397056187737993,-0.2907835511660857
F2_ma50_up__E5_vol_scaled,BTCUSDT,448,2.670764124372448,1.4705259185862212,0.5044642857142857,0.0011735816069711378,1.147229783275942,0.57813901854781,-0.3687549776106586,0.5506011950537759,28.0,0.3728348826705483,0.13748471881165059
F3_low_vol__E0_24h_fixed,BTCUSDT,404,2.670764124372448,1.5413284972285952,0.4900990099009901,0.0013547126675023935,1.189408026624635,0.6740292227222322,-0.3286603320116095,0.5771114278355685,24.0,0.4731160661162386,0.15549448336978955
F3_low_vol__E1_48h_fixed,BTCUSDT,229,2.670764124372448,1.872926765505046,0.5065502183406113,0.003249254960225521,1.3461344703355334,0.8905945488290795,-0.3234120144638718,0.7012700029977861,48.0,0.7210985723945761,0.23321194192515193
F3_low_vol__E2_trail_5pct,BTCUSDT,137,2.670764124372448,1.9370913306579993,0.49635036496350365,0.005770979250501351,1.417841935826961,0.9007649061240126,-0.3111889358164866,0.7252947997094874,96.0,0.7942680015386656,0.2471674141519049
F3_low_vol__E3_tp_or_24h,BTCUSDT,411,2.670764124372448,1.1907027310476188,0.48418491484184917,0.000696100495978742,1.0926319429656706,0.35360326391903935,-0.3367244169215111,0.44582848787793994,24.0,0.17830933518142258,0.06004110692062681
F3_low_vol__E4_zcross,BTCUSDT,1241,2.670764124372448,0.44543599588364824,0.35052377115229655,-0.0006194637844783938,0.7754848569305975,-1.5868684311240786,-0.5784055321159113,0.16678222978164078,2.0,-0.40929317275665644,-0.23673743537972347
F3_low_vol__E5_vol_scaled,BTCUSDT,330,2.670764124372448,2.3832641060389808,0.49696969696969695,0.0029996372755052817,1.4000851931461338,1.218424576319075,-0.2486150752881588,0.8923528979179239,30.0,1.3538492287534498,0.3365873279353546
