combo,symbol,n_trades,win_rate,expectancy,profit_factor,sharpe,max_dd,buy_hold_x,final_eq_x,outperform,median_hold_h,calmar
X_btc_extreme__S_volscale__E_tp7_trail5__R_3loss_pause,ETHUSDT,15,0.6,0.02252256962599324,3.778476331561704,1.0239545625996649,-0.13766758060610282,1.200688988338978,1.377712822861979,1.1474352111514692,96.0,0.8644645954324665
X_btc_extreme__S_volscale__E_tp7_trail5__R_dd_pause,ETHUSDT,14,0.6428571428571429,0.026817138598621004,5.470060449598822,1.1606341893423218,-0.1039758206199043,1.200688988338978,1.4315407536156426,1.192266080157879,96.0,1.2903053649634348
X_btc_extreme__S_volscale__E_atr_stop__R_none,ETHUSDT,90,0.4111111111111111,0.006330573577049913,1.5859059455279008,0.9172148049646018,-0.14788989634683214,1.200688988338978,1.6481276029571756,1.3726515517038098,48.0,1.295851367120762
X_btc_extreme__S_volscale__E_atr_stop__R_3loss_pause,ETHUSDT,22,0.5,0.019361477591702578,3.648714728229713,1.1004991748889847,-0.06109607626542751,1.200688988338978,1.4830143988249525,1.2351361703387826,48.0,2.427448148711704
X_btc_extreme__S_volscale__E_atr_stop__R_dd_pause,ETHUSDT,27,0.4444444444444444,0.013864537379642841,2.7132732034658527,0.9414579208623676,-0.1087931885740804,1.200688988338978,1.4076760148348777,1.1723902097097132,48.0,1.171851145948025
X_btc_extreme__S_zmag__E_24h__R_none,ETHUSDT,111,0.5135135135135135,0.005190133258106197,1.329680273648409,0.6395213774149173,-0.40950432679468185,1.200688988338978,1.5456572634413153,1.2873086023546891,24.0,0.4031721819051862
X_btc_extreme__S_zmag__E_24h__R_3loss_pause,ETHUSDT,26,0.5769230769230769,0.022133137761847315,4.2920430979725515,1.1419938807627859,-0.07589078743051822,1.200688988338978,1.709337293261432,1.4236303571219666,24.0,2.727475673205791
X_btc_extreme__S_zmag__E_24h__R_dd_pause,ETHUSDT,30,0.5666666666666667,0.01800606923113966,3.3976216322751918,1.0588820120890656,-0.1068476903861175,1.200688988338978,1.6485121185037803,1.3729717974546571,24.0,1.7945252478980358
X_btc_extreme__S_zmag__E_volscaled__R_none,ETHUSDT,122,0.5327868852459017,0.003052078281404744,1.2084771461308306,0.40987903013968685,-0.4918549579625648,1.200688988338978,1.2603591020836948,1.0496965611613245,20.0,0.17198058098556762
X_btc_extreme__S_zmag__E_volscaled__R_3loss_pause,ETHUSDT,32,0.59375,0.013369925905798653,2.4866866101688037,0.8564932551117216,-0.15340363620358,1.200688988338978,1.4744540985517258,1.2280066802240537,20.0,0.9515888439082714
