sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,pass,fail_reason
off_L210|r3|g_mp_skew_with+g_within_dev+g_hl_liq_cascade_with,offset_L210,g_mp_skew_with+g_within_dev+g_hl_liq_cascade_with,85,52,18,15,0.9230769230769231,0.7777777777777778,0.8,0.601339509967483,-3.9710747398875634,1.0393097604104655,-24.620044393510046,15.589646406156984,154.2712247155368,73.48453757243193,2,2,-1.1283108250673324,46.220952584198685,95.96774193548387,0.0,4.025229393620553,False,dpt_lockbox_low
off_L210|r3|g_mp_skew_with+g_tr_above_ema800+g_hl_liq_cascade_with,offset_L210,g_mp_skew_with+g_tr_above_ema800+g_hl_liq_cascade_with,85,52,18,15,0.9230769230769231,0.7777777777777778,0.8,0.601339509967483,-3.9710747398875634,1.0393097604104655,-24.620044393510046,15.589646406156984,154.2712247155368,73.48453757243193,2,2,-1.1283108250673324,46.220952584198685,95.96774193548387,0.0,4.025229393620553,False,dpt_lockbox_low
off_early3060|r3|g_mp_skew_with+g_tr_above_ema200+g_tr_above_ema800,offset_early3060,g_mp_skew_with+g_tr_above_ema200+g_tr_above_ema800,1533,815,302,416,0.8368098159509203,0.7086092715231788,0.6778846153846154,5.023017946501808,-1.3191404014394221,0.19699345880884353,3777.328504028747,81.94927886447891,1138.1476388448268,847.3723479403822,19,14,6.254435551339592,0.8627867156764861,1730.8064516129032,0.25,4.017893962065719,False,dpt_lockbox_low
off_early304560|r3|g_mp_skew_with+g_tr_above_ema200+g_tr_above_ema800,offset_early304560,g_mp_skew_with+g_tr_above_ema200+g_tr_above_ema800,1533,815,302,416,0.8368098159509203,0.7086092715231788,0.6778846153846154,5.023017946501808,-1.3191404014394221,0.19699345880884353,3777.328504028747,81.94927886447891,1138.1476388448268,847.3723479403822,19,14,6.254435551339592,0.8627867156764861,1730.8064516129032,0.25,4.017893962065719,False,dpt_lockbox_low
off_L_late|r3|g_mp_change_with+g_queue_top_high+g_hawkes_imbalance_with,offset_L_late,g_mp_change_with+g_queue_top_high+g_hawkes_imbalance_with,163,110,25,28,0.9272727272727272,0.92,0.8928571428571429,-0.016363347644185695,1.1434120211490524,0.7495856856237785,47.7737314853317,20.988399197465796,93.50450825364565,64.30399734398105,2,1,2.1489558392661112,15.364896848470265,184.03225806451613,0.0,3.966434620988724,False,dpt_lockbox_low
pw_off_e60|r2|g_pw_mp_no_extreme+g_queue_top_high+g_tr_above_ema800,ws_s+offset_e60,g_pw_mp_no_extreme+g_queue_top_high+g_tr_above_ema800,515,280,66,169,0.8928571428571429,0.7727272727272727,0.6331360946745562,4.950326029316997,-0.46562762444450057,0.3044532091369987,1406.8124573395748,51.45259234415278,365.00171698938993,365.0017169893901,7,7,8.890981234091699,2.280870251174122,581.4516129032259,0.245,3.9578917187809832,False,wr_lockbox_low
off_early30|r3|g_within_dev+g_markov_with+g_hurst_trending,offset_early30,g_within_dev+g_markov_with+g_hurst_trending,378,221,65,92,0.9095022624434389,0.6461538461538462,0.6304347826086957,8.854806383812175,5.1771614157949655,0.41106548245699737,2331.2457272352067,37.81802438604376,375.0,225.45568868911224,15,4,14.298196266777495,9.04042722280237,426.7741935483871,0.25,3.942801597826039,False,wr_lockbox_low
off_L210|r3|g_imb5_strong_with+g_queue_top_high+g_rf_with,offset_L210,g_imb5_strong_with+g_queue_top_high+g_rf_with,90,57,14,19,0.8596491228070176,0.8571428571428571,0.7894736842105263,-0.563326062704379,8.256050883564816,0.8858629887979022,100.30652358291796,16.83139678716014,116.99658018502384,75.0,3,3,3.182698886126801,5.361552082605005,101.61290322580645,0.25,3.8613872459929595,False,dpt_lockbox_low
off_L150|r2|g_mp_change_with+g_queue_top_high,offset_L150,g_mp_change_with+g_queue_top_high,49,24,12,13,0.8333333333333334,0.9166666666666666,0.8461538461538461,-1.9862515719419989,3.4423492755157885,1.0664437950230432,7.50192291488106,13.863769335299562,70.59605156476842,25.0,1,1,0.5056932722685914,24.779678050785517,55.32258064516129,0.0,3.8451177853559906,False,dpt_lockbox_low
off_L150|r3|g_mp_change_with+g_queue_top_high+g_within_dev,offset_L150,g_mp_change_with+g_queue_top_high+g_within_dev,49,24,12,13,0.8333333333333334,0.9166666666666666,0.8461538461538461,-1.9862515719419989,3.4423492755157885,1.0664437950230432,7.50192291488106,13.863769335299562,70.59605156476842,25.0,1,1,0.5056932722685914,24.779678050785517,55.32258064516129,0.0,3.8451177853559906,False,dpt_lockbox_low
off_L150|r3|g_mp_change_with+g_queue_top_high+g_tr_above_ema200,offset_L150,g_mp_change_with+g_queue_top_high+g_tr_above_ema200,49,24,12,13,0.8333333333333334,0.9166666666666666,0.8461538461538461,-1.9862515719419989,3.4423492755157885,1.0664437950230432,7.50192291488106,13.863769335299562,70.59605156476842,25.0,1,1,0.5056932722685914,24.779678050785517,55.32258064516129,0.0,3.8451177853559906,False,dpt_lockbox_low
off_L150|r3|g_mp_change_with+g_queue_top_high+g_tr_above_ema800,offset_L150,g_mp_change_with+g_queue_top_high+g_tr_above_ema800,49,24,12,13,0.8333333333333334,0.9166666666666666,0.8461538461538461,-1.9862515719419989,3.4423492755157885,1.0664437950230432,7.50192291488106,13.863769335299562,70.59605156476842,25.0,1,1,0.5056932722685914,24.779678050785517,55.32258064516129,0.0,3.8451177853559906,False,dpt_lockbox_low
prewindow|g_pw_mp_change_with+g_queue_top_high+g_markov_with,ws_s,g_pw_mp_change_with+g_queue_top_high+g_markov_with,191,121,34,36,0.9256198347107438,0.7941176470588235,0.6944444444444444,3.693985331314157,-1.8687309697205279,0.6401001324809492,406.47897688782933,23.04360476931417,171.58465140415439,150.0,6,6,4.397769135181696,234.48603446962332,215.64516129032256,0.0,3.8406007948856953,False,dpt_lockbox_low
off_early60|r3|g_mp_skew_with+g_queue_top_high+g_tr_above_ema800,offset_early60,g_mp_skew_with+g_queue_top_high+g_tr_above_ema800,391,218,50,123,0.8899082568807339,0.84,0.6910569105691057,3.685032791412561,1.0477314196070544,0.3392491794355482,897.4513685788634,41.72764907057243,214.53215311426266,202.71485229562563,5,5,9.262980926637649,3.0657878385716892,441.4516129032258,0.25,3.7624554092993865,False,dpt_lockbox_low
off_early3060|r3|g_mp_no_extreme+g_hawkes_imbalance_with+g_tr_above_ema200,offset_early3060,g_mp_no_extreme+g_hawkes_imbalance_with+g_tr_above_ema200,311,141,56,114,0.8368794326241135,0.6428571428571429,0.6666666666666666,5.8296727369109265,0.16159709447822804,0.35030021700716274,870.9675179340379,39.93422473881655,463.3402699510156,368.78776683900975,13,6,5.106188148669522,18.718140397286092,351.1290322580645,0.0,3.740182828689026,False,dpt_lockbox_low
off_early304560|r3|g_mp_no_extreme+g_hawkes_imbalance_with+g_tr_above_ema200,offset_early304560,g_mp_no_extreme+g_hawkes_imbalance_with+g_tr_above_ema200,311,141,56,114,0.8368794326241135,0.6428571428571429,0.6666666666666666,5.8296727369109265,0.16159709447822804,0.35030021700716274,870.9675179340379,39.93422473881655,463.3402699510156,368.78776683900975,13,6,5.106188148669522,18.718140397286092,351.1290322580645,0.0,3.740182828689026,False,dpt_lockbox_low
off_early45|g_markov_with,offset_early45,g_markov_with,872,268,81,523,0.6716417910447762,0.5185185185185185,0.6061185468451242,-1.2698651349727363,-5.0743517849147635,0.1630308420463959,-666.0812203605241,85.26513039026506,1681.3296193195813,594.7363375655598,39,7,-2.135195115199982,1.9040521552850946,984.5161290322582,0.411,3.7283838328048593,False,wr_lockbox_low
off_L150|r3|g_mp_skew_with+g_vol_high+g_hurst_trending,offset_L150,g_mp_skew_with+g_vol_high+g_hurst_trending,160,98,32,30,0.8877551020408163,0.9375,0.7666666666666667,1.3232786240125822,1.7010993094927525,0.6756984027337545,204.38743513901377,20.270952082012634,112.75121021080648,112.75121021080648,3,3,6.673897599744066,7.337894832542585,180.64516129032256,0.245,3.7009525724748773,False,dpt_lockbox_low
pw_off_e3060|r2|g_pw_mp_no_extreme+g_tr_above_ema200+g_rf_with,ws_s+offset_e3060,g_pw_mp_no_extreme+g_tr_above_ema200+g_rf_with,2371,1248,434,689,0.7684294871794872,0.663594470046083,0.6458635703918723,3.7056540009924017,-0.5103417056119834,0.1394477358141541,4499.247382978869,96.07948997595217,1174.2418050714414,1154.2165229788177,28,14,6.694708931998242,1.3413982036353873,2676.935483870968,0.25,3.660337052147691,False,n_28d_out_of_band
off_early60|r2|g_mp_skew_with+g_hawkes_imbalance_with,offset_early60,g_mp_skew_with+g_hawkes_imbalance_with,1068,539,186,343,0.8256029684601113,0.5698924731182796,0.6967930029154519,3.5972932543700886,-5.941803949666548,0.19532436891429483,900.7617880051032,66.99625853760313,1389.3816898773473,612.1611663138731,19,14,2.3678450367226254,0.9317475080893054,1205.8064516129032,0.25,3.6174579359650156,False,dpt_lockbox_low
off_early60|r3|g_mp_skew_with+g_hawkes_imbalance_with+g_within_dev,offset_early60,g_mp_skew_with+g_hawkes_imbalance_with+g_within_dev,1068,539,186,343,0.8256029684601113,0.5698924731182796,0.6967930029154519,3.5972932543700886,-5.941803949666548,0.19532436891429483,900.7617880051032,66.99625853760313,1389.3816898773473,612.1611663138731,19,14,2.3678450367226254,0.9317475080893054,1205.8064516129032,0.25,3.6174579359650156,False,dpt_lockbox_low
off_L210|r3|g_imb5_strong_with+g_ribbon_agrees+g_vol_high,offset_L210,g_imb5_strong_with+g_ribbon_agrees+g_vol_high,50,36,4,10,0.8611111111111112,0.75,0.9,4.074301901545896,18.63231156905956,1.1334351744751594,232.5384664766421,11.334351744751594,87.93286241415069,25.0,1,1,6.633423614572919,6.16961709433106,56.45161290322581,0.25,3.584236731491846,False,dpt_lockbox_low
off_early3060|r3|g_mp_no_extreme+g_tr_above_ema200+g_rf_with,offset_early3060,g_mp_no_extreme+g_tr_above_ema200+g_rf_with,361,181,65,115,0.7071823204419889,0.6307692307692307,0.6695652173913044,1.486715195506225,-0.9003566112800107,0.3339746181450028,248.9793517401013,38.40708108667532,850.0,429.8426869167864,35,10,1.0592158245231549,8.223106402092466,407.5806451612903,0.25,3.581478778380035,False,dpt_lockbox_low
off_early304560|r3|g_mp_no_extreme+g_tr_above_ema200+g_rf_with,offset_early304560,g_mp_no_extreme+g_tr_above_ema200+g_rf_with,361,181,65,115,0.7071823204419889,0.6307692307692307,0.6695652173913044,1.486715195506225,-0.9003566112800107,0.3339746181450028,248.9793517401013,38.40708108667532,850.0,429.8426869167864,35,10,1.0592158245231549,8.223106402092466,407.5806451612903,0.25,3.581478778380035,False,dpt_lockbox_low
off_early3060|r3|g_mp_skew_with+g_hawkes_imbalance_with+g_tr_above_ema800,offset_early3060,g_mp_skew_with+g_hawkes_imbalance_with+g_tr_above_ema800,1474,793,274,407,0.8486759142496847,0.7007299270072993,0.6781326781326781,5.308987188224962,-1.565967334724476,0.17599122368573614,3852.5802185879834,71.6284280400946,1230.5306999770983,848.1654223391312,19,14,6.277469497977531,0.7481083144424167,1664.1935483870968,0.25,3.550489360843368,False,dpt_lockbox_low
off_early304560|r3|g_mp_skew_with+g_hawkes_imbalance_with+g_tr_above_ema800,offset_early304560,g_mp_skew_with+g_hawkes_imbalance_with+g_tr_above_ema800,1474,793,274,407,0.8486759142496847,0.7007299270072993,0.6781326781326781,5.308987188224962,-1.565967334724476,0.17599122368573614,3852.5802185879834,71.6284280400946,1230.5306999770983,848.1654223391312,19,14,6.277469497977531,0.7481083144424167,1664.1935483870968,0.25,3.550489360843368,False,dpt_lockbox_low
