label_cell,X,Y,Z,side,n_events,indicator,mean,median,std
loose,0.02,12,0.005,bear,2680,brigalS,0.16487310105076577,0.33618164762949354,2.9356038818711574
loose,0.02,12,0.005,bear,2680,oilsr,0.039018946952843615,0.02377143954692701,2.124250221345545
loose,0.02,12,0.005,bear,2680,cross_institutional_lead,0.5203718937095176,-0.004997602851150099,3.2114714660522514
loose,0.02,12,0.005,bear,2680,cross_leverage_heat,3329.627298307535,0.10715038166708835,37012.555326925554
loose,0.02,12,0.005,bear,2680,cross_risk_off,-0.05272346455422709,-0.011856911742689658,0.5919918347909673
loose,0.02,12,0.005,bear,2680,cross_real_money,-6659.9698746813465,-0.4313692549265351,74024.78465199145
medium,0.03,24,0.01,bull,3375,z_lsr,-0.14956072310649043,-0.3181578648905245,1.4727480670704423
medium,0.03,24,0.01,bull,3375,z_fund,0.02894310760907005,0.22360679774997105,0.6552420366562168
medium,0.03,24,0.01,bull,3375,z_oi,0.08483206890429001,0.18147194005414763,1.4212200513172197
medium,0.03,24,0.01,bull,3375,z_oi_silent,0.05614452814171508,-0.4082439753253646,1.169232509773238
medium,0.03,24,0.01,bull,3375,z_cb_premium,0.025342822722685485,0.8803003588440467,1.0082787820998147
medium,0.03,24,0.01,bull,3375,z_dom_stables,0.060694539331494976,0.22360679768604402,0.6378860284350282
medium,0.03,24,0.01,bull,3375,z_top_lsr_count,-0.11973381774453386,-0.30014330427802594,1.4967068486224946
medium,0.03,24,0.01,bull,3375,z_top_lsr_sum,-0.04079676675292001,-0.04375469751805576,1.4054480241316256
medium,0.03,24,0.01,bull,3375,z_taker_ratio,-0.007172582093764166,-0.2017162614554727,0.9825749042113033
medium,0.03,24,0.01,bull,3375,brigalS,-0.3104515096831178,-0.632310391703524,2.9464066386415975
medium,0.03,24,0.01,bull,3375,oilsr,0.23341214279151581,0.24313630910705597,2.180142842798695
medium,0.03,24,0.01,bull,3375,cross_institutional_lead,0.6141057567900986,0.1041390901416146,3.1310880080566954
medium,0.03,24,0.01,bull,3375,cross_leverage_heat,273.4605605442576,0.15300429645880564,3469.3334395632633
medium,0.03,24,0.01,bull,3375,cross_risk_off,-0.0997789815702805,-0.05968539917769933,0.6017694647264373
medium,0.03,24,0.01,bull,3375,cross_real_money,-547.6196270204827,0.504665904121278,6938.34457995125
medium,0.03,24,0.01,bear,3251,z_lsr,0.06103963771159878,0.10279223066816141,1.4630833832345673
medium,0.03,24,0.01,bear,3251,z_fund,0.016105926738124034,0.22360679774982273,0.6494843693062294
medium,0.03,24,0.01,bear,3251,z_oi,0.08560967198402455,0.1953523680809783,1.4405157002169238
medium,0.03,24,0.01,bear,3251,z_oi_silent,0.057106345554448254,-0.40824397539932067,1.1771374852975702
medium,0.03,24,0.01,bear,3251,z_cb_premium,-0.03126506348308057,-0.9031434569881304,1.007207682753963
