asset,tf,setup,cutoff,spread_filter,n_fires,n_eval,fire_rate,hit_rate,pnl_total
BTC,15m,4_15m_late180,0.65,True,861,1651,0.5215021199273168,0.34146341463414637,-6972.0
BTC,15m,4_15m_late180,0.7,False,947,2000,0.4735,0.4941921858500528,-509.0
BTC,15m,4_15m_late180,0.7,True,665,1651,0.402786190187765,0.324812030075188,-5933.0
ETH,15m,4_15m_late180,0.55,False,1696,2000,0.848,0.4811320754716981,-2008.0
ETH,15m,4_15m_late180,0.55,True,1299,1558,0.8337612323491655,0.40030792917628943,-6735.0
ETH,15m,4_15m_late180,0.6,False,1471,2000,0.7355,0.4751869476546567,-2174.5
ETH,15m,4_15m_late180,0.6,True,1093,1558,0.7015404364569962,0.37602927721866425,-6980.5
ETH,15m,4_15m_late180,0.65,False,1255,2000,0.6275,0.4701195219123506,-2170.0
ETH,15m,4_15m_late180,0.65,True,909,1558,0.5834403080872914,0.34983498349834985,-6984.0
ETH,15m,4_15m_late180,0.7,False,1066,2000,0.533,0.48592870544090055,-1009.0
ETH,15m,4_15m_late180,0.7,True,743,1558,0.47689345314505777,0.34589502018842533,-5853.5
SOL,15m,4_15m_late180,0.55,False,1750,2000,0.875,0.3434285714285714,-14000.5
SOL,15m,4_15m_late180,0.55,True,1240,1405,0.8825622775800712,0.3032258064516129,-12388.0
SOL,15m,4_15m_late180,0.6,False,1521,2000,0.7605,0.33859303090072324,-12532.5
SOL,15m,4_15m_late180,0.6,True,1085,1405,0.7722419928825622,0.2912442396313364,-11483.0
SOL,15m,4_15m_late180,0.65,False,1307,2000,0.6535,0.32364192807957154,-11736.5
SOL,15m,4_15m_late180,0.65,True,920,1405,0.6548042704626335,0.2619565217391304,-11070.5
SOL,15m,4_15m_late180,0.7,False,1135,2000,0.5675,0.31718061674008813,-10555.0
SOL,15m,4_15m_late180,0.7,True,789,1405,0.5615658362989324,0.24461343472750316,-10171.5
BTC,5m,5_5m_combined,0.55,False,96,2000,0.048,0.5,-24.0
BTC,5m,5_5m_combined,0.55,True,76,1938,0.0392156862745098,0.47368421052631576,-118.0
BTC,5m,5_5m_combined,0.6,False,63,2000,0.0315,0.4603174603174603,-139.5
BTC,5m,5_5m_combined,0.6,True,53,1938,0.027347781217750257,0.4528301886792453,-137.0
BTC,5m,5_5m_combined,0.65,False,37,2000,0.0185,0.5135135135135135,15.5
BTC,5m,5_5m_combined,0.65,True,31,1938,0.015995872033023734,0.4838709677419355,-32.5
BTC,5m,5_5m_combined,0.7,False,22,2000,0.011,0.5,-5.5
BTC,5m,5_5m_combined,0.7,True,19,1938,0.00980392156862745,0.47368421052631576,-29.5
ETH,5m,5_5m_combined,0.55,False,103,2000,0.0515,0.5339805825242718,147.5
ETH,5m,5_5m_combined,0.55,True,73,1594,0.045796737766624844,0.5616438356164384,204.5
ETH,5m,5_5m_combined,0.6,False,79,2000,0.0395,0.5316455696202531,104.0
ETH,5m,5_5m_combined,0.6,True,57,1594,0.035759096612296114,0.543859649122807,109.5
ETH,5m,5_5m_combined,0.65,False,53,2000,0.0265,0.5471698113207547,110.5
ETH,5m,5_5m_combined,0.65,True,39,1594,0.024466750313676285,0.5384615384615384,64.5
ETH,5m,5_5m_combined,0.7,False,29,2000,0.0145,0.5517241379310345,67.0
ETH,5m,5_5m_combined,0.7,True,23,1594,0.014429109159347553,0.6086956521739131,118.0
SOL,5m,5_5m_combined,0.55,False,49,2000,0.0245,0.5510204081632653,111.5
SOL,5m,5_5m_combined,0.55,True,37,1363,0.02714600146735143,0.5675675675675675,114.5
SOL,5m,5_5m_combined,0.6,False,30,2000,0.015,0.6333333333333333,190.5
SOL,5m,5_5m_combined,0.6,True,24,1363,0.01760821716801174,0.625,142.5
SOL,5m,5_5m_combined,0.65,False,20,2000,0.01,0.65,143.5
SOL,5m,5_5m_combined,0.65,True,18,1363,0.013206162876008804,0.6111111111111112,94.5
SOL,5m,5_5m_combined,0.7,False,9,2000,0.0045,0.6666666666666666,72.0
SOL,5m,5_5m_combined,0.7,True,8,1363,0.00586940572267058,0.625,47.5
