sleeve,coin,variant,gate,entry_ts,exit_ts,window,side,ret_pct,realized,reason,bars,funding_cost,regime
CCI_ETH,ETH,V41,FUND_Z,2025-05-19 12:00:00+00:00,2025-05-29 12:00:00+00:00,IS,LONG,4.396082632352616,1024.0044955190497,TIME,60,49.85875895400102,MedVol
CCI_ETH,ETH,V41,FUND_Z,2025-06-17 00:00:00+00:00,2025-06-28 12:00:00+00:00,IS,SHORT,3.4505312953809866,839.3222856317559,SL,69,-6.863806674161994,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-06-30 12:00:00+00:00,2025-06-30 16:00:00+00:00,IS,SHORT,-3.1550926841371263,-794.0428835531419,SL,1,-3.26388431610812,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-08-30 00:00:00+00:00,2025-09-10 16:00:00+00:00,IS,LONG,-0.6607629042631237,-160.82243301648418,TIME,70,34.077957297131725,MedLowVol
CCI_ETH,ETH,V41,FUND_Z,2025-10-20 12:00:00+00:00,2025-10-26 20:00:00+00:00,IS,SHORT,-3.11469953037228,-754.1971992491391,SL,38,-36.04460913925703,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-10-27 12:00:00+00:00,2025-11-04 16:00:00+00:00,IS,SHORT,23.822035101810965,5597.857686217285,TP,49,-38.72777615454777,LowVol
CCI_ETH,ETH,V41,FUND_Z,2025-12-23 20:00:00+00:00,2026-01-06 04:00:00+00:00,IS,LONG,10.820337441686439,3138.0165991085455,TIME,80,95.4146425524596,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-01-12 00:00:00+00:00,2026-01-13 12:00:00+00:00,IS,SHORT,-3.2265410827942826,-1037.8905089356872,SL,9,-28.16615352659493,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-01-19 00:00:00+00:00,2026-01-25 16:00:00+00:00,IS,SHORT,23.782293728018036,7412.9793159611545,TP,40,-40.77166931550336,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-02-14 16:00:00+00:00,2026-02-25 16:00:00+00:00,IS,SHORT,0.35668073652279436,137.82600982885126,SL,66,-58.14154887229099,LowVol
CCI_ETH,ETH,V41,FUND_Z,2026-03-03 00:00:00+00:00,2026-03-04 12:00:00+00:00,IS,SHORT,-3.0707871994493177,-1190.9940604426777,SL,9,-5.541593435731683,MedLowVol
