family,coin,entry_ts,window,ret_pct,realized,reason
STF,BTC,2021-05-29 16:00:00+00:00,LONG_OOS,-3.0390029033445463,-987.6635781467605,SL
STF,BTC,2021-06-05 12:00:00+00:00,LONG_OOS,-2.8123990616408268,-886.2412104205354,SL
STF,BTC,2021-06-18 16:00:00+00:00,LONG_OOS,2.724062422149861,834.2628670518636,TIME
STF,BTC,2021-07-01 20:00:00+00:00,LONG_OOS,-3.0630921239758853,-963.6472870194978,SL
STF,BTC,2021-08-05 20:00:00+00:00,LONG_OOS,8.726359564603861,2661.217132237556,TIME
STF,BTC,2021-08-20 16:00:00+00:00,LONG_OOS,-3.084465768632141,-1022.7323859696379,SL
STF,BTC,2021-09-02 04:00:00+00:00,LONG_OOS,-1.9770342139700205,-635.3157661257651,SL
STF,BTC,2021-09-15 12:00:00+00:00,LONG_OOS,-3.0941709147546033,-974.647528161651,SL
STF,BTC,2021-12-03 20:00:00+00:00,LONG_OOS,3.1527754267244164,962.3791927511267,SL
STF,BTC,2021-12-28 08:00:00+00:00,LONG_OOS,14.902749682672845,4692.459275388333,TP
STF,BTC,2022-01-19 08:00:00+00:00,LONG_OOS,-3.1142436976750374,-1126.7229003614011,SL
STF,BTC,2022-02-15 12:00:00+00:00,LONG_OOS,-3.098432344290934,-1086.0916590862741,SL
STF,BTC,2022-03-04 16:00:00+00:00,LONG_OOS,2.615529782443827,888.4130585734557,TIME
STF,BTC,2022-03-16 12:00:00+00:00,LONG_OOS,5.755800688370829,2006.1994285107028,TIME
STF,BTC,2022-04-22 00:00:00+00:00,LONG_OOS,3.596766163646023,1325.8205835724364,TIME
STF,BTC,2022-05-05 16:00:00+00:00,LONG_OOS,14.919483023996932,5697.345104764199,TP
STF,BTC,2022-06-01 20:00:00+00:00,LONG_OOS,-3.0949709311988274,-1358.2164624152651,SL
STF,BTC,2022-06-07 04:00:00+00:00,LONG_OOS,-3.0958021132779363,-1316.533529627658,SL
STF,BTC,2022-06-28 20:00:00+00:00,LONG_OOS,-2.38020516939804,-980.8796332284005,SL
STF,BTC,2022-07-11 08:00:00+00:00,LONG_OOS,-3.0899271424876,-1243.0467225105974,SL
STF,BTC,2022-07-26 00:00:00+00:00,LONG_OOS,-3.0773715032328743,-1199.7425490592545,SL
STF,BTC,2022-08-04 20:00:00+00:00,LONG_OOS,-3.094293558492182,-1169.2162168317725,SL
STF,BTC,2022-08-08 08:00:00+00:00,LONG_OOS,-3.133289197878012,-1147.3162650295305,SL
STF,BTC,2022-08-10 16:00:00+00:00,LONG_OOS,-3.111131229094208,-1103.5081686833262,SL
STF,BTC,2022-09-27 20:00:00+00:00,LONG_OOS,-3.080334197315985,-1058.5928217861383,SL
STF,BTC,2022-10-04 08:00:00+00:00,LONG_OOS,-3.120935132627374,-1039.5078120930839,SL
STF,BTC,2022-10-09 04:00:00+00:00,LONG_OOS,-2.2145146627084324,-714.5810807331317,SL
STF,BTC,2022-10-20 04:00:00+00:00,LONG_OOS,-3.1656517242989777,-998.8734791500291,SL
STF,BTC,2022-11-28 16:00:00+00:00,LONG_OOS,-3.1768813551471875,-970.6837938465054,SL
STF,BTC,2022-12-07 08:00:00+00:00,LONG_OOS,-3.188168865455273,-943.1856104066205,SL
STF,BTC,2022-12-12 04:00:00+00:00,LONG_OOS,-3.2792995483245386,-939.2157653719198,SL
STF,BTC,2022-12-13 12:00:00+00:00,LONG_OOS,-2.5409524459197064,-703.8826412144272,SL
STF,BTC,2023-02-02 00:00:00+00:00,LONG_OOS,-3.1271829087683027,-844.2657365890177,SL
STF,BTC,2023-02-15 12:00:00+00:00,LONG_OOS,14.830462120408484,3878.6669876949422,TP
STF,BTC,2023-04-18 12:00:00+00:00,LONG_OOS,-3.1662289910606933,-950.8833513451384,SL
STF,BTC,2023-04-26 12:00:00+00:00,LONG_OOS,-3.1258727644613966,-909.0401470528689,SL
STF,BTC,2023-05-05 16:00:00+00:00,LONG_OOS,-3.1255669721656747,-880.5385604975585,SL
STF,BTC,2023-05-08 04:00:00+00:00,LONG_OOS,2.9545055738350596,806.3313727257611,TIME
STF,BTC,2023-05-24 16:00:00+00:00,LONG_OOS,-3.1747617246317694,-892.0418650989308,SL
STF,BTC,2023-05-31 08:00:00+00:00,LONG_OOS,0.48425664845807187,131.7462516018534,SL
STF,BTC,2023-06-10 08:00:00+00:00,LONG_OOS,-3.136306335124163,-857.3915027776633,SL
STF,BTC,2023-07-10 20:00:00+00:00,LONG_OOS,-3.2111959184874945,-850.3320114313784,SL
STF,BTC,2023-08-02 00:00:00+00:00,LONG_OOS,-3.2144286302498943,-823.8547252597755,SL
STF,BTC,2023-08-07 16:00:00+00:00,LONG_OOS,-3.315858579065338,-822.5332583935033,SL
STF,BTC,2023-08-08 12:00:00+00:00,LONG_OOS,-0.5103648885219928,-122.40340559181499,SL
STF,BTC,2023-08-15 20:00:00+00:00,LONG_OOS,13.756762029414718,3282.515423111178,SL
STF,BTC,2023-09-11 12:00:00+00:00,LONG_OOS,-3.256328894948748,-883.8855527650662,SL
