market,rank,sleeve_id,gates,anchor,dir,n_tr,n_v,n_lb,n_full,WR_tr,WR_v,WR_lb,WR_full,WL_lb,dpt_tr,dpt_v,dpt_lb,dpt_full,DD_lb,LS_lb,Sharpe,bs_p,sum_28d
SOL 5m,1,SOL5_V6_S1,g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_partial_stack_with|g_vwap_in_45_85,"{30: 8, 60: 21, 90: 24, 120: 18, 150: 5, 180: 5, 210: 4, 240: 2}",BOTH,61,38,87,87,80.3%,78.9%,83.9%,83.9%,73/14,$+3.10,$+2.78,$+4.62,$+4.62,$92,3,28.6,0.0010,402
SOL 5m,2,SOL5_V6_S2,g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,"{30: 11, 60: 15, 90: 16, 120: 11, 150: 5, 180: 3, 210: 4, 240: 2}",BOTH,23,12,67,67,78.3%,66.7%,82.1%,82.1%,55/12,$+3.80,$-2.58,$+5.11,$+5.11,$76,3,15.7,0.0050,342
SOL 5m,3,SOL5_V6_S3,g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,"{30: 7, 60: 9, 90: 16, 120: 11, 150: 4, 180: 2, 210: 4, 240: 2}",BOTH,20,9,55,55,80.0%,66.7%,83.6%,83.6%,46/9,$+4.93,$-2.46,$+5.62,$+5.62,$51,2,24.6,0.0060,309
SOL 5m,4,SOL5_V6_S4,g_f7_rsi_with|g_mp_no_extreme_150|g_tr_above_ema200|g_vwap_in_55_80,"{30: 9, 60: 23, 90: 27, 120: 19, 150: 6, 180: 3, 210: 6, 240: 2}",BOTH,64,32,95,95,76.6%,78.1%,82.1%,82.1%,78/17,$+2.87,$+2.65,$+4.23,$+4.23,$96,3,13.2,0.0010,402
SOL 5m,5,SOL5_V6_S5,g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_55_80,"{30: 7, 60: 20, 90: 22, 120: 14, 150: 7, 180: 2, 210: 4, 240: 2}",BOTH,41,27,78,78,75.6%,77.8%,83.3%,83.3%,65/13,$+2.03,$+2.40,$+4.66,$+4.66,$64,2,14.9,0.0040,363
BTC 15m,1,btc15m_v6_off840_BOTH_01,g_tr_above_ema800+g_ribbon_slope_with+g_hawkes_imb_loose_with,offset_840s,BOTH,74,22,21,21,63.5%,59.1%,66.7%,66.7%,14/7,NA,NA,$+16.28,$+16.28,$94,3,15.6,0.0410,2392
BTC 15m,2,btc15m_v6_off600_DOWN_02,g_rf_in_band+g_tr_above_ema800,offset_600s,DOWN,101,30,16,16,61.4%,63.3%,93.8%,93.8%,15/1,NA,NA,$+17.25,$+17.25,$25,1,15.2,0.0010,1932
BTC 15m,3,btc15m_v6_off600_DOWN_03,g_tr_above_ema200+g_mp_skew_strong_with+g_rf_with,offset_600s,DOWN,202,71,34,34,63.4%,62.0%,85.3%,85.3%,29/5,NA,NA,$+11.81,$+11.81,$72,2,22.9,0.0010,2810
BTC 15m,4,btc15m_v6_off840_BOTH_04,g_mp_skew_strong_with+g_ribbon_slope_with+g_hawkes_imbalance_with,offset_840s,BOTH,37,18,21,21,64.9%,66.7%,71.4%,71.4%,15/6,NA,NA,$+12.78,$+12.78,$71,2,16.4,0.0020,1878
BTC 15m,5,btc15m_v6_off600_BOTH_05,g_vwap_premium+g_tr_above_ema50+g_mp_skew_with,offset_600s,BOTH,195,74,44,44,69.2%,68.9%,81.8%,81.8%,36/8,NA,NA,$+6.77,$+6.77,$50,2,37.0,0.0010,2086
ETH 15m,1,V6_S1_VWAP_3070,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_entry_vwap_in_30_70,offset_early (60s),BOTH,51,13,26,26,70.6%,69.2%,84.6%,84.6%,22/4,NA,NA,$+10.72,$+10.72,$100,4,10.4,0.0000,279
ETH 15m,2,V6_S1_PW_TREND_SLOPE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with,offset_early (60s) + ws_s gates,BOTH,38,7,18,18,79.0%,57.1%,94.4%,94.4%,17/1,NA,NA,$+11.27,$+11.27,$61,2,10.8,0.0000,203
ETH 15m,3,V6_S1_DOWN_ONLY,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_dir_down,offset_early (60s),BOTH,20,6,17,17,80.0%,66.7%,88.2%,88.2%,15/2,NA,NA,$+10.37,$+10.37,$50,2,11.8,0.0000,176
ETH 15m,4,V6_S5_PW_TREND_SLOPE,g_tr_stack_full_with&g_offset_early&g_above_1h_dailyvwap_with&g_pw_trend_slope_with,offset_early (60s) + ws_s gates,BOTH,125,40,41,41,67.2%,60.0%,78.0%,78.0%,32/9,NA,NA,$+6.11,$+6.11,$173,4,8.4,0.0340,251
ETH 15m,5,V5_S3_REPL,g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with,offset_early (60s),BOTH,95,24,22,22,64.2%,50.0%,72.7%,72.7%,16/6,NA,NA,$+4.97,$+4.97,$190,3,5.5,0.0610,109
SOL 15m,1,C1a_HOD_EU_OFF60-240_VWAP_lt80,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,offset_60_240s (early to mid 15m window),BOTH,183,53,49,285,68.9%,71.7%,71.4%,69.8%,35/14,$+2.89,$+2.57,$+4.12,$+3.04,$100,4,0.7,NA,202
SOL 15m,2,C1b_HOD_EU_OFF60-240_VWAP_30_70,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,offset_60_240s (early to mid 15m window),BOTH,149,39,38,226,69.1%,66.7%,65.8%,68.1%,25/13,$+4.16,$+2.30,$+3.82,$+3.78,$100,4,0.6,NA,145
SOL 15m,3,C2_HOD_EU_OFF60_TR_ADR_VWAP_30_70,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,offset_60 EARLY FIRE (matches production),BOTH,43,17,13,73,72.1%,76.5%,61.5%,71.2%,8/5,$+5.51,$+5.48,$+2.93,$+5.04,$50,2,0.2,NA,38
SOL 15m,4,C3_HOD_EU_TIGHTRIB_VWAP_lt80,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,all offsets (g_off filter not applied; primarily 60-840s window),BOTH,276,75,72,423,69.2%,65.3%,68.1%,68.3%,49/23,$+4.42,$+0.87,$+2.11,$+3.40,$125,5,0.5,NA,152
SOL 15m,5,C6_TR_RF_RIBSLP_VWAP_lt55,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,"all offsets (broad-window, ribbon-aligned underdog fires)",BOTH,288,86,93,467,49.3%,53.5%,57.0%,51.6%,53/40,$+3.11,$+1.36,$+5.51,$+3.26,$176,7,1.0,NA,512
