rule,asset,tf,fire_offset_s,n,wr,dpt,sum_pnl
MP-A,ALL,ALL,15,5307,0.4987752025626531,-1.2632897787662813,-6704.278855912655
MP-A,ALL,ALL,75,5561,0.51699334652041,-1.2635473075300623,-7026.586577174676
MP-A,ALL,5m,75,5561,0.51699334652041,-1.2635473075300623,-7026.586577174676
MP-A,ETH,5m,15,1713,0.5014594279042616,-1.2700900578592806,-2175.6642691129477
MP-A,ETH,ALL,15,1713,0.5014594279042616,-1.2700900578592806,-2175.6642691129477
MP-B,ALL,5m,15,5305,0.49858623939679547,-1.272902784569461,-6752.749272140991
MP-B,ALL,ALL,15,5305,0.49858623939679547,-1.272902784569461,-6752.749272140991
MP-B,BTC,5m,180,7066,0.5175488253608831,-1.2730312897717448,-8995.239093527149
MP-A,BTC,5m,180,7074,0.5175289793610405,-1.2734333687618213,-9008.267650621125
MP-B,ALL,5m,75,5559,0.5168195718654435,-1.2735645717551785,-7079.745454387037
MP-B,ALL,ALL,75,5559,0.5168195718654435,-1.2735645717551785,-7079.745454387037
MP-C,ALL,ALL,120,22091,0.5270472137974741,-1.2953001066485301,-28614.47465597268
MP-B,BTC,ALL,150,7217,0.5219620340861854,-1.2976401274141989,-9365.068799548273
MP-B,BTC,5m,150,7217,0.5219620340861854,-1.2976401274141989,-9365.068799548273
MP-C,ALL,ALL,15,4793,0.4984352180262883,-1.2995331023836587,-6228.662159724876
MP-C,ALL,5m,15,4793,0.4984352180262883,-1.2995331023836587,-6228.662159724876
MP-B,ETH,ALL,15,1711,0.5008766803039159,-1.2999033812631697,-2224.1346853412833
MP-B,ETH,5m,15,1711,0.5008766803039159,-1.2999033812631697,-2224.1346853412833
MP-A,BTC,5m,150,7225,0.5216608996539792,-1.300131577930704,-9393.450650549337
MP-A,BTC,ALL,150,7225,0.5216608996539792,-1.300131577930704,-9393.450650549337
MP-D,BTC,5m,15,106,0.49056603773584906,-1.302173953964022,-138.03043912018634
MP-D,BTC,ALL,15,106,0.49056603773584906,-1.302173953964022,-138.03043912018634
MP-D,ETH,ALL,30,1199,0.47956630525437866,-1.3042228383401129,-1563.7631831697954
MP-D,ETH,5m,30,1199,0.47956630525437866,-1.3042228383401129,-1563.7631831697954
MP-C,ETH,15m,120,1980,0.5025252525252525,-1.3115741209009317,-2596.9167593838447
MP-B,BTC,15m,660,603,0.5406301824212272,-1.3125099191064047,-791.4434812211621
MP-B,BTC,ALL,660,603,0.5406301824212272,-1.3125099191064047,-791.4434812211621
MP-A,BTC,ALL,660,603,0.5406301824212272,-1.3125099191064047,-791.4434812211621
MP-A,BTC,15m,660,603,0.5406301824212272,-1.3125099191064047,-791.4434812211621
