g,n,wr,dpt
g_rsi_extreme_with,1176,0.4481292517006803,-4.394966852703757
g_hurst_mid_trending,1077,0.44753946146703805,-8.535948456368018
g_hl_high_activity_dir_dn,3425,0.4472992700729927,-5.2404814325669475
g_f7_v7_against,14516,0.4460595205290714,-5.839715706158568
g_hurst_trending,1086,0.44567219152854515,-8.592440298140557
g_vol_expanding,665,0.4345864661654135,-9.716157822273479
g_btc_trend_strong_with,2255,0.43325942350332597,-7.567999768765813
g_hl_short_dominant,982,0.42973523421588594,-7.590806892774132
g_rsi_overbought_with,2714,0.42225497420781133,-6.674942887921992
g_ev_in_30_60,19021,0.41885284685347773,-2.664553673593413
g_hl_long_cascade_with_15m,5371,0.4112828151182275,-6.751786835603618
g_offset_late,6447,0.4045292384054599,-10.803181639863945
g_vwap_in_25_60,21473,0.3955199552926931,-3.023133341769416
g_sms_choch_with,478,0.3891213389121339,-2.8832646016279098
g_hl_long_cascade_with,4178,0.3700335088559119,-6.951096500389763
g_sms_bos_with,792,0.36742424242424243,-8.573356699015587
g_ev_le_70,41683,0.31684379723148526,-6.45304597060144
g_ev_in_20_50,16714,0.31183439033145866,-3.995092063575184
g_mp_wt_skew_with,28828,0.2808727625919245,-6.909332674520177
g_bet_imb_strong,2653,0.27478326422917454,-9.695685636398414
g_bet_imb_dominant,2652,0.27450980392156865,-9.709349796822218
g_ev_le_60,35789,0.2637961384783034,-7.422248720274395
g_ev_le_50,28566,0.20048309178743962,-8.855622833587535
g_underdog,28566,0.20048309178743962,-8.855622833587535
g_ev_le_40,22211,0.13903021025617937,-10.710105604750515
g_strong_underdog,22211,0.13903021025617937,-10.710105604750515
g_ev_le_30,16768,0.08790553435114504,-12.819202291536264
