source,strategy_id,hypothesis,asset,tf,n_trades,win_rate,dpt_usd,sharpe,max_dd_usd,p_value,perm_p,boot_lo,gates_passed,n_gates_total,notes,n_gates_passed,rank_score
,N5.2_sweep_nan_to_SOL,N5,SOL,,3.0,0.6666666666666666,9.282484309611672,10.90697161722528,,0.3561392292520777,,,"G_pos_sharpe,G_pos_pnl",4,UP/1.0,2,10.15697161722528
,ETH_1m_liq_long_250k_60m_reversion,N1,ETH,1m,9.0,0.7778,6.498,10.949,-1.22,0.17969,,,G2,4,liq_long_>=$250k_60m_reversion,1,10.074
,ETH_1m_liq_long_100k_60m_reversion,N1,ETH,1m,9.0,0.7778,6.498,10.949,-1.22,0.17969,,,G2,4,liq_long_>=$100k_60m_reversion,1,10.074
,N5.2_sweep_nan_to_SOL,N5,SOL,,10.0,0.8,5.986518475243239,10.441500330498902,,0.0672655419168486,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.5,2,9.691500330498902
,N5.2_sweep_nan_to_SOL,N5,SOL,,10.0,0.6,6.609787918664987,9.842422897504488,,0.0815581586462987,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.5,2,9.092422897504488
,ETH_1m_cascade_30m_reversion,N1,ETH,1m,15.0,0.6667,5.9977,9.537,-6.27,0.30176,,,G2,4,cascade_5+_60s_30m_reversion,1,8.662
,ETH_1m_liq_long_500k_60m_reversion,N1,ETH,1m,8.0,0.75,4.5796,8.9,-1.22,0.28906,,,G2,4,liq_long_>=$500k_60m_reversion,1,8.025
,N5.2_sweep_nan_to_ETH,N5,ETH,,7.0,0.7142857142857143,2.6074093208087445,8.76436267519886,,0.1943921947829374,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.5,2,8.01436267519886
,BTC_1m_liq_long_250k_30m_reversion,N1,BTC,1m,6.0,0.6667,2.0873,8.754,-0.45,0.6875,,,G2,4,liq_long_>=$250k_30m_reversion,1,7.879
,BTC_1m_liq_long_500k_30m_reversion,N1,BTC,1m,5.0,0.6,2.2633,8.712,-0.45,1.0,,,G2,4,liq_long_>=$500k_30m_reversion,1,7.837
,ETH_1m_liq_long_1000k_60m_reversion,N1,ETH,1m,7.0,0.7143,4.5402,8.254,-1.22,0.45312,,,G2,4,liq_long_>=$1000k_60m_reversion,1,7.379
,N5.2_sweep_nan_to_ETH,N5,ETH,,27.0,0.5185185185185185,1.5735699744595029,6.899447972263113,,0.0325411380096054,,,"G_pos_sharpe,G_pos_pnl,G1",4,UP/0.3,3,7.274447972263113
,N5.2_sweep_nan_to_SOL,N5,SOL,,3.0,0.3333333333333333,4.1979067674959145,7.400415705137398,,0.504171468237474,,,"G_pos_sharpe,G_pos_pnl",4,UP/1.0,2,6.650415705137398
,BTC_1m_cascade_60m_reversion,N1,BTC,1m,12.0,0.6667,4.5953,7.365,-20.3,0.3877,,,G2,4,cascade_5+_60s_60m_reversion,1,6.49
,SOL_1m_cascade_60m_reversion,N1,SOL,1m,15.0,0.8,4.5407,7.179,-34.07,0.03516,0.33,,"G1,G2",4,cascade_5+_60s_60m_reversion,2,6.429
,N5.6_xasset_nan_to_DOGEUSDT,N5,DOGEUSDT,,2.0,0.5,6.473414915143675,7.1772227466355,,0.6378360029820296,,,"G_pos_sharpe,G_pos_pnl",4,UP/1.0,2,6.4272227466355
,SOL_1m_cascade_30m_reversion,N1,SOL,1m,15.0,0.8,7.137,7.0,-52.69,0.03516,0.24,,"G1,G2",4,cascade_5+_60s_30m_reversion,2,6.25
,N2-B|BTC|h24h|z2.0|reg-ranging,N2-B,BTC,24h_hold,25.0,0.56,2.2788624718234773,5.447432015266332,,0.6900379657745361,0.0509490509490509,-0.0487644785594348,"G2,G3",5,OK,2,5.647432015266332
,N2-A|SOL|h72h|z1.5,N2-A,SOL,72h_hold,27.0,0.5185185185185185,3.81849228617024,5.417045390119403,,1.0,0.0619380619380619,-0.0263855322612431,"G2,G3",5,OK,2,5.6170453901194035
,ETH_1m_liq_long_100k_30m_reversion,N1,ETH,1m,9.0,0.5556,4.3572,6.449,-4.78,1.0,,,G2,4,liq_long_>=$100k_30m_reversion,1,5.574
,ETH_1m_liq_long_250k_30m_reversion,N1,ETH,1m,9.0,0.5556,4.3572,6.449,-4.78,1.0,,,G2,4,liq_long_>=$250k_30m_reversion,1,5.574
,BTC_1h_bos_AND_liq_hold5,N_sms_port,BTC,1h,7.0,0.7142857142857143,1.6303193274512762,6.3702163457471,-4.404833539111383,0.453125,,-0.9272120240836788,G2,4,,1,5.4952163457471
,BTC_1m_liq_long_100k_15m_reversion,N1,BTC,1m,8.0,0.75,1.6054,5.976,-8.02,0.28906,,,G2,4,liq_long_>=$100k_15m_reversion,1,5.101
,N5.2_sweep_nan_to_SOL,N5,SOL,,7.0,0.5714285714285714,1.4155581377445674,5.821866605522613,,0.3693645953385842,,,"G_pos_sharpe,G_pos_pnl",4,DOWN/0.5,2,5.071866605522613
,SOL_1m_liq_long_500k_15m_reversion,N1,SOL,1m,6.0,0.8333,4.3816,5.629,-18.8,0.21875,,,G2,4,liq_long_>=$500k_15m_reversion,1,4.754
,N3|ETH|h24h|z1.5,N3,ETH,24h_hold,216.0,0.5925925925925926,2.146717804533137,3.7918588974414833,,0.00781708350411,0.0009990009990009,0.1114556184759684,"G1,G2,G3,G4,G6",5,OK,5,4.591858897441483
,BTC_1m_cascade_30m_reversion,N1,BTC,1m,12.0,0.5,3.3493,5.416,-19.16,1.0,,,G2,4,cascade_5+_60s_30m_reversion,1,4.541
,N5.2_sweep_nan_to_SOL,N5,SOL,,26.0,0.5384615384615384,2.247255898450614,4.223339387898742,,0.18704262988004,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.3,2,4.473339387898742
,N5.6_xasset_nan_to_LINKUSDT,N5,LINKUSDT,,3.0,0.3333333333333333,1.371984463796183,5.215098619337111,,0.6267277762514878,,,"G_pos_sharpe,G_pos_pnl",4,UP/1.0,2,4.465098619337111
,SOL_4h_pure_sms_signal_flip,N_sms_port,SOL,4h,105.0,0.6952380952380952,4.238028113293831,3.749527153907037,-79.6798920808996,7.808423662658282e-05,,1.2178375193104685,"G1,G2,G6",4,,3,4.424527153907037
,ETH_4h_sms_markov_sized_hold3,N_sms_port,ETH,4h,24.0,0.5833333333333334,2.2315396446787505,4.294371173816683,-15.715520131571989,0.5412561893463135,,-0.6098541806642735,G2,4,,1,4.419371173816683
,N3|SOL|h72h|z2.0,N3,SOL,72h_hold,132.0,0.5303030303030303,2.386106816775267,3.4994875558946927,,0.5425074179193993,0.0089910089910089,0.0533523817868961,"G2,G3,G4,G6",5,OK,4,4.1994875558946925
,N3|SOL|h24h|z2.0,N3,SOL,24h_hold,126.0,0.5158730158730159,1.7036411916532233,3.44539956593866,,0.7893959446881438,0.0079920079920079,0.0517231280978129,"G2,G3,G4,G6",5,OK,4,4.14539956593866
,ETH_1m_cascade_15m_reversion,N1,ETH,1m,15.0,0.6,2.6509,4.975,-20.02,0.60724,,,G2,4,cascade_5+_60s_15m_reversion,1,4.1
,N3|BTC|h24h|z2.0,N3,BTC,24h_hold,100.0,0.61,1.5282013438321314,3.232352317069405,,0.0352002002177048,0.0189810189810189,0.0082796034000319,"G1,G2,G3,G4,G6",5,OK,5,4.032352317069405
,N5.2_sweep_nan_to_SOL,N5,SOL,,3.0,0.3333333333333333,1.7517833477088811,4.6731091553412965,,0.6608323606281123,,,"G_pos_sharpe,G_pos_pnl",4,DOWN/1.0,2,3.9231091553412965
,N5.2_sweep_nan_to_ETH,N5,ETH,,27.0,0.4444444444444444,1.5589196845909,3.557984828468342,,0.25474633000926,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.3,2,3.807984828468342
,ETH_1h_markov_gate,N9_cyclops_N4_markov_sizing,ETH,1h,55.0,0.5818181818181818,1.810860052377904,3.2709906272021763,-49.70286889292248,,,,n/a,0,lev=2.0,0,3.570990627202176
,ETH_1h_baseline_lev2,N9_cyclops_N4_markov_sizing,ETH,1h,55.0,0.5818181818181818,1.810860052377904,3.2709906272021763,-49.70286889292248,,,,n/a,0,lev=2.0,0,3.570990627202176
,N2-cross_to_neg|HYPE|h72h|z2.0,N2-cross_to_neg,HYPE,72h_hold,151.0,0.5761589403973509,3.096223207839904,2.8707854739419294,,0.073049159441618,0.0099900099900099,0.0254918651263197,"G2,G3,G4,G6",5,OK,4,3.570785473941929
,ETH_1h_markov_sized,N9_cyclops_N4_markov_sizing,ETH,1h,55.0,0.5818181818181818,1.748273501009969,3.1666344010753744,-49.70286889292248,,,,n/a,0,lev=1.981818181818182,0,3.4666344010753742
,N3|SOL|h72h|z1.5,N3,SOL,72h_hold,286.0,0.527972027972028,1.9842567926536512,2.715927777975962,,0.3751261635781248,0.0019980019980019,0.0553369423027583,"G2,G3,G4,G6",5,OK,4,3.415927777975962
,SOL_1m_liq_long_500k_5m_reversion,N1,SOL,1m,6.0,0.6667,2.3218,4.272,-16.18,0.6875,,,G2,4,liq_long_>=$500k_5m_reversion,1,3.3970000000000002
,N2-B|BTC|h24h|z1.5,N2-B,BTC,24h_hold,64.0,0.546875,1.069606688156197,2.831084892213113,,0.5323087760278422,0.0979020979020979,-0.061185461284858,"G2,G3",5,OK,2,3.331084892213113
,N2-C_neg|BTC|h72h|z2.0,N2-C_neg,BTC,72h_hold,38.0,0.4473684210526316,2.5743262232595505,3.1182419144920117,,0.6271025701571489,0.1158841158841158,-0.1402682557152769,"G2,G3",5,OK,2,3.318241914492012
,N2-B|SOL|h8h|z1.5,N2-B,SOL,8h_hold,33.0,0.4848484848484848,1.064378062613106,3.09381166823006,,1.0,0.1578421578421578,-0.1687908081382422,"G2,G3",5,OK,2,3.29381166823006
,N2-B|HYPE|h72h|z1.5,N2-B,HYPE,72h_hold,116.0,0.5431034482758621,2.920627184732121,2.629076151103907,,0.4034696996553114,0.0479520479520479,-0.0165407851850327,"G2,G3,G4",5,OK,3,3.2290761511039068
,N3|ETH|h24h|z1.0,N3,ETH,24h_hold,507.0,0.5502958579881657,1.3540183882521053,2.3910668584497787,,0.0262821470430645,0.0009990009990009,0.0650725296828892,"G1,G2,G3,G4,G6",5,OK,5,3.1910668584497786
,N3|ETH|h24h|z2.0,N3,ETH,24h_hold,87.0,0.5632183908045977,1.5610058704777507,2.786152916311713,,0.2836071084054854,0.0679320679320679,-0.0366345416809368,G2,5,OK,1,3.186152916311713
,N5.2_sweep_nan_to_ETH,N5,ETH,,27.0,0.4444444444444444,0.6651793079212596,2.903241918538533,,0.350706078428638,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.3,2,3.153241918538533
,BTC_4h_pure_sms_signal_flip,N_sms_port,BTC,4h,103.0,0.6796116504854369,1.6807423378896988,2.5897453931077727,-64.06932008538973,0.0003409978012869,,-0.0477706227362544,"G1,G2",4,,2,3.1397453931077726
,N2-B|HYPE|h24h|z2.0|reg-trending_up,N2-B,HYPE,24h_hold,24.0,0.5,1.26175950518255,2.906737574188297,,1.0,0.2117882117882117,-0.2575706406473323,"G2,G3",5,OK,2,3.106737574188297
,ETH_1m_liq_long_250k_15m_reversion,N1,ETH,1m,9.0,0.5556,1.7896,3.662,-13.46,1.0,,,G2,4,liq_long_>=$250k_15m_reversion,1,2.787
,ETH_1m_liq_long_100k_15m_reversion,N1,ETH,1m,9.0,0.5556,1.7896,3.662,-13.46,1.0,,,G2,4,liq_long_>=$100k_15m_reversion,1,2.787
,SOL_1m_liq_long_100k_15m_reversion,N1,SOL,1m,8.0,0.75,2.45,3.615,-18.8,0.28906,,,G2,4,liq_long_>=$100k_15m_reversion,1,2.74
,N2-B|HYPE|h72h|z2.0,N2-B,HYPE,72h_hold,90.0,0.5444444444444444,2.623824397927232,2.330013693770393,,0.4607924727189711,0.0839160839160839,-0.05845999430857,G2,5,OK,1,2.7300136937703927
,N3|BTC|h24h|z1.0,N3,BTC,24h_hold,532.0,0.5225563909774437,0.8918809830964066,1.9072637491343107,,0.3186794758978251,0.0029970029970029,0.036562944443925,"G2,G3,G4,G6",5,OK,4,2.6072637491343107
,N5.2_sweep_nan_to_ETH,N5,ETH,,2.0,0.5,1.4138085534703226,3.354978495316173,,0.815104122556503,,,"G_pos_sharpe,G_pos_pnl",4,DOWN/1.0,2,2.604978495316173
,N3|SOL|h24h|z1.5,N3,SOL,24h_hold,263.0,0.4904942965779467,1.1107395038848005,1.9811161592885305,,0.805235806479569,0.0159840159840159,0.0058439875616551,"G2,G4,G6",5,OK,3,2.58111615928853
,SOL_1h_markov_gate,N9_cyclops_N4_markov_sizing,SOL,1h,41.0,0.4634146341463415,1.5496700346323236,2.5533386172979267,-39.75415447472615,,,,n/a,0,lev=2.0,0,2.5533386172979267
,SOL_1h_baseline_lev2,N9_cyclops_N4_markov_sizing,SOL,1h,41.0,0.4634146341463415,1.5496700346323236,2.5533386172979267,-39.75415447472615,,,,n/a,0,lev=2.0,0,2.5533386172979267
,SOL_1h_markov_sized,N9_cyclops_N4_markov_sizing,SOL,1h,41.0,0.4634146341463415,1.5496700346323236,2.5533386172979267,-39.75415447472615,,,,n/a,0,lev=2.0,0,2.5533386172979267
,SOL_1m_cascade_15m_reversion,N1,SOL,1m,15.0,0.6667,2.3594,3.371,-35.88,0.30176,,,G2,4,cascade_5+_60s_15m_reversion,1,2.496
,SOL_1m_liq_long_250k_15m_reversion,N1,SOL,1m,7.0,0.7143,2.4422,3.371,-18.8,0.45312,,,G2,4,liq_long_>=$250k_15m_reversion,1,2.496
,N2-cross_to_neg|ETH|h24h|z2.0,N2-cross_to_neg,ETH,24h_hold,170.0,0.5529411764705883,1.024386730812911,1.984909010947632,,0.192136465433977,0.0539460539460539,-0.0219725975400063,"G2,G3",5,OK,2,2.4849090109476317
,N5.2_sweep_nan_to_ETH,N5,ETH,,27.0,0.4444444444444444,0.4002175168720092,2.2184401066742354,,0.4742305904164232,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.3,2,2.4684401066742354
,N5.2_sweep_nan_to_SOL,N5,SOL,,3.0,0.3333333333333333,2.909382878007954,3.207289887489353,,0.7597968317178019,,,"G_pos_sharpe,G_pos_pnl",4,UP/1.0,2,2.457289887489353
,N3|SOL|h24h|z1.0,N3,SOL,24h_hold,621.0,0.5120772946859904,1.078737957839263,1.8230422471936023,,0.5742871291632315,0.0039960039960039,0.0377217482568019,"G2,G4,G6",5,OK,3,2.423042247193602
,N2-B|HYPE|h24h|z2.0,N2-B,HYPE,24h_hold,90.0,0.5,1.2772064804227885,1.883396002378302,,1.0,0.1338661338661338,-0.0920676040759762,"G2,G3",5,OK,2,2.383396002378302
,N2-B|BTC|h72h|z1.5,N2-B,BTC,72h_hold,65.0,0.5846153846153846,1.4143763132261402,1.8490389730517085,,0.2145391940081784,0.1728271728271728,-0.1189257062444426,"G2,G3",5,OK,2,2.3490389730517083
,N2-B|SOL|h24h|z1.5,N2-B,SOL,24h_hold,33.0,0.5151515151515151,1.5844160059873929,2.129914678250884,,1.0,0.2487512487512487,-0.2502756380700298,"G2,G3",5,OK,2,2.3299146782508844
,N2-B|HYPE|h24h|z1.5,N2-B,HYPE,24h_hold,116.0,0.4913793103448275,1.2214402929478874,1.820627222340758,,0.9260777633148564,0.1208791208791208,-0.0679195357557227,"G2,G3",5,OK,2,2.320627222340758
,N2-cross_to_neg|HYPE|h24h|z2.0,N2-cross_to_neg,HYPE,24h_hold,151.0,0.4768211920529801,1.1683960747516358,1.7944996858614828,,0.6255036238897119,0.0779220779220779,-0.0488513533093972,"G2,G3",5,OK,2,2.294499685861483
,ETH_1m_liq_long_500k_30m_reversion,N1,ETH,1m,8.0,0.5,1.3542,3.095,-4.78,1.0,,,G2,4,liq_long_>=$500k_30m_reversion,1,2.22
,N5.2_sweep_nan_to_ETH,N5,ETH,,104.0,0.3942307692307692,0.2746954831501855,1.6446354931035572,,0.2931932426219572,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.2,2,2.194635493103557
,BTC_1m_liq_long_500k_5m_continuation,N1,BTC,1m,5.0,0.4,0.6974,3.03,-3.58,1.0,,,G2,4,liq_long_>=$500k_5m_continuation,1,2.155
,N2-B|SOL|h72h|z1.5,N2-B,SOL,72h_hold,33.0,0.4545454545454545,1.752966428683808,2.0139886397584346,,0.7283324808813632,0.2257742257742257,-0.2383620445710802,G2,5,OK,1,2.1139886397584347
,N3|SOL|h72h|z1.0,N3,SOL,72h_hold,668.0,0.5104790419161677,1.0780238661229864,1.3990772499226,,0.6150077992724698,0.0189810189810189,0.0116019813400698,"G2,G3,G4,G6",5,OK,4,2.0990772499226
,N2-B|BTC|h8h|z1.5,N2-B,BTC,8h_hold,64.0,0.40625,0.3778527149168109,1.5363018306081335,,0.1686429114397033,0.2387612387612387,-0.1736245171413089,"G2,G3",5,OK,2,2.0363018306081333
,N3|ETH|h72h|z2.0,N3,ETH,72h_hold,88.0,0.5454545454545454,1.259463253705012,1.6331178976097462,,0.4557412794379123,0.1708291708291708,-0.1039835132397794,G2,5,OK,1,2.0331178976097464
,SOL_4h_y_next_w0_lgb,N8_meta_classifier_lgb,SOL,4h,894.0,0.5371376811594203,,1.2179657979088174,,,,,"G_auc_edge,G_pos_sharpe,G_sharpe_gt_1",3,auc=0.547,3,2.0179657979088175
,N3|ETH|h72h|z1.5,N3,ETH,72h_hold,214.0,0.5560747663551402,1.1059303584311488,1.4467523105168605,,0.1156842385951376,0.1108891108891109,-0.0421441611962813,"G2,G3",5,OK,2,1.9467523105168605
,N2-cross_to_neg|BTC|h24h|z2.0,N2-cross_to_neg,BTC,24h_hold,181.0,0.574585635359116,0.5514212301012029,1.4241017666982043,,0.0529888886534444,0.1138861138861138,-0.0550393257423165,"G2,G3",5,OK,2,1.9241017666982043
,ETH_1h_y_next_w0_lgb,N8_meta_classifier_lgb,ETH,1h,2771.0,0.5339673913043478,,1.1236984263873904,,,,,"G_auc_edge,G_pos_sharpe,G_sharpe_gt_1",3,auc=0.547,3,1.9236984263873904
,N2-cross_to_neg|BTC|h8h|z2.0,N2-cross_to_neg,BTC,8h_hold,179.0,0.4581005586592179,0.3798115815519333,1.3957320692515565,,0.2953524058769362,0.1238761238761238,-0.0607571505511134,"G2,G3",5,OK,2,1.8957320692515565
,BTC_1h_y_next_w0_lgb,N8_meta_classifier_lgb,BTC,1h,2852.0,0.5242300724637681,,1.0850217178767776,,,,,"G_auc_edge,G_pos_sharpe,G_sharpe_gt_1",3,auc=0.537,3,1.8850217178767776
,N5.2_sweep_nan_to_ETH,N5,ETH,,104.0,0.4326923076923077,0.3261396182710395,1.3221655596967326,,0.3976395478378007,,,"G_pos_sharpe,G_pos_pnl",4,UP/0.2,2,1.8721655596967326
,ETH_1h_y_next_3_w2_lgb,N8_meta_classifier_lgb,ETH,1h,3287.0,0.53125,,1.0648808381625612,,,,,"G_auc_edge,G_pos_sharpe,G_sharpe_gt_1",3,auc=0.546,3,1.8648808381625612
,N2-A|SOL|h4h|z1.5,N2-A,SOL,4h_hold,27.0,0.4444444444444444,0.2939225585254176,1.6582210604774272,,0.7011080384254456,0.2867132867132867,-0.3300346211304313,"G2,G3",5,OK,2,1.8582210604774272
,SOL_1m_liq_long_100k_5m_reversion,N1,SOL,1m,8.0,0.625,1.2925,2.711,-19.22,0.72656,,,G2,4,liq_long_>=$100k_5m_reversion,1,1.8359999999999999
,ETH_15m_y_next_w1_lgb,N8_meta_classifier_lgb,ETH,15m,7129.0,0.5276243093922652,,1.0276567182672336,,,,,"G_auc_edge,G_pos_sharpe,G_sharpe_gt_1",3,auc=0.538,3,1.8276567182672336
,BTC_15m_y_next_3_w0_lgb,N8_meta_classifier_lgb,BTC,15m,9917.0,0.529891304347826,,1.0179820711774747,,,,,"G_auc_edge,G_pos_sharpe,G_sharpe_gt_1",3,auc=0.541,3,1.8179820711774748
,ETH_15m_y_next_w0_lgb,N8_meta_classifier_lgb,ETH,15m,6174.0,0.5350996376811594,,1.0175112107817534,,,,,"G_auc_edge,G_pos_sharpe,G_sharpe_gt_1",3,auc=0.545,3,1.8175112107817535
,N2-cross_to_neg|HYPE|h4h|z2.0,N2-cross_to_neg,HYPE,4h_hold,150.0,0.48,0.342911734591049,1.2983752703986509,,0.6832317601040961,0.1548451548451548,-0.0864646115513863,"G2,G3",5,OK,2,1.7983752703986509
,N3|BTC|h24h|z1.5,N3,BTC,24h_hold,230.0,0.5478260869565217,0.6300128751026703,1.2754979544558878,,0.1660041519655531,0.1168831168831168,-0.0476586783099143,"G2,G3",5,OK,2,1.7754979544558878
,N2-B|HYPE|h24h|z2.0|reg-ranging,N2-B,HYPE,24h_hold,60.0,0.4666666666666667,0.9696128525478662,1.2561274300013745,,0.6988834276200058,0.2687312687312687,-0.2078554886695607,"G2,G3",5,OK,2,1.7561274300013745
,ETH_1m_liq_long_1000k_30m_reversion,N1,ETH,1m,7.0,0.4286,1.2159,2.603,-7.1,1.0,,,G2,4,liq_long_>=$1000k_30m_reversion,1,1.7280000000000002
,ETH_15m_y_next_3_w2_lgb,N8_meta_classifier_lgb,ETH,15m,9877.0,0.5255321557971014,,0.9789443069359096,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.538,2,1.612277640269243
,ETH_15m_y_next_3_w3_lgb,N8_meta_classifier_lgb,ETH,15m,7322.0,0.5259301659988552,,0.961813213066915,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.535,2,1.5951465464002483
,BTC_1m_cascade_15m_reversion,N1,BTC,1m,12.0,0.5,1.3183,2.466,-16.74,1.0,,,G2,4,cascade_5+_60s_15m_reversion,1,1.5910000000000002
,BTC_4h_y_next_3_w3_lgb,N8_meta_classifier_lgb,BTC,4h,889.0,0.5220183486238532,,0.9531683667659596,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.547,2,1.586501700099293
,ETH_5m_y_next_3_w0_lgb,N8_meta_classifier_lgb,ETH,5m,16853.0,0.5252455494168201,,0.950213791517203,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.535,2,1.5835471248505364
,ETH_15m_y_next_w3_lgb,N8_meta_classifier_lgb,ETH,15m,5569.0,0.5306204212454212,,0.9495793254199352,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.539,2,1.5829126587532685
,BTC_1h_y_next_3_w0_lgb,N8_meta_classifier_lgb,BTC,1h,3150.0,0.5201539855072463,,0.9465730725999646,,,,,"G_auc_edge,G_pos_sharpe",3,auc=0.530,2,1.579906405933298
