n,wr,dpt,tot_pnl,n_wins,n_losses,market,tod,stack,wr_all,dpt_all,n_all,wr_lift_pp,dpt_lift,tod_share
6859,0.7415075083831463,-0.1793997598815158,-1230.5029530273168,5086,1773,SOL_5m,european_morning,S5_rf+ema200+ema800,0.7485940594059406,-0.19579410523327137,25250,-0.7086551022794318,0.016394345351755574,0.27164356435643566
5841,0.7608286252354048,0.0432705242276716,252.74313201382984,4444,1397,SOL_5m,us_afternoon,S5_rf+ema200+ema800,0.7485940594059406,-0.19579410523327137,25250,1.223456582946425,0.23906462946094298,0.23132673267326734
5629,0.7289038905667081,-0.5475168767664037,-3081.972499318086,4103,1526,SOL_5m,us_evening,S5_rf+ema200+ema800,0.7485940594059406,-0.19579410523327137,25250,-1.969016883923247,-0.35172277153313236,0.22293069306930693
49139,0.5643175481796536,-2.754069589101937,-135332.22553888007,27730,21409,SOL_5m,ALL,S6_rf+within_dev,0.5643175481796536,-2.754069589101937,49139,0.0,0.0,1.0
13699,0.5616468355354406,-2.912941035994255,-39904.3792520853,7694,6005,SOL_5m,asia_morning,S6_rf+within_dev,0.5643175481796536,-2.754069589101937,49139,-0.2670712644213036,-0.15887144689231825,0.27878060196585197
13020,0.5717357910906298,-2.4670526856693415,-32121.025967414826,7444,5576,SOL_5m,european_morning,S6_rf+within_dev,0.5643175481796536,-2.754069589101937,49139,0.7418242910976147,0.28701690343259534,0.2649626569527259
11520,0.5641493055555555,-3.0787218225346464,-35466.87539559913,6499,5021,SOL_5m,us_afternoon,S6_rf+within_dev,0.5643175481796536,-2.754069589101937,49139,-0.016824262409809165,-0.32465223343270955,0.23443700523006167
10900,0.5589908256880733,-2.5541233875028277,-27839.944923780822,6093,4807,SOL_5m,us_evening,S6_rf+within_dev,0.5643175481796536,-2.754069589101937,49139,-0.5326722491580282,0.19994620159910914,0.22181973585136042
45083,0.5486990661668478,-2.9198861227386876,-131637.22607142825,24737,20346,SOL_5m,ALL,S7_rf+fresh,0.5486990661668478,-2.9198861227386876,45083,0.0,0.0,1.0
12711,0.5488946581700889,-3.0330488414548813,-38553.083823732995,6977,5734,SOL_5m,asia_morning,S7_rf+fresh,0.5486990661668478,-2.9198861227386876,45083,0.019559200324104076,-0.11316271871619366,0.2819466317680722
11638,0.5535315346279429,-2.651042406131959,-30852.83152256374,6442,5196,SOL_5m,european_morning,S7_rf+fresh,0.5486990661668478,-2.9198861227386876,45083,0.4832468461095085,0.26884371660672857,0.2581460861078455
10546,0.5452304191162526,-3.2890775409333743,-34686.61174668337,5750,4796,SOL_5m,us_afternoon,S7_rf+fresh,0.5486990661668478,-2.9198861227386876,45083,-0.34686470505952416,-0.3691914181946867,0.2339240955570836
10188,0.5465253239104829,-2.703641438795459,-27544.698978448134,5568,4620,SOL_5m,us_evening,S7_rf+fresh,0.5486990661668478,-2.9198861227386876,45083,-0.21737422563649078,0.21624468394322882,0.22598318656699865
44644,0.5645551473882269,-2.8092748555566085,-125417.26665146922,25204,19440,SOL_5m,ALL,S8_rf+active_sess,0.5645551473882269,-2.8092748555566085,44644,0.0,0.0,1.0
13699,0.5616468355354406,-2.912941035994255,-39904.3792520853,7694,6005,SOL_5m,asia_morning,S8_rf+active_sess,0.5645551473882269,-2.8092748555566085,44644,-0.2908311852786283,-0.10366618043764664,0.306849744646537
13020,0.5717357910906298,-2.4670526856693415,-32121.025967414826,7444,5576,SOL_5m,european_morning,S8_rf+active_sess,0.5645551473882269,-2.8092748555566085,44644,0.71806437024029,0.34222216988726695,0.29164053400232953
11520,0.5641493055555555,-3.0787218225346464,-35466.87539559913,6499,5021,SOL_5m,us_afternoon,S8_rf+active_sess,0.5645551473882269,-2.8092748555566085,44644,-0.040584183267133866,-0.26944696697803794,0.25804139414031
6405,0.5569086651053864,-2.798592667661198,-17924.986036369974,3567,2838,SOL_5m,us_evening,S8_rf+active_sess,0.5645551473882269,-2.8092748555566085,44644,-0.7646482282840483,0.010682187895410422,0.1434683272108234
21054,0.5289256198347108,-1.854229703783956,-39038.95218346741,11136,9918,BTC_15m,ALL,S1_rf_only,0.5289256198347108,-1.854229703783956,21054,0.0,0.0,1.0
6180,0.5328478964401294,-2.210891331641138,-13663.30842954223,3293,2887,BTC_15m,asia_morning,S1_rf_only,0.5289256198347108,-1.854229703783956,21054,0.3922276605418662,-0.3566616278571819,0.29353092049016816
5295,0.5204910292728989,-2.306817435767935,-12214.598322391217,2756,2539,BTC_15m,european_morning,S1_rf_only,0.5289256198347108,-1.854229703783956,21054,-0.8434590561811839,-0.4525877319839793,0.25149615275007126
5067,0.5293072824156305,-0.24046027090351813,-1218.4121926681264,2682,2385,BTC_15m,us_afternoon,S1_rf_only,0.5289256198347108,-1.854229703783956,21054,0.03816625809197616,1.6137694328804377,0.24066685665431747
4512,0.53302304964539,-2.6468602036493443,-11942.633238865841,2405,2107,BTC_15m,us_evening,S1_rf_only,0.5289256198347108,-1.854229703783956,21054,0.4097429810679287,-0.7926304998653884,0.21430607010544314
14458,0.6108037072900816,-1.054132367708087,-15240.645772323522,8831,5627,BTC_15m,ALL,S2_rf+ema200,0.6108037072900816,-1.054132367708087,14458,0.0,0.0,1.0
4271,0.6211660032779208,-1.179911126775051,-5039.400422456243,2653,1618,BTC_15m,asia_morning,S2_rf+ema200,0.6108037072900816,-1.054132367708087,14458,1.036229598783922,-0.12577875906696412,0.29540738691381935
