market,label,n,wr,dpt,tot_pnl,wr_lift_pp,dpt_lift,pct_universe
BTC_15m,rf+slope_15m+slope_1h,4314,0.48887343532684285,-3.260509408789557,-14065.837589518149,0.4751564929199259,-0.8242421050266455,0.09927282768777614
BTC_15m,diag_1h_label_distribution_at_fires,43456,,,0.0,,,1.0
BTC_15m,  diag_1h_label=trending_up,9056,,,0.0,,,0.20839469808541974
BTC_15m,  diag_1h_label=trending_dn,10292,,,0.0,,,0.23683726067746685
BTC_15m,  diag_1h_label=ranging,24108,,,0.0,,,0.5547680412371134
BTC_15m,  diag_1h_label=missing,0,,,0.0,,,0.0
ETH_15m,baseline_all,39546,0.4855864057047489,-2.9880727731571213,-118166.32588727152,0.0,0.0,1.0
ETH_15m,g_5m_trend_with,2182,0.4880843263061412,-2.715201925811921,-5924.570602121611,0.2497920601392256,0.2728708473452004,0.05517625044252263
ETH_15m,g_15m_trend_with,1936,0.4984504132231405,2.2579799086083816,4371.449103065826,1.2864007518391563,5.246052681765503,0.04895564658878268
ETH_15m,g_1h_trend_with,8913,0.4852462694939975,-2.132332755363748,-19005.481848557087,-0.03401362107514072,0.8557400177933734,0.22538309816416324
ETH_15m,s_5m_slope_with,16875,0.5345777777777778,-1.9963443312684153,-33688.310590154506,4.899137207302889,0.991728441888706,0.4267182521620391
ETH_15m,s_15m_slope_with,17174,0.46017235355770353,-2.894419430419162,-49708.75929801869,-2.5414052147045396,0.09365334273795911,0.4342790674151621
ETH_15m,s_1h_slope_with,19814,0.474311093166448,-3.164357890956394,-62698.58725140999,-1.1275312538300941,-0.17628511779927258,0.5010367673089566
ETH_15m,cascade_15m+1h_trend_with,728,0.5027472527472527,4.063842230729508,2958.4771439710817,1.7160847042503813,7.051915003886629,0.018408941485864562
ETH_15m,cascade_5m+15m_trend_with,667,0.5322338830584707,2.007723905498464,1339.1518449674757,4.664747735372182,4.995796678655585,0.01686643402619734
ETH_15m,cascade_5m+15m+1h_trend_with,279,0.5340501792114696,0.27128083286347815,75.68735236891041,4.846377350672065,3.2593536060205994,0.007055075102412381
ETH_15m,cascade_15m+1h_slope_with,8228,0.4474963539134662,-3.011255833461397,-24776.612997720375,-3.809005179128272,-0.02318306030427575,0.2080614980023264
ETH_15m,cascade_5m+15m+1h_slope_with,6808,0.4900117508813161,-2.1616680343092964,-14716.635977577691,0.4425345176567175,0.8264047388478248,0.1721539473018763
