label,n,sharpe,cagr,mdd,calmar,wr,min_yr,pos_yrs,pf,coin,variant,exit
,165,0.364,0.0689,-0.627,0.11,0.267,-0.249,4,1.2,ETH,VP_ROT_240,V41
,83,-1.157,-0.1968,-0.6896,-0.285,0.217,-0.2962,1,0.44,BTC,VWAP_BF_std,baseline
,82,-0.823,-0.1691,-0.6673,-0.253,0.195,-0.3304,1,0.56,BTC,VWAP_BF_std,V41
,188,-0.182,-0.0872,-0.5921,-0.147,0.293,-0.2781,3,0.93,BTC,VWAP_BF_lax,baseline
,184,0.098,-0.0188,-0.4387,-0.043,0.272,-0.2751,2,1.05,BTC,VWAP_BF_lax,V41
,79,0.076,-0.0038,-0.393,-0.01,0.266,-0.1511,3,1.06,BTC,VWAP_BF_tight,baseline
,77,0.127,0.0041,-0.4475,0.009,0.273,-0.1989,3,1.09,BTC,VWAP_BF_tight,V41
,233,-0.334,-0.1466,-0.6116,-0.24,0.283,-0.472,3,0.88,BTC,MFI_75_25,baseline
,247,-0.525,-0.2259,-0.754,-0.3,0.251,-0.5824,1,0.82,BTC,MFI_75_25,V41
,270,-0.082,-0.0858,-0.5653,-0.152,0.311,-0.2912,3,0.97,BTC,MFI_70_30,baseline
,270,0.336,0.0563,-0.4132,0.136,0.285,-0.1553,4,1.14,BTC,MFI_70_30,V41
,199,-0.594,-0.185,-0.8569,-0.216,0.281,-0.5339,2,0.78,BTC,MFI_NoCross_80_20,baseline
,198,-0.622,-0.2078,-0.9019,-0.23,0.242,-0.5276,2,0.77,BTC,MFI_NoCross_80_20,V41
,116,0.182,0.0152,-0.5256,0.029,0.319,-0.2471,2,1.08,BTC,SVD_30,baseline
,116,0.185,0.015,-0.5504,0.027,0.31,-0.2824,3,1.08,BTC,SVD_30,V41
,82,-0.464,-0.1019,-0.4528,-0.225,0.256,-0.3176,2,0.73,BTC,SVD_50,baseline
,82,-0.753,-0.1678,-0.6332,-0.265,0.22,-0.3813,1,0.54,BTC,SVD_50,V41
,135,0.161,0.0099,-0.3929,0.025,0.326,-0.2771,3,1.07,BTC,SVD_tight,baseline
,140,0.528,0.1125,-0.4639,0.242,0.336,-0.3295,4,1.27,BTC,SVD_tight,V41
,267,-0.365,-0.171,-0.7165,-0.239,0.322,-0.3492,2,0.87,BTC,VP_ROT_60,baseline
,263,0.081,-0.043,-0.6372,-0.067,0.3,-0.4637,2,1.03,BTC,VP_ROT_60,V41
,168,0.076,-0.0166,-0.5173,-0.032,0.286,-0.1532,3,1.04,BTC,VP_ROT_240,baseline
,168,-0.287,-0.1274,-0.6797,-0.187,0.262,-0.4618,1,0.87,BTC,VP_ROT_240,V41
,33,0.165,0.013,-0.21,0.062,0.273,-0.0986,3,1.18,SOL,VWAP_BF_std,baseline
,36,0.308,0.0336,-0.2731,0.123,0.25,-0.1367,4,1.36,SOL,VWAP_BF_std,V41
,146,-0.082,-0.0475,-0.5021,-0.095,0.267,-0.1838,1,0.98,SOL,VWAP_BF_lax,baseline
,163,-0.33,-0.1215,-0.6931,-0.175,0.233,-0.375,2,0.84,SOL,VWAP_BF_lax,V41
,45,-0.709,-0.0941,-0.5031,-0.187,0.178,-0.1704,2,0.52,SOL,VWAP_BF_tight,baseline
,47,-0.701,-0.106,-0.5853,-0.181,0.17,-0.1977,1,0.42,SOL,VWAP_BF_tight,V41
,244,0.483,0.11,-0.5597,0.197,0.307,-0.2503,4,1.18,SOL,MFI_75_25,baseline
,243,1.319,0.5308,-0.3603,1.473,0.313,-0.0041,5,1.6,SOL,MFI_75_25,V41
,270,0.751,0.2202,-0.4394,0.501,0.319,-0.3137,3,1.28,SOL,MFI_70_30,baseline
,292,1.094,0.4207,-0.3981,1.057,0.308,-0.2287,4,1.43,SOL,MFI_70_30,V41
,222,-0.58,-0.1927,-0.7947,-0.243,0.266,-0.4522,2,0.82,SOL,MFI_NoCross_80_20,baseline
,238,-1.126,-0.333,-0.8924,-0.373,0.206,-0.5544,0,0.65,SOL,MFI_NoCross_80_20,V41
,91,-0.308,-0.0717,-0.4475,-0.16,0.264,-0.2237,2,0.81,SOL,SVD_30,baseline
,98,-0.569,-0.1279,-0.5666,-0.226,0.245,-0.4587,1,0.68,SOL,SVD_30,V41
,94,-0.421,-0.0953,-0.4829,-0.197,0.213,-0.2817,3,0.81,SOL,SVD_50,baseline
,101,-0.936,-0.2092,-0.7178,-0.291,0.168,-0.3606,0,0.54,SOL,SVD_50,V41
,139,0.084,-0.0088,-0.3761,-0.023,0.295,-0.2908,4,1.02,SOL,SVD_tight,baseline
,144,0.21,0.0196,-0.3908,0.05,0.312,-0.2941,3,1.1,SOL,SVD_tight,V41
,268,0.149,-0.0052,-0.4808,-0.011,0.306,-0.2301,2,1.06,SOL,VP_ROT_60,baseline
,299,0.205,0.0062,-0.7572,0.008,0.298,-0.3595,2,1.07,SOL,VP_ROT_60,V41
,155,-0.14,-0.0651,-0.5168,-0.126,0.284,-0.1952,2,0.93,SOL,VP_ROT_240,baseline
,160,0.184,0.0107,-0.5051,0.021,0.294,-0.2163,4,1.1,SOL,VP_ROT_240,V41
,39,-0.141,-0.0256,-0.3656,-0.07,0.205,-0.2065,3,0.91,AVAX,VWAP_BF_std,baseline
,37,0.081,0.0015,-0.3634,0.004,0.216,-0.198,3,1.11,AVAX,VWAP_BF_std,V41
,148,-0.835,-0.1979,-0.7375,-0.268,0.236,-0.311,1,0.69,AVAX,VWAP_BF_lax,baseline
,148,-0.444,-0.143,-0.7196,-0.199,0.223,-0.4105,2,0.83,AVAX,VWAP_BF_lax,V41
,44,0.208,0.0189,-0.2642,0.072,0.25,-0.1936,2,1.19,AVAX,VWAP_BF_tight,baseline
,43,0.141,0.0099,-0.3019,0.033,0.209,-0.1777,4,1.01,AVAX,VWAP_BF_tight,V41
,267,-0.574,-0.2091,-0.7979,-0.262,0.247,-0.4696,2,0.84,AVAX,MFI_75_25,baseline
,269,-0.569,-0.2256,-0.7888,-0.286,0.219,-0.362,1,0.85,AVAX,MFI_75_25,V41
,291,-0.625,-0.2339,-0.8358,-0.28,0.251,-0.589,2,0.83,AVAX,MFI_70_30,baseline
,297,-0.46,-0.2182,-0.8583,-0.254,0.242,-0.6224,2,0.87,AVAX,MFI_70_30,V41
,216,-0.972,-0.2711,-0.8735,-0.31,0.218,-0.3918,1,0.69,AVAX,MFI_NoCross_80_20,baseline
,222,-0.984,-0.3044,-0.9153,-0.333,0.185,-0.5619,1,0.67,AVAX,MFI_NoCross_80_20,V41
,112,0.338,0.0515,-0.4071,0.126,0.277,-0.1415,3,1.19,AVAX,SVD_30,baseline
,120,0.496,0.0944,-0.4814,0.196,0.267,-0.199,4,1.29,AVAX,SVD_30,V41
,87,-0.344,-0.0812,-0.5319,-0.153,0.218,-0.212,1,0.84,AVAX,SVD_50,baseline
,91,-0.061,-0.036,-0.3643,-0.099,0.209,-0.1712,2,0.99,AVAX,SVD_50,V41
,124,1.043,0.2435,-0.26,0.936,0.363,-0.0154,5,1.6,AVAX,SVD_tight,baseline
,131,0.497,0.0974,-0.4139,0.235,0.29,-0.2727,4,1.28,AVAX,SVD_tight,V41
,271,0.442,0.097,-0.3748,0.259,0.299,-0.2274,3,1.17,AVAX,VP_ROT_60,baseline
,262,0.993,0.355,-0.4814,0.738,0.305,-0.0803,3,1.42,AVAX,VP_ROT_60,V41
,155,0.119,-0.002,-0.4402,-0.005,0.303,-0.105,2,1.07,AVAX,VP_ROT_240,baseline
,163,0.326,0.0535,-0.4529,0.118,0.294,-0.2318,4,1.17,AVAX,VP_ROT_240,V41
,58,-0.734,-0.1099,-0.5211,-0.211,0.259,-0.2689,2,0.52,DOGE,VWAP_BF_std,baseline
,56,-0.196,-0.0467,-0.4455,-0.105,0.232,-0.2664,2,0.87,DOGE,VWAP_BF_std,V41
,156,-0.857,-0.2061,-0.776,-0.266,0.282,-0.4517,2,0.66,DOGE,VWAP_BF_lax,baseline
,163,-0.99,-0.262,-0.8644,-0.303,0.221,-0.5174,2,0.61,DOGE,VWAP_BF_lax,V41
,61,-0.495,-0.0731,-0.4232,-0.173,0.311,-0.1964,1,0.7,DOGE,VWAP_BF_tight,baseline
,61,-0.31,-0.0598,-0.4245,-0.141,0.279,-0.1972,2,0.79,DOGE,VWAP_BF_tight,V41
,236,-0.349,-0.1352,-0.6526,-0.207,0.309,-0.2709,1,0.88,DOGE,MFI_75_25,baseline
,239,0.113,-0.0208,-0.7107,-0.029,0.264,-0.2991,3,1.06,DOGE,MFI_75_25,V41
,263,-0.225,-0.1136,-0.685,-0.166,0.3,-0.2818,1,0.93,DOGE,MFI_70_30,baseline
,260,0.201,0.0048,-0.699,0.007,0.281,-0.3187,3,1.08,DOGE,MFI_70_30,V41
,212,-0.719,-0.2166,-0.7896,-0.274,0.278,-0.4385,0,0.75,DOGE,MFI_NoCross_80_20,baseline
,217,-1.179,-0.3494,-0.9127,-0.383,0.24,-0.4712,0,0.57,DOGE,MFI_NoCross_80_20,V41
,106,0.226,0.0258,-0.5045,0.051,0.302,-0.2963,2,1.12,DOGE,SVD_30,baseline
,107,-0.042,-0.0373,-0.5972,-0.062,0.271,-0.2831,2,0.97,DOGE,SVD_30,V41
,96,-0.621,-0.1321,-0.5469,-0.242,0.208,-0.4136,2,0.71,DOGE,SVD_50,baseline
,95,-0.509,-0.129,-0.6496,-0.199,0.211,-0.5109,1,0.74,DOGE,SVD_50,V41
,141,-0.161,-0.0637,-0.3904,-0.163,0.284,-0.2264,2,0.92,DOGE,SVD_tight,baseline
,143,-0.2,-0.0885,-0.4852,-0.182,0.259,-0.3041,1,0.9,DOGE,SVD_tight,V41
,263,0.289,0.0422,-0.5943,0.071,0.312,-0.2933,3,1.12,DOGE,VP_ROT_60,baseline
,268,-0.613,-0.2606,-0.8174,-0.319,0.235,-0.528,0,0.79,DOGE,VP_ROT_60,V41
,176,-0.869,-0.2225,-0.8059,-0.276,0.29,-0.386,2,0.68,DOGE,VP_ROT_240,baseline
,178,-1.083,-0.2996,-0.8646,-0.347,0.202,-0.4511,0,0.59,DOGE,VP_ROT_240,V41
,48,-0.98,-0.1348,-0.5379,-0.251,0.167,-0.2348,0,0.32,LINK,VWAP_BF_std,baseline
,50,-1.016,-0.1644,-0.6167,-0.267,0.16,-0.2312,1,0.27,LINK,VWAP_BF_std,V41
,157,-0.145,-0.0655,-0.4405,-0.149,0.325,-0.3099,2,0.93,LINK,VWAP_BF_lax,baseline
,163,-0.271,-0.1219,-0.604,-0.202,0.245,-0.3929,2,0.85,LINK,VWAP_BF_lax,V41
,44,-0.223,-0.0352,-0.3553,-0.099,0.25,-0.1226,2,0.86,LINK,VWAP_BF_tight,baseline
,44,-0.056,-0.0213,-0.4465,-0.048,0.25,-0.1989,2,0.83,LINK,VWAP_BF_tight,V41
,230,0.095,-0.0192,-0.6535,-0.029,0.317,-0.3716,2,1.04,LINK,MFI_75_25,baseline
,239,0.234,0.017,-0.6827,0.025,0.243,-0.416,2,1.11,LINK,MFI_75_25,V41
,266,0.27,0.0348,-0.5416,0.064,0.338,-0.1943,2,1.1,LINK,MFI_70_30,baseline
,268,0.171,-0.0139,-0.6417,-0.022,0.257,-0.2148,3,1.06,LINK,MFI_70_30,V41
,206,-0.474,-0.1704,-0.7494,-0.227,0.291,-0.4883,3,0.82,LINK,MFI_NoCross_80_20,baseline
,212,-0.304,-0.1555,-0.7464,-0.208,0.226,-0.5393,3,0.89,LINK,MFI_NoCross_80_20,V41
,114,0.429,0.0731,-0.3622,0.202,0.377,-0.1622,4,1.23,LINK,SVD_30,baseline
,120,0.27,0.0371,-0.5467,0.068,0.25,-0.3813,4,1.15,LINK,SVD_30,V41
,94,-0.548,-0.1208,-0.5033,-0.24,0.234,-0.3171,2,0.72,LINK,SVD_50,baseline
,99,-0.637,-0.1618,-0.6464,-0.25,0.182,-0.3021,1,0.67,LINK,SVD_50,V41
,140,0.449,0.085,-0.3791,0.224,0.371,-0.1417,5,1.23,LINK,SVD_tight,baseline
,148,-0.104,-0.0787,-0.5479,-0.144,0.243,-0.138,0,0.94,LINK,SVD_tight,V41
,250,1.106,0.382,-0.3271,1.168,0.356,0.0394,6,1.47,LINK,VP_ROT_60,baseline
,261,-0.054,-0.104,-0.7302,-0.142,0.253,-0.3895,2,0.96,LINK,VP_ROT_60,V41
,176,-0.221,-0.0922,-0.5108,-0.18,0.33,-0.2297,2,0.9,LINK,VP_ROT_240,baseline
,180,-0.257,-0.1314,-0.6822,-0.193,0.228,-0.3286,2,0.87,LINK,VP_ROT_240,V41
