,BB_AVAX_4h,BB_BTC_4h,BB_DOGE_4h,BB_ETH_4h,BB_LINK_4h,BB_SOL_4h,BB_SUI_4h,BB_TON_4h,BB_XRP_4h,CCI_AVAX_4h,CCI_BTC_4h,CCI_DOGE_4h,CCI_ETH_4h,CCI_LINK_4h,CCI_SOL_4h,CCI_SUI_4h,CCI_TON_4h,HTFD_AVAX_4h,HTFD_BTC_4h,HTFD_DOGE_4h,HTFD_ETH_4h,HTFD_LINK_4h,HTFD_SOL_4h,HTFD_SUI_4h,LATBB_AVAX_4h,LATBB_BTC_4h,LATBB_ETH_4h,LATBB_INJ_4h_via_LINK,LATBB_LINK_4h,LATBB_SOL_4h,LATBB_SUI_4h,REGSW_BTC_4h,REGSW_ETH_4h,STF_AVAX_4h,STF_BTC_4h,STF_DOGE_4h,STF_ETH_4h,STF_LINK_4h,STF_SOL_4h,STF_SUI_4h,STF_TON_4h,TGMT_AVAX_4h,TGMT_BTC_4h,TGMT_ETH_4h,TGMT_LINK_4h,TTM_AVAX_4h,TTM_BTC_4h,TTM_DOGE_4h,TTM_ETH_4h,TTM_LINK_4h,TTM_SOL_4h,TTM_SUI_4h,VWZ_AVAX_4h,VWZ_BTC_4h,VWZ_DOGE_4h,VWZ_ETH_4h,VWZ_INJ_4h,VWZ_LINK_4h,VWZ_SOL_4h
CCI_BTC_4h,0.019,0.126,0.133,0.133,0.085,0.064,0.078,0.047,0.122,0.172,1.0,0.06,0.091,0.183,0.002,0.107,-0.018,0.037,0.152,0.104,0.138,0.089,0.094,0.101,0.001,0.302,0.097,0.134,0.134,0.006,0.005,0.226,0.131,0.089,0.158,0.107,0.134,0.159,0.05,0.067,0.071,0.135,0.101,0.09,0.181,-0.12,0.056,0.122,0.082,0.012,-0.01,0.036,-0.053,-0.097,0.017,0.123,-0.046,-0.046,-0.108
CCI_DOGE_4h,-0.003,0.08,0.037,0.108,0.059,0.119,-0.016,-0.036,0.024,0.008,0.06,1.0,0.136,-0.021,-0.191,0.098,-0.021,0.017,0.007,0.114,0.112,0.06,0.086,0.02,-0.042,-0.044,0.303,-0.049,-0.049,-0.046,0.198,0.004,0.195,0.045,0.031,0.15,0.139,0.082,0.154,0.006,0.0,0.15,0.093,0.065,0.038,0.007,0.032,-0.052,-0.005,-0.012,0.013,-0.093,0.034,0.052,0.226,0.008,0.053,0.053,-0.004
CCI_ETH_4h,0.047,0.168,0.063,0.132,0.055,0.099,0.06,0.005,0.028,0.096,0.091,0.136,1.0,0.051,0.059,-0.042,-0.003,0.064,0.132,0.099,0.13,0.012,0.098,0.08,0.037,0.001,0.486,-0.001,-0.001,0.256,0.074,0.136,0.325,0.092,0.092,0.14,0.132,0.012,0.177,0.042,0.039,0.11,0.057,0.151,0.136,-0.031,0.114,0.002,-0.026,0.006,0.063,0.003,0.057,0.04,-0.089,-0.016,-0.052,-0.052,0.096
CCI_LINK_4h,0.056,0.113,0.131,0.153,0.078,0.126,0.016,-0.013,0.155,0.371,0.183,-0.021,0.051,1.0,0.187,0.11,-0.084,0.078,0.112,0.112,0.165,0.065,0.146,0.106,0.157,0.152,-0.002,0.515,0.515,0.029,0.098,0.131,0.067,0.108,0.045,0.045,0.101,-0.021,0.014,-0.029,-0.009,0.069,0.085,0.07,0.016,-0.028,0.028,0.185,0.074,-0.018,0.076,-0.027,0.047,-0.047,-0.105,0.165,0.154,0.154,-0.047
CCI_SOL_4h,0.005,0.032,0.031,0.027,0.07,0.112,0.039,-0.01,-0.058,0.046,0.002,-0.191,0.059,0.187,1.0,-0.078,-0.039,0.006,-0.008,0.022,0.013,0.027,0.143,0.035,-0.006,-0.048,-0.003,0.122,0.122,0.308,-0.083,-0.012,-0.016,0.128,0.027,0.093,-0.03,-0.074,0.043,0.043,-0.014,0.024,0.093,0.2,0.065,-0.001,0.084,-0.009,0.071,-0.012,0.056,-0.064,0.038,-0.079,-0.111,0.053,0.013,0.013,-0.011
CCI_SUI_4h,0.088,0.001,0.034,0.068,0.055,0.056,0.083,0.038,0.036,0.175,0.107,0.098,-0.042,0.11,-0.078,1.0,0.006,0.075,0.012,0.024,0.091,0.051,0.031,0.103,0.208,0.102,-0.08,0.006,0.006,-0.071,0.277,0.053,-0.004,0.094,0.046,0.024,0.061,0.139,0.011,0.025,0.05,0.183,0.083,-0.004,0.034,0.02,0.064,-0.062,0.024,0.033,0.037,0.06,-0.012,-0.026,-0.066,0.069,0.038,0.038,-0.061
CCI_TON_4h,-0.119,-0.095,-0.13,-0.096,-0.07,-0.16,-0.066,-0.071,-0.099,-0.055,-0.018,-0.021,-0.003,-0.084,-0.039,0.006,1.0,-0.128,-0.095,-0.164,-0.087,-0.082,-0.193,-0.074,0.035,0.02,-0.044,-0.015,-0.015,-0.021,-0.07,0.002,-0.068,-0.174,-0.089,-0.174,-0.119,-0.106,-0.179,-0.088,0.002,-0.126,-0.013,-0.088,-0.032,-0.093,-0.079,-0.038,-0.068,-0.049,-0.06,-0.052,0.06,0.065,0.086,-0.008,0.107,0.107,0.002
HTFD_AVAX_4h,0.81,0.374,0.412,0.35,0.45,0.422,0.456,0.337,0.418,0.132,0.037,0.017,0.064,0.078,0.006,0.075,-0.128,1.0,0.391,0.42,0.411,0.565,0.48,0.482,0.169,0.047,0.043,0.087,0.087,0.018,0.124,0.304,0.328,0.51,0.245,0.279,0.292,0.347,0.358,0.402,0.325,0.221,0.019,0.101,0.048,0.386,0.238,0.251,0.194,0.369,0.38,0.227,-0.018,-0.0,-0.037,-0.001,-0.028,-0.028,0.002
HTFD_BTC_4h,0.308,0.825,0.359,0.421,0.353,0.328,0.297,0.092,0.308,0.135,0.152,0.007,0.132,0.112,-0.008,0.012,-0.095,0.391,1.0,0.378,0.48,0.411,0.374,0.332,0.07,0.146,0.023,0.049,0.049,0.064,0.071,0.616,0.307,0.276,0.566,0.278,0.289,0.249,0.22,0.214,0.065,0.175,0.224,0.107,0.085,0.106,0.458,0.284,0.33,0.333,0.239,0.19,0.004,-0.076,-0.094,0.057,-0.023,-0.023,-0.116
HTFD_DOGE_4h,0.368,0.381,0.756,0.376,0.366,0.42,0.309,0.127,0.33,0.167,0.104,0.114,0.099,0.112,0.022,0.024,-0.164,0.42,0.378,1.0,0.38,0.386,0.473,0.34,0.068,-0.014,0.164,0.145,0.145,0.024,0.104,0.258,0.334,0.425,0.31,0.682,0.339,0.302,0.411,0.303,0.108,0.225,0.08,0.198,0.081,0.227,0.238,0.419,0.161,0.261,0.219,0.255,-0.0,0.004,-0.101,0.012,-0.016,-0.016,-0.143
HTFD_ETH_4h,0.377,0.483,0.328,0.892,0.439,0.428,0.186,0.019,0.295,0.11,0.138,0.112,0.13,0.165,0.013,0.091,-0.087,0.411,0.48,0.38,1.0,0.497,0.486,0.271,0.082,0.068,0.079,0.142,0.142,0.019,0.111,0.373,0.551,0.369,0.383,0.338,0.649,0.299,0.356,0.146,0.047,0.156,0.176,0.276,0.089,0.166,0.259,0.236,0.449,0.332,0.181,0.124,-0.022,-0.091,-0.022,-0.032,-0.016,-0.016,-0.073
HTFD_LINK_4h,0.522,0.417,0.379,0.435,0.792,0.395,0.349,0.246,0.394,0.082,0.089,0.06,0.012,0.065,0.027,0.051,-0.082,0.565,0.411,0.386,0.497,1.0,0.455,0.407,0.101,0.018,0.03,0.008,0.008,-0.013,0.153,0.289,0.38,0.297,0.334,0.255,0.308,0.523,0.265,0.286,0.225,0.178,0.112,0.172,0.169,0.217,0.284,0.232,0.252,0.511,0.35,0.158,-0.007,-0.052,0.017,0.024,-0.033,-0.033,-0.045
HTFD_SOL_4h,0.455,0.423,0.388,0.459,0.438,0.824,0.248,0.137,0.298,0.103,0.094,0.086,0.098,0.146,0.143,0.031,-0.193,0.48,0.374,0.473,0.486,0.455,1.0,0.313,0.039,0.038,0.088,0.083,0.083,0.065,0.041,0.27,0.407,0.32,0.244,0.355,0.329,0.244,0.579,0.174,0.064,0.201,0.114,0.202,0.159,0.216,0.249,0.209,0.231,0.29,0.442,0.138,-0.003,-0.035,-0.008,-0.011,-0.024,-0.024,-0.003
HTFD_SUI_4h,0.42,0.361,0.441,0.232,0.389,0.267,0.826,0.401,0.445,0.094,0.101,0.02,0.08,0.106,0.035,0.103,-0.074,0.482,0.332,0.34,0.271,0.407,0.313,1.0,0.096,0.036,0.044,0.093,0.093,0.093,0.102,0.232,0.191,0.277,0.214,0.251,0.19,0.358,0.25,0.617,0.393,0.161,0.071,0.075,0.109,0.103,0.222,0.234,0.18,0.339,0.29,0.32,-0.047,0.012,-0.026,0.006,-0.028,-0.028,-0.034
LATBB_AVAX_4h,0.134,0.059,0.022,0.039,0.093,0.034,0.09,0.049,0.076,0.52,0.001,-0.042,0.037,0.157,-0.006,0.208,0.035,0.169,0.07,0.068,0.082,0.101,0.039,0.096,1.0,0.038,-0.099,0.136,0.136,0.099,0.243,0.088,0.048,0.004,0.04,-0.023,0.056,-0.03,0.064,0.064,-0.015,-0.02,-0.04,-0.013,-0.096,0.171,0.099,0.018,0.072,0.046,0.105,0.127,0.179,0.146,-0.084,-0.011,0.099,0.099,0.024
LATBB_BTC_4h,0.057,0.115,0.012,0.028,0.031,0.062,0.035,-0.02,0.053,0.108,0.302,-0.044,0.001,0.152,-0.048,0.102,0.02,0.047,0.146,-0.014,0.068,0.018,0.038,0.036,0.038,1.0,-0.038,0.194,0.194,-0.037,-0.068,0.553,-0.013,-0.008,-0.04,-0.013,0.047,-0.023,-0.018,0.033,-0.021,0.002,0.068,-0.095,-0.047,-0.109,0.091,0.015,0.001,-0.015,-0.011,-0.05,-0.066,-0.085,0.077,-0.023,0.095,0.095,-0.037
LATBB_ETH_4h,0.032,0.051,0.13,0.104,0.073,0.12,0.014,0.001,0.033,0.017,0.097,0.303,0.486,-0.002,-0.003,-0.08,-0.044,0.043,0.023,0.164,0.079,0.03,0.088,0.044,-0.099,-0.038,1.0,-0.115,-0.115,0.018,0.034,0.038,0.541,0.069,0.043,0.194,0.151,0.013,0.115,0.057,0.053,0.137,0.065,0.233,0.055,0.003,-0.014,0.084,-0.077,0.03,0.027,-0.057,-0.08,0.021,0.032,-0.107,-0.161,-0.161,-0.018
LATBB_INJ_4h_via_LINK,0.062,0.087,0.119,0.134,0.021,0.023,0.045,-0.061,0.155,0.203,0.134,-0.049,-0.001,0.515,0.122,0.006,-0.015,0.087,0.049,0.145,0.142,0.008,0.083,0.093,0.136,0.194,-0.115,1.0,1.0,0.002,-0.026,0.129,-0.011,0.141,-0.047,0.097,0.153,-0.022,0.022,0.037,-0.003,0.011,0.029,0.124,-0.032,-0.06,-0.03,0.136,0.085,-0.103,-0.06,-0.009,0.063,-0.078,-0.091,-0.03,0.218,0.218,-0.048
LATBB_LINK_4h,0.062,0.087,0.119,0.134,0.021,0.023,0.045,-0.061,0.155,0.203,0.134,-0.049,-0.001,0.515,0.122,0.006,-0.015,0.087,0.049,0.145,0.142,0.008,0.083,0.093,0.136,0.194,-0.115,1.0,1.0,0.002,-0.026,0.129,-0.011,0.141,-0.047,0.097,0.153,-0.022,0.022,0.037,-0.003,0.011,0.029,0.124,-0.032,-0.06,-0.03,0.136,0.085,-0.103,-0.06,-0.009,0.063,-0.078,-0.091,-0.03,0.218,0.218,-0.048
LATBB_SOL_4h,-0.066,0.095,0.009,0.066,0.008,0.023,0.094,-0.014,-0.003,-0.028,0.006,-0.046,0.256,0.029,0.308,-0.071,-0.021,0.018,0.064,0.024,0.019,-0.013,0.065,0.093,0.099,-0.037,0.018,0.002,0.002,1.0,-0.046,0.054,0.023,0.086,0.025,0.086,-0.025,-0.091,0.093,0.056,-0.024,0.043,0.085,-0.055,0.073,-0.035,0.06,0.006,0.009,-0.042,0.026,-0.041,0.001,0.053,-0.026,0.079,-0.05,-0.05,0.109
LATBB_SUI_4h,0.146,0.067,0.044,0.08,0.097,0.058,0.071,0.045,0.048,0.24,0.005,0.198,0.074,0.098,-0.083,0.277,-0.07,0.124,0.071,0.104,0.111,0.153,0.041,0.102,0.243,-0.068,0.034,-0.026,-0.026,-0.046,1.0,0.019,0.141,0.137,0.209,0.112,0.127,0.152,0.126,0.068,0.052,0.189,-0.002,0.014,0.024,0.061,0.059,-0.125,0.047,0.022,0.065,0.069,0.086,0.048,-0.077,0.147,0.154,0.154,-0.009
REGSW_BTC_4h,0.255,0.555,0.216,0.307,0.254,0.251,0.206,0.083,0.235,0.146,0.226,0.004,0.136,0.131,-0.012,0.053,0.002,0.304,0.616,0.258,0.373,0.289,0.27,0.232,0.088,0.553,0.038,0.129,0.129,0.054,0.019,1.0,0.308,0.189,0.267,0.198,0.15,0.111,0.168,0.158,0.068,0.125,0.13,0.015,0.015,0.028,0.332,0.175,0.195,0.212,0.16,0.09,-0.036,-0.05,0.033,0.015,0.052,0.052,-0.017
REGSW_ETH_4h,0.284,0.332,0.274,0.508,0.314,0.38,0.118,0.039,0.261,0.099,0.131,0.195,0.325,0.067,-0.016,-0.004,-0.068,0.328,0.307,0.334,0.551,0.38,0.407,0.191,0.048,-0.013,0.541,-0.011,-0.011,0.023,0.141,0.308,1.0,0.242,0.261,0.318,0.328,0.217,0.306,0.076,0.027,0.133,0.096,0.213,0.085,0.16,0.181,0.158,0.209,0.217,0.128,0.098,-0.043,-0.001,0.015,-0.036,-0.088,-0.088,0.049
STF_AVAX_4h,0.459,0.256,0.356,0.357,0.269,0.315,0.283,0.106,0.286,0.105,0.089,0.045,0.092,0.108,0.128,0.094,-0.174,0.51,0.276,0.425,0.369,0.297,0.32,0.277,0.004,-0.008,0.069,0.141,0.141,0.086,0.137,0.189,0.242,1.0,0.297,0.474,0.353,0.397,0.359,0.34,0.188,0.4,0.089,0.259,0.195,0.159,0.167,0.22,0.133,0.191,0.147,0.105,-0.005,0.026,-0.073,0.028,-0.063,-0.063,-0.077
STF_BTC_4h,0.237,0.48,0.233,0.355,0.282,0.247,0.184,0.094,0.247,0.116,0.158,0.031,0.092,0.045,0.027,0.046,-0.089,0.245,0.566,0.31,0.383,0.334,0.244,0.214,0.04,-0.04,0.043,-0.047,-0.047,0.025,0.209,0.267,0.261,0.297,1.0,0.299,0.359,0.343,0.305,0.219,0.073,0.21,0.287,0.214,0.201,0.022,0.315,0.185,0.266,0.211,0.116,0.095,-0.005,-0.09,-0.045,0.103,-0.045,-0.045,-0.114
STF_DOGE_4h,0.198,0.298,0.507,0.333,0.261,0.349,0.253,0.087,0.21,0.124,0.107,0.15,0.14,0.045,0.093,0.024,-0.174,0.279,0.278,0.682,0.338,0.255,0.355,0.251,-0.023,-0.013,0.194,0.097,0.097,0.086,0.112,0.198,0.318,0.474,0.299,1.0,0.359,0.34,0.425,0.324,0.135,0.268,0.15,0.293,0.177,0.066,0.158,0.203,0.115,0.184,0.027,0.155,-0.022,-0.044,-0.086,0.046,-0.029,-0.029,-0.219
STF_ETH_4h,0.271,0.273,0.268,0.626,0.304,0.311,0.168,0.008,0.28,0.078,0.134,0.139,0.132,0.101,-0.03,0.061,-0.119,0.292,0.289,0.339,0.649,0.308,0.329,0.19,0.056,0.047,0.151,0.153,0.153,-0.025,0.127,0.15,0.328,0.353,0.359,0.359,1.0,0.352,0.411,0.231,0.088,0.167,0.139,0.344,0.124,0.072,0.191,0.135,0.318,0.262,0.054,0.108,-0.007,-0.071,-0.038,0.012,0.005,0.005,-0.128
STF_LINK_4h,0.371,0.22,0.355,0.274,0.481,0.253,0.346,0.308,0.356,0.034,0.159,0.082,0.012,-0.021,-0.074,0.139,-0.106,0.347,0.249,0.302,0.299,0.523,0.244,0.358,-0.03,-0.023,0.013,-0.022,-0.022,-0.091,0.152,0.111,0.217,0.397,0.343,0.34,0.352,1.0,0.334,0.368,0.364,0.181,0.072,0.183,0.24,0.057,0.168,0.052,0.167,0.325,0.156,0.108,0.005,-0.046,-0.018,0.057,-0.006,-0.006,-0.123
STF_SOL_4h,0.363,0.271,0.288,0.35,0.28,0.571,0.195,0.115,0.228,0.068,0.05,0.154,0.177,0.014,0.043,0.011,-0.179,0.358,0.22,0.411,0.356,0.265,0.579,0.25,0.064,-0.018,0.115,0.022,0.022,0.093,0.126,0.168,0.306,0.359,0.305,0.425,0.411,0.334,1.0,0.297,0.053,0.155,0.107,0.213,0.202,0.175,0.179,0.064,0.163,0.117,0.177,0.104,0.051,-0.021,0.021,0.005,0.01,0.01,0.0
STF_SUI_4h,0.348,0.223,0.351,0.143,0.272,0.152,0.676,0.378,0.355,0.053,0.067,0.006,0.042,-0.029,0.043,0.025,-0.088,0.402,0.214,0.303,0.146,0.286,0.174,0.617,0.064,0.033,0.057,0.037,0.037,0.056,0.068,0.158,0.076,0.34,0.219,0.324,0.231,0.368,0.297,1.0,0.489,0.167,0.062,0.118,0.148,0.033,0.131,0.123,0.119,0.195,0.195,0.195,-0.018,-0.005,-0.035,-0.052,-0.041,-0.041,-0.075
STF_TON_4h,0.349,0.055,0.267,0.039,0.234,0.064,0.436,0.684,0.284,-0.016,0.071,0.0,0.039,-0.009,-0.014,0.05,0.002,0.325,0.065,0.108,0.047,0.225,0.064,0.393,-0.015,-0.021,0.053,-0.003,-0.003,-0.024,0.052,0.068,0.027,0.188,0.073,0.135,0.088,0.364,0.053,0.489,1.0,0.116,0.002,0.097,0.048,0.064,0.046,0.057,0.034,0.338,0.233,0.057,-0.012,-0.002,-0.043,0.027,-0.022,-0.022,-0.043
TGMT_AVAX_4h,0.178,0.191,0.201,0.166,0.167,0.215,0.173,0.083,0.155,0.136,0.135,0.15,0.11,0.069,0.024,0.183,-0.126,0.221,0.175,0.225,0.156,0.178,0.201,0.161,-0.02,0.002,0.137,0.011,0.011,0.043,0.189,0.125,0.133,0.4,0.21,0.268,0.167,0.181,0.155,0.167,0.116,1.0,0.267,0.32,0.313,-0.036,0.131,0.105,0.087,0.19,0.083,-0.045,-0.077,-0.042,-0.07,0.063,-0.107,-0.107,-0.077
TGMT_BTC_4h,0.021,0.267,0.106,0.163,0.104,0.126,0.044,0.009,0.105,0.083,0.101,0.093,0.057,0.085,0.093,0.083,-0.013,0.019,0.224,0.08,0.176,0.112,0.114,0.071,-0.04,0.068,0.065,0.029,0.029,0.085,-0.002,0.13,0.096,0.089,0.287,0.15,0.139,0.072,0.107,0.062,0.002,0.267,1.0,0.353,0.268,-0.149,0.116,0.005,0.176,0.116,-0.007,-0.087,-0.096,-0.207,0.006,-0.014,-0.094,-0.094,-0.085
TGMT_ETH_4h,0.144,0.137,0.15,0.299,0.232,0.184,0.056,0.05,0.114,0.078,0.09,0.065,0.151,0.07,0.2,-0.004,-0.088,0.101,0.107,0.198,0.276,0.172,0.202,0.075,-0.013,-0.095,0.233,0.124,0.124,-0.055,0.014,0.015,0.213,0.259,0.214,0.293,0.344,0.183,0.213,0.118,0.097,0.32,0.353,1.0,0.367,-0.022,0.041,0.044,0.112,0.109,-0.05,-0.046,-0.043,-0.043,-0.125,-0.121,-0.064,-0.064,-0.045
TGMT_LINK_4h,0.081,0.151,0.085,0.108,0.174,0.156,0.094,0.031,0.095,-0.035,0.181,0.038,0.136,0.016,0.065,0.034,-0.032,0.048,0.085,0.081,0.089,0.169,0.159,0.109,-0.096,-0.047,0.055,-0.032,-0.032,0.073,0.024,0.015,0.085,0.195,0.201,0.177,0.124,0.24,0.202,0.148,0.048,0.313,0.268,0.367,1.0,-0.138,0.055,-0.002,0.057,-0.007,0.016,-0.083,-0.053,-0.058,-0.033,-0.034,-0.054,-0.054,0.003
TTM_AVAX_4h,0.406,0.125,0.192,0.166,0.221,0.245,0.105,0.138,0.088,-0.035,-0.12,0.007,-0.031,-0.028,-0.001,0.02,-0.093,0.386,0.106,0.227,0.166,0.217,0.216,0.103,0.171,-0.109,0.003,-0.06,-0.06,-0.035,0.061,0.028,0.16,0.159,0.022,0.066,0.072,0.057,0.175,0.033,0.064,-0.036,-0.149,-0.022,-0.138,1.0,0.162,0.2,0.081,0.241,0.201,0.232,0.159,0.081,-0.024,0.085,0.066,0.066,0.028
TTM_BTC_4h,0.221,0.54,0.292,0.252,0.259,0.23,0.203,0.111,0.207,0.105,0.056,0.032,0.114,0.028,0.084,0.064,-0.079,0.238,0.458,0.238,0.259,0.284,0.249,0.222,0.099,0.091,-0.014,-0.03,-0.03,0.06,0.059,0.332,0.181,0.167,0.315,0.158,0.191,0.168,0.179,0.131,0.046,0.131,0.116,0.041,0.055,0.162,1.0,0.115,0.404,0.359,0.256,0.186,0.013,-0.02,0.006,0.045,-0.051,-0.051,-0.012
TTM_DOGE_4h,0.233,0.252,0.426,0.259,0.253,0.202,0.216,0.076,0.253,0.064,0.122,-0.052,0.002,0.185,-0.009,-0.062,-0.038,0.251,0.284,0.419,0.236,0.232,0.209,0.234,0.018,0.015,0.084,0.136,0.136,0.006,-0.125,0.175,0.158,0.22,0.185,0.203,0.135,0.052,0.064,0.123,0.057,0.105,0.005,0.044,-0.002,0.2,0.115,1.0,0.131,0.285,0.22,0.209,0.043,0.046,-0.014,0.087,0.007,0.007,-0.076
