,BB_AVAX_4h,BB_BTC_4h,BB_DOGE_4h,BB_ETH_4h,BB_LINK_4h,BB_SOL_4h,BB_XRP_4h,CCI_AVAX_4h,CCI_BTC_4h,CCI_DOGE_4h,CCI_ETH_4h,CCI_LINK_4h,CCI_SOL_4h,HTFD_AVAX_4h,HTFD_BTC_4h,HTFD_DOGE_4h,HTFD_ETH_4h,HTFD_LINK_4h,HTFD_SOL_4h,LATBB_AVAX_4h,LATBB_BTC_4h,LATBB_ETH_4h,LATBB_INJ_4h_via_LINK,LATBB_LINK_4h,LATBB_SOL_4h,REGSW_BTC_4h,REGSW_ETH_4h,STF_AVAX_4h,STF_BTC_4h,STF_DOGE_4h,STF_ETH_4h,STF_LINK_4h,STF_SOL_4h,TGMT_AVAX_4h,TGMT_BTC_4h,TGMT_ETH_4h,TGMT_LINK_4h,TTM_AVAX_4h,TTM_BTC_4h,TTM_DOGE_4h,TTM_ETH_4h,TTM_LINK_4h,TTM_SOL_4h,VWZ_AVAX_4h,VWZ_BTC_4h,VWZ_DOGE_4h,VWZ_ETH_4h,VWZ_INJ_4h,VWZ_LINK_4h,VWZ_SOL_4h
TGMT_AVAX_4h,0.261,0.13,0.142,0.144,0.137,0.154,0.147,0.058,0.02,0.047,0.09,0.036,0.055,0.28,0.121,0.147,0.13,0.133,0.144,0.064,0.021,0.027,-0.033,-0.033,0.05,0.051,0.066,0.395,0.158,0.171,0.146,0.161,0.135,1.0,0.22,0.267,0.256,0.066,0.065,0.039,0.054,0.115,0.064,-0.085,-0.039,-0.069,0.001,-0.04,-0.04,-0.065
TGMT_BTC_4h,0.069,0.227,0.085,0.193,0.13,0.13,0.062,0.007,-0.019,0.067,0.081,0.098,0.022,0.073,0.212,0.097,0.167,0.13,0.119,-0.013,-0.026,0.034,0.001,0.001,0.066,0.059,0.106,0.131,0.267,0.13,0.169,0.112,0.132,0.22,1.0,0.343,0.21,-0.027,0.041,0.023,0.088,0.053,0.079,-0.079,-0.177,-0.036,-0.079,-0.093,-0.093,-0.069
TGMT_ETH_4h,0.142,0.154,0.1,0.279,0.156,0.139,0.102,0.039,-0.064,0.047,0.12,0.045,0.138,0.138,0.14,0.139,0.275,0.141,0.158,-0.014,0.002,0.112,0.023,0.023,0.004,0.029,0.165,0.204,0.175,0.176,0.346,0.184,0.142,0.267,0.343,1.0,0.245,0.027,0.035,0.011,0.079,0.075,0.014,-0.069,-0.064,-0.084,-0.133,-0.073,-0.073,-0.06
TGMT_LINK_4h,0.119,0.145,0.134,0.115,0.265,0.15,0.103,0.009,0.071,0.073,0.075,0.094,0.089,0.101,0.095,0.146,0.115,0.24,0.148,0.002,0.028,0.03,0.017,0.017,0.095,0.046,0.082,0.18,0.186,0.167,0.146,0.3,0.206,0.256,0.21,0.245,1.0,0.001,0.021,-0.017,0.006,0.079,0.046,-0.047,-0.086,-0.04,-0.036,-0.076,-0.076,-0.073
TTM_AVAX_4h,0.471,0.171,0.183,0.195,0.217,0.247,0.139,0.025,-0.037,0.009,0.01,0.0,0.012,0.443,0.151,0.194,0.208,0.205,0.223,0.114,-0.045,-0.0,-0.027,-0.027,-0.008,0.081,0.148,0.242,0.076,0.097,0.099,0.121,0.109,0.066,-0.027,0.027,0.001,1.0,0.151,0.136,0.131,0.191,0.219,-0.006,-0.024,-0.03,-0.009,0.01,0.01,0.009
TTM_BTC_4h,0.203,0.494,0.241,0.314,0.208,0.205,0.131,0.005,0.05,0.069,0.113,0.039,0.047,0.207,0.476,0.23,0.326,0.213,0.218,0.049,0.061,-0.011,-0.033,-0.033,0.041,0.319,0.208,0.137,0.219,0.129,0.185,0.148,0.113,0.065,0.041,0.035,0.021,0.151,1.0,0.2,0.391,0.255,0.19,-0.013,0.0,0.016,-0.003,0.021,0.021,-0.052
TTM_DOGE_4h,0.164,0.204,0.481,0.226,0.17,0.14,0.155,0.047,0.08,0.049,0.048,0.073,0.004,0.201,0.235,0.429,0.228,0.177,0.149,0.031,0.019,0.071,0.06,0.06,-0.008,0.161,0.19,0.107,0.125,0.257,0.129,0.049,0.067,0.039,0.023,0.011,-0.017,0.136,0.2,1.0,0.165,0.186,0.155,0.015,-0.01,0.013,-0.003,0.02,0.02,-0.0
TTM_ETH_4h,0.164,0.269,0.177,0.422,0.178,0.175,0.124,0.015,0.046,0.079,0.056,0.063,0.057,0.195,0.289,0.183,0.411,0.178,0.191,0.048,0.035,0.022,0.07,0.07,0.055,0.161,0.23,0.137,0.182,0.137,0.218,0.121,0.087,0.054,0.088,0.079,0.006,0.131,0.391,0.165,1.0,0.205,0.149,-0.038,-0.024,0.019,0.037,0.049,0.049,0.005
TTM_LINK_4h,0.274,0.228,0.248,0.266,0.462,0.21,0.186,0.005,0.032,0.095,0.027,0.054,0.045,0.26,0.253,0.225,0.268,0.47,0.221,0.027,0.031,0.022,0.033,0.033,-0.015,0.182,0.174,0.157,0.128,0.161,0.246,0.268,0.097,0.115,0.053,0.075,0.079,0.191,0.255,0.186,0.205,1.0,0.21,0.021,-0.028,0.022,0.017,0.045,0.045,-0.042
TTM_SOL_4h,0.265,0.206,0.187,0.191,0.244,0.399,0.187,0.01,-0.003,0.026,0.051,0.033,0.115,0.251,0.202,0.185,0.208,0.237,0.396,0.055,-0.008,0.008,-0.045,-0.045,0.066,0.123,0.15,0.172,0.123,0.08,0.113,0.149,0.229,0.064,0.079,0.014,0.046,0.219,0.19,0.155,0.149,0.21,1.0,-0.011,-0.012,-0.039,-0.019,0.001,0.001,0.083
VWZ_AVAX_4h,-0.048,-0.044,-0.049,-0.055,-0.017,-0.043,-0.008,0.158,0.025,-0.014,0.034,-0.012,0.032,-0.049,-0.035,-0.055,-0.028,0.009,-0.063,0.15,0.041,0.032,0.079,0.079,0.046,0.026,-0.01,-0.014,-0.004,-0.014,-0.006,0.007,0.001,-0.085,-0.079,-0.069,-0.047,-0.006,-0.013,0.015,-0.038,0.021,-0.011,1.0,0.072,0.058,0.141,0.224,0.224,0.066
VWZ_BTC_4h,-0.04,-0.079,-0.046,-0.086,-0.037,-0.053,-0.013,0.04,0.004,0.02,-0.04,-0.005,-0.03,-0.047,-0.062,-0.036,-0.082,-0.053,-0.026,0.055,-0.018,0.039,0.025,0.025,-0.0,0.002,-0.018,-0.011,-0.037,-0.019,-0.051,-0.002,-0.029,-0.039,-0.177,-0.064,-0.086,-0.024,0.0,-0.01,-0.024,-0.028,-0.012,0.072,1.0,0.059,0.104,0.106,0.106,0.094
VWZ_DOGE_4h,-0.052,-0.033,-0.061,-0.024,-0.019,-0.034,-0.026,-0.062,-0.014,0.078,-0.057,-0.02,-0.006,-0.034,-0.054,-0.072,-0.008,0.002,-0.035,-0.042,0.016,0.079,0.027,0.027,0.016,0.015,0.014,-0.07,-0.031,-0.074,-0.029,-0.018,-0.021,-0.069,-0.036,-0.084,-0.04,-0.03,0.016,0.013,0.019,0.022,-0.039,0.058,0.059,1.0,0.092,0.162,0.162,0.009
VWZ_ETH_4h,-0.025,-0.04,-0.022,-0.057,-0.009,-0.014,0.047,0.062,0.034,0.004,-0.038,0.127,0.025,0.004,-0.01,-0.01,-0.032,-0.01,-0.02,0.013,0.01,-0.07,0.045,0.045,0.024,0.029,-0.03,-0.005,-0.017,0.014,-0.048,-0.0,-0.028,0.001,-0.079,-0.133,-0.036,-0.009,-0.003,-0.003,0.037,0.017,-0.019,0.141,0.104,0.092,1.0,0.114,0.114,-0.013
VWZ_INJ_4h,-0.019,-0.061,-0.038,-0.059,-0.029,-0.047,-0.011,0.063,0.003,0.003,0.022,0.019,0.055,-0.004,-0.05,-0.031,-0.042,-0.024,-0.036,0.051,0.038,0.022,0.207,0.207,0.021,0.007,-0.026,-0.055,-0.043,-0.041,-0.044,-0.027,-0.023,-0.04,-0.093,-0.073,-0.076,0.01,0.021,0.02,0.049,0.045,0.001,0.224,0.106,0.162,0.114,1.0,1.0,0.05
VWZ_LINK_4h,-0.019,-0.061,-0.038,-0.059,-0.029,-0.047,-0.011,0.063,0.003,0.003,0.022,0.019,0.055,-0.004,-0.05,-0.031,-0.042,-0.024,-0.036,0.051,0.038,0.022,0.207,0.207,0.021,0.007,-0.026,-0.055,-0.043,-0.041,-0.044,-0.027,-0.023,-0.04,-0.093,-0.073,-0.076,0.01,0.021,0.02,0.049,0.045,0.001,0.224,0.106,0.162,0.114,1.0,1.0,0.05
VWZ_SOL_4h,-0.021,-0.047,-0.06,-0.017,-0.057,-0.024,-0.009,-0.031,0.022,-0.039,0.034,-0.045,-0.047,-0.013,-0.057,-0.053,-0.029,-0.024,-0.004,0.002,0.039,0.035,-0.023,-0.023,0.058,0.039,0.009,-0.029,-0.025,-0.068,-0.053,-0.078,-0.023,-0.065,-0.069,-0.06,-0.073,0.009,-0.052,-0.0,0.005,-0.042,0.083,0.066,0.094,0.009,-0.013,0.05,0.05,1.0
