size,sleeves,avg_pair_corr,sharpe,cagr,max_dd,calmar,min_year_return,max_year_return,per_year_positive,per_year_total
2,CCI_BTC_4h + HTFD_SOL_4h,0.038,1.017,0.228,-0.242,0.942,-0.0039,0.6225,5,6
2,CCI_BTC_4h + LATBB_ETH_4h,0.161,0.29,0.0321,-0.3057,0.105,-0.1639,0.191,4,6
2,CCI_BTC_4h + LATBB_SOL_4h,0.061,0.409,0.0475,-0.1948,0.244,-0.082,0.2642,3,6
2,CCI_BTC_4h + LATBB_BTC_4h,0.322,0.057,-0.0034,-0.3449,-0.01,-0.1451,0.1069,3,6
2,CCI_BTC_4h + REGSW_BTC_4h,0.201,0.212,0.0227,-0.3971,0.057,-0.2351,0.2281,4,6
2,CCI_BTC_4h + REGSW_ETH_4h,0.137,0.463,0.0776,-0.2492,0.311,-0.0712,0.2727,4,6
2,CCI_ETH_4h + CCI_SOL_4h,0.017,1.253,0.2031,-0.1589,1.278,0.0643,0.276,6,6
2,CCI_ETH_4h + CCI_AVAX_4h,0.031,1.049,0.1634,-0.26,0.629,-0.0725,0.312,5,6
2,CCI_ETH_4h + CCI_LINK_4h,0.017,0.937,0.1485,-0.2015,0.737,-0.0097,0.3556,5,6
2,CCI_ETH_4h + STF_BTC_4h,0.128,0.852,0.1444,-0.3657,0.395,-0.104,0.2687,5,6
2,CCI_ETH_4h + STF_ETH_4h,0.114,1.105,0.2012,-0.3696,0.544,-0.1635,0.4012,5,6
2,CCI_ETH_4h + STF_SOL_4h,0.115,1.985,0.4056,-0.1675,2.421,0.1682,0.6254,6,6
2,CCI_ETH_4h + STF_AVAX_4h,0.085,1.671,0.3129,-0.1638,1.91,-0.0774,0.6342,5,6
2,CCI_ETH_4h + STF_LINK_4h,0.02,0.974,0.1652,-0.3956,0.418,-0.2802,0.3557,5,6
2,CCI_ETH_4h + TTM_BTC_4h,0.113,0.401,0.0602,-0.3135,0.192,-0.1247,0.2289,4,6
2,CCI_ETH_4h + TTM_SOL_4h,0.051,1.273,0.2481,-0.1845,1.345,0.0084,0.454,6,6
2,CCI_ETH_4h + TTM_AVAX_4h,0.01,1.148,0.2091,-0.1725,1.212,0.0996,0.3753,6,6
2,CCI_ETH_4h + TTM_DOGE_4h,0.048,0.832,0.1526,-0.3539,0.431,-0.2421,0.3093,5,6
2,CCI_ETH_4h + VWZ_ETH_4h,-0.038,0.859,0.1087,-0.2102,0.517,-0.1101,0.2705,4,6
2,CCI_ETH_4h + VWZ_DOGE_4h,-0.057,1.057,0.1326,-0.198,0.67,-0.1192,0.2699,5,6
2,CCI_ETH_4h + VWZ_INJ_4h,0.022,1.183,0.1567,-0.1957,0.801,-0.1152,0.3144,5,6
2,CCI_ETH_4h + BB_BTC_4h,0.15,0.787,0.1611,-0.2972,0.542,0.0221,0.3491,6,6
2,CCI_ETH_4h + BB_ETH_4h,0.125,0.985,0.2107,-0.2492,0.846,-0.0474,0.3723,5,6
2,CCI_ETH_4h + BB_SOL_4h,0.082,1.545,0.3746,-0.2962,1.265,0.0789,0.576,6,6
2,CCI_ETH_4h + BB_DOGE_4h,0.055,0.915,0.1884,-0.3009,0.626,-0.2009,0.3756,5,6
2,CCI_ETH_4h + HTFD_DOGE_4h,0.076,1.303,0.2995,-0.2817,1.063,-0.1543,0.5993,5,6
2,CCI_ETH_4h + HTFD_SOL_4h,0.081,1.584,0.3967,-0.2459,1.614,0.1939,0.5011,6,6
2,CCI_ETH_4h + LATBB_ETH_4h,0.362,1.11,0.1842,-0.1817,1.014,-0.044,0.388,5,6
2,CCI_ETH_4h + LATBB_SOL_4h,0.133,1.331,0.2046,-0.1887,1.084,0.0526,0.4276,6,6
2,CCI_ETH_4h + LATBB_BTC_4h,0.047,0.979,0.1424,-0.2342,0.608,-0.1577,0.2948,5,6
2,CCI_ETH_4h + REGSW_BTC_4h,0.127,0.94,0.1849,-0.2781,0.665,0.0742,0.3042,6,6
2,CCI_ETH_4h + REGSW_ETH_4h,0.272,1.071,0.2345,-0.2156,1.088,0.1153,0.3597,6,6
2,CCI_SOL_4h + CCI_AVAX_4h,0.035,0.513,0.0677,-0.1742,0.388,-0.0675,0.1479,4,6
2,CCI_SOL_4h + CCI_LINK_4h,0.052,0.358,0.0446,-0.2214,0.202,-0.118,0.2037,3,6
2,CCI_SOL_4h + STF_BTC_4h,0.033,0.353,0.0454,-0.3136,0.145,-0.075,0.185,3,6
2,CCI_SOL_4h + STF_ETH_4h,0.025,0.714,0.1117,-0.2762,0.404,-0.0179,0.2562,4,6
2,CCI_SOL_4h + STF_SOL_4h,0.065,1.587,0.2936,-0.1937,1.516,-0.017,0.4733,5,6
2,CCI_SOL_4h + STF_AVAX_4h,0.061,1.31,0.2248,-0.1556,1.445,0.0,0.4821,6,6
2,CCI_SOL_4h + STF_LINK_4h,0.028,0.548,0.0801,-0.3007,0.266,-0.07,0.3117,3,6
2,CCI_SOL_4h + TTM_BTC_4h,0.047,-0.098,-0.0337,-0.3273,-0.103,-0.0848,0.0888,1,6
2,CCI_SOL_4h + TTM_SOL_4h,0.115,0.8,0.1429,-0.2111,0.677,-0.0418,0.3662,5,6
2,CCI_SOL_4h + TTM_AVAX_4h,0.012,0.605,0.0946,-0.2118,0.447,-0.0659,0.4988,3,6
2,CCI_SOL_4h + TTM_DOGE_4h,0.004,0.428,0.0642,-0.1999,0.321,-0.0293,0.3109,4,6
2,CCI_SOL_4h + VWZ_ETH_4h,0.025,0.188,0.0157,-0.1667,0.094,-0.0303,0.1034,3,6
2,CCI_SOL_4h + VWZ_DOGE_4h,-0.006,0.389,0.0393,-0.15,0.262,-0.0195,0.0942,4,6
2,CCI_SOL_4h + VWZ_INJ_4h,0.055,0.581,0.0655,-0.1246,0.526,-0.0255,0.1473,5,6
2,CCI_SOL_4h + BB_BTC_4h,0.035,0.295,0.0407,-0.3349,0.121,-0.1281,0.5625,3,6
2,CCI_SOL_4h + BB_ETH_4h,0.052,0.624,0.1156,-0.2198,0.526,-0.0457,0.2157,5,6
2,CCI_SOL_4h + BB_SOL_4h,0.127,1.175,0.2702,-0.2472,1.093,-0.0714,0.5473,5,6
2,CCI_SOL_4h + BB_DOGE_4h,-0.002,0.545,0.0953,-0.2627,0.363,-0.0606,0.3773,4,6
2,CCI_SOL_4h + HTFD_DOGE_4h,0.017,1.007,0.2111,-0.2315,0.912,-0.0605,0.4472,5,6
2,CCI_SOL_4h + HTFD_SOL_4h,0.141,1.16,0.2726,-0.2036,1.339,0.0089,0.7146,6,6
2,CCI_SOL_4h + LATBB_ETH_4h,0.052,0.662,0.0859,-0.145,0.593,-0.0359,0.183,4,6
2,CCI_SOL_4h + LATBB_SOL_4h,0.322,0.707,0.0994,-0.1597,0.622,-0.0498,0.3562,4,6
2,CCI_SOL_4h + LATBB_BTC_4h,0.043,0.411,0.0484,-0.19,0.255,-0.079,0.2138,5,6
2,CCI_SOL_4h + REGSW_BTC_4h,0.023,0.479,0.0763,-0.2447,0.312,-0.0779,0.32,4,6
2,CCI_SOL_4h + REGSW_ETH_4h,0.061,0.704,0.1283,-0.2094,0.613,-0.0155,0.3647,5,6
2,CCI_AVAX_4h + CCI_LINK_4h,0.144,0.142,0.01,-0.3371,0.03,-0.2175,0.2769,4,6
2,CCI_AVAX_4h + STF_BTC_4h,0.075,0.153,0.0118,-0.3854,0.031,-0.1496,0.1898,3,6
2,CCI_AVAX_4h + STF_ETH_4h,0.019,0.515,0.0742,-0.4237,0.175,-0.1029,0.2489,4,6
2,CCI_AVAX_4h + STF_SOL_4h,0.053,1.47,0.2633,-0.202,1.303,0.0195,0.5468,6,6
2,CCI_AVAX_4h + STF_AVAX_4h,0.094,1.122,0.1859,-0.197,0.944,-0.0008,0.5556,5,6
2,CCI_AVAX_4h + STF_LINK_4h,0.015,0.357,0.0461,-0.3681,0.125,-0.2035,0.236,4,6
2,CCI_AVAX_4h + TTM_BTC_4h,0.005,-0.299,-0.0669,-0.4723,-0.142,-0.1693,0.0238,2,6
2,CCI_AVAX_4h + TTM_SOL_4h,0.01,0.667,0.1095,-0.2417,0.453,-0.0656,0.3753,3,6
2,CCI_AVAX_4h + TTM_AVAX_4h,0.025,0.46,0.0675,-0.2857,0.236,-0.1256,0.3624,4,6
2,CCI_AVAX_4h + TTM_DOGE_4h,0.047,0.256,0.0308,-0.3398,0.091,-0.1656,0.2352,4,6
2,CCI_AVAX_4h + VWZ_ETH_4h,0.062,-0.103,-0.0192,-0.292,-0.066,-0.1283,0.127,3,6
2,CCI_AVAX_4h + VWZ_DOGE_4h,-0.062,0.12,0.0072,-0.2051,0.035,-0.0425,0.0728,3,6
2,CCI_AVAX_4h + VWZ_INJ_4h,0.063,0.337,0.0331,-0.205,0.161,-0.0427,0.1105,4,6
2,CCI_AVAX_4h + BB_BTC_4h,0.056,0.186,0.0171,-0.2821,0.061,-0.1117,0.4258,2,6
2,CCI_AVAX_4h + BB_ETH_4h,0.032,0.483,0.0821,-0.2548,0.322,-0.1214,0.2837,5,6
2,CCI_AVAX_4h + BB_SOL_4h,0.063,1.083,0.2392,-0.3314,0.722,-0.0349,0.4716,5,6
2,CCI_AVAX_4h + BB_DOGE_4h,0.047,0.392,0.0625,-0.301,0.208,-0.1244,0.3016,3,6
2,CCI_AVAX_4h + HTFD_DOGE_4h,0.067,0.844,0.1731,-0.2935,0.59,-0.0777,0.5207,4,6
2,CCI_AVAX_4h + HTFD_SOL_4h,0.055,1.093,0.247,-0.3074,0.803,0.0453,0.5778,6,6
2,CCI_AVAX_4h + LATBB_ETH_4h,0.002,0.468,0.0546,-0.2104,0.259,-0.0711,0.1697,5,6
2,CCI_AVAX_4h + LATBB_SOL_4h,-0.002,0.571,0.0668,-0.2874,0.233,-0.1428,0.2194,3,6
2,CCI_AVAX_4h + LATBB_BTC_4h,0.097,0.187,0.0164,-0.251,0.065,-0.0811,0.138,3,6
2,CCI_AVAX_4h + REGSW_BTC_4h,0.094,0.342,0.0491,-0.2685,0.183,-0.0885,0.1834,4,6
2,CCI_AVAX_4h + REGSW_ETH_4h,0.034,0.565,0.0961,-0.2383,0.403,-0.1154,0.2281,5,6
2,CCI_LINK_4h + STF_BTC_4h,0.069,0.02,-0.0112,-0.4125,-0.027,-0.2004,0.2456,3,6
2,CCI_LINK_4h + STF_ETH_4h,0.043,0.391,0.0547,-0.4042,0.135,-0.1535,0.3046,3,6
2,CCI_LINK_4h + STF_SOL_4h,0.018,1.311,0.2349,-0.1957,1.2,-0.0621,0.602,5,6
2,CCI_LINK_4h + STF_AVAX_4h,0.062,0.994,0.1653,-0.186,0.888,-0.045,0.6108,5,6
2,CCI_LINK_4h + STF_LINK_4h,0.102,0.243,0.028,-0.3721,0.075,-0.1403,0.2504,3,6
2,CCI_LINK_4h + TTM_BTC_4h,0.039,-0.375,-0.0848,-0.4661,-0.182,-0.2199,0.0443,2,6
2,CCI_LINK_4h + TTM_SOL_4h,0.033,0.526,0.0849,-0.2745,0.309,-0.0977,0.4308,3,6
2,CCI_LINK_4h + TTM_AVAX_4h,0.0,0.33,0.0443,-0.3255,0.136,-0.1762,0.424,4,6
2,CCI_LINK_4h + TTM_DOGE_4h,0.073,0.164,0.0129,-0.3221,0.04,-0.1026,0.2496,2,6
2,CCI_LINK_4h + VWZ_ETH_4h,0.127,-0.242,-0.0385,-0.3235,-0.119,-0.1788,0.1828,2,6
2,CCI_LINK_4h + VWZ_DOGE_4h,-0.02,-0.037,-0.0111,-0.2087,-0.053,-0.0847,0.1287,2,6
2,CCI_LINK_4h + VWZ_INJ_4h,0.019,0.187,0.0155,-0.2061,0.075,-0.0706,0.1664,3,6
2,CCI_LINK_4h + BB_BTC_4h,0.116,0.08,-0.007,-0.3024,-0.023,-0.174,0.4873,2,6
2,CCI_LINK_4h + BB_ETH_4h,0.082,0.383,0.0619,-0.2437,0.254,-0.1071,0.3393,3,6
2,CCI_LINK_4h + BB_SOL_4h,0.05,0.975,0.216,-0.3245,0.666,-0.1165,0.486,5,6
2,CCI_LINK_4h + BB_DOGE_4h,0.123,0.29,0.0409,-0.3491,0.117,-0.1058,0.3159,2,6
2,CCI_LINK_4h + HTFD_DOGE_4h,0.104,0.728,0.1515,-0.3026,0.501,-0.1057,0.576,4,6
2,CCI_LINK_4h + HTFD_SOL_4h,0.055,0.962,0.2172,-0.3269,0.665,-0.0363,0.639,4,6
2,CCI_LINK_4h + LATBB_ETH_4h,0.002,0.319,0.0354,-0.2036,0.174,-0.1219,0.1224,4,6
2,CCI_LINK_4h + LATBB_SOL_4h,0.05,0.386,0.0446,-0.3123,0.143,-0.1933,0.2816,3,6
2,CCI_LINK_4h + LATBB_BTC_4h,0.082,0.051,-0.0031,-0.2683,-0.011,-0.1241,0.1524,2,6
2,CCI_LINK_4h + REGSW_BTC_4h,0.092,0.237,0.0279,-0.2727,0.102,-0.1393,0.2455,3,6
2,CCI_LINK_4h + REGSW_ETH_4h,0.044,0.451,0.0739,-0.2485,0.297,-0.1661,0.2901,5,6
2,STF_BTC_4h + STF_ETH_4h,0.307,0.356,0.0529,-0.5378,0.098,-0.1184,0.2709,4,6
2,STF_BTC_4h + STF_SOL_4h,0.26,1.179,0.2372,-0.2799,0.847,-0.0164,0.5156,5,6
2,STF_BTC_4h + STF_AVAX_4h,0.25,0.906,0.1665,-0.2568,0.648,-0.0322,0.5244,5,6
2,STF_BTC_4h + STF_LINK_4h,0.264,0.185,0.0173,-0.547,0.032,-0.235,0.3264,4,6
2,STF_BTC_4h + TTM_BTC_4h,0.219,-0.321,-0.0854,-0.5646,-0.151,-0.152,0.0105,1,6
2,STF_BTC_4h + TTM_SOL_4h,0.123,0.523,0.0887,-0.3046,0.291,-0.1387,0.344,4,6
2,STF_BTC_4h + TTM_AVAX_4h,0.076,0.344,0.049,-0.2504,0.196,-0.108,0.331,3,6
2,STF_BTC_4h + TTM_DOGE_4h,0.125,0.127,0.0049,-0.4864,0.01,-0.197,0.3256,3,6
2,STF_BTC_4h + VWZ_ETH_4h,-0.017,-0.222,-0.0376,-0.3986,-0.094,-0.1107,0.0956,1,6
2,STF_BTC_4h + VWZ_DOGE_4h,-0.031,-0.045,-0.0138,-0.3636,-0.038,-0.081,0.0693,3,6
2,STF_BTC_4h + VWZ_INJ_4h,-0.043,0.165,0.0131,-0.3322,0.039,-0.07,0.0791,3,6
2,STF_BTC_4h + BB_BTC_4h,0.466,0.106,-0.0059,-0.4779,-0.012,-0.2151,0.3943,3,6
2,STF_BTC_4h + BB_ETH_4h,0.319,0.372,0.0632,-0.3604,0.175,-0.0802,0.2524,4,6
2,STF_BTC_4h + BB_SOL_4h,0.196,0.927,0.2164,-0.4,0.541,-0.0482,0.562,5,6
2,STF_BTC_4h + BB_DOGE_4h,0.214,0.261,0.0345,-0.4834,0.071,-0.1558,0.392,3,6
2,STF_BTC_4h + HTFD_DOGE_4h,0.232,0.693,0.1499,-0.4468,0.335,-0.1092,0.4895,4,6
2,STF_BTC_4h + HTFD_SOL_4h,0.212,0.928,0.2214,-0.3563,0.621,-0.0677,0.5463,5,6
2,STF_BTC_4h + LATBB_ETH_4h,0.058,0.296,0.0341,-0.2846,0.12,-0.0532,0.1977,4,6
2,STF_BTC_4h + LATBB_SOL_4h,0.047,0.408,0.0505,-0.2886,0.175,-0.1253,0.188,4,6
2,STF_BTC_4h + LATBB_BTC_4h,0.092,0.034,-0.0066,-0.3597,-0.018,-0.1125,0.2284,2,6
2,STF_BTC_4h + REGSW_BTC_4h,0.247,0.232,0.0273,-0.3281,0.083,-0.0706,0.1849,2,6
2,STF_BTC_4h + REGSW_ETH_4h,0.216,0.442,0.077,-0.3052,0.252,-0.0977,0.1966,5,6
2,STF_ETH_4h + STF_SOL_4h,0.297,1.409,0.3063,-0.3207,0.955,0.004,0.5743,6,6
2,STF_ETH_4h + STF_AVAX_4h,0.307,1.118,0.2253,-0.3206,0.703,-0.0919,0.5831,5,6
2,STF_ETH_4h + STF_LINK_4h,0.347,0.464,0.0779,-0.5206,0.15,-0.2944,0.3976,5,6
2,STF_ETH_4h + TTM_BTC_4h,0.185,-0.0,-0.0223,-0.4749,-0.047,-0.1391,0.0999,4,6
2,STF_ETH_4h + TTM_SOL_4h,0.113,0.831,0.1612,-0.2884,0.559,0.0458,0.4029,6,6
2,STF_ETH_4h + TTM_AVAX_4h,0.099,0.65,0.1163,-0.2594,0.448,-0.0616,0.271,4,6
2,STF_ETH_4h + TTM_DOGE_4h,0.129,0.397,0.0636,-0.461,0.138,-0.2563,0.3968,4,6
2,STF_ETH_4h + VWZ_ETH_4h,-0.048,0.243,0.0247,-0.3644,0.068,-0.1245,0.1548,3,6
2,STF_ETH_4h + VWZ_DOGE_4h,-0.029,0.414,0.0484,-0.3312,0.146,-0.1336,0.1409,5,6
2,STF_ETH_4h + VWZ_INJ_4h,-0.044,0.59,0.0743,-0.3361,0.221,-0.1296,0.1853,4,6
2,STF_ETH_4h + BB_BTC_4h,0.287,0.4,0.0708,-0.3144,0.225,-0.0474,0.3341,4,6
2,STF_ETH_4h + BB_ETH_4h,0.576,0.585,0.1298,-0.3616,0.359,-0.0132,0.3113,5,6
2,STF_ETH_4h + BB_SOL_4h,0.243,1.102,0.2754,-0.4624,0.596,-0.0504,0.6332,5,6
2,STF_ETH_4h + BB_DOGE_4h,0.192,0.503,0.096,-0.4684,0.205,-0.2152,0.4632,4,6
2,STF_ETH_4h + HTFD_DOGE_4h,0.244,0.88,0.2063,-0.4448,0.464,-0.1686,0.5482,4,6
2,STF_ETH_4h + HTFD_SOL_4h,0.256,1.144,0.2972,-0.4233,0.702,0.0298,0.4859,6,6
2,STF_ETH_4h + LATBB_ETH_4h,0.111,0.64,0.0948,-0.3094,0.306,-0.0584,0.2689,3,6
2,STF_ETH_4h + LATBB_SOL_4h,-0.007,0.79,0.1142,-0.3049,0.375,-0.0788,0.2983,4,6
2,STF_ETH_4h + LATBB_BTC_4h,0.046,0.406,0.053,-0.3845,0.138,-0.172,0.2997,3,6
2,STF_ETH_4h + REGSW_BTC_4h,0.149,0.519,0.0937,-0.3638,0.258,-0.0241,0.2561,4,6
2,STF_ETH_4h + REGSW_ETH_4h,0.303,0.687,0.1439,-0.2902,0.496,-0.0511,0.2305,5,6
2,STF_SOL_4h + STF_AVAX_4h,0.299,1.875,0.4177,-0.1409,2.965,0.0219,0.8807,6,6
2,STF_SOL_4h + STF_LINK_4h,0.28,1.291,0.2713,-0.2268,1.196,-0.0114,0.5831,5,6
2,STF_SOL_4h + TTM_BTC_4h,0.113,0.865,0.1668,-0.2572,0.649,0.0094,0.3138,6,6
2,STF_SOL_4h + TTM_SOL_4h,0.229,1.491,0.3393,-0.2143,1.583,0.0169,0.7006,6,6
2,STF_SOL_4h + TTM_AVAX_4h,0.109,1.423,0.2988,-0.1663,1.797,-0.0439,0.6413,5,6
2,STF_SOL_4h + TTM_DOGE_4h,0.067,1.234,0.2584,-0.2511,1.029,-0.0073,0.5823,5,6
2,STF_SOL_4h + VWZ_ETH_4h,-0.028,1.394,0.2126,-0.1518,1.4,-0.0083,0.4524,5,6
2,STF_SOL_4h + VWZ_DOGE_4h,-0.021,1.569,0.2374,-0.1553,1.529,0.0025,0.3983,6,6
2,STF_SOL_4h + VWZ_INJ_4h,-0.023,1.705,0.2641,-0.144,1.834,-0.0035,0.436,5,6
2,STF_SOL_4h + BB_BTC_4h,0.224,1.052,0.2463,-0.2976,0.828,-0.0595,0.7053,5,6
2,STF_SOL_4h + BB_ETH_4h,0.256,1.265,0.3132,-0.2021,1.55,0.0441,0.609,6,6
2,STF_SOL_4h + BB_SOL_4h,0.532,1.571,0.4659,-0.2729,1.707,-0.0494,0.8187,5,6
2,STF_SOL_4h + BB_DOGE_4h,0.18,1.195,0.2841,-0.2604,1.091,-0.0386,0.6487,5,6
2,STF_SOL_4h + HTFD_DOGE_4h,0.224,1.526,0.3998,-0.252,1.587,-0.0385,0.8458,5,6
2,STF_SOL_4h + HTFD_SOL_4h,0.555,1.544,0.4683,-0.2606,1.797,0.0308,0.8575,6,6
2,STF_SOL_4h + LATBB_ETH_4h,0.055,1.645,0.286,-0.1815,1.576,-0.0139,0.4544,5,6
2,STF_SOL_4h + LATBB_SOL_4h,0.12,1.712,0.3004,-0.1852,1.622,-0.0279,0.4991,5,6
2,STF_SOL_4h + LATBB_BTC_4h,0.009,1.461,0.2431,-0.1674,1.452,-0.057,0.4851,5,6
2,STF_SOL_4h + REGSW_BTC_4h,0.137,1.265,0.2789,-0.2028,1.375,-0.002,0.4629,5,6
2,STF_SOL_4h + REGSW_ETH_4h,0.191,1.402,0.3302,-0.1926,1.715,0.0702,0.5074,6,6
2,STF_AVAX_4h + STF_LINK_4h,0.357,0.97,0.1915,-0.3444,0.556,-0.2084,0.5173,5,6
2,STF_AVAX_4h + TTM_BTC_4h,0.137,0.523,0.0881,-0.2523,0.349,-0.062,0.3226,4,6
2,STF_AVAX_4h + TTM_SOL_4h,0.172,1.27,0.2655,-0.223,1.191,0.0112,0.7094,6,6
2,STF_AVAX_4h + TTM_AVAX_4h,0.242,1.123,0.2328,-0.2279,1.022,-0.0269,0.36,5,6
2,STF_AVAX_4h + TTM_DOGE_4h,0.107,0.919,0.1804,-0.3231,0.558,-0.1705,0.4353,5,6
2,STF_AVAX_4h + VWZ_ETH_4h,-0.005,0.98,0.1324,-0.1438,0.921,-0.0383,0.4612,4,6
2,STF_AVAX_4h + VWZ_DOGE_4h,-0.07,1.2,0.1588,-0.1612,0.985,-0.0475,0.4071,5,6
2,STF_AVAX_4h + VWZ_INJ_4h,-0.055,1.329,0.1821,-0.1685,1.081,-0.0434,0.4448,5,6
2,STF_AVAX_4h + BB_BTC_4h,0.239,0.849,0.1871,-0.264,0.709,0.0248,0.4208,6,6
2,STF_AVAX_4h + BB_ETH_4h,0.281,0.997,0.2307,-0.2293,1.006,-0.0446,0.6178,5,6
2,STF_AVAX_4h + BB_SOL_4h,0.277,1.491,0.3943,-0.2951,1.336,-0.0324,0.6411,5,6
2,STF_AVAX_4h + BB_DOGE_4h,0.212,0.939,0.2105,-0.2606,0.808,-0.1293,0.566,4,6
2,STF_AVAX_4h + HTFD_DOGE_4h,0.263,1.264,0.3166,-0.2772,1.142,-0.0827,0.8546,4,6
2,STF_AVAX_4h + HTFD_SOL_4h,0.274,1.514,0.4112,-0.2608,1.576,0.0477,0.6909,6,6
2,STF_AVAX_4h + LATBB_ETH_4h,0.021,1.343,0.2109,-0.127,1.661,0.0031,0.4008,6,6
2,STF_AVAX_4h + LATBB_SOL_4h,0.05,1.44,0.2262,-0.1377,1.643,-0.0109,0.4855,5,6
2,STF_AVAX_4h + LATBB_BTC_4h,0.013,1.11,0.1677,-0.1935,0.866,-0.086,0.4197,4,6
2,STF_AVAX_4h + REGSW_BTC_4h,0.161,1.017,0.212,-0.1978,1.072,0.0149,0.3295,6,6
2,STF_AVAX_4h + REGSW_ETH_4h,0.164,1.176,0.2584,-0.1584,1.631,0.0871,0.4936,6,6
2,STF_LINK_4h + TTM_BTC_4h,0.148,-0.161,-0.0536,-0.544,-0.099,-0.2557,0.0967,3,6
2,STF_LINK_4h + TTM_SOL_4h,0.149,0.688,0.1289,-0.2905,0.444,-0.1337,0.3371,5,6
2,STF_LINK_4h + TTM_AVAX_4h,0.121,0.547,0.0943,-0.1937,0.487,-0.0342,0.2426,4,6
2,STF_LINK_4h + TTM_DOGE_4h,0.049,0.196,0.0195,-0.5263,0.037,-0.3728,0.4523,4,6
2,STF_LINK_4h + VWZ_ETH_4h,-0.0,0.025,-0.0062,-0.3932,-0.016,-0.2411,0.1378,4,6
2,STF_LINK_4h + VWZ_DOGE_4h,-0.018,0.157,0.0121,-0.3883,0.031,-0.2502,0.2322,4,6
2,STF_LINK_4h + VWZ_INJ_4h,-0.027,0.34,0.0372,-0.3476,0.107,-0.2462,0.3144,4,6
2,STF_LINK_4h + BB_BTC_4h,0.255,0.28,0.0393,-0.4893,0.08,-0.2101,0.2182,4,6
2,STF_LINK_4h + BB_ETH_4h,0.269,0.486,0.0934,-0.3836,0.243,-0.1295,0.383,4,6
2,STF_LINK_4h + BB_SOL_4h,0.261,1.001,0.2457,-0.3967,0.619,-0.0521,0.6887,4,6
2,STF_LINK_4h + BB_DOGE_4h,0.252,0.323,0.0506,-0.5159,0.098,-0.3317,0.5187,3,6
2,STF_LINK_4h + HTFD_DOGE_4h,0.263,0.746,0.1687,-0.4732,0.356,-0.285,0.5112,4,6
2,STF_LINK_4h + HTFD_SOL_4h,0.239,1.053,0.2657,-0.3615,0.735,-0.0628,0.4772,5,6
2,STF_LINK_4h + LATBB_ETH_4h,0.015,0.482,0.0642,-0.2832,0.227,-0.1748,0.3244,4,6
2,STF_LINK_4h + LATBB_SOL_4h,-0.02,0.681,0.0937,-0.1882,0.498,-0.0181,0.1957,5,6
2,STF_LINK_4h + LATBB_BTC_4h,0.036,0.182,0.0164,-0.3863,0.042,-0.2886,0.3551,3,6
2,STF_LINK_4h + REGSW_BTC_4h,0.14,0.393,0.0638,-0.3216,0.198,-0.043,0.3116,3,6
