n_full,wr_full,sum_pnl_full,dpt_full_25,n_train,wr_train,dpt_train_25,sum_pnl_train,n_val,wr_val,dpt_val_25,sum_pnl_val,n_lock,wr_lock,dpt_lock_25,sum_pnl_lock,max_dd_25,loss_streak,sharpe_daily,fires_per_day,bootstrap_p,boot_ci_lo_$25,boot_ci_hi_$25,days_lock,passes_v7,fails,sleeve_id,gate_stack,cohort,n_gates,v7_score,threshold
53,0.8113207547169812,441.1961767152889,8.324456164439413,33,0.7575757575757576,7.915239384076513,261.20289967452493,6,0.8333333333333334,6.913778228636494,41.482669371818965,14,0.9285714285714286,9.893614833496068,138.51060766894494,50.0,2,10.290874140292386,2.789473684210526,0.0,15.250005666793458,261.77120967109647,4.0,True,,V7_PI_S1_XA_PARTIAL,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_xa_partial_with,HUR22,5,37.0185170236468,
41,0.8048780487804879,317.58361480769855,7.745941824578013,25,0.8,9.178972738764612,229.4743184691153,6,0.5,-4.3419500750226545,-26.051700450135925,10,1.0,11.416099678871923,114.16099678871923,60.96563374821619,3,9.256975369466213,2.1578947368421053,0.0,53.29609331298389,186.19200132681183,4.0,True,,V7_PI_S1_TS_AND_F7_MOMO,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_f7_rsi_momentum_with,HUR22,6,36.10087698075209,
28,0.7857142857142857,198.10174586721735,7.07506235240062,13,0.7692307692307693,8.3653921091124,108.75009741846121,3,0.3333333333333333,-10.250000062088171,-30.750000186264515,12,0.9166666666666666,10.008470719585054,120.10164863502064,50.0,2,11.186061640538698,2.3333333333333335,0.0,33.32326812151821,208.49093441109008,4.0,True,,V7_PI_S1_M1V_AND_MARKOV,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_m1v_with&g_pw_markov_with,HUR22,6,34.67035958477351,
34,0.8235294117647058,271.6421480507373,7.989474942668744,19,0.8421052631578947,10.238952537455543,194.5400982116553,6,0.5,-4.3419500750226545,-26.051700450135925,9,1.0,11.46152780991311,103.15375028921798,60.96563374821619,2,11.036968158366141,2.2666666666666666,0.0,46.92240047097205,170.55120116982116,3.0,True,,V7_PI_S1_TS_M1V_F7,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_m1v_with&g_pw_f7_rsi_momentum_with,HUR22,7,34.38458342973933,
54,0.7777777777777778,353.9732197573892,6.5550596251368365,28,0.7857142857142857,7.727784976761228,216.3779793493144,7,0.5714285714285714,-1.6661158952718722,-11.662811266903105,19,0.8421052631578947,7.855686930261993,149.25805167497788,61.46563374821619,2,9.006992502073587,3.0,0.0,30.587961629719555,330.85367324440415,4.0,True,,V7_PI_S1_M1V,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_m1v_with,HUR22,5,34.24214546110528,
53,0.7924528301886793,361.81876091655346,6.826769073897235,30,0.7666666666666667,7.110398730550743,213.31196191652228,9,0.6666666666666666,2.30051657896768,20.70464921070912,14,0.9285714285714286,9.128724984951575,127.80214978932204,64.99295670360448,3,9.579272486985932,2.65,0.0,63.68428924079069,210.46852729435923,4.0,True,,V7_PI_S1_F7_RSI_MOMO,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_f7_rsi_momentum_with,HUR22,5,34.15656127177189,
42,0.8095238095238095,362.39935333153977,8.628556031703328,26,0.7692307692307693,8.709660984896923,226.45118560731999,4,0.75,5.350456682349007,21.401826729396028,12,0.9166666666666666,9.545528416235314,114.54634099482377,50.0,2,10.220410018156944,2.4705882352941178,0.0,15.250005666793458,213.842676322854,4.0,True,,V7_PI_S1_XA_BTC_ETH,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_xa_btc_eth_with,HUR22,5,33.06668040402408,
53,0.8113207547169812,447.17903823154427,8.437340343991401,34,0.7647058823529411,8.283342237985263,281.63363609149894,6,0.8333333333333334,8.284931189565963,49.70958713739578,13,0.9230769230769231,8.910447307896119,115.83581500264954,50.0,2,11.089565959242343,2.789473684210526,0.0,17.828953682445015,213.842676322854,4.0,True,,V7_PI_S1_BTC_RF,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_rf_with,HUR22,5,32.127074655939516,
35,0.7142857142857143,149.63448375990944,4.275270964568842,21,0.6666666666666666,3.611828418319366,75.84839678470668,3,0.3333333333333333,-10.250000062088171,-30.750000186264515,11,0.9090909090909091,9.503280651042477,104.53608716146725,50.0,2,5.013823862452295,2.3333333333333335,0.0,46.92240047097205,152.74366396754175,3.0,True,,V7_PI_S1_TS_AND_MULTI_TF,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_multi_tf_align_with,HUR22,6,31.518816196952283,
21,0.8095238095238095,183.5140601132166,8.73876476729603,13,0.7692307692307693,9.053551115008405,117.69616449510926,2,0.5,-5.482816874108099,-10.965633748216199,6,1.0,12.797254894387256,76.78352936632353,25.0,1,9.82217467453147,1.4,0.0,24.056160806539367,132.41563441880515,4.0,True,,V7_PI_S1_XA_AND_BTC_15M,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_xa_unanimity_with&g_pw_btc_15m_trend_with,HUR22,6,31.346744599583406,
