tf,mode,s_now,tau_s,reason,signal,strike,symbol,cvd_30s,cvd_60s,fair_up,fee_usd,fill_qty,macd_hist,fill_price,kelly_mult,kelly_rule,entry_phase,fill_status,rvol_30_300,condition_id,fair_edge_bp,qty_intended,vwap_dev_bps,strategy_mode,predicted_edge_pp,kelly_notional_usd,predicted_cost_bps,_at
5m,paper,85.61,180.0,order_placed,UP,85.59,SOL,21682.14014,-11821.701690000002,0.5621991284544493,0.8572404270770777,49.0196,0.000685765752106922,0.5132516789202686272429803589,1.0,S4,t_plus_120,filled,0.23996123639833775,0x78223b5fb3a0846eee1751066f1282bea0990a96f2c6955e9335143bc468b024,521.9912845444929,25,8.60948118593293,vwap_kelly_ensemble,3.0,25.0,400.0,2026-05-26 16:12:06.375811+02
5m,paper,85.68,180.0,order_placed,DOWN,85.7,SOL,45039.12912,144313.76299000005,0.4336554737236866,0.873655714386,50.0000,-0.008016159367458559,0.519598,1.0,S8,t_plus_120,filled,2.0820643572742923,0xe3e2d754b07be62fc7d000ab9a6493b78c8c477bcfdb8a814a144d19f7ca233e,-763.4452627631339,25,-1.0380694170209994,vwap_kelly_ensemble,3.0,25.0,400.0,2026-05-26 16:17:07.743232+02
5m,paper,77654.0,180.0,order_placed,UP,77526.33,BTC,1766.1403622000398,622731.5853068,0.9264690310463766,3.6399994176,208.3333,-0.4475736568289159,0.48,4.0,S4,t_plus_120,filled,0.41719389126075473,0xa982d0155543847b4da6277d13c736a684174426ed4d037f9ce77c62606fc0e1,4464.690310463766,25,11.723304293346358,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:22:02.923992+02
5m,paper,86.08,180.0,order_placed,UP,85.87,SOL,46284.81879000002,54554.342260000034,0.9054428123899674,3.568236304570087,204.0816,0.008159734523626587,0.5149471975915516146482583437,4.0,S4,t_plus_120,filled,0.7737584108302991,0x94b14a0b8e1dd42d2424d16d4fbe4c5afbbed4728fb0037596a5ab123339fb31,4154.428123899674,25,28.049354071989608,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:27:11.032898+02
5m,paper,78022.01,180.0,order_placed,UP,77788.36,BTC,460055.1234791002,4394065.852230897,0.9759843845566413,3.7099989983,212.7659,4.6745357524723214,0.47,4.0,S4,t_plus_120,filled,0.592227551515908,0x4b58fdc18c603b8feaa1b22601af53b2536723bd8eaf0adf514b047274a92ca6,5059.843845566413,25,32.976071364997225,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:27:11.043341+02
5m,paper,2138.58,180.0,order_placed,UP,2135.07,ETH,25260.771533999992,383245.967372,0.8623017488872633,3.4299994512,196.0784,0.1212595328535207,0.51,4.0,S4,t_plus_120,filled,0.3092971955428001,0x423275e941c10724e5cda80f03de8574e81ae0628da5ad7af5df1cedd0c42d78,3523.017488872633,25,13.862020898954105,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:27:11.048038+02
5m,paper,77726.41,180.0,order_placed,DOWN,77958.4,BTC,-697367.9644998001,-1599563.6079212998,0.03814719697913066,2.4674994078,141.5094,2.545971671373538,0.53,3.0,S4,t_plus_120,filled,0.6911084764082369,0x3bf1acf8a2a76acb2751f4d6d324932e21472a6a02cb56fc33a394704781192c,-4418.528030208693,25,-18.3457782530009,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 16:32:05.271186+02
5m,paper,85.87,180.0,order_placed,DOWN,86.02,SOL,-54055.502789999984,-124814.27966000003,0.18414954866536098,2.510109232737477,144.2307,0.0022024740266795547,0.5371421271615543708794313555,3.0,S4,t_plus_120,filled,0.7324246029140884,0x619ee0d503c42ffc06a36da6fc0085389c48e63f94573d0a7aab12e15218766c,-3058.50451334639,25,-8.563848371404733,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 16:32:05.279246+02
5m,paper,2126.58,180.0,order_placed,DOWN,2130.59,ETH,-663150.1197580001,-646712.5790920001,0.11226853991136926,3.4299994512,196.0784,0.02377691656893899,0.51,4.0,S4,t_plus_120,filled,2.215584558486659,0xe7ec739bba16fb89a00ff323150cbe4cdc8b3cbd31762b2d49359b8e747301dc,-3877.3146008863073,25,-24.51110599704292,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:37:08.196923+02
5m,paper,77388.01,180.0,order_placed,DOWN,77562.25,BTC,-3135194.8783078,-2813927.4751704,0.08635655281863597,3.5,200.0000,-0.020169518465706915,0.5,4.0,S4,t_plus_120,filled,1.7581361391127117,0xf69ac8a78290c50772171ceeefdd4b0d1168ab185faa6808778cb641752b8bbb,-4236.434471813641,25,-29.41168941400859,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 16:37:08.19823+02
