fid,slug,ts,price,size,bid0,ask0,snap_us,age_s,cls
679,btc-updown-5m-1782832800,1782833050,0.39,30.0,0.38,0.39,1782833049977000.0,0.023,TAKER
680,btc-updown-5m-1782832800,1782833050,0.6499999968137253,31.384614,0.61,0.62,1782833049977000.0,0.023,TAKER
681,btc-updown-5m-1782832800,1782832955,0.59,30.0,0.63,0.64,1782832954861000.0,0.139,MAKER
682,btc-updown-5m-1782832200,1782832376,0.17,10.74,0.18,0.19,1782832375674000.0,0.326,MAKER
683,btc-updown-5m-1782832200,1782832232,0.48,30.625,0.47,0.48,1782832231804000.0,0.196,TAKER
684,btc-updown-5m-1782831900,1782832184,0.22,30.0,0.08,0.09,1782832183829000.0,0.171,TAKER
685,btc-updown-5m-1782831900,1782832184,0.2183458440558527,30.227271,0.08,0.09,1782832183829000.0,0.171,TAKER
686,btc-updown-5m-1782831900,1782832180,0.52,30.0,0.18,0.19,1782832179874000.0,0.126,TAKER
687,btc-updown-5m-1782831900,1782832091,0.66,4.34,0.71,0.72,1782832090926000.0,0.074,MAKER
688,btc-updown-5m-1782831900,1782831991,0.22,30.0,0.17,0.18,1782831990967000.0,0.033,TAKER
689,btc-updown-5m-1782831600,1782831718,0.81,30.0,0.8,0.81,1782831717350000.0,0.65,TAKER
690,btc-updown-5m-1782831600,1782831704,0.17,30.0,0.17,0.18,1782831703840000.0,0.16,MAKER
691,btc-updown-5m-1782831600,1782831697,0.79,5.0,0.82,0.83,1782831696769000.0,0.231,MAKER
692,btc-updown-5m-1782831600,1782831653,0.65,30.0,0.64,0.65,1782831652947000.0,0.053,TAKER
693,btc-updown-5m-1782831600,1782831650,0.65,30.0,0.64,0.65,1782831649860000.0,0.14,TAKER
694,btc-updown-5m-1782831300,1782831578,0.2142857142857142,35.0,0.17,0.18,1782831577877000.0,0.123,TAKER
695,btc-updown-5m-1782831300,1782831578,0.2248904663341326,33.349564,0.17,0.18,1782831577877000.0,0.123,TAKER
696,btc-updown-5m-1782831300,1782831575,0.91,5.0,0.84,0.85,1782831574999000.0,0.001,TAKER
697,btc-updown-5m-1782831300,1782831550,0.76,15.0,0.85,0.86,1782831549980000.0,0.02,MAKER
699,btc-updown-5m-1782831000,1782831079,0.35,22.5,0.35,0.38,1782831078731000.0,0.269,MAKER
700,btc-updown-5m-1782831000,1782831073,0.31,30.0,0.3,0.32,1782831072621000.0,0.379,INSIDE
2070,btc-updown-15m-1782752400,1782752840,0.981,25.08,0.98,0.99,1782752838206000.0,1.794,INSIDE
2071,btc-updown-15m-1782752400,1782752708,0.03,35.0,0.02,0.03,1782752706148000.0,1.852,TAKER
2072,btc-updown-15m-1782752400,1782752633,0.07,30.0,0.06,0.07,1782752632169000.0,0.831,TAKER
2082,btc-updown-15m-1782751500,1782752305,0.18,30.0,0.21,0.22,1782752304896000.0,0.104,MAKER
2083,btc-updown-15m-1782751500,1782752303,0.18,30.0,0.17,0.19,1782752302776000.0,0.224,INSIDE
2084,btc-updown-15m-1782751500,1782752299,0.81,30.0,0.82,0.83,1782752298230000.0,0.77,MAKER
2085,btc-updown-15m-1782751500,1782752287,0.12,30.0,0.16,0.18,1782752286937000.0,0.063,MAKER
2086,btc-updown-15m-1782751500,1782752285,0.12,30.0,0.14,0.15,1782752284984000.0,0.016,MAKER
2087,btc-updown-15m-1782751500,1782752284,0.12,30.0,0.11,0.12,1782752283922000.0,0.078,TAKER
2088,btc-updown-15m-1782751500,1782752278,0.22,30.0,0.19,0.2,1782752277580000.0,0.42,TAKER
2089,btc-updown-15m-1782751500,1782752270,0.68,23.0,0.68,0.7,1782752269043000.0,0.957,MAKER
2090,btc-updown-15m-1782751500,1782752252,0.31,30.0,0.33,0.36,1782752251737000.0,0.263,MAKER
2091,btc-updown-15m-1782751500,1782752242,0.61,30.0,0.66,0.67,1782752241302000.0,0.698,MAKER
2092,btc-updown-15m-1782751500,1782752240,0.61,30.0,0.6,0.61,1782752239455000.0,0.545,TAKER
2093,btc-updown-15m-1782751500,1782752239,0.41,25.0,0.39,0.4,1782752238918000.0,0.082,TAKER
2094,btc-updown-15m-1782751500,1782752239,0.4,30.0,0.39,0.4,1782752238918000.0,0.082,TAKER
2095,btc-updown-15m-1782751500,1782752236,0.61,30.0,0.6,0.61,1782752235983000.0,0.017,TAKER
2096,btc-updown-15m-1782751500,1782752231,0.4,30.0,0.39,0.4,1782752230975000.0,0.025,TAKER
2097,btc-updown-15m-1782751500,1782752224,0.67,30.0,0.71,0.72,1782752223375000.0,0.625,MAKER
2098,btc-updown-15m-1782751500,1782752185,0.49,20.0,0.41,0.44,1782752184932000.0,0.068,TAKER
2099,btc-updown-15m-1782751500,1782752177,0.41,15.0,0.46,0.47,1782752176960000.0,0.04,MAKER
2100,btc-updown-15m-1782751500,1782752171,0.62,15.0,0.62,0.63,1782752169741000.0,1.259,MAKER
2101,btc-updown-15m-1782751500,1782752141,0.56,28.57,0.62,0.63,1782752140493000.0,0.507,MAKER
2102,btc-updown-15m-1782751500,1782752108,0.52,30.0,0.48,0.49,1782752107634000.0,0.366,TAKER
2103,btc-updown-15m-1782751500,1782752047,0.37,22.91,0.41,0.42,1782752045404000.0,1.596,MAKER
2104,btc-updown-15m-1782751500,1782752006,0.33,2.5,0.35,0.36,1782752005936000.0,0.064,MAKER
2105,btc-updown-15m-1782751500,1782751966,0.52,5.0,0.55,0.56,1782751965746000.0,0.254,MAKER
2106,btc-updown-15m-1782751500,1782751948,0.52,30.0,0.53,0.54,1782751947134000.0,0.866,MAKER
2107,btc-updown-15m-1782751500,1782751912,0.52,30.0,0.51,0.52,1782751909809000.0,2.191,TAKER
2108,btc-updown-15m-1782751500,1782751865,0.55,18.0,0.53,0.54,1782751863796000.0,1.204,TAKER
2109,btc-updown-15m-1782751500,1782751864,0.55,8.0,0.53,0.54,1782751863796000.0,0.204,TAKER
2110,btc-updown-15m-1782751500,1782751588,0.64,30.0,0.59,0.62,1782751582684000.0,5.316,TAKER
2111,btc-updown-15m-1782751500,1782751585,0.62,5.0,0.59,0.62,1782751582684000.0,2.316,TAKER
