slug,dir,ev,fire_us,slot_start,ts,fid,ex_ts,bid0,bidsz0,ask0,asksz0,en_ts,min_ts,exit_off,sh,pnl_exit_full,won,pnl,sold,pnl_exit_partial
btc-updown-5m-1782832800,UP,0.6319864122921357,1782832805000000,1782832800,2026-06-30 15:20:05.001717+00:00,253,1782832864921000.0,0.7,4.68,,,,1782832851821000.0,59.921,7.9115625000000005,0.5380937499999998,False,2.9115625000000005,4.68,-1.7240000000000006
btc-updown-5m-1782833400,UP,0.56,1782833405000000,1782833400,2026-06-30 15:30:05.003671+00:00,255,1782833465036000.0,0.49,1452.34,,,,1782833437357000.0,60.036,8.928571428571427,-0.6250000000000004,False,3.9285714285714257,8.928571428571427,-0.6250000000000004
btc-updown-5m-1782946800,DOWN,0.5,1782946805000000,1782946800,2026-07-01 23:00:05.002741+00:00,310,1782946864956000.0,0.89,733.82,,,,1782946864946000.0,59.956,10.0,3.9000000000000004,False,5.0,10.0,3.9000000000000004
btc-updown-5m-1782951300,UP,0.66,1782951305000000,1782951300,2026-07-02 00:15:05.002101+00:00,311,1782951364895000.0,0.55,1152.72,,,,1782951361029000.0,59.895,7.575757575757575,-0.8333333333333331,False,-5.0,7.575757575757575,-0.8333333333333331
btc-updown-5m-1782953100,UP,0.7199999999999999,1782953105000000,1782953100,2026-07-02 00:45:05.003803+00:00,312,1782953165056000.0,0.72,29.46,,,,1782953110462000.0,60.056,6.9444444444444455,7.709882115452477e-16,False,1.9444444444444449,6.9444444444444455,7.709882115452477e-16
btc-updown-5m-1782953400,UP,0.69,1782953405000000,1782953400,2026-07-02 00:50:05.002272+00:00,313,1782953465067000.0,0.62,44.7,,,,1782953411131000.0,60.067,7.246376811594203,-0.5072463768115939,False,-5.0,7.246376811594203,-0.5072463768115939
btc-updown-5m-1782953700,UP,0.5999999999999999,1782953705000000,1782953700,2026-07-02 00:55:05.002481+00:00,314,1782953765069000.0,0.37,297.83,,,,1782953764909000.0,60.069,8.333333333333336,-1.916666666666666,False,3.333333333333334,8.333333333333336,-1.916666666666666
btc-updown-5m-1782954000,DOWN,0.6199999999999999,1782954005000000,1782954000,2026-07-02 01:00:05.003224+00:00,315,1782954054882000.0,0.55,1190.14,,,,1782954026543000.0,49.882,8.06451612903226,-0.5645161290322569,False,3.064516129032258,8.06451612903226,-0.5645161290322569
btc-updown-5m-1782954900,UP,0.61,1782954905000000,1782954900,2026-07-02 01:15:05.003516+00:00,316,1782954965023000.0,0.57,8.7,,,,1782954908615000.0,60.023,8.19672131147541,-0.32786885245901665,False,3.1967213114754087,8.19672131147541,-0.32786885245901665
btc-updown-5m-1782955800,UP,0.63,1782955805000000,1782955800,2026-07-02 01:30:05.005982+00:00,317,1782955864583000.0,0.92,586.08,,,,1782955828775000.0,59.583,7.936507936507937,2.301587301587302,False,2.9365079365079367,7.936507936507937,2.301587301587302
btc-updown-5m-1782957000,DOWN,0.63,1782957005000000,1782957000,2026-07-02 01:50:05.002533+00:00,318,1782957064773000.0,0.91,191.47,,,,1782957034925000.0,59.773,7.936507936507937,2.2222222222222223,False,2.9365079365079367,7.936507936507937,2.2222222222222223
btc-updown-5m-1782957300,UP,0.68,1782957305000000,1782957300,2026-07-02 01:55:05.003314+00:00,319,1782957365076000.0,0.71,682.28,,,,1782957356990000.0,60.076,7.352941176470588,0.220588235294117,False,2.352941176470588,7.352941176470588,0.220588235294117
btc-updown-5m-1782958500,UP,0.7199999999999999,1782958505000000,1782958500,2026-07-02 02:15:05.002886+00:00,320,1782958564596000.0,0.91,154.01,,,,1782958532945000.0,59.596,6.9444444444444455,1.3194444444444458,,,6.9444444444444455,1.3194444444444458
