slug,c_dn,c_up,s_dn,s_up,paired,pf,pvs,win,win_sh,win_cost,win_px,gross,fee,net
btc-updown-5m-1782916200,39.71340000000001,0.0,65.36,0.0,0.0,0.0,,Down,65.36,39.71340000000001,0.6076101591187272,25.646599999999992,1.0908194294798041,24.555780570520188
btc-updown-5m-1782916500,0.75,22.8,15.0,60.0,15.0,0.25,0.43,Up,60.0,22.8,0.38,36.45,0.98952,35.460480000000004
btc-updown-5m-1782916800,21.0,0.0,25.0,0.0,0.0,0.0,,Down,25.0,21.0,0.84,4.0,0.23520000000000008,3.7648
btc-updown-5m-1782917100,88.26999799934836,132.86,232.072465,184.56,184.56,0.7952688398427621,1.100229621271482,Up,184.56,132.86,0.71987429562202,-36.569997999348374,2.60522507585609,-39.175223075204464
btc-updown-5m-1782917400,1.0934000000000001,34.8,7.81,60.0,7.81,0.13016666666666665,0.72,Up,60.0,34.8,0.58,24.1066,1.0231200000000003,23.08348
btc-updown-5m-1782917700,66.54999799893508,0.0,85.389608,0.0,0.0,0.0,,Down,85.389608,66.54999799893508,0.7793688196687246,18.839610001064912,1.0278103226684343,17.81179967839648
btc-updown-5m-1782918900,32.9898,0.0,41.91,0.0,0.0,0.0,,Down,41.91,32.9898,0.7871581961345742,8.920199999999994,0.49151259788117385,8.42868740211882
btc-updown-5m-1782919200,0.0,27.6,0.0,30.0,0.0,0.0,,Up,30.0,27.6,0.92,2.3999999999999986,0.15455999999999995,2.2454399999999985
btc-updown-5m-1782919500,25.1695,1.6656,42.49,13.88,13.88,0.32666509767004004,0.7123629089197457,Down,42.49,25.1695,0.5923629089197457,15.654900000000001,0.7182015234761121,14.936698476523889
btc-updown-5m-1782920100,79.81999800140295,1.0,102.576445,100.0,100.0,0.9748826838364304,0.7881513387542622,Down,102.576445,79.81999800140295,0.7781513387542622,21.756446998597056,1.2395571788074098,20.516889819789647
btc-updown-5m-1782920400,1.05,87.64999999999999,35.0,110.0,35.0,0.3181818181818182,0.8268181818181818,Up,110.0,87.64999999999999,0.7968181818181818,21.30000000000001,1.246622045454546,20.053377954545464
btc-updown-5m-1782920700,28.2,0.0,30.0,0.0,0.0,0.0,,Down,30.0,28.2,0.94,1.8000000000000007,0.1184400000000001,1.6815600000000006
btc-updown-5m-1782921000,0.0,21.599999000770588,0.0,60.781386999999995,0.0,0.0,,Down,0.0,0.0,,-21.599999000770588,0.0,-21.599999000770588
btc-updown-5m-1782921300,1.0,28.799986999741957,100.0,30.967728,30.967728,0.30967728,0.9399999987000001,Up,30.967728,28.799986999741957,0.9299999987,1.1677410002580437,0.1411199389195343,1.0266210613385094
btc-updown-5m-1782921600,41.400000000000006,48.46829999999999,60.0,68.07,60.0,0.8814455707360072,1.4020361392684002,Down,60.0,41.400000000000006,0.6900000000000001,-29.868300000000005,0.89838,-30.766680000000004
btc-updown-5m-1782921900,6.1146,0.0,110.73,0.0,0.0,0.0,,Up,0.0,0.0,,-6.1146,0.0,-6.1146
btc-updown-5m-1782922200,9.8904,19.200000000000003,19.02,60.0,19.02,0.317,0.8400000000000001,Down,19.02,9.8904,0.52,-10.070400000000003,0.33231744,-10.402717440000004
btc-updown-5m-1782922500,69.6,1.9500000000000002,90.0,15.0,15.0,0.16666666666666666,0.9033333333333333,Down,90.0,69.6,0.7733333333333333,18.450000000000003,1.1043200000000002,17.34568
btc-updown-5m-1782923100,0.0,35.550000000000004,0.0,45.1875,0.0,0.0,,Up,45.1875,35.550000000000004,0.7867219917012449,9.637499999999996,0.5307423236514521,9.106757676348543
btc-updown-5m-1782923400,1.4560000000000002,0.0,2.6,0.0,0.0,0.0,,Down,2.6,1.4560000000000002,0.56,1.144,0.0448448,1.0991552
btc-updown-5m-1782924000,0.0,19.74,0.0,21.0,0.0,0.0,,Up,21.0,19.74,0.94,1.2600000000000016,0.08290800000000008,1.1770920000000016
btc-updown-5m-1782924900,0.0,3.0,0.0,60.0,0.0,0.0,,Up,60.0,3.0,0.05,57.0,0.1995,56.8005
btc-updown-5m-1782925200,38.14,0.0,44.0,0.0,0.0,0.0,,Down,44.0,38.14,0.8668181818181818,5.859999999999999,0.3555688181818182,5.504431181818181
btc-updown-5m-1782925500,1.05,71.793,35.0,95.26,35.0,0.36741549443627963,0.7836531597732522,Up,95.26,71.793,0.7536531597732522,22.417,1.2380185090279237,21.178981490972077
btc-updown-5m-1782925800,75.6,43.3979,120.0,67.27,67.27,0.5605833333333333,1.2751300728407908,Up,67.27,43.3979,0.6451300728407908,-51.72789999999999,1.078042672830385,-52.805942672830376
btc-updown-5m-1782926100,0.0,45.155,0.0,61.14,0.0,0.0,,Up,61.14,45.155,0.7385508668629376,15.985,0.826401492476284,15.158598507523715
btc-updown-5m-1782926700,25.2,32.1,30.0,90.6,30.0,0.33112582781456956,1.1943046357615894,Down,30.0,25.2,0.84,-27.299999999999997,0.2822400000000001,-27.58224
btc-updown-5m-1782927000,41.844899999999996,0.0,51.29,0.0,0.0,0.0,,Down,51.29,41.844899999999996,0.8158490933905244,9.445100000000004,0.5394043390387993,8.905695660961204
btc-updown-5m-1782927300,0.0,56.099996998606755,0.0,62.68539,0.0,0.0,,Up,62.68539,56.099996998606755,0.8949453293439947,6.585393001393243,0.41254966959440625,6.172843331798837
btc-updown-5m-1782927600,82.8,0.0,120.0,0.0,0.0,0.0,,Down,120.0,82.8,0.69,37.2,1.7967600000000004,35.403240000000004
btc-updown-5m-1782927900,0.0,36.599999999999994,0.0,60.0,0.0,0.0,,Up,60.0,36.599999999999994,0.6099999999999999,23.400000000000006,0.9991800000000003,22.400820000000007
btc-updown-5m-1782928500,73.375,19.5,97.5,30.0,30.0,0.3076923076923077,1.4025641025641025,Down,97.5,73.375,0.7525641025641026,4.625,1.2708926282051285,3.3541073717948713
btc-updown-5m-1782976800,1.05,95.3,35.0,130.0,35.0,0.2692307692307692,0.7630769230769231,Up,130.0,95.3,0.7330769230769231,33.650000000000006,1.7806438461538463,31.86935615384616
btc-updown-5m-1782977100,45.581598999987946,0.0,54.692047,0.0,0.0,0.0,,Down,54.692047,45.581598999987946,0.8334228009419349,9.110448000012056,0.5314998563004126,8.578948143711644
btc-updown-5m-1782977400,45.39999900052831,145.705,170.566036,160.3,160.3,0.9398119564671129,1.175124528286285,Down,170.566036,45.39999900052831,0.26617256322078275,-20.538963000528327,2.33210354274357,-22.871066543271898
btc-updown-5m-1782977700,0.0,1.0,0.0,50.0,0.0,0.0,,Down,0.0,0.0,,-1.0,0.0,-1.0
btc-updown-5m-1782978000,1.05,77.5438,35.0,91.06,35.0,0.3843619591478146,0.8815681967933231,Up,91.06,77.5438,0.8515681967933231,12.4662,0.8056976243048541,11.660502375695147
btc-updown-5m-1782978300,15.899998999692324,0.0,30.576922,0.0,0.0,0.0,,Up,0.0,0.0,,-15.899998999692324,0.0,-15.899998999692324
btc-updown-5m-1782978600,64.1,19.4997,79.0,30.99,30.99,0.3922784810126582,1.4406179616944623,Down,79.0,64.1,0.811392405063291,-4.599699999999999,0.8462822784810131,-5.4459822784810115
btc-updown-5m-1782978900,0.0,9.0,0.0,30.0,0.0,0.0,,Down,0.0,0.0,,-9.0,0.0,-9.0
