fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls,ticks_vs_bid
465,btc-updown-15m-1782961200,Down,1782961637,0.36,52.0,0.31,0.34,1782961636914000.0,0.086,TAKER_at_ask,5.0
466,eth-updown-15m-1782961200,Down,1782961613,0.49,5.0,0.51,0.52,1782961612972000.0,0.028,MAKER_at_bid,-2.0
467,eth-updown-15m-1782961200,Down,1782961604,0.5024725356,62.331763,0.5,0.51,1782961603902000.0,0.098,INSIDE_spread,0.0
468,sol-updown-15m-1782961200,Down,1782961604,0.4008320165,23.451218,0.39,0.4,1782961602415000.0,1.585,TAKER_at_ask,1.0
469,eth-updown-15m-1782961200,Down,1782961603,0.5168493151,14.6,0.5,0.51,1782961602878000.0,0.122,TAKER_at_ask,2.0
470,sol-updown-15m-1782961200,Up,1782961586,0.75,18.0,0.7,0.72,1782961585818000.0,0.182,TAKER_at_ask,5.0
471,sol-updown-15m-1782961200,Up,1782961585,0.75,17.0,0.74,0.75,1782961583355000.0,1.645,TAKER_at_ask,1.0
472,btc-updown-15m-1782961200,Down,1782961577,0.3,27.0,0.29,0.3,1782961575530000.0,1.47,TAKER_at_ask,1.0
473,btc-updown-15m-1782961200,Down,1782961573,0.29,7.0,0.31,0.32,1782961572904000.0,0.096,MAKER_at_bid,-2.0
474,btc-updown-15m-1782961200,Down,1782961565,0.28,28.0,0.28,0.29,1782961563126000.0,1.874,MAKER_at_bid,0.0
475,btc-updown-15m-1782961200,Up,1782961552,0.67,3.91,0.7,0.71,1782961551922000.0,0.078,MAKER_at_bid,-3.0
476,eth-updown-15m-1782961200,Up,1782961514,0.69,22.21,0.72,0.74,1782961513913000.0,0.087,MAKER_at_bid,-3.0
477,eth-updown-15m-1782961200,Up,1782961513,0.69,20.0,0.68,0.7,1782961512510000.0,0.49,INSIDE_spread,1.0
478,eth-updown-15m-1782961200,Up,1782961511,0.68,8.21,0.68,0.69,1782961509877000.0,1.123,MAKER_at_bid,0.0
479,btc-updown-15m-1782961200,Up,1782961474,0.46,7.41,0.45,0.47,1782961471676000.0,2.324,INSIDE_spread,1.0
480,btc-updown-15m-1782961200,Up,1782961448,0.45,15.0,0.47,0.48,1782961446456000.0,1.544,MAKER_at_bid,-2.0
481,sol-updown-15m-1782961200,Down,1782961438,0.48,9.79,0.41,0.44,1782961437283000.0,0.717,TAKER_at_ask,7.0
482,sol-updown-15m-1782961200,Down,1782961433,0.47,19.0,0.46,0.47,1782961431303000.0,1.697,TAKER_at_ask,1.0
483,btc-updown-15m-1782961200,Down,1782961424,0.56,6.76,0.57,0.6,1782961423399000.0,0.601,MAKER_at_bid,-1.0
484,btc-updown-15m-1782961200,Down,1782961399,0.52,26.5,0.52,0.53,1782961398370000.0,0.63,MAKER_at_bid,0.0
485,eth-updown-15m-1782961200,Up,1782961358,0.67,14.0,0.66,0.67,1782961355743000.0,2.257,TAKER_at_ask,1.0
