fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls
23,btc-updown-5m-1783975800,Up,1783976059,0.98,50.0,0.9700,0.9800,1783976058686000,0.31400000000000000000,TAKER
24,btc-updown-5m-1783975800,Up,1783976059,0.98,50.0,0.9700,0.9800,1783976058686000,0.31400000000000000000,TAKER
25,btc-updown-5m-1783975800,Up,1783976002,0.91,50.0,0.8500,0.8600,1783975996540000,5.4600000000000000,TAKER
26,btc-updown-5m-1783975800,Up,1783975988,0.77,25.0,0.7700,0.7800,1783975987416000,0.58400000000000000000,MAKER
27,btc-updown-5m-1783975800,Up,1783975988,0.77,50.0,0.7700,0.7800,1783975987416000,0.58400000000000000000,MAKER
28,btc-updown-5m-1783975800,Down,1783975987,0.24,50.0,0.2200,0.2300,1783975986772000,0.22800000000000000000,TAKER
29,btc-updown-5m-1783975800,Up,1783975871,0.149999985,53.333332,0.1400,0.1500,1783975870975000,0.02500000000000000000,TAKER
30,btc-updown-5m-1783975800,Up,1783975871,0.149999985,53.333332,0.1400,0.1500,1783975870975000,0.02500000000000000000,TAKER
31,btc-updown-5m-1783975500,Down,1783975639,0.86,50.0,,,,,NO_BOOK
32,btc-updown-5m-1783975500,Up,1783975636,0.14,15.0,,,,,NO_BOOK
33,btc-updown-5m-1783975500,Up,1783975627,0.13,50.0,0.2000,0.2100,1783975620973000,6.0270000000000000,MAKER
34,btc-updown-5m-1783975500,Down,1783975555,0.77,48.49,0.7900,0.8000,1783975554974000,0.02600000000000000000,MAKER
35,btc-updown-5m-1783975200,Down,1783975447,0.89,40.0,0.9500,0.9600,1783975446982000,0.01800000000000000000,MAKER
36,btc-updown-5m-1783975200,Down,1783975447,0.89,20.0,0.9500,0.9600,1783975446982000,0.01800000000000000000,MAKER
37,btc-updown-5m-1783975200,Down,1783975445,0.89,40.0,0.9100,0.9200,1783975444944000,0.05600000000000000000,MAKER
38,btc-updown-5m-1783975200,Up,1783975424,0.51,4.03,0.5100,0.5200,1783975423781000,0.21900000000000000000,MAKER
39,btc-updown-5m-1783975200,Up,1783975387,0.68,50.0,0.6800,0.6900,1783975386802000,0.19800000000000000000,MAKER
40,btc-updown-5m-1783975200,Down,1783975379,0.35,50.0,0.3600,0.3700,1783975378999000,0.00100000000000000000,MAKER
41,btc-updown-5m-1783975200,Up,1783975295,0.53,40.01,0.5100,0.5200,1783975292935000,2.0650000000000000,TAKER
42,btc-updown-5m-1783974900,Up,1783975096,0.66,25.7,0.6900,0.7000,1783975095785000,0.21500000000000000000,MAKER
43,btc-updown-5m-1783974900,Up,1783975009,0.57,15.0,0.5500,0.5600,1783975008942000,0.05800000000000000000,TAKER
44,btc-updown-5m-1783974900,Down,1783975009,0.42,50.0,0.4400,0.4500,1783975008942000,0.05800000000000000000,MAKER
45,btc-updown-5m-1783974900,Down,1783975009,0.42,50.0,0.4400,0.4500,1783975008942000,0.05800000000000000000,MAKER
46,btc-updown-5m-1783974600,Up,1783974829,0.74,50.0,,,,,NO_BOOK
47,btc-updown-5m-1783974600,Down,1783974817,0.41,42.34,0.3100,0.3200,1783974812097000,4.9030000000000000,TAKER
48,btc-updown-5m-1783974600,Up,1783974769,0.51,50.0,,,,,NO_BOOK
49,btc-updown-5m-1783974600,Down,1783974742,0.49,25.0,0.3700,0.3800,1783974737035000,4.9650000000000000,TAKER
50,btc-updown-5m-1783974600,Down,1783974740,0.48,50.0,0.3700,0.3800,1783974737035000,2.9650000000000000,TAKER
51,btc-updown-5m-1783974600,Down,1783974665,0.51,50.0,0.3200,0.3300,1783974653098000,11.9020000000000000,TAKER
52,btc-updown-5m-1783974600,Down,1783974662,0.51,50.0,0.3200,0.3300,1783974653098000,8.9020000000000000,TAKER
53,btc-updown-5m-1783974300,Up,1783974421,0.6,37.5,0.6200,0.6300,1783974420664000,0.33600000000000000000,MAKER
54,btc-updown-5m-1783974000,Down,1783974037,0.49,50.0,0.5000,0.5100,1783974036622000,0.37800000000000000000,MAKER
55,btc-updown-5m-1783974000,Down,1783974035,0.49,50.0,0.5000,0.5100,1783974034825000,0.17500000000000000000,MAKER
56,btc-updown-5m-1783973700,Up,1783973885,0.02,50.0,0.0100,0.0200,1783973884684000,0.31600000000000000000,TAKER
57,btc-updown-5m-1783973700,Down,1783973813,0.78,50.0,0.7800,0.8000,1783973812748000,0.25200000000000000000,MAKER
58,btc-updown-5m-1783973400,Down,1783973666,0.76,25.3,,,,,NO_BOOK
59,btc-updown-5m-1783973400,Up,1783973656,0.3,50.0,,,,,NO_BOOK
60,btc-updown-5m-1783973400,Up,1783973617,0.51,26.0,0.5000,0.5200,1783973616924000,0.07600000000000000000,INSIDE
61,btc-updown-5m-1783973400,Up,1783973536,0.36,50.0,0.3100,0.3200,1783973535996000,0.00400000000000000000,TAKER
62,btc-updown-5m-1783973100,Down,1783973212,0.78,50.0,0.8100,0.8200,1783973211664000,0.33600000000000000000,MAKER
63,btc-updown-5m-1783973100,Down,1783973144,0.6,25.0,0.5200,0.5300,1783973137382000,6.6180000000000000,TAKER
64,btc-updown-5m-1783972800,Down,1783973060,0.72,42.68,0.7700,0.7800,1783973059951000,0.04900000000000000000,MAKER
65,btc-updown-5m-1783972800,Up,1783973047,0.22,50.0,,,,,NO_BOOK
66,btc-updown-5m-1783972800,Down,1783972807,0.69,27.25,,,,,NO_BOOK
67,btc-updown-5m-1783972800,Down,1783972807,0.69,50.0,,,,,NO_BOOK
68,btc-updown-5m-1783972500,Up,1783972745,0.95,50.0,0.9800,0.9900,1783972744655000,0.34500000000000000000,MAKER
69,btc-updown-5m-1783972500,Up,1783972745,0.95,50.0,0.9800,0.9900,1783972744655000,0.34500000000000000000,MAKER
70,btc-updown-5m-1783972200,Up,1783972433,0.94,50.5851,0.9200,0.9300,1783972431074000,1.9260000000000000,TAKER
71,btc-updown-5m-1783972200,Down,1783972403,0.012,50.0,0.0100,0.0200,1783972402499000,0.50100000000000000000,INSIDE
72,btc-updown-5m-1783972200,Up,1783972289,0.84,50.0,0.8300,0.8600,1783972286362000,2.6380000000000000,INSIDE
73,btc-updown-5m-1783971900,Down,1783972082,0.91,50.0,0.9000,0.9100,1783972081918000,0.08200000000000000000,TAKER
74,btc-updown-5m-1783971900,Down,1783972013,0.74,50.0,0.7400,0.7500,1783972012514000,0.48600000000000000000,MAKER
75,btc-updown-5m-1783971600,Up,1783971814,0.85,50.0,0.8400,0.8500,1783971813932000,0.06800000000000000000,TAKER
76,btc-updown-5m-1783971600,Up,1783971809,0.88,16.59,0.8800,0.8900,1783971808349000,0.65100000000000000000,MAKER
77,btc-updown-5m-1783971600,Up,1783971809,0.88,50.0,0.8800,0.8900,1783971808349000,0.65100000000000000000,MAKER
78,btc-updown-5m-1783971600,Down,1783971784,0.05,50.0,0.0400,0.0500,1783971783867000,0.13300000000000000000,TAKER
79,btc-updown-5m-1783971300,Down,1783971476,0.49,50.0,0.4900,0.5000,1783971474096000,1.9040000000000000,MAKER
80,btc-updown-5m-1783971300,Down,1783971379,0.7,16.71,0.7100,0.7200,1783971378520000,0.48000000000000000000,MAKER
81,btc-updown-5m-1783965300,Down,1783965515,0.86,50.0,0.8500,0.8700,1783965514847000,0.15300000000000000000,INSIDE
82,btc-updown-5m-1783965300,Down,1783965460,0.5,39.31,0.4000,0.4700,1783965447023000,12.9770000000000000,TAKER
83,btc-updown-5m-1783965300,Down,1783965460,0.5,50.0,0.4000,0.4700,1783965447023000,12.9770000000000000,TAKER
84,btc-updown-5m-1783965000,Down,1783965287,0.74,51.35135,0.9500,0.9600,1783965275007000,11.9930000000000000,MAKER
85,btc-updown-5m-1783965000,Down,1783965286,0.7546737683,30.04,0.9500,0.9600,1783965275007000,10.9930000000000000,MAKER
86,btc-updown-5m-1783965000,Up,1783965277,0.05,50.0,0.0400,0.0500,1783965275007000,1.9930000000000000,TAKER
87,btc-updown-5m-1783965000,Up,1783965269,0.04,50.0,0.0600,0.0700,1783965268978000,0.02200000000000000000,MAKER
88,btc-updown-5m-1783965000,Down,1783965262,0.86,15.0,0.8800,0.8900,1783965261767000,0.23300000000000000000,MAKER
89,btc-updown-5m-1783965000,Down,1783965262,0.86,50.0,0.8800,0.8900,1783965261767000,0.23300000000000000000,MAKER
90,btc-updown-5m-1783965000,Down,1783965259,0.83,9.78,0.8500,0.8600,1783965258717000,0.28300000000000000000,MAKER
91,btc-updown-5m-1783965000,Down,1783965259,0.819999998,50.609755,0.8500,0.8600,1783965258717000,0.28300000000000000000,MAKER
92,btc-updown-5m-1783965000,Down,1783965254,0.89,50.0,0.8800,0.8900,1783965253801000,0.19900000000000000000,TAKER
93,btc-updown-5m-1783964400,Down,1783964686,0.09,20.54,,,,,NO_BOOK
94,btc-updown-5m-1783964400,Up,1783964678,0.7599999968,50.657891,,,,,NO_BOOK
95,btc-updown-15m-1783963800,Down,1783964629,0.9809999995,25.025473,0.9810,0.9900,1783964628338000,0.66200000000000000000,MAKER
96,btc-updown-15m-1783963800,Down,1783964518,0.95,10.0,0.9800,0.9900,1783964517938000,0.06200000000000000000,MAKER
97,btc-updown-15m-1783963800,Down,1783964479,0.95,30.0,0.9400,0.9500,1783964477136000,1.8640000000000000,TAKER
98,btc-updown-15m-1783963800,Down,1783964467,0.96,30.0,0.9600,0.9700,1783964466824000,0.17600000000000000000,MAKER
99,btc-updown-5m-1783964400,Down,1783964405,0.47,10.0,,,,,NO_BOOK
100,btc-updown-5m-1783964400,Down,1783964405,0.47,50.0,,,,,NO_BOOK
101,btc-updown-5m-1783964400,Down,1783964405,0.47,50.0,,,,,NO_BOOK
102,btc-updown-15m-1783963800,Down,1783964390,0.85,20.0,0.8400,0.8500,1783964389614000,0.38600000000000000000,TAKER
103,btc-updown-15m-1783963800,Up,1783964365,0.1,30.0,0.1000,0.1100,1783964364340000,0.66000000000000000000,MAKER
104,btc-updown-15m-1783963800,Down,1783964356,0.85,5.0,0.8500,0.8600,1783964355900000,0.10000000000000000000,MAKER
105,btc-updown-5m-1783964100,Up,1783964299,0.02,50.0,0.0100,0.0200,1783964298571000,0.42900000000000000000,TAKER
106,btc-updown-5m-1783964100,Up,1783964255,0.03,50.0,0.0400,0.0500,1783964254857000,0.14300000000000000000,MAKER
107,btc-updown-15m-1783963800,Up,1783964218,0.04,30.0,0.1800,0.2000,1783964208627000,9.3730000000000000,MAKER
108,btc-updown-15m-1783963800,Up,1783964218,0.04,30.0,0.1800,0.2000,1783964208627000,9.3730000000000000,MAKER
109,btc-updown-15m-1783963800,Up,1783964144,0.36,30.0,0.3600,0.3700,1783964143679000,0.32100000000000000000,MAKER
110,btc-updown-15m-1783963800,Down,1783964107,0.64,28.43,,,,,NO_BOOK
111,btc-updown-5m-1783963800,Down,1783964075,0.71,45.0,,,,,NO_BOOK
112,btc-updown-5m-1783963800,Up,1783964074,0.34,50.0,,,,,NO_BOOK
113,btc-updown-5m-1783963800,Up,1783964074,0.34,45.0,,,,,NO_BOOK
114,btc-updown-5m-1783963800,Down,1783964068,0.43,20.96,,,,,NO_BOOK
115,btc-updown-5m-1783963800,Up,1783963865,0.81,50.0,0.7300,0.7400,1783963864831000,0.16900000000000000000,TAKER
116,btc-updown-5m-1783963800,Up,1783963858,0.77,50.0,,,,,NO_BOOK
117,btc-updown-5m-1783963800,Up,1783963856,0.76,50.0,,,,,NO_BOOK
118,btc-updown-15m-1783963800,Up,1783963835,0.53,10.0,0.5000,0.5100,1783963824546000,10.4540000000000000,TAKER
119,btc-updown-5m-1783963500,Up,1783963787,0.0599999842,58.333332,0.0300,0.0800,1783963786901000,0.09900000000000000000,INSIDE
120,btc-updown-5m-1783963500,Up,1783963784,0.05,50.0,0.0800,0.0900,1783963783920000,0.08000000000000000000,MAKER
121,btc-updown-5m-1783963500,Down,1783963783,0.86,46.97,0.8900,0.9100,1783963782990000,0.01000000000000000000,MAKER
122,btc-updown-5m-1783963500,Up,1783963777,0.06,50.0,0.0700,0.0800,1783963776824000,0.17600000000000000000,MAKER
123,btc-updown-5m-1783963500,Up,1783963775,0.06,20.0,0.0600,0.0700,1783963774980000,0.02000000000000000000,MAKER
124,btc-updown-5m-1783963500,Up,1783963774,0.13,50.0,0.0600,0.0700,1783963773900000,0.10000000000000000000,TAKER
125,btc-updown-5m-1783963500,Up,1783963760,0.2099999864,52.380951,0.2400,0.2500,1783963759982000,0.01800000000000000000,MAKER
126,btc-updown-5m-1783963500,Up,1783963760,0.21,50.0,0.2400,0.2500,1783963759982000,0.01800000000000000000,MAKER
127,btc-updown-5m-1783963500,Up,1783963711,0.5,50.0,0.6000,0.6100,1783963696559000,14.4410000000000000,MAKER
128,btc-updown-5m-1783963500,Down,1783963685,0.34,50.0,0.3500,0.3700,1783963684850000,0.15000000000000000000,MAKER
129,btc-updown-5m-1783963500,Down,1783963685,0.3399999887,51.470587,0.3500,0.3700,1783963684850000,0.15000000000000000000,MAKER
130,btc-updown-15m-1783962900,Up,1783963531,0.01,100.0,,0.0100,1783963530710000,0.29000000000000000000,NO_BOOK
131,btc-updown-5m-1783963200,Up,1783963402,0.18,50.0,0.2600,0.2700,1783963387642000,14.3580000000000000,MAKER
132,btc-updown-5m-1783963200,Up,1783963402,0.18,50.0,0.2600,0.2700,1783963387642000,14.3580000000000000,MAKER
133,btc-updown-15m-1783962900,Up,1783963325,0.17,21.27,0.1900,0.2000,1783963311080000,13.9200000000000000,MAKER
134,btc-updown-15m-1783962900,Down,1783963313,0.81,30.0,0.8000,0.8100,1783963311080000,1.9200000000000000,TAKER
135,btc-updown-15m-1783962900,Up,1783963211,0.15,32.0,0.1400,0.1500,1783963210976000,0.02400000000000000000,TAKER
136,btc-updown-15m-1783962900,Up,1783963207,0.23,30.0,0.1600,0.1700,1783963206980000,0.02000000000000000000,TAKER
137,btc-updown-5m-1783962900,Down,1783963078,0.85,50.0,0.8400,0.8500,1783963077991000,0.00900000000000000000,TAKER
138,btc-updown-5m-1783962900,Down,1783963073,0.89,50.0,0.8000,0.8100,1783963072977000,0.02300000000000000000,TAKER
139,btc-updown-5m-1783962900,Down,1783963072,0.9,50.0,0.7700,0.8000,1783963071985000,0.01500000000000000000,TAKER
140,btc-updown-5m-1783962900,Up,1783963054,0.04,50.0,0.0900,0.1000,1783963044526000,9.4740000000000000,MAKER
141,btc-updown-5m-1783962900,Up,1783963054,0.04,45.0,0.0900,0.1000,1783963044526000,9.4740000000000000,MAKER
142,btc-updown-5m-1783962900,Down,1783963040,0.79,23.96,0.8300,0.8400,1783963039984000,0.01600000000000000000,MAKER
143,btc-updown-5m-1783962600,Up,1783962886,0.04,50.0,0.0300,0.0400,1783962885988000,0.01200000000000000000,TAKER
144,btc-updown-15m-1783962000,Down,1783962884,0.02,37.5,0.0100,0.0300,1783962882395000,1.6050000000000000,INSIDE
145,btc-updown-5m-1783962600,Up,1783962883,0.04,50.0,0.0300,0.0400,1783962882975000,0.02500000000000000000,TAKER
146,btc-updown-5m-1783962600,Up,1783962883,0.04,50.0,0.0300,0.0400,1783962882975000,0.02500000000000000000,TAKER
147,btc-updown-15m-1783962000,Down,1783962877,0.02,50.0,0.0300,0.0500,1783962874988000,2.0120000000000000,MAKER
148,btc-updown-15m-1783962000,Up,1783962866,0.96,15.98,0.9700,0.9900,1783962865811000,0.18900000000000000000,MAKER
149,btc-updown-15m-1783962000,Up,1783962854,0.91,19.64,0.9600,0.9700,1783962852884000,1.1160000000000000,MAKER
150,btc-updown-15m-1783962000,Up,1783962854,0.91,30.0,0.9600,0.9700,1783962852884000,1.1160000000000000,MAKER
151,btc-updown-15m-1783962000,Down,1783962851,0.1,20.0,0.0900,0.1000,1783962850643000,0.35700000000000000000,TAKER
152,btc-updown-15m-1783962000,Down,1783962851,0.1,30.0,0.0900,0.1000,1783962850643000,0.35700000000000000000,TAKER
153,btc-updown-15m-1783962000,Down,1783962851,0.1,30.0,0.0900,0.1000,1783962850643000,0.35700000000000000000,TAKER
154,btc-updown-15m-1783962000,Up,1783962847,0.91,30.0,0.9000,0.9100,1783962845827000,1.1730000000000000,TAKER
155,btc-updown-15m-1783962000,Up,1783962847,0.91,30.0,0.9000,0.9100,1783962845827000,1.1730000000000000,TAKER
156,btc-updown-5m-1783962600,Down,1783962845,0.76,50.0,0.8300,0.8400,1783962844954000,0.04600000000000000000,MAKER
157,btc-updown-5m-1783962600,Down,1783962845,0.76,50.0,0.8300,0.8400,1783962844954000,0.04600000000000000000,MAKER
158,btc-updown-15m-1783962000,Up,1783962832,0.94,25.0,0.9400,0.9500,1783962831819000,0.18100000000000000000,MAKER
159,btc-updown-15m-1783962000,Up,1783962824,0.92,30.0,0.9200,0.9400,1783962823642000,0.35800000000000000000,MAKER
160,btc-updown-15m-1783962000,Down,1783962821,0.06,30.0,0.0700,0.0900,1783962820846000,0.15400000000000000000,MAKER
161,btc-updown-15m-1783962000,Up,1783962815,0.94,30.0,0.9400,0.9500,1783962814530000,0.47000000000000000000,MAKER
162,btc-updown-15m-1783962000,Down,1783962803,0.08,30.0,0.0800,0.0900,1783962802982000,0.01800000000000000000,MAKER
163,btc-updown-15m-1783962000,Up,1783962793,0.91,30.0,0.9100,0.9200,1783962791580000,1.4200000000000000,MAKER
164,btc-updown-15m-1783962000,Up,1783962784,0.9,30.0,0.9000,0.9100,1783962783900000,0.10000000000000000000,MAKER
165,btc-updown-15m-1783962000,Up,1783962718,0.81,5.0,,,,,NO_BOOK
166,btc-updown-15m-1783962000,Up,1783962718,0.8,2.0,,,,,NO_BOOK
167,btc-updown-15m-1783962000,Up,1783962718,0.8,10.0,,,,,NO_BOOK
168,btc-updown-5m-1783962600,Down,1783962712,0.64,50.0,,,,,NO_BOOK
169,btc-updown-15m-1783962000,Up,1783962653,0.86,5.0,,,,,NO_BOOK
170,btc-updown-15m-1783962000,Up,1783962653,0.86,5.0,,,,,NO_BOOK
171,btc-updown-15m-1783962000,Up,1783962653,0.86,5.0,,,,,NO_BOOK
172,btc-updown-15m-1783962000,Up,1783962647,0.89,30.0,,,,,NO_BOOK
173,btc-updown-15m-1783962000,Up,1783962647,0.89,30.0,,,,,NO_BOOK
174,btc-updown-15m-1783962000,Down,1783962631,0.07,30.0,,,,,NO_BOOK
175,btc-updown-15m-1783962000,Up,1783962620,0.85,30.0,,,,,NO_BOOK
176,btc-updown-5m-1783962300,Down,1783962566,0.06,50.0,,,,,NO_BOOK
177,btc-updown-5m-1783962300,Down,1783962566,0.06,50.0,,,,,NO_BOOK
178,btc-updown-15m-1783962000,Down,1783962527,0.23,0.48,0.2300,0.2500,1783962525173000,1.8270000000000000,MAKER
179,btc-updown-15m-1783962000,Up,1783962502,0.75,30.0,,,,,NO_BOOK
180,btc-updown-5m-1783962300,Up,1783962493,0.82,50.0,,,,,NO_BOOK
181,btc-updown-15m-1783962000,Down,1783962476,0.15,30.0,0.1400,0.1500,1783962473457000,2.5430000000000000,TAKER
182,btc-updown-15m-1783962000,Down,1783962472,0.14,25.0,0.1400,0.1500,1783962471993000,0.00700000000000000000,MAKER
183,btc-updown-5m-1783962300,Up,1783962443,0.78,45.0,,,,,NO_BOOK
184,btc-updown-5m-1783962300,Up,1783962442,0.78,50.0,,,,,NO_BOOK
185,btc-updown-5m-1783962300,Up,1783962427,0.72,50.0,,,,,NO_BOOK
186,btc-updown-5m-1783962300,Up,1783962394,0.58,50.0,0.4300,0.4400,1783962382417000,11.5830000000000000,TAKER
187,btc-updown-15m-1783962000,Up,1783962392,0.58,30.0,0.4500,0.4600,1783962381979000,10.0210000000000000,TAKER
188,btc-updown-15m-1783962000,Up,1783962322,0.48,4.68,0.4900,0.5000,1783962320991000,1.00900000000000000000,MAKER
189,btc-updown-15m-1783962000,Up,1783962320,0.47,0.83,0.4700,0.5000,1783962318919000,1.0810000000000000,MAKER
190,btc-updown-5m-1783962000,Down,1783962256,0.11,50.0,0.1200,0.1300,1783962255750000,0.25000000000000000000,MAKER
191,btc-updown-5m-1783962000,Down,1783962256,0.11,50.0,0.1200,0.1300,1783962255750000,0.25000000000000000000,MAKER
192,btc-updown-5m-1783962000,Down,1783962250,0.05,30.0,0.1200,0.1300,1783962249956000,0.04400000000000000000,MAKER
193,btc-updown-5m-1783962000,Down,1783962250,0.05,50.0,0.1200,0.1300,1783962249956000,0.04400000000000000000,MAKER
194,btc-updown-5m-1783962000,Up,1783962247,0.91,50.0,0.9500,0.9600,1783962246765000,0.23500000000000000000,MAKER
195,btc-updown-5m-1783962000,Up,1783962178,0.71,50.0,0.7000,0.7100,1783962177920000,0.08000000000000000000,TAKER
196,btc-updown-5m-1783962000,Up,1783962176,0.71,50.0,0.7000,0.7100,1783962175898000,0.10200000000000000000,TAKER
197,btc-updown-15m-1783962000,Down,1783962166,0.3,30.0,,,,,NO_BOOK
198,btc-updown-15m-1783962000,Up,1783962134,0.72,30.0,0.7000,0.7100,1783962128505000,5.4950000000000000,TAKER
199,btc-updown-5m-1783961700,Down,1783961986,0.7099999982,39.436617,0.8100,0.8300,1783961985769000,0.23100000000000000000,MAKER
200,btc-updown-5m-1783961700,Down,1783961984,0.87,50.0,0.7900,0.8100,1783961983921000,0.07900000000000000000,TAKER
201,btc-updown-5m-1783961700,Up,1783961978,0.16,35.0,0.1500,0.1600,1783961977927000,0.07300000000000000000,TAKER
202,btc-updown-5m-1783961700,Down,1783961977,0.8399999985,52.976187,0.8400,0.8500,1783961976977000,0.02300000000000000000,MAKER
203,btc-updown-5m-1783961700,Down,1783961977,0.829999997,53.614452,0.8400,0.8500,1783961976977000,0.02300000000000000000,MAKER
204,btc-updown-5m-1783961700,Up,1783961954,0.2,38.26,0.2200,0.2300,1783961953692000,0.30800000000000000000,MAKER
205,btc-updown-5m-1783961700,Up,1783961951,0.21,50.0,0.1900,0.2000,1783961950899000,0.10100000000000000000,TAKER
206,btc-updown-15m-1783961100,Down,1783961905,0.99,30.0,0.9890,0.9900,1783961904804000,0.19600000000000000000,TAKER
207,btc-updown-15m-1783961100,Down,1783961752,0.93,20.0,0.9200,0.9300,1783961750682000,1.3180000000000000,TAKER
208,btc-updown-15m-1783961100,Down,1783961741,0.94,30.0,0.9300,0.9400,1783961739559000,1.4410000000000000,TAKER
209,btc-updown-15m-1783961100,Down,1783961741,0.94,25.0,0.9300,0.9400,1783961739559000,1.4410000000000000,TAKER
210,btc-updown-15m-1783961100,Down,1783961741,0.9383537643,30.372333,0.9300,0.9400,1783961739559000,1.4410000000000000,INSIDE
211,btc-updown-15m-1783961100,Down,1783961740,0.94,30.0,0.9300,0.9400,1783961739559000,0.44100000000000000000,TAKER
212,btc-updown-15m-1783961100,Down,1783961627,0.67,1.55,0.7000,0.7100,1783961626913000,0.08700000000000000000,MAKER
213,btc-updown-15m-1783961100,Down,1783961627,0.67,10.0,0.7000,0.7100,1783961626913000,0.08700000000000000000,MAKER
214,btc-updown-15m-1783961100,Down,1783961585,0.72,25.0,,,,,NO_BOOK
215,btc-updown-15m-1783961100,Down,1783961581,0.72,5.0,0.7500,0.7600,1783961566877000,14.1230000000000000,MAKER
216,btc-updown-15m-1783961100,Up,1783961572,0.27,24.81,0.2400,0.2500,1783961566877000,5.1230000000000000,TAKER
217,btc-updown-5m-1783961400,Up,1783961567,0.06,50.0,0.0700,0.0900,1783961566802000,0.19800000000000000000,MAKER
218,btc-updown-5m-1783961400,Down,1783961560,0.91,50.0,0.9100,0.9200,1783961559818000,0.18200000000000000000,MAKER
219,btc-updown-5m-1783961400,Down,1783961491,0.89,34.94,0.9100,0.9200,1783961490691000,0.30900000000000000000,MAKER
220,btc-updown-15m-1783961100,Down,1783961471,0.77,30.0,0.7400,0.7700,1783961470055000,0.94500000000000000000,TAKER
221,btc-updown-15m-1783961100,Down,1783961456,0.75,30.0,0.7400,0.7500,1783961455853000,0.14700000000000000000,TAKER
222,btc-updown-15m-1783961100,Down,1783961449,0.78,30.0,0.7700,0.7900,1783961448663000,0.33700000000000000000,INSIDE
223,btc-updown-15m-1783961100,Down,1783961437,0.6,25.89,0.6400,0.6500,1783961436868000,0.13200000000000000000,MAKER
224,btc-updown-15m-1783961100,Up,1783961405,0.54,30.0,0.5100,0.5200,1783961404409000,0.59100000000000000000,TAKER
225,btc-updown-5m-1783961100,Up,1783961384,0.92,50.0,,,,,NO_BOOK
226,btc-updown-15m-1783961100,Up,1783961351,0.54,30.0,0.5600,0.5800,1783961350375000,0.62500000000000000000,MAKER
227,btc-updown-5m-1783961100,Down,1783961338,0.4,50.0,0.4600,0.4700,1783961337886000,0.11400000000000000000,MAKER
228,btc-updown-5m-1783961100,Down,1783961329,0.53,10.54,,,,,NO_BOOK
229,btc-updown-5m-1783961100,Down,1783961326,0.56,45.0,,,,,NO_BOOK
230,btc-updown-5m-1783961100,Down,1783961324,0.6899999948,40.579709,,,,,NO_BOOK
231,btc-updown-5m-1783961100,Down,1783961324,0.7,50.0,,,,,NO_BOOK
232,btc-updown-5m-1783961100,Up,1783961320,0.4599999944,28.804346,,,,,NO_BOOK
233,btc-updown-5m-1783961100,Down,1783961314,0.42,50.0,0.1200,0.1300,1783961302039000,11.9610000000000000,TAKER
