fid,slug,outcome,ts,price,size
182,btc-updown-15m-1783962000,Down,1783962472,0.14,25.0
183,btc-updown-5m-1783962300,Up,1783962443,0.78,45.0
184,btc-updown-5m-1783962300,Up,1783962442,0.78,50.0
185,btc-updown-5m-1783962300,Up,1783962427,0.72,50.0
186,btc-updown-5m-1783962300,Up,1783962394,0.58,50.0
187,btc-updown-15m-1783962000,Up,1783962392,0.58,30.0
188,btc-updown-15m-1783962000,Up,1783962322,0.48,4.68
189,btc-updown-15m-1783962000,Up,1783962320,0.47,0.83
190,btc-updown-5m-1783962000,Down,1783962256,0.11,50.0
191,btc-updown-5m-1783962000,Down,1783962256,0.11,50.0
192,btc-updown-5m-1783962000,Down,1783962250,0.05,30.0
193,btc-updown-5m-1783962000,Down,1783962250,0.05,50.0
194,btc-updown-5m-1783962000,Up,1783962247,0.91,50.0
195,btc-updown-5m-1783962000,Up,1783962178,0.71,50.0
196,btc-updown-5m-1783962000,Up,1783962176,0.71,50.0
197,btc-updown-15m-1783962000,Down,1783962166,0.3,30.0
198,btc-updown-15m-1783962000,Up,1783962134,0.72,30.0
199,btc-updown-5m-1783961700,Down,1783961986,0.7099999982,39.436617
200,btc-updown-5m-1783961700,Down,1783961984,0.87,50.0
201,btc-updown-5m-1783961700,Up,1783961978,0.16,35.0
202,btc-updown-5m-1783961700,Down,1783961977,0.8399999985,52.976187
203,btc-updown-5m-1783961700,Down,1783961977,0.829999997,53.614452
204,btc-updown-5m-1783961700,Up,1783961954,0.2,38.26
205,btc-updown-5m-1783961700,Up,1783961951,0.21,50.0
206,btc-updown-15m-1783961100,Down,1783961905,0.99,30.0
207,btc-updown-15m-1783961100,Down,1783961752,0.93,20.0
208,btc-updown-15m-1783961100,Down,1783961741,0.94,30.0
209,btc-updown-15m-1783961100,Down,1783961741,0.94,25.0
210,btc-updown-15m-1783961100,Down,1783961741,0.9383537643,30.372333
211,btc-updown-15m-1783961100,Down,1783961740,0.94,30.0
212,btc-updown-15m-1783961100,Down,1783961627,0.67,1.55
213,btc-updown-15m-1783961100,Down,1783961627,0.67,10.0
214,btc-updown-15m-1783961100,Down,1783961585,0.72,25.0
215,btc-updown-15m-1783961100,Down,1783961581,0.72,5.0
216,btc-updown-15m-1783961100,Up,1783961572,0.27,24.81
217,btc-updown-5m-1783961400,Up,1783961567,0.06,50.0
218,btc-updown-5m-1783961400,Down,1783961560,0.91,50.0
219,btc-updown-5m-1783961400,Down,1783961491,0.89,34.94
220,btc-updown-15m-1783961100,Down,1783961471,0.77,30.0
221,btc-updown-15m-1783961100,Down,1783961456,0.75,30.0
222,btc-updown-15m-1783961100,Down,1783961449,0.78,30.0
