sleeve_idx,asset_pool,offset_bin,r4_gate_stack,r5_combo,train_n,train_WR,train_dpt,train_sum,val_n,val_WR,val_dpt,val_sum,lockbox_n,lockbox_WR,lockbox_dpt,lockbox_sum,lockbox_p,dpt_lift_vs_base,wr_lift_vs_base,sum_lift_vs_base,n_kept_pct,val_pass,lockbox_pass,deployable
16,POOL,60-120,g_tr_stack_full_with&g_trend_slope_with,g_mp_with&g_lm_low_stat&g_lm_extreme_against,38,0.9210526315789473,8.538212048414827,324.4520578397634,30,0.8333333333333334,6.889017218766586,206.6705165629976,23,0.8260869565217391,9.35864031076925,215.24872714769276,0.016,-0.13525414705875072,0.07272372782218761,-1901.8897369479512,0.1031390134529148,True,True,True
15,POOL,60-120,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_with&g_lm_low_stat,38,0.9210526315789473,8.538212048414827,324.4520578397634,30,0.8333333333333334,6.889017218766586,206.6705165629976,23,0.8260869565217391,9.35864031076925,215.24872714769276,0.016,-0.13525414705875072,0.07272372782218761,-1901.8897369479512,0.1031390134529148,True,True,True
15,POOL,60-120,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_with&g_lm_low_stat&g_lm_extreme_against,38,0.9210526315789473,8.538212048414827,324.4520578397634,30,0.8333333333333334,6.889017218766586,206.6705165629976,23,0.8260869565217391,9.35864031076925,215.24872714769276,0.016,-0.13525414705875072,0.07272372782218761,-1901.8897369479512,0.1031390134529148,True,True,True
16,POOL,60-120,g_tr_stack_full_with&g_trend_slope_with,g_mp_with&g_lm_low_stat,38,0.9210526315789473,8.538212048414827,324.4520578397634,30,0.8333333333333334,6.889017218766586,206.6705165629976,23,0.8260869565217391,9.35864031076925,215.24872714769276,0.016,-0.13525414705875072,0.07272372782218761,-1901.8897369479512,0.1031390134529148,True,True,True
16,POOL,60-120,g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_mp_with&g_lm_low_stat,38,0.9210526315789473,8.538212048414827,324.4520578397634,30,0.8333333333333334,6.889017218766586,206.6705165629976,23,0.8260869565217391,9.35864031076925,215.24872714769276,0.016,-0.13525414705875072,0.07272372782218761,-1901.8897369479512,0.1031390134529148,True,True,True
15,POOL,60-120,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_mp_with&g_lm_low_stat,38,0.9210526315789473,8.538212048414827,324.4520578397634,30,0.8333333333333334,6.889017218766586,206.6705165629976,23,0.8260869565217391,9.35864031076925,215.24872714769276,0.016,-0.13525414705875072,0.07272372782218761,-1901.8897369479512,0.1031390134529148,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_very_no_extreme&g_mp_with&g_lm_low_stat,18,0.8333333333333334,5.971268861204958,107.48283950168926,16,0.9375,10.814864703588977,173.03783525742364,28,0.7857142857142857,7.6604825935343746,214.49351261896248,0.012,-1.3581502479614747,0.04632034632034632,-2761.655325074668,0.08484848484848485,True,True,True
22,POOL,480-600,g_tr_stack_with&g_trend_slope_with,g_lm_low_stat,404,0.9306930693069307,3.3517036019120314,1354.0882551724608,163,0.950920245398773,3.5624638555899977,580.6816084611696,75,0.8266666666666667,2.8596334030146657,214.47250522609994,0.072,-2.158306825860568,0.058641588296760694,-1386.2504277850996,0.23510971786833856,True,True,True
22,POOL,480-600,g_tr_stack_with&g_trend_slope_with,g_lm_low_stat&g_lm_extreme_against,404,0.9306930693069307,3.3517036019120314,1354.0882551724608,163,0.950920245398773,3.5624638555899977,580.6816084611696,75,0.8266666666666667,2.8596334030146657,214.47250522609994,0.072,-2.158306825860568,0.058641588296760694,-1386.2504277850996,0.23510971786833856,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_no_extreme&g_lm_extreme_against&g_hawkes_imbalance_strong_with,36,1.0,8.76639696267202,315.59029065619274,27,0.8888888888888888,5.983451627162152,161.5531939333781,35,0.8571428571428571,6.1019689842230065,213.56891444780524,0.002,-2.9166638572728427,0.11774891774891771,-2762.5799232458253,0.10606060606060606,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_no_extreme&g_hawkes_imbalance_strong_with,36,1.0,8.76639696267202,315.59029065619274,27,0.8888888888888888,5.983451627162152,161.5531939333781,35,0.8571428571428571,6.1019689842230065,213.56891444780524,0.002,-2.9166638572728427,0.11774891774891771,-2762.5799232458253,0.10606060606060606,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_no_extreme&g_hawkes_imbalance_with&g_hawkes_imbalance_strong_with,36,1.0,8.76639696267202,315.59029065619274,27,0.8888888888888888,5.983451627162152,161.5531939333781,35,0.8571428571428571,6.1019689842230065,213.56891444780524,0.002,-2.9166638572728427,0.11774891774891771,-2762.5799232458253,0.10606060606060606,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_mp_very_no_extreme&g_mp_with&g_hawkes_imbalance_with,66,0.8939393939393939,5.0969574237974875,336.39918997063415,42,0.8333333333333334,5.335047424346044,224.07199182253385,20,0.85,10.625534571535395,212.5106914307079,0.002,0.18041327864804124,0.08248407643312095,-3067.257394535921,0.06369426751592357,True,True,True
15,POOL,60-120,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_lm_extreme_against&g_hawkes_imbalance_with,93,0.9139784946236559,7.277499262802988,676.8074314406779,70,0.8714285714285714,7.0028157302134515,490.1971011149416,40,0.825,5.300769743747378,212.03078974989512,0.028,-4.193124714080622,0.07163677130044843,-1905.1076743457488,0.17937219730941703,True,True,True
16,POOL,60-120,g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_hawkes_imbalance_with,93,0.9139784946236559,7.277499262802988,676.8074314406779,70,0.8714285714285714,7.0028157302134515,490.1971011149416,40,0.825,5.300769743747378,212.03078974989512,0.028,-4.193124714080622,0.07163677130044843,-1905.1076743457488,0.17937219730941703,True,True,True
16,POOL,60-120,g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_lm_extreme_against&g_hawkes_imbalance_with,93,0.9139784946236559,7.277499262802988,676.8074314406779,70,0.8714285714285714,7.0028157302134515,490.1971011149416,40,0.825,5.300769743747378,212.03078974989512,0.028,-4.193124714080622,0.07163677130044843,-1905.1076743457488,0.17937219730941703,True,True,True
15,POOL,60-120,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_hawkes_imbalance_with,93,0.9139784946236559,7.277499262802988,676.8074314406779,70,0.8714285714285714,7.0028157302134515,490.1971011149416,40,0.825,5.300769743747378,212.03078974989512,0.028,-4.193124714080622,0.07163677130044843,-1905.1076743457488,0.17937219730941703,True,True,True
22,POOL,480-600,g_tr_stack_with&g_trend_slope_with,g_mp_no_extreme&g_mp_very_no_extreme&g_lm_low_stat,159,0.8679245283018868,6.171087580386046,981.2029252813813,69,0.9130434782608695,4.940045460839722,340.86313679794085,44,0.75,4.793377585519661,210.90861376286506,0.064,-0.22456264335557297,-0.018025078369905967,-1389.8143192483344,0.13793103448275862,True,True,True
22,POOL,480-600,g_tr_stack_with&g_trend_slope_with,g_mp_very_no_extreme&g_lm_low_stat,159,0.8679245283018868,6.171087580386046,981.2029252813813,69,0.9130434782608695,4.940045460839722,340.86313679794085,44,0.75,4.793377585519661,210.90861376286506,0.064,-0.22456264335557297,-0.018025078369905967,-1389.8143192483344,0.13793103448275862,True,True,True
22,POOL,480-600,g_tr_stack_with&g_trend_slope_with,g_mp_very_no_extreme&g_lm_low_stat&g_lm_extreme_against,159,0.8679245283018868,6.171087580386046,981.2029252813813,69,0.9130434782608695,4.940045460839722,340.86313679794085,44,0.75,4.793377585519661,210.90861376286506,0.064,-0.22456264335557297,-0.018025078369905967,-1389.8143192483344,0.13793103448275862,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_very_no_extreme&g_lm_low_stat&g_hawkes_imbalance_with,26,0.9615384615384616,8.540284669024494,222.04740139463686,27,0.8518518518518519,8.118872086553496,219.2095463369444,36,0.7777777777777778,5.791754674202167,208.503168271278,0.022,-3.226878167293682,0.03838383838383841,-2767.6456694223525,0.10909090909090909,True,True,True
14,POOL,360-480,g_trend_slope_with,g_mp_no_extreme&g_lm_high_stat&g_hawkes_imbalance_with,59,0.8135593220338984,-0.9092547464956439,-53.64603004324299,32,0.875,2.519393485381677,80.62059153221367,10,0.9,20.83930392379317,208.3930392379317,,16.49558691521603,0.1707070707070707,-1941.7468800077536,0.020202020202020204,True,True,True
14,POOL,360-480,g_trend_slope_with,g_lm_high_stat&g_lm_extreme_against&g_hawkes_imbalance_with,71,0.8450704225352113,-0.5529443344307652,-39.25904774458433,34,0.8823529411764706,2.5174079032909065,85.59186871189083,10,0.9,20.83930392379317,208.3930392379317,,16.49558691521603,0.1707070707070707,-1941.7468800077536,0.020202020202020204,True,True,True
14,POOL,360-480,g_trend_slope_with,g_lm_high_stat&g_hawkes_imbalance_with,71,0.8450704225352113,-0.5529443344307652,-39.25904774458433,34,0.8823529411764706,2.5174079032909065,85.59186871189083,10,0.9,20.83930392379317,208.3930392379317,,16.49558691521603,0.1707070707070707,-1941.7468800077536,0.020202020202020204,True,True,True
17,POOL,480-600,g_trend_slope_with,g_mp_with&g_hawkes_imbalance_strong_with,199,0.9447236180904522,4.373688697725384,870.3640508473513,98,0.9489795918367347,3.5094769435110904,343.92874046408684,21,0.9523809523809523,9.866230911567182,207.19084914291085,0.008,5.421483023988806,0.195915435139573,-1855.1721706934559,0.04525862068965517,True,True,True
17,POOL,480-600,g_trend_slope_with,g_mp_with&g_hawkes_imbalance_with&g_hawkes_imbalance_strong_with,199,0.9447236180904522,4.373688697725384,870.3640508473513,98,0.9489795918367347,3.5094769435110904,343.92874046408684,21,0.9523809523809523,9.866230911567182,207.19084914291085,0.008,5.421483023988806,0.195915435139573,-1855.1721706934559,0.04525862068965517,True,True,True
17,POOL,480-600,g_trend_slope_with,g_mp_with&g_lm_extreme_against&g_hawkes_imbalance_strong_with,199,0.9447236180904522,4.373688697725384,870.3640508473513,98,0.9489795918367347,3.5094769435110904,343.92874046408684,21,0.9523809523809523,9.866230911567182,207.19084914291085,0.008,5.421483023988806,0.195915435139573,-1855.1721706934559,0.04525862068965517,True,True,True
