sleeve_idx,asset_pool,offset_bin,r4_gate_stack,added_r5_gate,train_n,train_WR,train_dpt,train_sum,val_n,val_WR,val_dpt,val_sum,lockbox_n,lockbox_WR,lockbox_dpt,lockbox_sum,base_n,base_WR,base_dpt,base_sum,dpt_lift,wr_lift,n_kept_pct
5,POOL,60-120,g_tr_stack_with&g_trend_slope_with&g_vwap_ge_30,g_hawkes_imbalance_strong_with,63,0.9523809523809523,7.403154119635404,466.3987095370304,42,0.8571428571428571,5.011265038758409,210.47313162785318,43,0.8604651162790697,6.58152828461789,283.0057162385693,334,0.7574850299401198,9.256774074137082,3091.762540761785,-2.6752457895191926,0.10298008633894995,0.12874251497005987
5,POOL,60-120,g_tr_stack_with&g_trend_slope_with&g_vwap_ge_30,g_hawkes_burst,38,0.9210526315789473,5.9486617193423,226.04914533500738,33,0.8787878787878788,6.286744212362537,207.46255900796373,19,0.8421052631578947,1.3849903074345158,26.3148158412558,334,0.7574850299401198,9.256774074137082,3091.762540761785,-7.871783766702567,0.0846202332177749,0.05688622754491018
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_no_extreme,74,0.8513513513513513,5.533955414373516,409.51270066364015,56,0.875,7.872940973145107,440.88469449612603,252,0.7380952380952381,8.345790781158431,2103.1392768519245,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-0.6728420603374179,-0.0012987012987012436,0.7636363636363637
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_very_no_extreme,65,0.8307692307692308,5.740381941205038,373.12482617832745,47,0.8723404255319149,8.32265063963638,391.16458006290986,237,0.7341772151898734,8.670034334926127,2054.798137377492,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-0.34859850656972213,-0.005216724204065937,0.7181818181818181
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_with,38,0.8157894736842105,4.513277531743771,171.5045462062633,31,0.9032258064516129,8.899390596515973,275.8811084919952,147,0.7619047619047619,8.548015845590076,1256.5583293017412,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-0.47061699590577355,0.02251082251082248,0.44545454545454544
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_strong_with,10,1.0,7.542013208761118,75.42013208761118,7,0.8571428571428571,4.581218786593273,32.06853150615291,23,0.8695652173913043,6.825240598911913,156.980533774974,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-2.1933922425839363,0.13017127799736494,0.0696969696969697
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_change_with,7,0.8571428571428571,8.111249238741566,56.778744671190964,3,1.0,9.99015723528708,29.970471705861243,13,0.6923076923076923,5.765668257620583,74.95368734906758,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-3.252964583875266,-0.04708624708624709,0.03939393939393939
6,POOL,60-120,g_di_with&g_trend_slope_with,g_mp_change_strong_with,5,0.8,4.366580471633108,21.832902358165537,2,1.0,7.882647938635864,15.765295877271727,10,0.7,6.659493006364808,66.59493006364808,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-2.3591398351310415,-0.039393939393939426,0.030303030303030304
6,POOL,60-120,g_di_with&g_trend_slope_with,g_lm_high_stat,12,0.9166666666666666,4.019373482681904,48.23248179218285,16,1.0,9.8777392502203,158.0438280035248,15,0.9333333333333333,5.450004596582963,81.75006894874446,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-3.568628244912886,0.19393939393939397,0.045454545454545456
6,POOL,60-120,g_di_with&g_trend_slope_with,g_lm_low_stat,37,0.8918918918918919,7.429368430940115,274.88663194478426,34,0.8235294117647058,7.105369945594839,241.58257815022455,55,0.7636363636363637,6.754873433877278,371.5180388632503,330,0.7393939393939394,9.01863284149585,2976.1488376936304,-2.263759407618571,0.024242424242424288,0.16666666666666666
