sleeve,gate,is_n,is_wr,is_dpt,is_lift_dpt,is_base_n,is_base_dpt,oos_n,oos_wr,oos_dpt,oos_lift_dpt
ETH_s15_5m_150-240,g_vol_expanding,220,0.9045454545454545,1.2553906593801023,0.10028153146131458,2556,1.1551091279187877,67,0.8955223880597015,2.3570218508191463,0.45484235655675365
ETH_s15_5m_150-240,g_hurst_reverting,172,0.8546511627906976,0.9293480062121118,-0.22576112170667595,2556,1.1551091279187877,53,0.8867924528301887,4.117858899475099,2.2156794052127062
ETH_s15_5m_150-240,g_vol_contracting,579,0.8497409326424871,0.7388373237853475,-0.4162718041334402,2556,1.1551091279187877,210,0.8142857142857143,1.7242087444474257,-0.17797074981496697
ETH_s15_5m_150-240,g_vol_med,860,0.8639534883720931,0.6913374142240368,-0.4637717136947509,2556,1.1551091279187877,275,0.850909090909091,1.4911347703890225,-0.4110447238733701
BTC_s15_5m_240-300,g_vol_med,367,0.8801089918256131,0.8576918809351869,-0.8228936673223791,1061,1.680585548257566,132,0.8939393939393939,1.2109785780567237,-0.6844505894634645
ETH_s15_5m_150-240,g_vol_low,664,0.8840361445783133,0.2760203888200719,-0.8790887390987159,2556,1.1551091279187877,205,0.8829268292682927,1.5606909500456072,-0.34148854421678543
SOL_s6_5m_60-150,g_rv_with,277,0.9819494584837545,1.4051975848674312,-1.2906885957657228,817,2.695886180633154,239,0.9539748953974896,0.9659431608076224,-0.6437826767731035
SOL_s6_5m_60-150,g_vol_expanding,277,0.9819494584837545,1.4051975848674312,-1.2906885957657228,817,2.695886180633154,239,0.9539748953974896,0.9659431608076224,-0.6437826767731035
BTC_s15_5m_60-150,g_vol_med,503,0.8071570576540755,0.09068296544313795,-1.4631546893524203,1598,1.5538376547955584,167,0.7964071856287425,0.35882930759308435,-0.3291058481053501
SOL_s6_5m_60-150,g_hurst_reverting,259,0.9073359073359073,0.9734869034290411,-1.7223992772041128,817,2.695886180633154,211,0.8672985781990521,-0.5573764506415071,-2.167102288222233
BTC_s15_5m_240-300,g_vol_low,254,0.9015748031496063,-0.09652197611222244,-1.7771075243697885,1061,1.680585548257566,71,0.9577464788732394,2.686664165314036,0.791234997793848
BTC_s15_5m_150-240,g_vol_med,364,0.8791208791208791,1.456930432180438,-2.073679772150108,1027,3.530610204330546,143,0.8671328671328671,2.115292193601311,0.48711276166547446
BTC_s15_5m_150-240,g_vol_low,223,0.8968609865470852,0.6820102262508418,-2.8485999780797044,1027,3.530610204330546,53,0.8867924528301887,-0.6559881327436959,-2.2841675646795325
BTC_s6_5m_60-150,g_vol_med,165,0.793939393939394,2.3998762647141425,-3.8341357980061868,1831,6.234012062720329,85,0.7411764705882353,0.6072537581250607,-2.2745226729577275
