sleeve,at,symbol,tf,signal,outcome,won,pnl_usd,entry_qty,entry_price,cid
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 19:30:49.153140+02:00,BTC,5m,UP,Down,False,-24.999994,47.1698,0.53,0x78470c7223b457c6e11b0000df3d6084df8f57a97910c2984b07da36d1e2d3ca
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 19:30:50.706834+02:00,SOL,5m,UP,Down,False,-24.999994,47.1698,0.53,0x7024c6938af6b204c40c520910b71fd21af9d88ab8e6f88c0099050659cc4c49
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 19:31:06.400312+02:00,SOL,5m,UP,Down,False,-25.248192,49.0196,0.5150631992101119,0x7024c6938af6b204c40c520910b71fd21af9d88ab8e6f88c0099050659cc4c49
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 19:31:58.532794+02:00,SOL,5m,UP,Down,False,-24.999975,45.4545,0.55,0x7024c6938af6b204c40c520910b71fd21af9d88ab8e6f88c0099050659cc4c49
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 19:35:40.619175+02:00,BTC,5m,UP,Down,False,-25.190292,47.1698,0.5340343185682365,0x1011176cc0e2f0c08b04e3c25fbf2965457ca1bc6709592e1199c2f0018718db
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 19:35:44.774241+02:00,SOL,5m,UP,Down,False,-25.666088,47.1698,0.544121196189087,0xa7e930c3e5c5ab6dc7be5648dbcbb1f265b489f4b1d67d741d82a8947a955c7f
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 19:40:21.203229+02:00,SOL,5m,UP,Up,True,19.4153546,45.4545,0.5555779955779956,0x49bf1cfad1ea146573e1d5ccb0363d37a4d76f1fb6f32f4026f1f7db5b86bc24
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 19:40:28.171089+02:00,BTC,5m,UP,Up,True,22.2369124,48.0769,0.52,0xb2c69a8cb1a299263ef8430dfdda10082571a2736a1e9191e5cb69af393addc8
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 19:41:15.959162+02:00,SOL,5m,UP,Up,True,21.3473062,47.1698,0.53,0x49bf1cfad1ea146573e1d5ccb0363d37a4d76f1fb6f32f4026f1f7db5b86bc24
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 19:41:26.429869+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0xb2c69a8cb1a299263ef8430dfdda10082571a2736a1e9191e5cb69af393addc8
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 19:45:20.440825+02:00,BTC,5m,UP,Up,True,22.2369124,48.0769,0.52,0x9ae5abbe63d58de0d9cb0c50e405d7f73caf9c9df6eaa5ba3aae1610882d4e81
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 19:45:24.590510+02:00,SOL,5m,DOWN,Up,False,-25.2292,51.0204,0.49449239911878384,0x3ad75cd495193c0652eccd85100e1832a4f2993a2c2edeca749b152b1ab86db4
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 19:46:05.107557+02:00,BTC,5m,DOWN,Up,False,-24.999984,52.0833,0.48,0x9ae5abbe63d58de0d9cb0c50e405d7f73caf9c9df6eaa5ba3aae1610882d4e81
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 19:50:37.052694+02:00,BTC,5m,UP,Up,True,22.2369124,48.0769,0.52,0x40b4a1ed7d0e7bd5dba8d493ab4c7c2fdf3035eb431a26103e351320d75a3a40
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 19:50:42.663587+02:00,SOL,5m,DOWN,Up,False,-25.0,50.0,0.5,0x438c0644768834f8aa564b527de6e468786699ccef306f0d9474660ba4eaa0a3
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 20:00:24.394205+02:00,ETH,15m,UP,Up,True,23.12606053,49.0196,0.5107363585178174,0x5332c35910fdd4e5975847effc7d263c013d57dfbc215dd9d8342756da7d8aac
shadow_poly_updown_sol_15m_fade_momo_v2,2026-05-26 20:00:26.310395+02:00,SOL,15m,UP,Down,False,-25.415088,47.1698,0.5387999949119988,0xa1bbbe94197df2e0df1cc7ade8d2945ce2ba91b602eb6022ba2b278c06b7e140
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 20:05:37.853524+02:00,SOL,5m,UP,Up,True,22.9727251,49.0196,0.5138697990191678,0xef18cf9e796e03dcdd384e38483143436f7aad362df9ed5dfcf0fba70b96947a
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 20:35:22.435915+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0x2512370f203071b6bffef1b25e7b66ca590ca66cbfec01f932aede644d050da8
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 20:40:43.245275+02:00,BTC,5m,UP,Down,False,-24.999996,49.0196,0.51,0x8655243623a97e387756b4aefcdf27d389fc4a8d648b77953b27c180e586ef61
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 20:50:54.738268+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0x277293676b9b86605b1d0f8293c8a10f7e007c877e9e8337495bc4e48e7a5b6a
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 20:55:22.834736+02:00,BTC,5m,UP,Down,False,-24.999996,49.0196,0.51,0xbde582e69a7562858514dc2b6b34a659cf3864b5e2c303d185e53ed94cdce327
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 20:55:25.578801+02:00,SOL,5m,UP,Up,True,21.69686605,49.0196,0.5399958383993342,0x695810afe7ee614354d80c165147d5fb22722877d105896faf4c4243ed38f2be
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 21:01:08.022605+02:00,ETH,15m,UP,Up,True,23.16210414,49.0196,0.51,0x0760c88c428a0b7d7c4c6b0eaf4edf99f7fa791e1590fabe126f7ff318978fbe
