sleeve,tf,asset,slug,direction,fe,mult,rule,vwap,shares,won,pnl,pnl_legacy
kelly,5m,BTC,btc-updown-5m-1779957300,UP,-3629.1462374340294,1.0,S8,0.5400000214576721,46.29629445664684,True,20.491294494197767,20.870368567513903
kelly,15m,BTC,btc-updown-15m-1779957900,UP,-2714.678525540716,1.0,S8,0.5179058454005714,48.271322330150355,True,22.427657559601354,22.805895883547347
S3_prewindow,5m,BTC,btc-updown-5m-1779958200,UP,3409.6672696501805,1.0,S3,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
kelly,5m,ETH,eth-updown-5m-1779958800,DOWN,-116.92936971497647,1.0,S8,0.5,50.0,False,-25.0,-25.0
kelly,5m,BTC,btc-updown-5m-1779958800,DOWN,545.1556939627756,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779959100,UP,1391.7152114379405,2.0,S8,0.5168714491029032,96.73585199333688,False,-50.0,-50.0
S3_prewindow,5m,SOL,sol-updown-5m-1779959700,DOWN,1724.2032346598191,1.0,S3,0.5,50.0,False,-25.0,-25.0
kelly,15m,ETH,eth-updown-15m-1779959700,UP,3032.7228384702753,4.0,S8,0.5197401111187856,192.403853119478,True,89.0420338973095,90.55577605708844
kelly,5m,BTC,btc-updown-5m-1779960000,UP,-4299.393071517175,1.0,S8,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
kelly,15m,BTC,btc-updown-15m-1779960600,UP,-3679.879342140088,1.0,S8,0.5159835688459284,48.45115524883108,True,22.60412649431146,22.98213214385446
kelly,5m,ETH,eth-updown-5m-1779961200,DOWN,-3104.61062208896,1.0,S8,0.5,50.0,False,-25.0,-25.0
S3_prewindow,5m,SOL,sol-updown-5m-1779962100,UP,1395.123637769926,1.0,S3,0.508837806014901,49.13156944016044,False,-24.999999999999996,-24.999999999999996
S3_prewindow,5m,BTC,btc-updown-5m-1779962100,UP,445.95246708105776,1.0,S3,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
S3_prewindow,5m,ETH,eth-updown-5m-1779962100,UP,1209.8302418984597,1.0,S3,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779962700,UP,802.5194944062408,1.0,S8,0.5138238246016555,48.65480891116984,False,-24.999999999999996,-24.999999999999996
S3_prewindow,5m,SOL,sol-updown-5m-1779962700,UP,2206.10550716964,1.0,S3,0.5138238246016555,48.65480891116984,False,-24.999999999999996,-24.999999999999996
kelly,5m,ETH,eth-updown-5m-1779962700,UP,-1899.6019477502934,1.0,S8,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
kelly,5m,ETH,eth-updown-5m-1779963300,UP,4060.1290717331985,4.0,S4,0.5056689400450277,197.7578452635343,False,-100.0,-100.0
kelly,15m,SOL,sol-updown-15m-1779963300,UP,324.0277633226318,1.0,S8,0.5114888150823838,48.876924114114466,False,-24.999999999999996,-24.999999999999996
kelly,15m,ETH,eth-updown-15m-1779963300,UP,-1897.1639146834518,1.0,S8,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
S3_prewindow,5m,SOL,sol-updown-5m-1779963600,DOWN,1238.5383653081649,1.0,S3,0.5050204932259323,49.50294163372829,True,23.636727496873668,24.01288280105372
S3_prewindow,5m,BTC,btc-updown-5m-1779963900,DOWN,663.1751073295744,1.0,S3,0.47999998927116394,52.083334497486575,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779963900,DOWN,-2753.470902470436,1.0,S8,0.5,50.0,False,-25.0,-25.0
S3_prewindow,5m,ETH,eth-updown-5m-1779963900,DOWN,839.447048003884,1.0,S3,0.5,50.0,False,-25.0,-25.0
kelly,5m,BTC,btc-updown-5m-1779964200,DOWN,3862.2429292535653,4.0,S4,0.5,200.0,True,96.5,98.0
kelly,5m,SOL,sol-updown-5m-1779964200,DOWN,2005.6546004703223,3.0,S4,0.5142595925760666,145.84074090733932,True,68.29060376836367,69.42392608919253
S3_prewindow,5m,ETH,eth-updown-5m-1779965700,DOWN,2765.816763124239,1.0,S3,0.5,50.0,True,24.125,24.5
S3_prewindow,5m,ETH,eth-updown-5m-1779966300,UP,2792.4053584013664,1.0,S3,0.5299999713897705,47.1698138670551,False,-25.000000000000004,-25.000000000000004
S3_prewindow,5m,SOL,sol-updown-5m-1779966300,UP,2269.899094795348,1.0,S3,0.5328260215185499,46.91963040534357,False,-24.999999999999996,-24.999999999999996
S3_prewindow,5m,BTC,btc-updown-5m-1779967500,DOWN,454.69246755417305,1.0,S3,0.5199999809265137,48.07692484037417,True,22.236924806995567,22.615386343566684
kelly,5m,SOL,sol-updown-5m-1779967800,DOWN,854.9238589609142,1.0,S4,0.5086372281793564,49.15094416011653,True,23.291059309430405,23.667925276914204
kelly,5m,BTC,btc-updown-5m-1779967800,DOWN,-1312.1878258400677,1.0,S8,0.5,50.0,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1779967800,DOWN,1825.3839700842257,1.0,S3,0.4699999988079071,53.19148949661531,False,-25.0,-25.0
S3_prewindow,5m,ETH,eth-updown-5m-1779967800,DOWN,1685.900390424121,1.0,S3,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
S4_prewindow,15m,SOL,sol-updown-15m-1779967800,DOWN,1565.7718798874132,1.0,S4,0.504950490375089,49.50980437988963,False,-24.999999999999996,-24.999999999999996
kelly,5m,ETH,eth-updown-5m-1779968100,UP,-3600.6396276451487,1.0,S8,0.5397236693725095,46.31999932310799,False,-25.0,-25.0
kelly,5m,BTC,btc-updown-5m-1779968100,UP,-2698.335100611915,1.0,S8,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
kelly,15m,BTC,btc-updown-15m-1779968700,UP,-4436.863800829959,1.0,S8,0.5274534287288288,47.39754950546136,True,21.570593005736814,21.949598515352136
kelly,15m,ETH,eth-updown-15m-1779968700,UP,-3259.7942264052267,1.0,S8,0.5400000214576721,46.29629445664684,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779968700,UP,-2269.2397871853223,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,BTC,btc-updown-5m-1779969600,UP,-212.70878356018486,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
S3_prewindow,5m,ETH,eth-updown-5m-1779969900,DOWN,1705.409307983673,1.0,S3,0.5,50.0,True,24.125,24.5
kelly,5m,BTC,btc-updown-5m-1779969900,DOWN,-1266.6977143625668,1.0,S8,0.5,50.0,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779969900,DOWN,-556.8198554898929,1.0,S8,0.5175781086290949,48.30188832023306,False,-25.0,-25.0
kelly,15m,BTC,btc-updown-15m-1779970500,DOWN,-3557.683227396249,1.0,S8,0.5078918510545883,49.223077606167365,True,23.3618883455129,23.73861605404402
kelly,15m,SOL,sol-updown-15m-1779970500,DOWN,-1233.5998693523431,1.0,S8,0.5199999809265137,48.07692484037417,True,22.236924806995567,22.615386343566684
S3_prewindow,5m,BTC,btc-updown-5m-1779970800,DOWN,1527.1101979946534,1.0,S3,0.4699999988079071,53.19148949661531,True,27.26398949452915,27.627659706683005
S3_prewindow,5m,ETH,eth-updown-5m-1779970800,DOWN,1651.3107748404666,1.0,S3,0.49000000953674316,51.02040717026833,True,25.12790718695763,25.499999026862962
kelly,5m,ETH,eth-updown-5m-1779971100,DOWN,-4113.010018055061,1.0,S8,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779971400,DOWN,4040.261096873017,4.0,S8,0.49577845044479996,201.7029984064102,False,-100.0,-100.0
S3_prewindow,5m,SOL,sol-updown-5m-1779971700,UP,160.16703251810705,1.0,S3,0.5185706843278842,48.20943558042106,True,22.366934277994854,22.745246868812636
S3_prewindow,5m,ETH,eth-updown-5m-1779971700,UP,1058.8366826852891,1.0,S3,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
kelly,5m,BTC,btc-updown-5m-1779972000,DOWN,4257.403032775966,4.0,S4,0.5,200.0,False,-100.0,-100.0
kelly,5m,BTC,btc-updown-5m-1779972300,UP,1811.2443630907294,2.0,S4,0.49000000953674316,102.04081434053666,True,50.25581437391526,50.999998053725925
kelly,5m,ETH,eth-updown-5m-1779972300,UP,2156.4826086912226,3.0,S4,0.5,150.0,True,72.375,73.5
S3_prewindow,5m,ETH,eth-updown-5m-1779972300,UP,2210.789152072844,1.0,S3,0.49000000953674316,51.02040717026833,True,25.12790718695763,25.499999026862962
S3_prewindow,5m,BTC,btc-updown-5m-1779972600,UP,2343.7168345205605,1.0,S3,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
S3_prewindow,5m,ETH,eth-updown-5m-1779972600,UP,1889.6221061406936,1.0,S3,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
S3_prewindow,5m,SOL,sol-updown-5m-1779972900,DOWN,384.09267829276894,1.0,S3,0.5241048455333088,47.700379443279076,False,-25.0,-25.0
S3_prewindow,5m,ETH,eth-updown-5m-1779972900,DOWN,901.9970008486445,1.0,S3,0.5133489987237989,48.69981252939181,True,22.848173277158452,23.22581627880397
kelly,5m,BTC,btc-updown-5m-1779973500,DOWN,-2996.306829442992,1.0,S8,0.5,50.0,True,24.125,24.5
kelly,15m,BTC,btc-updown-15m-1779974100,DOWN,-4760.863952078912,1.0,S8,0.509731950380418,49.04538548415938,True,23.187416397325112,23.56447777447619
kelly,5m,BTC,btc-updown-5m-1779974400,UP,3331.29528927097,4.0,S8,0.5299999713897705,188.6792554682204,False,-100.00000000000001,-100.00000000000001
S3_prewindow,5m,SOL,sol-updown-5m-1779974400,DOWN,563.6932966449249,1.0,S3,0.5049404917154819,49.51078475617027,True,23.644430616672356,24.020569061046857
kelly,15m,BTC,btc-updown-15m-1779975000,UP,3902.2685010800283,4.0,S8,0.5291089527549999,188.99699103429134,False,-100.0,-100.0
S3_prewindow,5m,BTC,btc-updown-5m-1779975300,DOWN,653.400273325615,1.0,S3,0.433093036639522,57.72431760616911,True,31.732230420288264,32.06983125404572
S3_prewindow,5m,ETH,eth-updown-5m-1779975300,DOWN,752.0175373754013,1.0,S3,0.48228345856174937,51.836735339325585,True,25.930731391808646,26.300000632539074
kelly,5m,SOL,sol-updown-5m-1779975600,DOWN,1903.243279279968,2.0,S8,0.4959237056090659,100.82195997989808,True,49.05769294952981,49.805520780300114
S3_prewindow,5m,SOL,sol-updown-5m-1779975600,DOWN,1125.8419297633582,1.0,S3,0.4909739438048184,50.91919910507204,True,25.028403506730474,25.4008151229706
kelly,5m,BTC,btc-updown-5m-1779975600,DOWN,1508.7757347974496,2.0,S4,0.47999998927116394,104.16666899497315,True,52.346668957422224,53.083335615073686
kelly,5m,ETH,eth-updown-5m-1779975600,DOWN,1909.9840124512345,2.0,S4,0.5,100.0,True,48.25,49.0
S3_prewindow,5m,ETH,eth-updown-5m-1779975600,DOWN,571.7996213683896,1.0,S3,0.5,50.0,True,24.125,24.5
kelly,5m,BTC,btc-updown-5m-1779975900,UP,3672.4457924182975,4.0,S8,0.5400000214576721,185.18517782658736,True,81.96517797679107,83.48147427005561
kelly,5m,BTC,btc-updown-5m-1779976500,UP,958.9665198644526,1.0,S4,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
S3_prewindow,5m,BTC,btc-updown-5m-1779976500,DOWN,2238.8795482925293,1.0,S3,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779976500,UP,723.1006881823221,1.0,S4,0.5268075209378326,47.455662659285,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779976500,UP,1746.8462423308383,2.0,S4,0.5199999809265137,96.15384968074834,True,44.473849613991135,45.23077268713337
S3_prewindow,5m,ETH,eth-updown-5m-1779976500,DOWN,1852.5641841498252,1.0,S3,0.5,50.0,False,-25.0,-25.0
kelly,5m,BTC,btc-updown-5m-1779976800,UP,-604.3484394387922,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1779976800,UP,162.12425228383287,1.0,S3,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779977100,DOWN,-571.2434185758386,1.0,S8,0.506958243900691,49.31372613184548,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779977100,DOWN,814.2718301041751,1.0,S8,0.5039426062665018,49.60882388019234,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779977400,DOWN,4822.031770312757,4.0,S4,0.5019660316355298,199.21666745890195,False,-99.99999999999999,-99.99999999999999
kelly,5m,SOL,sol-updown-5m-1779977400,DOWN,4584.007473231253,4.0,S4,0.502571326471087,198.97673172516937,False,-100.0,-100.0
kelly,5m,BTC,btc-updown-5m-1779977700,DOWN,5199.774591345863,4.0,S4,0.47999998927116394,208.3333379899463,False,-100.0,-100.0
kelly,15m,BTC,btc-updown-15m-1779977700,DOWN,4609.686321915217,4.0,S4,0.5,200.0,True,96.5,98.0
kelly,15m,ETH,eth-updown-15m-1779977700,DOWN,4637.666602034094,4.0,S4,0.5099999904632568,196.078435039117,True,92.64843497235981,94.15686633833467
kelly,15m,SOL,sol-updown-15m-1779977700,DOWN,4216.770963744135,4.0,S8,0.5442503619007492,183.73896831369723,True,80.54872084700247,82.06418894742328
S3_prewindow,5m,BTC,btc-updown-5m-1779978300,DOWN,626.258828308649,1.0,S3,0.5,50.0,True,24.125,24.5
kelly,5m,ETH,eth-updown-5m-1779978300,DOWN,-1480.9951036600332,1.0,S8,0.5040361627428909,49.599615757634666,True,23.731679042434727,24.107623442481973
S3_prewindow,5m,ETH,eth-updown-5m-1779978300,DOWN,1163.3709561024675,1.0,S3,0.5000843279264974,49.99156862935027,True,24.11671620322164,24.491737256763262
S3_prewindow,5m,SOL,sol-updown-5m-1779978300,DOWN,1407.5122015833174,1.0,S3,0.5282682079414099,47.32444546951184,False,-24.999999999999996,-24.999999999999996
kelly,15m,BTC,btc-updown-15m-1779978600,UP,3520.5257072473582,4.0,S4,0.5099999904632568,196.078435039117,False,-100.0,-100.0
kelly,5m,SOL,sol-updown-5m-1779978600,DOWN,-193.72639990276053,1.0,S8,0.5158525304582373,48.46346295479491,True,22.61620488309683,22.994193695699014
kelly,15m,ETH,eth-updown-15m-1779978600,UP,1587.076960863314,2.0,S4,0.4926108443811376,101.49999856948853,False,-50.0,-50.0
kelly,15m,SOL,sol-updown-15m-1779978600,UP,891.2517200479786,1.0,S4,0.4950495096249109,50.49999952316284,False,-25.0,-25.0
S4_prewindow,15m,ETH,eth-updown-15m-1779979500,DOWN,790.5601363619752,1.0,S4,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779979500,DOWN,-1669.8054468903845,1.0,S8,0.5,50.0,False,-25.0,-25.0
