sleeve_id,anchor,gate_stack,depth,offset_filter,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_full,n_days_lock,bootstrap_p_lockbox,bootstrap_p_full
TS_RFA_OFF[all]_VWAP[g_vwap_low_mid],offset_all,g_rf_aged&g_tr_stack_full_with&g_vwap_low_mid,3,all,53,19,12,118,49.056603773584904,73.68421052631578,58.333333333333336,53.38983050847458,3.684958384401012,-3.7119687425450736,8.603030251910956,-1.1067750687344104,-130.59945811066044,44.21950061281214,55.616821029762164,409.30333180136574,2,5,5.523001711061347,-1.440265815183308,31,4,0.30144460119659733,0.6967481492427106
TS_RFA_OFF[60-240]_VWAP[g_vwap_low_mid],offset_60-240,g_rf_aged&g_tr_stack_full_with&g_vwap_low_mid,3,60-240,39,13,8,82,53.84615384615385,76.92307692307693,37.5,54.87804878048781,-7.553988721217015,-2.01578893325243,9.904464132202943,-0.9464942272813126,-77.61252663706763,-60.43190976973612,83.45380727324408,209.4133293422565,3,4,-19.482925143161445,-1.1336056009992168,29,4,,0.6470993082814693
TS_RFA_OFF[all]_VWAP[g_vwap_lt_75],offset_all,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_75,3,all,119,39,27,244,60.50420168067227,58.97435897435898,74.07407407407408,59.42622950819673,4.620732923100695,2.5041259132071634,-0.4669881060104474,0.5528911124473485,134.90543143715303,124.75978892371876,63.3899428521749,420.73696488872986,2,6,12.660653852690947,0.8502597430289675,32,4,0.09399988191411934,0.38842074058504017
TS_RFA_OFF[60-240]_VWAP[g_vwap_lt_75],offset_60-240,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_75,3,60-240,82,26,17,161,69.51219512195121,61.53846153846154,64.70588235294117,63.975155279503106,-0.16474559622695123,1.4747055523753572,0.5276415001227771,0.009543032694769122,1.5364282638578288,-2.800675135858171,70.65352331831785,283.7774974374595,2,6,-0.38828736447893863,0.017923661781366295,31,4,0.5144393279770146,0.49754186770731945
TS_RFA_OFF[late_480plus]_VWAP[g_vwap_lt_75],offset_late_480plus,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_75,3,late_480plus,22,9,6,53,27.27272727272727,55.55555555555556,83.33333333333334,45.28301886792453,10.74356109226678,8.50318848455398,-0.48671763663047607,3.2934659122154337,174.55369334741798,64.46136655360068,25.0,219.52412193655377,1,5,31.603460140082113,1.5310109916777068,25,3,,0.3255083067896886
TS_RFA_OFF[late_360plus]_VWAP[g_vwap_lt_75],offset_late_360plus,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_75,3,late_360plus,37,13,10,83,40.54054054054054,53.84615384615385,90.0,50.602409638554214,12.756046405957694,4.785544010185762,-2.4562473182768967,1.6068554599192206,133.3690031732953,127.56046405957694,25.0,249.20649540391872,1,4,37.042460895246904,1.0460989158318232,31,4,0.004523237723560891,0.37306374512161444
TS_RFA_OFF[all]_VWAP[g_vwap_lt_70],offset_all,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_70,3,all,91,29,19,184,57.14285714285714,62.06896551724138,63.1578947368421,55.97826086956522,2.747072506520989,3.5107002678987005,1.9964608771756454,1.0857572747959663,199.7793385624578,52.19437762389879,63.3899428521749,386.69862410478265,2,7,5.754410487120456,1.3584393906847438,32,4,0.29803229327992276,0.3271753257467644
TS_RFA_OFF[60-240]_VWAP[g_vwap_lt_70],offset_60-240,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_70,3,60-240,62,19,13,122,64.51612903225806,63.1578947368421,53.84615384615385,60.65573770491803,-2.944896388284692,0.706247911885857,2.6366165575180496,-0.10255955326031795,-12.51226549775879,-38.283653047700994,84.6462768188166,247.7492422468886,2,5,-6.269957069175237,-0.16673494913104286,31,4,0.6961755750996865,0.5220611801387288
TS_RFA_OFF[late_360plus]_VWAP[g_vwap_lt_70],offset_late_360plus,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_70,3,late_360plus,29,10,6,62,41.37931034482759,60.0,83.33333333333334,46.774193548387096,15.079671778599966,9.50642599454685,0.7801650845250784,3.4240581300034942,212.29160406021666,90.4780306715998,25.0,212.54791229967833,1,5,107.11745803246342,1.6755278591494565,29,3,,0.2971595059647726
TS_RFA_OFF[all]_VWAP[g_vwap_lt_65],offset_all,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_65,3,all,60,21,13,129,48.333333333333336,66.66666666666666,53.84615384615385,51.162790697674424,1.4784231240624721,4.170932084248871,5.402741656490866,1.6774481418539586,216.39081029916068,19.219500612812137,80.61682102976216,335.90980871408385,2,5,3.0280704865868393,1.5663108912605936,32,4,0.4145167688260404,0.30876218614796613
TS_RFA_OFF[60-240]_VWAP[g_vwap_lt_65],offset_60-240,g_rf_aged&g_tr_stack_full_with&g_vwap_lt_65,3,60-240,39,13,8,82,53.84615384615385,76.92307692307693,37.5,54.87804878048781,-7.553988721217015,-2.01578893325243,9.904464132202943,-0.9464942272813126,-77.61252663706763,-60.43190976973612,83.45380727324408,209.4133293422565,3,4,-19.482925143161445,-1.1336056009992168,29,4,,0.6470993082814693
TS_RFA_OFF[60-240]_VWAP[g_vwap_gt_50],offset_60-240,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_50,3,60-240,128,35,27,247,75.78125,65.71428571428571,66.66666666666666,72.46963562753037,-1.5241939233906234,0.8596056915786777,-0.7111491980040494,0.09705316572792617,23.972131934797765,-41.15323593154683,125.419001554567,185.05430925587558,3,5,-3.5585501245085913,0.27677474999381496,33,4,0.6860250427260741,0.4630587479670995
TS_RFA_OFF[240-480]_VWAP[g_vwap_gt_50],offset_240-480,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_50,3,240-480,90,19,18,162,78.88888888888889,73.68421052631578,94.44444444444444,79.62962962962963,4.197032684122199,-1.8662718297184395,-2.3114878745053438,-1.2333800739636567,-199.8075719821124,75.54658831419958,25.0,326.7074147414427,1,2,22.47093935122994,-3.7745783642995274,32,4,0.013027629599377144,0.888487548886643
TS_RFA_OFF[480-840]_VWAP[g_vwap_gt_50],offset_480-840,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_50,3,480-840,117,34,18,209,90.5982905982906,91.17647058823529,100.0,90.43062200956938,3.3382901056389533,-0.8284852182203982,0.2561022976285437,-0.19335473076409115,-40.411138729695054,60.08922190150116,0.0,160.59271121497616,0,1,25.64055741004843,-0.9555694791438716,33,4,0.0031138293296864017,0.6203092485142763
TS_RFA_OFF[late_480plus]_VWAP[g_vwap_gt_50],offset_late_480plus,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_50,3,late_480plus,159,42,27,282,86.79245283018868,88.09523809523809,100.0,87.94326241134752,4.220893747413807,-1.5778631712676505,-0.15591026530119706,-0.5250874189182011,-148.0746521349327,113.96413118017279,0.0,348.8471839906571,0,2,24.550759740079503,-2.2562921852938853,33,4,0.0001,0.8196715580067908
TS_RFA_OFF[late_360plus]_VWAP[g_vwap_gt_50],offset_late_360plus,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_50,3,late_360plus,207,53,36,371,85.5072463768116,84.90566037735849,97.22222222222221,85.71428571428571,3.7676613948805757,-1.2796967884369377,-0.6643545565326614,-0.6474897862851955,-240.21871071180755,135.63581021570073,25.0,462.66292160306,1,3,26.271145049658067,-2.985885637670868,33,4,0.000444284340925305,0.8652473458427279
TS_RFA_OFF[60-240]_VWAP[g_vwap_gt_55],offset_60-240,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_55,3,60-240,123,29,25,228,75.60975609756098,65.51724137931035,64.0,72.36842105263158,-3.519396265118147,0.36541932320221004,-2.2713623615426077,-0.7109400095369152,-162.09432217441665,-87.98490662795368,149.22877474746588,255.00853404389434,3,5,-8.941433794528693,-2.0886196049700905,33,4,0.865167998497186,0.7589854927956816
TS_RFA_OFF[240-480]_VWAP[g_vwap_gt_55],offset_240-480,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_55,3,240-480,87,18,18,158,79.3103448275862,72.22222222222221,94.44444444444444,79.74683544303798,4.197032684122199,-2.148325149140585,-3.765862388472045,-1.535535751009994,-242.61464865957905,75.54658831419958,25.0,345.64723804201407,1,2,22.47093935122994,-4.931501441915508,32,4,0.013027629599377144,0.943299260324759
TS_RFA_OFF[480-840]_VWAP[g_vwap_gt_55],offset_480-840,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_55,3,480-840,117,33,17,206,90.5982905982906,93.93939393939394,100.0,90.77669902912622,2.3244597720095417,-0.8284852182203982,1.021438730890015,-0.2889324147350391,-59.52007743541806,39.51581612416221,0.0,184.12824414336023,0,1,53.76887443751741,-1.5179741594902603,33,4,0.000596729372324023,0.6874555523568333
TS_RFA_OFF[late_480plus]_VWAP[g_vwap_gt_55],offset_late_480plus,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_55,3,late_480plus,159,40,26,278,86.79245283018868,90.0,100.0,88.12949640287769,3.5919509770320697,-1.5778631712676505,-0.13538711298863895,-0.6872332525811186,-191.05084421755097,93.39072540283381,0.0,347.382716919041,0,2,44.58636781581389,-3.2383895460691288,33,4,0.0001,0.8834633944037802
TS_RFA_OFF[late_360plus]_VWAP[g_vwap_gt_55],offset_late_360plus,g_rf_aged&g_tr_stack_full_with&g_vwap_gt_55,3,late_360plus,204,51,35,364,85.7843137254902,86.27450980392157,97.14285714285714,85.98901098901099,3.2874972696674796,-1.3913581299363607,-0.6681969582965948,-0.830040456304937,-302.13472609499706,115.06240443836178,25.0,480.1382778320153,1,3,38.974619813724985,-4.016456034396336,33,4,0.000871536096179959,0.935760939021315
TS_VOLH_OFF[all]_VWAP[none],offset_all,g_tr_stack_full_with&g_vol_high,2,all,229,117,78,424,77.29257641921397,82.05128205128204,73.07692307692307,77.83018867924528,0.6514045414055657,-0.3888639196292676,0.8097489669291997,0.13325553246520808,56.50034576524823,50.809554229634124,113.30546838241764,278.9239066684903,3,5,2.3927040274144677,0.605942572377787,23,4,0.3783444974717105,0.43165013603552516
TS_VOLH_OFF[60-240]_VWAP[none],offset_60-240,g_tr_stack_full_with&g_vol_high,2,60-240,83,45,35,163,63.85542168674698,77.77777777777779,80.0,71.16564417177914,6.5714592961677605,-1.0912808618596486,4.297745149453435,2.0418607089381924,332.82329555692536,230.00107536587163,60.575421230888395,273.8740386754741,2,5,23.141995981363337,4.059162431879956,22,4,0.01882011791857402,0.08344688423715624
TS_VOLH_OFF[240-480]_VWAP[none],offset_240-480,g_tr_stack_full_with&g_vol_high,2,240-480,65,28,18,111,80.0,89.28571428571429,55.55555555555556,78.37837837837837,-7.575229873649113,1.2057774913981787,0.8055369668647362,-0.3191312226359444,-35.42356571258983,-136.35413772568404,137.64361173350986,214.34005416771222,3,3,-23.115832328423096,-0.5518225630501536,20,4,0.9734581542873387,0.5846343717411294
TS_VOLH_OFF[480-840]_VWAP[none],offset_480-840,g_tr_stack_full_with&g_vol_high,2,480-840,81,44,25,150,88.88888888888889,81.81818181818183,76.0,84.66666666666667,-1.7134953364221375,-0.9487538642176919,-2.7548394924295634,-1.6059958938605816,-240.89938407908724,-42.837383410553436,97.12397930739606,308.3330588413865,2,2,-7.081347261248894,-6.762771901879846,22,4,0.7002737718089569,0.9595928318592759
TS_VOLH_OFF[late_480plus]_VWAP[none],offset_late_480plus,g_tr_stack_full_with&g_vol_high,2,late_480plus,111,57,32,200,87.38738738738738,84.21052631578947,71.875,84.0,-3.122384103061405,-0.6324548415098505,-1.763746729109988,-1.3532617113241383,-270.65234226482767,-99.91629129796496,108.41543686322333,295.69333059246406,2,3,-9.53325844602439,-5.436841141464372,22,4,0.8588357367991026,0.9499275455087475
TS_VOLH_OFF[late_360plus]_VWAP[none],offset_late_360plus,g_tr_stack_full_with&g_vol_high,2,late_360plus,146,72,43,261,84.93150684931507,84.72222222222221,67.44186046511628,81.99233716475096,-4.167244677586918,0.010455300953757267,-1.370248647148446,-1.0587086198914826,-276.32294979167693,-179.19152113623747,184.23664940395355,395.64819469795947,3,4,-15.040829622814698,-3.3484281646301075,22,4,0.9543191520973852,0.9019388189236661
TS_VOLH_OFF[all]_VWAP[g_vwap_sweet],offset_all,g_tr_stack_full_with&g_vol_high&g_vwap_sweet,3,all,96,53,37,186,57.291666666666664,71.69811320754717,64.86486486486487,62.903225806451616,1.5083646127743646,-3.365079443061616,2.4148096802211882,-0.7486732409115092,-139.25322280954072,55.80949067265149,91.93280214835312,373.04762653391515,3,7,3.366640741992545,-1.7856548559180732,21,4,0.3327320760920923,0.6990833323596757
TS_VOLH_OFF[60-240]_VWAP[g_vwap_sweet],offset_60-240,g_tr_stack_full_with&g_vol_high&g_vwap_sweet,3,60-240,64,37,22,123,57.8125,75.67567567567568,81.81818181818183,67.47967479674797,8.687998715520665,-2.8807306409389493,5.110652735201711,1.592385056291262,195.86336192382524,191.13597174145465,25.0,270.90704294140903,1,5,13.0562174659915,2.5938074078443796,21,4,0.00910484547733087,0.17451013373848795
TS_VOLH_OFF[late_360plus]_VWAP[g_vwap_sweet],offset_late_360plus,g_tr_stack_full_with&g_vol_high&g_vwap_sweet,3,late_360plus,32,16,15,63,56.25,62.5,40.0,53.96825396825397,-9.02176540458688,-4.333777047306951,-3.819327384421271,-5.319310868783585,-335.11658473336587,-135.3264810688032,135.3264810688032,335.1165847333659,5,8,-44.10574970766435,-9.425119098382908,20,4,0.9615083943412293,0.9867286754181612
TS_VOLH_OFF[all]_VWAP[g_vwap_low_mid],offset_all,g_tr_stack_full_with&g_vol_high&g_vwap_low_mid,3,all,48,27,25,100,50.0,59.25925925925925,68.0,56.99999999999999,7.0461977047699085,-1.9209341388799608,0.8346443793517259,1.0648550219550617,106.48550219550617,176.15494261924772,75.0,216.13527185750726,3,5,6.532983783514581,1.4762624609184978,20,4,0.06435662395719088,0.32380123260938565
TS_VOLH_OFF[60-240]_VWAP[g_vwap_low_mid],offset_60-240,g_tr_stack_full_with&g_vol_high&g_vwap_low_mid,3,60-240,34,21,15,70,52.94117647058824,71.42857142857143,80.0,64.28571428571429,12.288027671909907,-1.4633273198895032,6.283393109058008,3.8074077356089098,266.5185414926237,184.3204150786486,25.0,173.65725727147537,1,4,10.39058433837808,4.54451101273333,20,4,0.006821194576939749,0.08067559089033438
TS_VOLH_OFF[all]_VWAP[g_vwap_lt_75],offset_all,g_tr_stack_full_with&g_vol_high&g_vwap_lt_75,3,all,93,48,37,178,58.06451612903226,68.75,62.16216216216216,61.79775280898876,3.516492600062636,-0.3754826485987672,1.957694072354859,1.0626946930093564,189.15965535566542,130.11022620231753,100.0,217.34394703817716,4,7,4.0798282872887315,2.0157547619101486,21,4,0.18028571173772906,0.26265333773340427
TS_VOLH_OFF[60-240]_VWAP[g_vwap_lt_75],offset_60-240,g_tr_stack_full_with&g_vol_high&g_vwap_lt_75,3,60-240,59,33,21,113,62.71186440677966,78.78787878787878,80.95238095238095,70.79646017699115,12.030585541843289,0.5815158658348181,6.806050735297311,4.527003599360837,511.5514067277746,252.64229637870906,25.0,165.2098768128165,1,5,17.85674267208227,7.736708280259708,20,4,0.0032399617462670616,0.007192137230700835
TS_VOLH_OFF[late_360plus]_VWAP[g_vwap_lt_75],offset_late_360plus,g_tr_stack_full_with&g_vol_high&g_vwap_lt_75,3,late_360plus,34,15,16,65,50.0,46.666666666666664,37.5,46.15384615384615,-7.658254386024472,-2.0361565412923417,-8.708690586118534,-4.959873098032449,-322.3917513721092,-122.53207017639156,136.4276020567205,333.19391334423483,3,5,-6.685889128200937,-4.739057991424293,20,4,0.8965412558214638,0.9573835924395739
TS_VOLH_OFF[all]_VWAP[g_vwap_lt_70],offset_all,g_tr_stack_full_with&g_vol_high&g_vwap_lt_70,3,all,72,39,34,145,50.0,61.53846153846154,61.76470588235294,55.86206896551724,3.980561837104893,-1.7999267015018792,0.2915867224723121,0.11804318710242212,17.116262129851208,135.33910246156637,100.0,259.4446415690933,4,7,4.693547977897679,0.1862212813024621,21,4,0.1638235473166087,0.4764544473793377
TS_VOLH_OFF[60-240]_VWAP[g_vwap_lt_70],offset_60-240,g_tr_stack_full_with&g_vol_high&g_vwap_lt_70,3,60-240,45,29,19,93,55.55555555555556,75.86206896551724,78.94736842105263,66.66666666666666,12.256377507260943,-0.6295229970299996,6.387021198055833,4.191034973282012,389.76625251522705,232.87117263795793,25.0,178.45891191328656,1,5,19.828633337384137,6.5424954427690905,20,4,0.005890617246937235,0.03217865882772886
TS_VOLH_OFF[late_360plus]_VWAP[g_vwap_lt_70],offset_late_360plus,g_tr_stack_full_with&g_vol_high&g_vwap_lt_70,3,late_360plus,27,10,15,52,40.74074074074074,20.0,40.0,36.53846153846153,-6.502138011759437,-3.750599542288347,-17.3851732567199,-7.166345968949536,-372.6499903853759,-97.53207017639156,136.4276020567205,372.6499903853759,3,6,-5.4075757165465035,-5.728837529068667,19,4,0.8566557821928722,0.983683516096229
TS_VOLH_OFF[all]_VWAP[g_vwap_lt_65],offset_all,g_tr_stack_full_with&g_vol_high&g_vwap_lt_65,3,all,54,30,28,112,50.0,53.333333333333336,64.28571428571429,54.46428571428571,6.342694224028915,-0.295374229920687,-1.7488200585834464,0.9748270366034743,109.18062809958911,177.59543827280962,75.0,266.57639247337113,3,5,6.6155779982661,1.328091976712554,20,4,0.08791339636369111,0.34555577765196244
TS_VOLH_OFF[60-240]_VWAP[g_vwap_lt_65],offset_60-240,g_tr_stack_full_with&g_vol_high&g_vwap_lt_65,3,60-240,35,21,16,72,54.285714285714285,71.42857142857143,81.25,65.27777777777779,14.735056920763158,-0.04824976742772813,6.283393109058008,5.083658668923031,366.02342416245824,235.76091073221053,25.0,173.65725727147537,1,4,16.591681701411865,6.441473591769318,20,4,0.0031427764160756877,0.03550619746438488
TS_VOLH_OFF[all]_VWAP[g_vwap_gt_50],offset_all,g_tr_stack_full_with&g_vol_high&g_vwap_gt_50,3,all,213,109,68,390,78.40375586854461,88.07339449541286,76.47058823529412,80.76923076923077,-0.058683006486429955,-1.4682337873003841,2.7040424690891416,-0.056368235911134996,-21.98361200534265,-3.990444441077237,96.74967222746406,362.7337966949819,3,5,-0.3395563306574221,-0.21397961670040405,23,4,0.512351427674084,0.5328214918540239
TS_VOLH_OFF[60-240]_VWAP[g_vwap_gt_50],offset_60-240,g_tr_stack_full_with&g_vol_high&g_vwap_gt_50,3,60-240,78,42,31,151,61.53846153846154,83.33333333333334,80.64516129032258,71.52317880794702,4.744337613485262,-3.270079660716366,6.390441231557252,1.0622965841560996,160.40678420757104,147.07446601804313,68.35559765131865,306.14394136540204,2,5,11.049074461482796,1.7729793999423111,22,4,0.05331723015096307,0.21689987507060815
TS_VOLH_OFF[240-480]_VWAP[g_vwap_gt_50],offset_240-480,g_tr_stack_full_with&g_vol_high&g_vwap_gt_50,3,240-480,59,26,16,101,79.66101694915254,96.15384615384616,62.5,81.1881188118812,-5.3971336078552525,-1.7935342399571563,2.7905782720081778,-1.184332899118254,-119.61762281094366,-86.35413772568404,87.64361173350983,121.39726097264258,2,3,-12.045140370466829,-3.0042912505599695,20,4,0.9174097237425293,0.8420129810895658
TS_VOLH_OFF[480-840]_VWAP[g_vwap_gt_50],offset_480-840,g_tr_stack_full_with&g_vol_high&g_vwap_gt_50,3,480-840,76,41,21,138,94.73684210526315,87.8048780487805,80.95238095238095,90.57971014492753,-3.081465368258872,0.6335649605048284,-1.1271448211439212,-0.4548751695794936,-62.77277340197011,-64.71077273343631,97.12397930739606,195.64639792733539,2,2,-8.12709435611443,-1.7532400659441547,21,4,0.9041232512793946,0.7349838585096256
TS_VOLH_OFF[late_480plus]_VWAP[g_vwap_gt_50],offset_late_480plus,g_tr_stack_full_with&g_vol_high&g_vwap_gt_50,3,late_480plus,105,53,27,185,91.42857142857143,90.56603773584906,77.77777777777779,89.1891891891892,-3.584802985957327,0.09457714170971732,-0.010067236967345555,-0.47239267189511797,-87.39264430059683,-96.78968062084783,113.07575852673999,205.77638868274437,2,2,-18.70891432672096,-2.1533336937068257,22,4,0.9500717365932292,0.7631336564426665
TS_VOLH_OFF[late_360plus]_VWAP[g_vwap_gt_50],offset_late_360plus,g_tr_stack_full_with&g_vol_high&g_vwap_gt_50,3,late_360plus,135,67,37,239,88.14814814814815,91.04477611940298,72.97297297297297,86.61087866108787,-4.082835417814064,-0.427167282660039,0.3931656329151021,-0.7631397331084259,-182.39039621291377,-151.06491045912034,156.1100387268364,246.184960762296,3,4,-25.697403865305365,-3.295434803281368,22,4,0.9717739502684776,0.8721022175744506
TS_VOLH_OFF[all]_VWAP[g_vwap_gt_55],offset_all,g_tr_stack_full_with&g_vol_high&g_vwap_gt_55,3,all,205,103,61,369,80.0,88.3495145631068,75.40983606557377,81.57181571815718,-1.8532024225830852,-1.223080902634454,2.0284517926679437,-0.41963793542773187,-154.84639817283306,-113.0453477775682,157.55608195747675,306.09485553403186,3,5,-15.022604328919638,-1.6906955113737552,23,4,0.8518672582857445,0.7406582317121004
TS_VOLH_OFF[60-240]_VWAP[g_vwap_gt_55],offset_60-240,g_tr_stack_full_with&g_vol_high&g_vwap_gt_55,3,60-240,72,37,25,134,63.888888888888886,81.08108108108108,76.0,70.8955223880597,0.5207825072620864,-2.737386561115522,4.259146952418551,-0.1976405408901419,-26.483832479279016,13.01956268155216,89.43254757527377,303.3704311201021,2,5,1.3661217601541897,-0.3526168500559101,22,4,0.4316280387013,0.5549951205552057
TS_VOLH_OFF[240-480]_VWAP[g_vwap_gt_55],offset_240-480,g_tr_stack_full_with&g_vol_high&g_vwap_gt_55,3,240-480,59,26,16,101,79.66101694915254,96.15384615384616,62.5,81.1881188118812,-5.3971336078552525,-1.7935342399571563,2.7905782720081778,-1.184332899118254,-119.61762281094366,-86.35413772568404,87.64361173350983,121.39726097264258,2,3,-12.045140370466829,-3.0042912505599695,20,4,0.9174097237425293,0.8420129810895658
TS_VOLH_OFF[480-840]_VWAP[g_vwap_gt_55],offset_480-840,g_tr_stack_full_with&g_vol_high&g_vwap_gt_55,3,480-840,74,40,20,134,95.94594594594594,90.0,85.0,92.53731343283582,-1.9855386366718146,0.7051184799692798,-0.5303234416725192,-0.06526076778067433,-8.74494288261036,-39.71077273343629,74.50000048656851,148.02241910650787,2,2,-7.260815987682108,-0.3304316934842283,21,4,0.8082909358276404,0.5388007661171014
TS_VOLH_OFF[late_480plus]_VWAP[g_vwap_gt_55],offset_late_480plus,g_tr_stack_full_with&g_vol_high&g_vwap_gt_55,3,late_480plus,103,52,26,181,92.23300970873787,92.3076923076923,80.76923076923077,90.60773480662984,-2.761141562340301,0.1355187417366996,0.4705083930909748,-0.1843359877416413,-33.364813781237075,-71.78968062084782,88.07575852673997,155.77638868274437,2,2,-17.79761043035375,-1.051380403183673,22,4,0.8958501522534422,0.609681560012984
