sleeve_id,anchor,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_full,n_days_lock,bootstrap_p_lockbox,bootstrap_p_full
TS_STRONG_MARK,offset_60s+,g_trend_slope_strong_with&g_markov_with,2,202,60,13,275,54.45544554455446,60.0,38.46153846153847,54.90909090909091,-14.430550446346729,6.219113307658273,4.474266895689848,4.86225362213038,1337.1197460858546,-187.59715580250747,200.0,877.9362168571492,8,14,0.0,3.636505643720446,20,1,0.9999283643008386,0.02657739363468936
TS_STRONG_HURST,offset_60s+,g_trend_slope_strong_with&g_hurst_trending,2,425,159,47,631,46.588235294117645,30.81761006289308,29.78723404255319,41.36291600633915,-15.92315173376861,-1.2164188407992846,-10.842681460934541,-4.737484138059292,-2989.352491115413,-748.3881314871246,818.1958904901774,3159.728310771611,26,49,-21.086561765030243,-5.536769357738198,22,2,0.9999999999999836,0.9994445150072337
TS_STRONG_MP,offset_60s+,g_trend_slope_strong_with&g_mp_no_extreme,2,1030,388,93,1511,57.86407766990291,51.03092783505154,49.46236559139785,55.59232296492389,-3.335412022819308,-0.364425840937293,-2.600372266471482,-1.121440353195594,-1694.4963736785426,-310.19331812219565,458.3114302953345,2180.932735991703,11,24,0.0,-3.1731647245494874,25,1,0.9042056781321651,0.9739037772569895
TS_STRONG_RF,offset_60s+,g_trend_slope_strong_with&g_rf_with,2,980,339,304,1623,52.44897959183673,44.83775811209439,49.67105263157895,50.3388786198398,-3.615952428610086,-2.5195023233362175,-5.945922603386318,-3.440560429892126,-5584.02957771492,-1099.2495382974662,1099.2495382974662,5584.029577714932,17,19,-15.729964506424379,-9.679133274253141,28,4,0.9923415641947808,0.999999376661799
TS_STRONG_STOCH,offset_60s+,g_trend_slope_strong_with&g_stoch_with,2,1240,408,375,2023,62.41935483870967,55.88235294117647,60.53333333333333,60.75135936727632,0.4653770622833451,-1.7456301896539457,-4.824290802742347,-1.9566859536992172,-3958.3756843335163,174.5163983562544,589.4386777051799,4357.050236289909,14,26,1.3780471020178966,-5.672871733018293,28,4,0.3657476708500928,0.9998792188124981
TS_STRONG_MFI,offset_60s+,g_trend_slope_strong_with&g_mfi_with,2,1103,366,336,1805,54.66908431550317,46.72131147540984,51.19047619047619,52.40997229916897,-2.9891915122218906,-1.6583907894478995,-5.914909616871398,-2.769213467391978,-4998.430308642521,-1004.3683481065552,1320.8260564083855,5046.532882635913,19,26,-13.968798021455516,-7.389684643691978,28,4,0.9746174940685831,0.9998276501508641
TS_STRONG_TR50,offset_60s+,g_trend_slope_strong_with&g_tr_above_ema50,2,1023,323,304,1650,55.42521994134897,46.749226006191954,49.67105263157895,52.666666666666664,-2.6930812368475165,-2.6895073809085095,-7.246623704705269,-3.5822558807823346,-5910.722203290852,-818.696696001645,1082.796856228987,5947.774388643216,14,20,-12.630526573757468,-10.757123940907269,28,4,0.94181631595127,0.9999999321429314
TS_STRONG_RIB_MP,offset_60s+,g_trend_slope_strong_with&g_ribbon_agrees&g_mp_no_extreme,3,564,177,45,786,61.170212765957444,57.6271186440678,51.11111111111111,59.796437659033074,-3.2861239714378234,-0.5201035367811967,-1.7421327391880348,-0.9536532675516276,-749.5714682955793,-147.87557871470204,222.72540646081757,1157.163998675132,7,14,0.0,-2.853887711343476,25,1,0.8237561242394753,0.8974853393415398
TS_STRONG_RIB_MARK,offset_60s+,g_trend_slope_strong_with&g_ribbon_agrees&g_markov_with,3,95,27,8,130,65.26315789473685,66.66666666666666,50.0,64.61538461538461,-11.01214441449237,2.0578350766362257,2.7214992538465204,1.3913665909104507,180.8776568183586,-88.09715531593896,100.0,206.74928563184656,4,5,0.0,1.5066709426048261,19,1,,0.28177442106669226
TS_STRONG_HURST_MP,offset_60s+,g_trend_slope_strong_with&g_hurst_trending&g_mp_no_extreme,3,190,81,21,292,60.0,45.67901234567901,38.095238095238095,54.45205479452054,-12.152011476045114,0.23075651461959043,-4.927223338401759,-2.0905944987320813,-610.4535936297677,-255.19224099694742,325.0,862.6073046104395,13,17,0.0,-2.5819097958602093,21,1,0.9994855523556223,0.9476255113797002
TS_STRONG_VOL,offset_60s+,g_trend_slope_strong_with&g_vol_expanding,2,532,221,199,952,54.51127819548872,46.60633484162896,40.7035175879397,49.78991596638656,-2.9664699107183035,2.0754058361570453,-3.651268970881947,-0.30792232138897524,-293.14204996230444,-590.3275122329424,1729.504443764376,2788.8173864999426,38,41,-3.897797399293852,-0.4225900498961024,26,4,0.8682061162235872,0.5930390351643472
