sleeve,gate,n,wr,mean_pnl,sum_pnl,lift_pnl_vs_base,lift_wr_vs_base,retention_pct
S1,g_kr_with_120s,37,0.6756756756756757,8.735026429104968,323.19597787688383,4.02266962091544,0.07784958871915393,40.21739130434783
S1,g_kr_against_120s,4,0.5,0.29171907281666876,1.166876291266675,-4.42063773537286,-0.09782608695652173,4.3478260869565215
S1,g_ok_with_120s,69,0.6086956521739131,5.278160216296567,364.1930549244631,0.5658034081070387,0.010869565217391353,75.0
S1,g_ok_against_120s,1,1.0,27.627659706683005,27.627659706683005,22.915302898493476,0.40217391304347827,1.0869565217391304
S1,g_xchg_majority_with_120s,67,0.6119402985074627,5.443179924245719,364.6930549244632,0.7308231160561904,0.014114211550940947,72.82608695652173
S1,g_xchg_all_with_120s,34,0.6764705882352942,8.821408602342146,299.927892479633,4.1090517941526175,0.07864450127877243,36.95652173913044
S1,g_xchg_majority_against_120s,2,0.5,1.3138298533415025,2.627659706683005,-3.398526954848026,-0.09782608695652173,2.1739130434782608
S1,g_hl_liq_60s_any,46,0.5652173913043478,3.233367047393817,148.73488418011559,-1.4789897607957112,-0.03260869565217395,50.0
S1,g_hl_liq_60s_high,22,0.45454545454545453,-2.4232220292415194,-53.31088464331343,-7.135578837431048,-0.1432806324110672,23.91304347826087
S2,BASE,113,0.5663716814159292,4.104668832400485,463.82757806125477,0.0,0.0,100.0
S2,g_bn_with_5s,30,0.5333333333333333,2.08140199739653,62.44205992189589,-2.023266835003955,-0.03303834808259587,26.548672566371682
S2,g_bn_against_5s,52,0.5192307692307693,1.84702313831811,96.04520319254172,-2.257645694082375,-0.04714091218515992,46.017699115044245
S2,g_hl_with_5s,32,0.5,0.6020377912600352,19.265209320321127,-3.5026310411404493,-0.0663716814159292,28.31858407079646
S2,g_hl_against_5s,42,0.5952380952380952,5.771084275009989,242.38553955041954,1.6664154426095044,0.028866413822166037,37.16814159292036
S2,g_bn_with_15s,51,0.5686274509803921,4.217467749157181,215.09085520701623,0.11279891675669607,0.0022557695644629394,45.13274336283186
S2,g_bn_against_15s,49,0.5510204081632653,3.376915206845172,165.46884513541343,-0.7277536255553128,-0.015351273252663944,43.36283185840708
S2,g_hl_with_15s,34,0.5882352941176471,4.819233981760255,163.85395537984866,0.7145651493597702,0.021863612701717883,30.088495575221238
S2,g_hl_against_15s,42,0.5714285714285714,4.8757834812386065,204.7829062120215,0.7711146488381218,0.005056890012642201,37.16814159292036
S2,g_bn_with_60s,55,0.509090909090909,0.9096306807269002,50.02968743997951,-3.1950381516735846,-0.05728077232502016,48.67256637168141
S2,g_bn_against_60s,53,0.6226415094339622,7.347162039112215,389.3995880729474,3.24249320671173,0.05626982801803304,46.902654867256636
S2,g_hl_with_60s,42,0.6190476190476191,6.747850322056458,283.4097135263712,2.643181489655973,0.05267593763168987,37.16814159292036
S2,g_hl_against_60s,38,0.5263157894736842,2.271809115538506,86.32874639046324,-1.8328597168619787,-0.040055891942245014,33.6283185840708
S2,g_cb_with_60s,0,,,0.0,,,
S2,g_cb_against_60s,0,,,0.0,,,
S2,g_kr_with_60s,0,,,0.0,,,
S2,g_kr_against_60s,0,,,0.0,,,
S2,g_ok_with_60s,0,,,0.0,,,
S2,g_ok_against_60s,0,,,0.0,,,
S2,g_xchg_majority_with_60s,0,,,0.0,,,
S2,g_xchg_all_with_60s,0,,,0.0,,,
S2,g_xchg_majority_against_60s,0,,,0.0,,,
S2,g_cb_with_120s,41,0.5853658536585366,5.096699826736939,208.9646928962145,0.9920309943364547,0.018994172242607354,36.283185840707965
S2,g_cb_against_120s,40,0.575,4.507459226008751,180.29836904035005,0.4027903936082664,0.00862831858407076,35.39823008849557
S2,g_kr_with_120s,13,0.6923076923076923,9.60259508856149,124.83373615129938,5.497926256161005,0.1259360108917631,11.504424778761061
S2,g_kr_against_120s,24,0.6666666666666666,9.571647389504529,229.7195373481087,5.466978557104044,0.10029498525073743,21.238938053097346
S2,g_ok_with_120s,42,0.6190476190476191,6.714378797161862,282.0039094807982,2.609709964761377,0.05267593763168987,37.16814159292036
S2,g_ok_against_120s,41,0.5609756097560976,3.9261336922373298,160.9714813817305,-0.17853514016315497,-0.0053960716598315805,36.283185840707965
S2,g_xchg_majority_with_120s,41,0.6097560975609756,6.280583158068249,257.5039094807982,2.1759143256677644,0.0433844161450464,36.283185840707965
S2,g_xchg_all_with_120s,8,0.75,12.631434189558252,101.05147351646602,8.526765357157768,0.1836283185840708,7.079646017699115
S2,g_xchg_majority_against_120s,39,0.5897435897435898,5.4095251636341155,210.9714813817305,1.3048563312336308,0.023371908327660562,34.51327433628319
S2,g_hl_liq_60s_any,43,0.5581395348837209,4.170342351627198,179.32472111996952,0.0656735192267135,-0.008232146532208273,38.05309734513274
S2,g_hl_liq_60s_high,17,0.5882352941176471,6.028768982394698,102.48907270070987,1.9241001499942136,0.021863612701717883,15.044247787610619
S3,BASE,65,0.5846153846153846,5.670434409311318,368.5782366052357,0.0,0.0,100.0
S3,g_bn_with_5s,13,0.5384615384615384,3.0584497289097805,39.759846475827146,-2.611984680401538,-0.04615384615384621,20.0
S3,g_bn_against_5s,35,0.5714285714285714,4.850462535690444,169.76618874916556,-0.8199718736208741,-0.013186813186813251,53.84615384615385
S3,g_hl_with_5s,17,0.47058823529411764,-0.07294828574959374,-1.2401208577430936,-5.743382695060912,-0.11402714932126701,26.153846153846153
S3,g_hl_against_5s,30,0.5666666666666667,4.709045605234255,141.27136815702767,-0.9613888040770631,-0.017948717948717996,46.15384615384615
S3,g_bn_with_15s,27,0.5925925925925926,6.212590743330113,167.73995006991305,0.5421563340187943,0.007977207977207912,41.53846153846154
S3,g_bn_against_15s,31,0.5806451612903226,5.312271015121037,164.68040146875214,-0.35816339419028154,-0.003970223325062028,47.69230769230769
S3,g_hl_with_15s,19,0.47368421052631576,0.043347811667765364,0.8236084216875419,-5.627086597643553,-0.11093117408906888,29.23076923076923
S3,g_hl_against_15s,30,0.6,6.523125085728787,195.6937525718636,0.8526906764174687,0.01538461538461533,46.15384615384615
S3,g_bn_with_60s,29,0.5172413793103449,1.8671816937685155,54.14826911928695,-3.803252715542803,-0.06737400530503979,44.61538461538461
S3,g_bn_against_60s,34,0.6470588235294118,9.102515341153502,309.48552159921906,3.432080931842184,0.06244343891402715,52.30769230769231
S3,g_hl_with_60s,26,0.6153846153846154,7.51718091329575,195.4467037456895,1.8467465039844315,0.03076923076923077,40.0
S3,g_hl_against_60s,25,0.48,0.06320225432953905,1.5800563582384761,-5.607232154981779,-0.10461538461538467,38.46153846153846
S3,g_cb_with_60s,0,,,0.0,,,
S3,g_cb_against_60s,0,,,0.0,,,
S3,g_kr_with_60s,0,,,0.0,,,
S3,g_kr_against_60s,0,,,0.0,,,
S3,g_ok_with_60s,0,,,0.0,,,
S3,g_ok_against_60s,0,,,0.0,,,
S3,g_xchg_majority_with_60s,0,,,0.0,,,
S3,g_xchg_all_with_60s,0,,,0.0,,,
S3,g_xchg_majority_against_60s,0,,,0.0,,,
S3,g_cb_with_120s,22,0.5909090909090909,5.984268206111011,131.65390053444224,0.3138337967996927,0.0062937062937062915,33.84615384615385
S3,g_cb_against_120s,29,0.5172413793103449,2.082671089283306,60.39746158921588,-3.5877633200280123,-0.06737400530503979,44.61538461538461
S3,g_kr_with_120s,8,0.625,6.026804394805844,48.214435158446754,0.3563699854945259,0.04038461538461535,12.307692307692308
S3,g_kr_against_120s,19,0.6842105263157895,10.997724364283528,208.95676292138702,5.327289954972209,0.09959514170040484,29.23076923076923
S3,g_ok_with_120s,24,0.5833333333333334,5.424713213292747,130.1931171190259,-0.24572119601857167,-0.0012820512820512775,36.92307692307692
S3,g_ok_against_120s,29,0.5517241379310345,3.985192204503322,115.57057393059634,-1.6852422048079965,-0.03289124668435017,44.61538461538461
S3,g_xchg_majority_with_120s,23,0.6086956521739131,6.747526831261996,155.1931171190259,1.0770924219506774,0.024080267558528434,35.38461538461539
S3,g_xchg_all_with_120s,5,0.6,5.41196644605928,27.0598322302964,-0.2584679632520386,0.01538461538461533,7.6923076923076925
S3,g_xchg_majority_against_120s,29,0.5517241379310345,3.985192204503322,115.57057393059634,-1.6852422048079965,-0.03289124668435017,44.61538461538461
S3,g_hl_liq_60s_any,32,0.53125,3.1508105021920096,100.82593607014431,-2.5196239071193087,-0.05336538461538465,49.23076923076923
S3,g_hl_liq_60s_high,15,0.5333333333333333,3.466785767463973,52.001786511959594,-2.2036486418473453,-0.05128205128205132,23.076923076923077
S5,BASE,56,0.6071428571428571,5.882528317652495,329.42158578853974,0.0,0.0,100.0
S5,g_bn_with_5s,35,0.6285714285714286,6.88137577959374,240.8481522857809,0.9988474619412449,0.021428571428571463,62.5
S5,g_bn_against_5s,14,0.5714285714285714,4.219780815165306,59.07693141231428,-1.6627475024871892,-0.0357142857142857,25.0
S5,g_hl_with_5s,27,0.7037037037037037,10.787893536388886,291.2731254824999,4.9053652187363905,0.09656084656084662,48.214285714285715
S5,g_hl_against_5s,24,0.5,0.4175746816299058,10.02179235911774,-5.46495363602259,-0.1071428571428571,42.857142857142854
S5,g_bn_with_15s,39,0.6410256410256411,7.533997935014697,293.8259194655732,1.6514696173622019,0.033882783882783984,69.64285714285714
S5,g_bn_against_15s,14,0.5,0.6188451506430823,8.663832109003152,-5.263683167009413,-0.1071428571428571,25.0
S5,g_hl_with_15s,37,0.6756756756756757,9.287313224509907,343.63058930686657,3.4047849068574116,0.06853281853281856,66.07142857142857
S5,g_hl_against_15s,16,0.4375,-2.6787289558721294,-42.85966329395407,-8.561257273524625,-0.1696428571428571,28.571428571428573
S5,g_bn_with_60s,47,0.6382978723404256,7.4401077336319394,349.68506348070116,1.5575794159794443,0.03115501519756847,83.92857142857143
S5,g_bn_against_60s,6,0.3333333333333333,-7.8658853176874715,-47.19531190612483,-13.748413635339967,-0.2738095238095238,10.714285714285714
S5,g_hl_with_60s,48,0.6458333333333334,7.79144245808295,373.9892379879816,1.908914140430455,0.038690476190476275,85.71428571428571
S5,g_hl_against_60s,6,0.3333333333333333,-7.8658853176874715,-47.19531190612483,-13.748413635339967,-0.2738095238095238,10.714285714285714
S5,g_cb_with_60s,0,,,0.0,,,
S5,g_cb_against_60s,0,,,0.0,,,
S5,g_kr_with_60s,0,,,0.0,,,
S5,g_kr_against_60s,0,,,0.0,,,
S5,g_ok_with_60s,0,,,0.0,,,
S5,g_ok_against_60s,0,,,0.0,,,
S5,g_xchg_majority_with_60s,0,,,0.0,,,
S5,g_xchg_all_with_60s,0,,,0.0,,,
S5,g_xchg_majority_against_60s,0,,,0.0,,,
S5,g_cb_with_120s,47,0.5531914893617021,3.1666630810382386,148.83316480879722,-2.7158652366142566,-0.053951367781154946,83.92857142857143
S5,g_cb_against_120s,9,0.8888888888888888,20.065380108860282,180.58842097974252,14.182851791207787,0.28174603174603174,16.071428571428573
S5,g_kr_with_120s,19,0.5789473684210527,4.354637361791939,82.73810987404684,-1.5278909558605562,-0.02819548872180444,33.92857142857143
S5,g_kr_against_120s,4,0.75,13.395833660484161,53.583334641936645,7.513305342831666,0.1428571428571429,7.142857142857143
S5,g_ok_with_120s,46,0.5434782608695652,2.711252739640577,124.71762602346652,-3.1712755780119184,-0.0636645962732919,82.14285714285714
S5,g_ok_against_120s,10,0.9,20.47039597650732,204.7039597650732,14.587867658854824,0.2928571428571429,17.857142857142858
S5,g_xchg_majority_with_120s,46,0.5434782608695652,2.711252739640577,124.71762602346652,-3.1712755780119184,-0.0636645962732919,82.14285714285714
S5,g_xchg_all_with_120s,19,0.5789473684210527,4.354637361791939,82.73810987404684,-1.5278909558605562,-0.02819548872180444,33.92857142857143
S5,g_xchg_majority_against_120s,9,0.8888888888888888,20.065380108860282,180.58842097974252,14.182851791207787,0.28174603174603174,16.071428571428573
S5,g_hl_liq_60s_any,42,0.6190476190476191,6.460970111335906,271.3607446761081,0.5784417936834112,0.011904761904761973,75.0
S5,g_hl_liq_60s_high,25,0.64,7.5566815246041195,188.917038115103,1.6741532069516243,0.03285714285714292,44.642857142857146
