asset,leader,target,lookback_s,forward_s,min_move_bp,n,n_up,n_dn,base_up,base_dn,P_binance_up_given_lead_up,P_binance_dn_given_lead_dn,lift_up,lift_dn
BTC,binance,hyperliquid,5,10,1,43670,22039,21631,0.4942981451797573,0.4850469429814518,0.6976269340714188,0.6919698580740604,0.20332878889166156,0.20692291509260863
BTC,binance,hyperliquid,5,10,5,1559,773,786,0.4830019243104554,0.5150737652341244,0.6455368693402329,0.6755725190839694,0.1625349450297775,0.16049875384984502
BTC,binance,hyperliquid,10,5,0,263517,94521,96136,0.41048205618612843,0.40649749352034215,0.5449476835835423,0.537134892235999,0.13446562739741386,0.13063739871565683
BTC,binance,hyperliquid,10,5,1,73290,37055,36235,0.47627234274798746,0.46689862191294856,0.6377277020644987,0.6310749275562302,0.16145535931651123,0.16417630564328162
BTC,binance,hyperliquid,10,5,5,4294,2129,2165,0.4885887284583139,0.503493246390312,0.6439643024894317,0.6545034642032332,0.1553755740311178,0.15101021781292123
BTC,binance,hyperliquid,15,15,0,263514,100746,102414,0.4308234097619102,0.4283074144068247,0.5466122724475413,0.5436561407620052,0.1157888626856311,0.11534872635518051
BTC,binance,hyperliquid,15,15,1,94338,47709,46629,0.48353791685216985,0.4811422756471411,0.5897838982162694,0.5900190868343734,0.10624598136409957,0.1088768111872323
BTC,binance,hyperliquid,15,15,5,7519,3675,3844,0.49847054129538504,0.4959436095225429,0.567891156462585,0.5619146722164412,0.0694206151672,0.0659710626938983
BTC,binance,hyperliquid,30,30,0,263508,110666,112074,0.44077599162074776,0.43676093325439835,0.5198525292321038,0.5138658386423256,0.07907653761135602,0.07710490538792725
BTC,binance,hyperliquid,30,30,1,132832,67134,65698,0.4856284630209588,0.48053179956636954,0.5386093484672446,0.5338518676367622,0.05298088544628582,0.053320068070392634
BTC,binance,hyperliquid,30,30,5,18133,9029,9104,0.5035570506810787,0.4893839960293388,0.5258611141876177,0.5114235500878734,0.022304063506539018,0.02203955405853464
ETH,hyperliquid,binance,5,5,0,263517,89977,88169,0.31927731417707395,0.31545213401791916,0.40026895762250353,0.4014336104526534,0.08099164344542958,0.08598147643473425
ETH,hyperliquid,binance,5,5,1,52249,26336,25913,0.40343355853700547,0.39799804780952747,0.4800273390036452,0.4787944275074287,0.07659378046663973,0.08079637969790121
ETH,hyperliquid,binance,5,5,5,2666,1261,1405,0.47861965491372843,0.4684921230307577,0.48691514670896113,0.4761565836298932,0.008295491795232701,0.007664460599135503
ETH,hyperliquid,binance,5,10,0,263516,89977,88169,0.38502405926015876,0.37963159732236373,0.47028685108416596,0.46788553800088467,0.0852627918240072,0.08825394067852094
ETH,hyperliquid,binance,5,10,1,52249,26336,25913,0.45587475358380064,0.45070719056824055,0.528895808019441,0.527032763477791,0.07302105443564039,0.0763255729095505
ETH,hyperliquid,binance,5,10,5,2666,1261,1405,0.4827456864216054,0.49774943735933985,0.4639175257731959,0.48469750889679714,-0.01882816064840953,-0.013051928462542717
ETH,hyperliquid,binance,10,5,0,263516,102775,100371,0.3192785257821157,0.3154495362710424,0.394687423984432,0.39423737932271274,0.07540889820231633,0.07878784305167036
ETH,hyperliquid,binance,10,5,1,85855,43299,42556,0.38894647952943917,0.3843689942344651,0.44871706044019494,0.44726948021430585,0.059770580910755766,0.06290048597984077
ETH,hyperliquid,binance,10,5,5,7372,3567,3805,0.4659522517634292,0.4587628865979381,0.4827586206896552,0.47411300919842314,0.016806368926226,0.015350122600485017
ETH,hyperliquid,binance,15,5,0,263515,108567,105962,0.31927594254596514,0.3154507333548375,0.38450910497665036,0.3865442328381873,0.06523316243068522,0.07109349948334981
ETH,hyperliquid,binance,15,5,1,108999,55072,53927,0.38136129689263204,0.3741043495811888,0.4288749273678094,0.42665084280601556,0.04751363047517737,0.05254649322482674
ETH,hyperliquid,binance,15,5,5,12508,6057,6451,0.4568276303165974,0.44507515190278224,0.4769687964338782,0.46612928228181677,0.020141166117280784,0.02105413037903453
ETH,hyperliquid,binance,15,15,0,263513,108565,105962,0.4121352646738491,0.40687176723729,0.48216275963708377,0.479030218380174,0.07002749496323468,0.072158451142884
ETH,hyperliquid,binance,15,15,1,108999,55072,53927,0.46733456270241014,0.4561234506738594,0.5081529633933759,0.5003245127672594,0.04081840069096576,0.04420106209340002
ETH,hyperliquid,binance,15,15,5,12508,6057,6451,0.5006395906619764,0.4767348896706108,0.4946343074129107,0.4731049449697721,-0.006005283249065685,-0.003629944700838661
ETH,hyperliquid,binance,30,30,0,263507,112721,109976,0.4436542482742394,0.4380414941538555,0.49244595062144586,0.48617880264785046,0.04879170234720648,0.048137308493994946
ETH,hyperliquid,binance,30,30,1,147364,74783,72581,0.4865435248771749,0.47524497163486334,0.4996322693660324,0.4893704964109064,0.013088744488857496,0.014125524776043064
ETH,hyperliquid,binance,30,30,5,27959,13822,14137,0.4979791838048571,0.4887156192996888,0.48263637679062366,0.4732970219990097,-0.015342807014233462,-0.015418597300679127
ETH,binance,hyperliquid,5,5,0,263517,84135,83127,0.34144666188519146,0.3345856244568662,0.5083853330956202,0.5016781551120575,0.1669386712104287,0.1670925306551913
ETH,binance,hyperliquid,5,5,1,59066,29871,29195,0.4452476890258355,0.4340568177970406,0.6570921629674266,0.6524062339441685,0.21184447394159106,0.21834941614712794
ETH,binance,hyperliquid,5,5,5,2989,1409,1580,0.48009367681498827,0.5051856808297089,0.7068843151171044,0.7082278481012658,0.2267906383021161,0.20304216727155688
ETH,binance,hyperliquid,5,10,0,263516,84135,83127,0.39001426858331184,0.3808914828701104,0.5558447732810364,0.5411960012992169,0.1658305046977246,0.16030451842910648
ETH,binance,hyperliquid,5,10,1,59066,29871,29195,0.4752480276301087,0.45867334845765756,0.6708513273743765,0.6571330707312896,0.19560329974426777,0.198459722273632
ETH,binance,hyperliquid,5,10,5,2989,1409,1580,0.4727333556373369,0.5168952827032453,0.6422995031937544,0.6683544303797468,0.16956614755641747,0.1514591476765016
ETH,binance,hyperliquid,10,5,0,263516,101460,100039,0.3414441627832845,0.33458689415443466,0.4791444904395821,0.47120622957046754,0.13770032765629764,0.13661933541603288
ETH,binance,hyperliquid,10,5,1,94522,47867,46655,0.4245255072893083,0.40990457248048073,0.5756366599118391,0.5661772586003644,0.15111115262253078,0.15627268611988365
ETH,binance,hyperliquid,10,5,5,7719,3714,4005,0.48102085762404456,0.48218681176318173,0.6467420570813139,0.6377028714107366,0.16572119945726937,0.15551605964755483
ETH,binance,hyperliquid,15,15,0,263513,108605,107216,0.4119948541438183,0.40210919385381366,0.5292758160305695,0.5178611401283391,0.11728096188675119,0.1157519462745254
ETH,binance,hyperliquid,15,15,1,117969,59731,58238,0.4671396722867872,0.4533648670413414,0.5730190353417823,0.5625193172842474,0.10587936305499512,0.10915445024290604
ETH,binance,hyperliquid,15,15,5,12963,6292,6671,0.48854431844480445,0.4908585975468642,0.5642085187539733,0.5631839304452106,0.07566420030916882,0.07232533289834647
ETH,binance,hyperliquid,30,30,0,263507,116905,115428,0.4277761122095428,0.417355136675686,0.5048800307942346,0.4921509512423329,0.07710391858469179,0.07479581456664686
ETH,binance,hyperliquid,30,30,1,155701,78767,76934,0.47374776012999276,0.45954746597645485,0.5229728185661509,0.507954870408402,0.0492250584361581,0.04840740443194719
ETH,binance,hyperliquid,30,30,5,28630,14122,14508,0.49455117010129235,0.4811037373384562,0.5198980314403059,0.5074441687344913,0.025346861339013538,0.02634043139603509
SOL,hyperliquid,binance,5,5,0,263516,88835,87905,0.24301750178357293,0.23613366930281274,0.3060505431417797,0.2991297423354758,0.06303304135820678,0.06299607303266305
SOL,hyperliquid,binance,5,5,1,68617,34589,34028,0.3085532739700074,0.2955973009604034,0.3537829945936569,0.34145409662630777,0.045229720623649494,0.04585679566590439
SOL,hyperliquid,binance,5,5,5,4381,2137,2244,0.3814197671764437,0.3827893175074184,0.40383715489003275,0.4068627450980392,0.022417387713589032,0.02407342759062081
SOL,hyperliquid,binance,5,10,0,263515,88835,87905,0.3154203745517333,0.3049845359846688,0.39060055158439805,0.37967123599340197,0.07518017703266477,0.07468670000873318
SOL,hyperliquid,binance,5,10,1,68617,34589,34028,0.37930833466925107,0.365186469825262,0.43508051692734684,0.422034794874809,0.05577218225809577,0.05684832504954701
SOL,hyperliquid,binance,5,10,5,4381,2137,2244,0.4229627938826752,0.4238758274366583,0.45016378100140386,0.4474153297682709,0.027200987118728648,0.023539502331612616
SOL,hyperliquid,binance,10,5,0,263515,107179,104976,0.24301462914824584,0.2361345653947593,0.29791283740284946,0.2889136564548087,0.05489820825460362,0.05277909106004941
SOL,hyperliquid,binance,10,5,1,106018,53583,52435,0.29636476824690144,0.2871965137995435,0.33665528245898885,0.3282731000286068,0.0402905142120874,0.04107658622906335
SOL,hyperliquid,binance,10,5,5,11588,5666,5922,0.3664998274076631,0.3648602002071108,0.39869396399576423,0.4000337723741979,0.03219413658810111,0.03517357216708711
SOL,hyperliquid,binance,15,5,0,263514,113731,110938,0.2430155513559052,0.236131666628718,0.2921455012265785,0.2844561827326975,0.04912994987067332,0.048324516103979503
SOL,hyperliquid,binance,15,5,1,129379,65569,63810,0.28989248641587895,0.28083382929223444,0.32388781283838397,0.3158752546622786,0.03399532642250502,0.03504142537004418
SOL,hyperliquid,binance,15,5,5,19237,9417,9820,0.35681239278473775,0.3535374538649478,0.39046405436975684,0.3879837067209776,0.03365166158501909,0.03444625285602981
SOL,hyperliquid,binance,15,15,0,263512,113731,110936,0.34890251677342965,0.3369865508971128,0.4110049151066991,0.40038400519218287,0.06210239833326947,0.06339745429507004
SOL,hyperliquid,binance,15,15,1,129379,65569,63810,0.39536555391524125,0.3822490512370632,0.437157803230185,0.4260774173327065,0.04179224931494374,0.04382836609564328
SOL,hyperliquid,binance,15,15,5,19237,9417,9820,0.43244788688464936,0.42995269532671415,0.4623553148561113,0.4595723014256619,0.029907427971461953,0.02961960609894776
SOL,hyperliquid,binance,30,30,0,263506,120177,115984,0.39156983142698837,0.3760217983651226,0.4427968746099503,0.42680024831011176,0.05122704318296195,0.050778449944989146
SOL,hyperliquid,binance,30,30,1,165242,84163,81079,0.4308287239321722,0.41168104961208407,0.4573862623718261,0.4384365865390545,0.026557538439653916,0.026755536926970414
SOL,hyperliquid,binance,30,30,5,40159,19902,20257,0.45309893174630844,0.439353569560995,0.4652798713697116,0.4531766796662882,0.012180939623403164,0.01382311010529319
SOL,binance,hyperliquid,5,5,0,263516,64040,62225,0.3371104600859151,0.33358505745381684,0.5024359775140537,0.5077380474085978,0.16532551742813856,0.174152989954781
SOL,binance,hyperliquid,5,5,1,126265,64040,62225,0.38786678810438363,0.3888805290460539,0.5024359775140537,0.5077380474085978,0.11456918940967004,0.11885751836254393
SOL,binance,hyperliquid,5,5,5,5443,2622,2821,0.46941025169943046,0.4949476391695756,0.7078565980167811,0.7164126196384261,0.23844634631735068,0.22146498046885044
SOL,binance,hyperliquid,5,10,0,263515,64040,62225,0.40672447488757757,0.3983682143331499,0.5559806371018113,0.5527038971474487,0.14925616221423377,0.15433568281429882
SOL,binance,hyperliquid,5,10,1,126265,64040,62225,0.4521126202827387,0.4466083237635132,0.5559806371018113,0.5527038971474487,0.10386801681907265,0.1060955733839355
SOL,binance,hyperliquid,5,10,5,5443,2622,2821,0.4932941392614367,0.49751975013779165,0.6884057971014492,0.6791917759659695,0.1951116578400125,0.18167202582817782
SOL,binance,hyperliquid,10,5,0,263515,83119,80368,0.33711173936967537,0.33358252850881354,0.4751982097955943,0.4737830977503484,0.13808647042591893,0.14020056924153484
SOL,binance,hyperliquid,10,5,1,163487,83119,80368,0.38149210640601394,0.37805452421293434,0.4751982097955943,0.4737830977503484,0.09370610338958035,0.09572857353741404
SOL,binance,hyperliquid,10,5,5,12818,6201,6617,0.4574816664066157,0.47901388672179745,0.6363489759716174,0.6444007858546169,0.17886730956500174,0.16538689913281945
SOL,binance,hyperliquid,15,15,0,263512,91941,88798,0.43158945323173137,0.4209941103251465,0.5388346874626119,0.5288857857158945,0.1072452342308805,0.10789167539074801
SOL,binance,hyperliquid,15,15,1,180739,91941,88798,0.46857623423832157,0.45749948821228403,0.5388346874626119,0.5288857857158945,0.07025845322429031,0.07138629750361047
SOL,binance,hyperliquid,15,15,5,20656,9991,10665,0.4917215336948102,0.492786599535244,0.5850265238714843,0.5801218940459447,0.09330499017667415,0.08733529451070071
SOL,binance,hyperliquid,30,30,0,263506,103179,99084,0.45607690147472923,0.44014937041281793,0.5275589024898477,0.5125650962819426,0.07148200101511848,0.07241572586912465
SOL,binance,hyperliquid,30,30,1,202263,103179,99084,0.4892293696820476,0.4724344047106985,0.5275589024898477,0.5125650962819426,0.038329532807800104,0.040130691571244104
SOL,binance,hyperliquid,30,30,5,41788,20608,21180,0.5022015889729109,0.48719728151622477,0.5454677795031055,0.5296506137865912,0.04326619053019465,0.042453332270366406
BTC,coinbase,binance,60,60,0,261888,127128,127092,0.46797104105571846,0.4715450879765396,0.49584670568246175,0.49759229534510435,0.02787566462674329,0.02604720736856475
BTC,coinbase,binance,120,60,0,261876,128196,128076,0.4679466617788572,0.47156669568803555,0.48347842366376487,0.4870233298978731,0.01553176188490768,0.01545663420983756
BTC,coinbase,binance,120,120,0,261864,128196,128064,0.4811199706717991,0.4868481349097241,0.493681550126369,0.49990629685157423,0.012561579454569871,0.01305816194185011
BTC,coinbase,binance,300,300,0,261792,128412,128508,0.4887697103043638,0.4917033370003667,0.4846276048967386,0.48781398823419553,-0.004142105407625163,-0.0038893487661711967
BTC,kraken,binance,60,60,0,148872,66720,64356,0.4796066419474448,0.4821054328550701,0.4800359712230216,0.4833115793399217,0.00042932927557681744,0.0012061464848515668
BTC,kraken,binance,120,60,0,148860,71196,70032,0.47964530431277713,0.4820636839983877,0.4734535648070116,0.4736120630568883,-0.0061917395057655145,-0.008451620941499427
BTC,kraken,binance,120,120,0,148848,71196,70020,0.4881489841986456,0.4998387616897775,0.47648744311478175,0.4882604970008569,-0.011661541083863858,-0.011578264688920592
BTC,kraken,binance,300,300,0,148776,73296,73572,0.49798354573318276,0.5004839490240361,0.4839554682383759,0.4876855325395531,-0.01402807749480689,-0.012798416484483044
BTC,okx,binance,60,60,0,263496,128088,128280,0.4769560069223062,0.480098369614719,0.48988195615514335,0.49251637043966323,0.01292594923283713,0.012418000824944209
BTC,okx,binance,120,60,0,263484,129696,131460,0.4769321856355604,0.48012023500478207,0.4804774241302739,0.4837973528069375,0.0035452384947134985,0.003677117802155405
BTC,okx,binance,120,120,0,263472,129696,131448,0.49002550555656765,0.4958098014210239,0.4918578830495929,0.4972612744203031,0.001832377493025228,0.0014514729992792241
BTC,okx,binance,300,300,0,263400,131112,131880,0.49776765375854215,0.5006378132118451,0.4847153578619806,0.4876251137397634,-0.013052295896561539,-0.013012699472081668
ETH,coinbase,binance,60,60,0,261888,127776,125520,0.4805260263929619,0.4755315249266862,0.4923929376408715,0.48814531548757173,0.011866911247909617,0.012613790560885518
ETH,coinbase,binance,120,60,0,261876,127344,128220,0.480502222425881,0.4755533153095358,0.4885035808518658,0.48394946186242394,0.008001358425984817,0.008396146552888117
ETH,coinbase,binance,120,120,0,261864,127344,128208,0.48327376042525894,0.48927687654660434,0.48482849604221634,0.49026581804567576,0.0015547356169574034,0.0009889414990714163
ETH,coinbase,binance,300,300,0,261792,127056,129372,0.48464429776310963,0.49394939493949397,0.4680770683792973,0.4777849921157592,-0.016567229383812332,-0.01616440282373477
ETH,kraken,binance,60,60,0,148872,71508,70800,0.4888763501531517,0.4842817991294535,0.48598758180902835,0.48067796610169494,-0.002888768344123327,-0.003603833027758574
ETH,kraken,binance,120,60,0,148860,73248,73188,0.4889157597742846,0.48424022571543734,0.4832896461336828,0.47712739793408754,-0.005626113640601782,-0.007112827781349806
ETH,kraken,binance,120,120,0,148848,73248,73176,0.49072879716220574,0.5025798129635601,0.48197903014416776,0.49147261397179404,-0.00874976701803798,-0.011107198991766098
ETH,kraken,binance,300,300,0,148776,73512,74604,0.4939506371995483,0.5028230359735442,0.4660463597779954,0.47418368988258003,-0.02790427742155288,-0.028639346090964135
ETH,okx,binance,60,60,0,263496,129564,129072,0.4899353310866199,0.4842426450496402,0.49624895804390107,0.49042394942357753,0.00631362695728116,0.006181304373937324
ETH,okx,binance,120,60,0,263484,130380,131112,0.4899121009245343,0.4842646991847702,0.4889093419236079,0.48352553542009885,-0.0010027590009263898,-0.0007391637646713689
ETH,okx,binance,120,120,0,263472,130380,131100,0.49271269812351975,0.49840590271451995,0.4878969167050161,0.4922654462242563,-0.00481578141850364,-0.006140456490263679
ETH,okx,binance,300,300,0,263400,129972,132708,0.49430523917995445,0.5025056947608201,0.46708521835472255,0.4762636766434578,-0.027220020825231894,-0.026242018117362265
SOL,coinbase,binance,60,60,0,261888,115932,111624,0.44139479472140764,0.42659457478005863,0.46247800434737607,0.4487207052246829,0.021083209625968435,0.022126130444624248
SOL,coinbase,binance,120,60,0,261876,120912,116508,0.4413691976355222,0.4266141227145672,0.45692735212385865,0.44371201977546604,0.015558154488336473,0.017097897060898815
SOL,coinbase,binance,120,120,0,261864,120912,116496,0.460498579415269,0.4426725323068463,0.46804287415641127,0.44592088998763907,0.007544294741142266,0.0032483576807927905
SOL,coinbase,binance,300,300,0,261792,124548,120024,0.4750641730839751,0.4619086908690869,0.471336352249735,0.4600079984003199,-0.0037278208342400587,-0.0019006924687670068
SOL,kraken,binance,60,60,0,148872,67200,65532,0.4608254070610995,0.44849266483959377,0.4641071428571429,0.44881889763779526,0.0032817357960434057,0.00032623279820148676
SOL,kraken,binance,120,60,0,148860,70020,68352,0.46086255542120114,0.4484482063683998,0.45364181662382175,0.44259129213483145,-0.007220738797379389,-0.005856914233568378
SOL,kraken,binance,120,120,0,148848,70020,68340,0.4751693002257336,0.4633182844243792,0.4579263067694944,0.446180860403863,-0.017242993456239197,-0.017137424020516212
SOL,kraken,binance,300,300,0,148776,71652,70836,0.4858848201322794,0.48007743184384577,0.47378998492714786,0.4694223276300186,-0.012094835205131549,-0.010655104213827149
SOL,okx,binance,60,60,0,263496,118944,114312,0.4494944894799162,0.4341925494125148,0.4583333333333333,0.44541255511232414,0.0088388438534171,0.011220005699809354
SOL,okx,binance,120,60,0,263484,123444,119856,0.4494694174978367,0.43421232408799015,0.45367940118596284,0.4378253904685623,0.00420998368812614,0.0036130663805721275
SOL,okx,binance,120,120,0,263472,123444,119844,0.46907451266168704,0.45153944252140643,0.4665111305531253,0.4447782116751777,-0.002563382108561718,-0.006761230846228705
SOL,okx,binance,300,300,0,263400,126900,123252,0.4832346241457859,0.4713895216400911,0.4701654846335697,0.45896212637523126,-0.013069139512216166,-0.012427395264859864
