asset,rule,n_fires,wr,mean_pnl,sum_pnl,median_pnl,p_value_proxy
SOL,LL-B-bn-dn_15s,11089,0.5403553070610515,-3.7918684616929643,-42048.02937171328,0.24747450908049662,1.9999998725847932
BTC,LL-B-bn-up_15s,19644,0.5374160048869884,-2.142484530336241,-42086.966113925126,0.4999995134314807,1.9999968611712515
ETH,LL-B-bn-up_60s,22023,0.5990555328520183,-1.94984979245657,-42941.541979271045,1.0208339037684229,1.999995970464631
SOL,LL-B-bn-up_60s,13960,0.6143982808022923,-3.096839772034422,-43231.88321760053,0.7266992935842524,1.9999999866550073
ETH,LL-B-bn-dn_60s,21643,0.6021346393753176,-2.0103821336695797,-43510.700519010716,1.0208339037684229,1.9999988109891875
SOL,LL-B-hl-up_15s,10124,0.5469182141446068,-4.385421949556949,-44398.011817314546,0.24747450908049662,1.9999999999944933
ETH,LL-B-bn-up_15s,19704,0.5386723507917174,-2.2587585617162667,-44506.57870005732,0.24747450908049662,1.9999939217153133
SOL,LL-B-bn-up_5s,9089,0.49587413356804927,-4.946892266304347,-44962.30380844021,-25.0,1.9999999998923947
BTC,LL-B-hl-dn_5s,15309,0.5000979815794631,-2.977357927091306,-45580.3725058408,0.024524208464945338,1.9999999529592447
BTC,LL-B-bn-dn_15s,19400,0.534639175257732,-2.382804167876126,-46226.40085679685,0.24747450908049662,1.9999993882603095
ETH,LL-A-both_120s,13757,0.5278767173075525,-3.385821100533911,-46578.740880045014,0.24747450908049662,1.9999999871989995
BTC,LL-A-both_120s,13094,0.5253551244844967,-3.5674443288560296,-46712.11604204085,0.24747450908049662,1.9999999999845919
SOL,LL-B-bn-up_15s,11752,0.5452688904016337,-4.061655089819987,-47732.57061556449,0.24747450908049662,1.9999999999236202
SOL,LL-A-both_120s,8598,0.5122121423586881,-5.703058142237673,-49034.89390695951,0.24747450908049662,1.9999999999999885
ETH,LL-B-hl-up_15s,15308,0.5226678860726418,-3.418696705692904,-52333.40917074697,0.24747450908049662,1.9999999917071452
ETH,LL-B-bn-dn_5s,15188,0.5042138530418752,-3.685679427255246,-55978.09914115268,0.04909756300622886,1.9999999998325042
ETH,LL-B-bn-dn_15s,19554,0.5356448808427943,-3.221411144663587,-62991.47352275178,0.24747450908049662,1.9999999989870334
BTC,LL-B-bn-both_5s,51021,0.4898375178847925,-2.6486709517055314,-135137.84062696793,-25.0,1.999999999990112
BTC,LL-B-bn-both_15s,51021,0.4898375178847925,-2.6486709517055314,-135137.84062696793,-25.0,1.999999999990112
BTC,LL-B-bn-both_60s,51021,0.4898375178847925,-2.6486709517055314,-135137.84062696793,-25.0,1.999999999990112
ETH,LL-B-bn-both_5s,47838,0.4943977591036415,-3.1389388028309666,-150160.5544498278,-25.0,1.999999999999316
ETH,LL-B-bn-both_15s,47838,0.4943977591036415,-3.1389388028309666,-150160.5544498278,-25.0,1.999999999999316
ETH,LL-B-bn-both_60s,47838,0.4943977591036415,-3.1389388028309666,-150160.5544498278,-25.0,1.999999999999316
BTC,LL-B-hl-both_15s,51017,0.48430915185134366,-2.9588064109474295,-150949.426667305,-25.0,1.9999999999986042
BTC,LL-B-hl-both_5s,51017,0.48430915185134366,-2.9588064109474295,-150949.426667305,-25.0,1.9999999999986042
BTC,LL-B-hl-both_60s,51017,0.48430915185134366,-2.9588064109474295,-150949.426667305,-25.0,1.9999999999986042
SOL,LL-B-hl-both_60s,33663,0.4841814455039658,-4.688891806742035,-157842.16489035712,-25.0,2.0
SOL,LL-B-hl-both_15s,33663,0.4841814455039658,-4.688891806742035,-157842.16489035712,-25.0,2.0
SOL,LL-B-hl-both_5s,33663,0.4841814455039658,-4.688891806742035,-157842.16489035712,-25.0,2.0
SOL,LL-B-bn-both_15s,33748,0.4790506104065426,-4.693396474213039,-158392.74421174166,-25.0,1.9999999999999998
SOL,LL-B-bn-both_5s,33748,0.4790506104065426,-4.693396474213039,-158392.74421174166,-25.0,1.9999999999999998
SOL,LL-B-bn-both_60s,33748,0.4790506104065426,-4.693396474213039,-158392.74421174166,-25.0,1.9999999999999998
ETH,LL-B-hl-both_60s,47962,0.4785872148784454,-3.7859235982296235,-181580.4676182892,-25.0,1.9999999999999996
ETH,LL-B-hl-both_5s,47962,0.4785872148784454,-3.7859235982296235,-181580.4676182892,-25.0,1.9999999999999996
ETH,LL-B-hl-both_15s,47962,0.4785872148784454,-3.7859235982296235,-181580.4676182892,-25.0,1.9999999999999996
