symbol,lev_1h,lev_4h_cap,risk_4h,buy_hold_x,leg_1h_eq_x,leg_1h_mdd,leg_4h_eq_x,leg_4h_mdd,leg_4h_blew_up,combined_eq_x,combined_mdd,combined_sharpe,combined_roi_pct,combined_blew_up,combined_outperform,final_dollar
BTCUSDT,3,3,0.03,2.608,0.603,-0.7952,1.604,-0.2236,False,1.104,-0.5102,0.275,10.38,False,0.423,11040.0
BTCUSDT,3,3,0.05,2.608,0.603,-0.7952,2.004,-0.362,False,1.304,-0.5106,0.42,30.36,False,0.5,13040.0
BTCUSDT,3,3,0.07,2.608,0.603,-0.7952,2.144,-0.4872,False,1.374,-0.5487,0.462,37.35,False,0.527,13740.0
BTCUSDT,3,5,0.02,2.608,0.603,-0.7952,1.408,-0.1505,False,1.006,-0.5173,0.186,0.56,False,0.386,10060.0
BTCUSDT,3,5,0.03,2.608,0.603,-0.7952,1.604,-0.2236,False,1.104,-0.5102,0.275,10.38,False,0.423,11040.0
BTCUSDT,3,5,0.05,2.608,0.603,-0.7952,1.928,-0.362,False,1.265,-0.5172,0.397,26.55,False,0.485,12650.0
BTCUSDT,3,5,0.07,2.608,0.603,-0.7952,2.137,-0.4869,False,1.37,-0.5508,0.461,37.0,False,0.525,13700.0
BTCUSDT,3,10,0.02,2.608,0.603,-0.7952,1.408,-0.1505,False,1.006,-0.5173,0.186,0.56,False,0.386,10060.0
BTCUSDT,3,10,0.03,2.608,0.603,-0.7952,1.604,-0.2236,False,1.104,-0.5102,0.275,10.38,False,0.423,11040.0
BTCUSDT,3,10,0.05,2.608,0.603,-0.7952,1.928,-0.362,False,1.265,-0.5172,0.397,26.55,False,0.485,12650.0
BTCUSDT,3,10,0.07,2.608,0.603,-0.7952,2.097,-0.4869,False,1.35,-0.5527,0.452,35.0,False,0.518,13500.0
BTCUSDT,5,1,0.02,2.608,0.068,-0.9569,1.423,-0.1505,False,0.746,-0.4666,-0.097,-25.43,False,0.286,7460.0
BTCUSDT,5,1,0.03,2.608,0.068,-0.9569,1.59,-0.2099,False,0.829,-0.4711,0.016,-17.06,False,0.318,8290.0
BTCUSDT,5,1,0.05,2.608,0.068,-0.9569,1.7,-0.2917,False,0.884,-0.47,0.096,-11.58,False,0.339,8840.0
BTCUSDT,5,1,0.07,2.608,0.068,-0.9569,1.712,-0.3247,False,0.89,-0.4694,0.106,-10.98,False,0.341,8900.0
BTCUSDT,5,2,0.02,2.608,0.068,-0.9569,1.408,-0.1505,False,0.738,-0.4698,-0.104,-26.2,False,0.283,7380.0
BTCUSDT,5,2,0.03,2.608,0.068,-0.9569,1.627,-0.2236,False,0.847,-0.4695,0.044,-15.26,False,0.325,8470.0
BTCUSDT,5,2,0.05,2.608,0.068,-0.9569,1.903,-0.3626,False,0.986,-0.5035,0.218,-1.44,False,0.378,9860.0
BTCUSDT,5,2,0.07,2.608,0.068,-0.9569,2.152,-0.4438,False,1.11,-0.5172,0.332,10.99,False,0.426,11100.0
BTCUSDT,5,3,0.02,2.608,0.068,-0.9569,1.408,-0.1505,False,0.738,-0.4698,-0.104,-26.2,False,0.283,7380.0
BTCUSDT,5,3,0.03,2.608,0.068,-0.9569,1.604,-0.2236,False,0.836,-0.4729,0.034,-16.38,False,0.321,8360.0
BTCUSDT,5,3,0.05,2.608,0.068,-0.9569,2.004,-0.362,False,1.036,-0.4897,0.258,3.61,False,0.397,10360.0
BTCUSDT,5,3,0.07,2.608,0.068,-0.9569,2.144,-0.4872,False,1.106,-0.5541,0.346,10.6,False,0.424,11060.0
BTCUSDT,5,5,0.02,2.608,0.068,-0.9569,1.408,-0.1505,False,0.738,-0.4698,-0.104,-26.2,False,0.283,7380.0
BTCUSDT,5,5,0.03,2.608,0.068,-0.9569,1.604,-0.2236,False,0.836,-0.4729,0.034,-16.38,False,0.321,8360.0
BTCUSDT,5,5,0.05,2.608,0.068,-0.9569,1.928,-0.362,False,0.998,-0.5,0.233,-0.21,False,0.383,9980.0
BTCUSDT,5,5,0.07,2.608,0.068,-0.9569,2.137,-0.4869,False,1.102,-0.5533,0.348,10.25,False,0.423,11020.0
BTCUSDT,5,10,0.02,2.608,0.068,-0.9569,1.408,-0.1505,False,0.738,-0.4698,-0.104,-26.2,False,0.283,7380.0
BTCUSDT,5,10,0.03,2.608,0.068,-0.9569,1.604,-0.2236,False,0.836,-0.4729,0.034,-16.38,False,0.321,8360.0
BTCUSDT,5,10,0.05,2.608,0.068,-0.9569,1.928,-0.362,False,0.998,-0.5,0.233,-0.21,False,0.383,9980.0
BTCUSDT,5,10,0.07,2.608,0.068,-0.9569,2.097,-0.4869,False,1.082,-0.5555,0.338,8.24,False,0.415,10820.0
ETHUSDT,1,1,0.02,1.202,2.328,-0.2402,1.366,-0.177,False,1.847,-0.1705,1.321,84.73,False,1.537,18470.0
ETHUSDT,1,1,0.03,1.202,2.328,-0.2402,1.561,-0.2556,False,1.945,-0.1933,1.259,94.49,False,1.618,19450.0
ETHUSDT,1,1,0.05,1.202,2.328,-0.2402,1.518,-0.3938,False,1.923,-0.2582,1.039,92.3,False,1.6,19230.0
ETHUSDT,1,1,0.07,1.202,2.328,-0.2402,1.245,-0.4661,False,1.787,-0.3054,0.895,78.65,False,1.487,17870.0
ETHUSDT,1,2,0.02,1.202,2.328,-0.2402,1.338,-0.177,False,1.833,-0.1709,1.3,83.31,False,1.525,18330.0
ETHUSDT,1,2,0.03,1.202,2.328,-0.2402,1.508,-0.2556,False,1.918,-0.1936,1.228,91.84,False,1.596,19180.0
ETHUSDT,1,2,0.05,1.202,2.328,-0.2402,1.815,-0.3955,False,2.071,-0.2576,1.041,107.14,False,1.723,20710.0
ETHUSDT,1,2,0.07,1.202,2.328,-0.2402,1.958,-0.5154,False,2.143,-0.3424,0.896,114.33,False,1.783,21430.0
ETHUSDT,1,3,0.02,1.202,2.328,-0.2402,1.338,-0.177,False,1.833,-0.1709,1.3,83.31,False,1.525,18330.0
ETHUSDT,1,3,0.03,1.202,2.328,-0.2402,1.483,-0.2556,False,1.906,-0.1937,1.216,90.58,False,1.586,19060.0
ETHUSDT,1,3,0.05,1.202,2.328,-0.2402,1.743,-0.3955,False,2.036,-0.2554,1.024,103.58,False,1.694,20360.0
ETHUSDT,1,3,0.07,1.202,2.328,-0.2402,1.899,-0.5148,False,2.114,-0.3388,0.878,111.39,False,1.759,21140.0
ETHUSDT,1,5,0.02,1.202,2.328,-0.2402,1.338,-0.177,False,1.833,-0.1709,1.3,83.31,False,1.525,18330.0
ETHUSDT,1,5,0.03,1.202,2.328,-0.2402,1.483,-0.2556,False,1.906,-0.1937,1.216,90.58,False,1.586,19060.0
ETHUSDT,1,5,0.05,1.202,2.328,-0.2402,1.68,-0.3955,False,2.004,-0.2535,1.009,100.44,False,1.668,20040.0
ETHUSDT,1,5,0.07,1.202,2.328,-0.2402,1.769,-0.5148,False,2.049,-0.333,0.859,104.88,False,1.705,20490.0
ETHUSDT,1,10,0.02,1.202,2.328,-0.2402,1.338,-0.177,False,1.833,-0.1709,1.3,83.31,False,1.525,18330.0
ETHUSDT,1,10,0.03,1.202,2.328,-0.2402,1.483,-0.2556,False,1.906,-0.1937,1.216,90.58,False,1.586,19060.0
ETHUSDT,1,10,0.05,1.202,2.328,-0.2402,1.68,-0.3955,False,2.004,-0.2535,1.009,100.44,False,1.668,20040.0
ETHUSDT,1,10,0.07,1.202,2.328,-0.2402,1.714,-0.5148,False,2.021,-0.3304,0.85,102.1,False,1.682,20210.0
ETHUSDT,2,1,0.02,1.202,1.24,-0.6619,1.366,-0.177,False,1.303,-0.4194,0.465,30.31,False,1.084,13030.0
ETHUSDT,2,1,0.03,1.202,1.24,-0.6619,1.561,-0.2556,False,1.401,-0.4096,0.539,40.07,False,1.166,14010.0
