stack,depth,n_l,wr_l,dpt_l,dd_l,ls_l,score_l,sum_l,p_boot
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_parent_slope_with|g_tr_partial_stack_with,5,72,0.8333333333333334,5.683558340724318,93.1481210500379,4,48.22659172794632,409.2162005321509,0.027
g_btc_f7_strong_with|g_f7_v7_overbought|g_tr_full_stack_with|g_vwap_in_45_85,4,112,0.7946428571428571,4.545409152484368,98.79772191243704,3,48.10408889804202,509.0858250782492,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_against|g_f7_v7_oversold|g_stoch_strong_with,5,38,0.9210526315789472,7.774535470922735,50.0,2,47.92545532353511,295.4323478950639,0.0
g_btc_f7_strong_with|g_f7_v7_overbought|g_tr_stack_with,3,82,0.9390243902439024,5.291357190319001,50.0,2,47.915277261791246,433.8912896061581,0.0
g_btc_f7_with|g_f7_v7_overbought|g_rf_strong|g_vwap_in_55_80,4,127,0.7952755905511811,4.193591275447248,142.6385553020058,3,47.25937355445397,532.5860919818005,0.011
g_btc_f7_against|g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_stoch_strong_with,5,54,0.8148148148148148,6.38338206117508,75.0,3,46.9080866493435,344.7026313034543,0.002
g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_parent_ranging|g_stoch_strong_with,5,74,0.8243243243243243,5.414399907459787,75.0,3,46.576429129814585,400.66559315202426,0.0
g_btc_f7_with|g_btc_trend_30m_with|g_ribbon_agrees|g_vwap_in_55_80,4,34,0.8823529411764706,7.969058954097888,25.0,1,46.467199408531,270.9480044393282,0.0
g_btc_f7_strong_with|g_f7_v7_overbought|g_tr_full_stack_with|g_vwap_in_55_80,4,74,0.8378378378378378,5.331595053841411,75.0,3,45.86411484529947,394.5380339842644,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_hurst_reverting|g_mfi_strong_with,4,43,0.7674418604651163,6.985307580647596,111.2692463136426,2,45.80572503343735,300.3682259678466,0.0
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_mfi_strong_with|g_tr_full_stack_with,5,113,0.8053097345132744,4.28280472609948,104.04078007177066,4,45.52683872590655,483.9569340492412,0.0
