g,n,wr,dpt
g_stoch_strong_with,13214,0.5960345088542455,-3.25574803420152
g_mfi_with,22443,0.5870872877957493,-3.346156698029831
g_rf_full_align,14427,0.5785679628474388,-2.7859155606620702
g_rf_with,22714,0.5704851633353879,-3.059131256509026
g_mp_skew_change_with,3165,0.566824644549763,-3.4594120995047106
g_stoch_with,22124,0.5537425420357982,-4.050968137857953
g_rf_strong,18197,0.5459141616750014,-3.465163422651056
g_ribbon_slope_with,22801,0.5381781500811368,-3.6505053452331544
g_rf_strict_align,415,0.5204819277108433,-5.958795730869444
g_btc_f7_with,10963,0.5192921645534981,-3.7891204271985646
g_ev_in_40_70,14993,0.5185753351564063,-1.677830969225982
g_vwap_in_40_70,14993,0.5185753351564063,-1.677830969225982
g_btc_f7_strong_with,8426,0.5164965582720152,-3.5381160687602318
g_cvd_with,3316,0.5153799758745476,-6.313710635026373
g_sms_liq_reclaim_with,4924,0.5113728675873274,-4.42736799824286
g_f7_v7_with_loose,13990,0.5109363831308077,-3.806861489538548
g_f7_v7_with,10950,0.5103196347031963,-3.951314401276364
g_btc_f7_with_loose,14065,0.5092783505154639,-4.191895216869004
g_f7_v7_strong_with,8238,0.503520271910658,-4.30068590959551
mgf_g_mp_no_extreme,615,0.5008130081300813,-4.8546161986266805
mgf_g_book_slope_steep_against,2939,0.5001701258931609,-3.9510014043658295
g_offset_30_only,5301,0.5000943218260705,-1.8664581382764265
g_offset_le_90,16066,0.5000622432466078,-2.1081027183796555
g_offset_mid_early,10567,0.5000473171193338,-2.6660617799747586
g_offset_le_120,21402,0.5000467246051771,-2.326819010060438
g_offset_early,10835,0.5000461467466544,-1.9959672934305697
g_offset_le_60,10835,0.5000461467466544,-1.9959672934305697
g_offset_60_only,5534,0.5,-2.120023677867164
mgf_g_mp_change_with,626,0.4984025559105431,-6.486561199608871
mgf_g_imb_change_with,584,0.4982876712328767,-4.942110623628086
mgf_g_flow_with_and_no_whale,6253,0.4981608827762674,-6.296774439401774
mgf_g_hawkes_imbalance_with,6007,0.49791909438987847,-6.181880903959091
mgf_g_markov_with,3205,0.49765990639625585,-5.718877633028879
mgf_g_hl_liq_cascade_with,959,0.49635036496350365,-5.285652798235628
mgf_g_queue_top_high,2290,0.49563318777292575,-7.534896230682314
g_offset_mid,10773,0.49456975772765244,-4.383716360212126
g_btc_trend_against,9207,0.4922341696535245,-4.939192328985906
g_vwap_in_30_75,21222,0.49198944491565355,-2.110071382039964
g_hurst_reverting_strong,8665,0.4912867859203693,-3.979802291835334
g_compression_extra_tight,20284,0.49117531058962727,-3.82332074965517
g_rsi_extreme_against,1340,0.4880597014925373,-5.12865914331225
g_atr_low,14595,0.48797533401849946,-4.105424126827176
g_compression_tight,33352,0.48698728711921324,-4.213858777254122
g_vol_low,16216,0.4855698075974346,-4.3103231632380465
g_vol_v7_low,10151,0.4855679243424293,-4.558098547168902
g_vol_pct_low,15015,0.4855144855144855,-4.309000017386354
mgf_g_imb5_strong_with,739,0.4844384303112314,-5.736130506179643
g_tr_above_pp,24051,0.48376366887031724,-5.362402387155107
g_parent_against_dir,3257,0.48326680994780474,-5.160684431475622
g_vol_v7_med,28494,0.48322453849933317,-4.415748435538869
g_tight_ribbon,42504,0.4821663843402974,-4.585646482063698
g_sms_no_liquidity_above,43489,0.4820299386051645,-4.811596575788982
g_hod_eu_morning,10655,0.48202721726888786,-4.34653676275248
g_hurst_reverting,26197,0.48196358361644465,-4.599533910721691
g_adx_low,16689,0.4806758943016358,-4.875976407744089
g_hod_european_morning,8588,0.4805542617605962,-4.66979349214738
g_dir_up,24200,0.48024793388429754,-5.101676424933308
g_vol_med,11125,0.48,-4.943518213411057
g_hod_avoid_us,28414,0.47979869078623216,-4.732352018163942
g_tr_within_adr,24304,0.4792215273206057,-4.943559359854252
g_hod_quiet,7620,0.479002624671916,-5.153109456634368
g_regime_ranging,39339,0.47853275375581483,-5.013438853085977
g_f7_v7_neutral,13912,0.47843588269120185,-4.773404291080228
g_rf_fresh,41510,0.47829438689472414,-4.84727587639743
g_f7_v7_oversold,11755,0.47817949808592086,-4.995592062187204
g_hod_overnight,11503,0.4781361383986786,-5.072480857162314
g_parent_ranging,41902,0.4780678726552432,-4.758684590514285
g_hod_late,10139,0.4780550350133149,-4.821580725656245
g_hod_avoid_us_pm,39993,0.47788362963518616,-4.864092571851048
g_tr_in_active_session,41174,0.47753436634769514,-5.033642038036586
g_hod_us_afternoon,10701,0.47743201569946736,-5.196632765337424
g_parent_slope_strong_with,23717,0.4772526036176582,-5.170241661878917
g_parent_slope_with,23717,0.4772526036176582,-5.170241661878917
g_hod_active,26601,0.47633547610992066,-5.037927531305471
g_regime_trending_up,3533,0.4755165581658647,-4.26301288569275
g_f7_v7_overbought,10212,0.4751273012142577,-5.239609086291091
g_rf_aged,4429,0.4750508015353353,-5.8030120078081335
g_dir_dn,24207,0.47498657413144957,-4.782137979121941
g_parent_trending_dn,3039,0.47482724580454094,-6.1366794719210125
g_parent_trending_up,3466,0.4746105020196192,-6.109063161307959
g_adx_strong,20171,0.47449308413068264,-4.951604239952763
g_regime_trending_dn,2964,0.47368421052631576,-4.7966305056405405
g_adx_extreme,8517,0.4724668310437948,-5.443377163874115
g_rf_in_band,15587,0.47206005004170143,-5.430525420886053
g_hod_us_morning_v6,7336,0.46987459105779716,-5.296532435324222
g_hod_us_morning,7336,0.46987459105779716,-5.296532435324222
g_atr_high,15097,0.4685699145525601,-5.694892627002631
g_vol_contracting,2777,0.4674108750450126,-6.419025939711344
g_parent_with_dir,3248,0.4661330049261084,-7.085909063714667
g_offset_mid_late,10991,0.4622873259939951,-7.301070112879899
g_vol_high,11571,0.45830092472560713,-6.29342756138213
g_vol_pct_high,10473,0.45679365988732934,-6.548265786432842
g_btc_trend_strong_with,2035,0.4535626535626536,-7.457059593170931
g_vol_v7_high,9762,0.45298094652735094,-6.876684006293263
g_btc_trend_15m_with,9207,0.45269903334419465,-5.601856368273716
g_trend_slope_strong_with,22402,0.45250424069279527,-6.20426650468296
g_trend_slope_very_strong_with,22402,0.45250424069279527,-6.20426650468296
g_btc_trend_30m_with,8592,0.4518156424581006,-5.963341485972138
g_mp_skew_with,23072,0.4505461165048544,-5.16875060197631
g_mp_skew_extreme_with,23072,0.4505461165048544,-5.16875060197631
g_mp_skew_strong_with,23072,0.4505461165048544,-5.16875060197631
g_mp_imbalance_with,23072,0.4505461165048544,-5.16875060197631
g_mp_imbalance_strong_with,23069,0.4505180111838398,-5.170281757527038
g_offset_ge_180,21611,0.45046504095136736,-7.7889896727251475
g_hurst_mid_trending,1363,0.44974321349963314,-7.744752769839368
g_hurst_trending_with_dir,467,0.44967880085653106,-6.363349436560228
g_hurst_trending,1372,0.44825072886297374,-7.794658674608855
g_btc_trend_5m_with,10527,0.4447610905291156,-5.93910275612058
g_f7_v7_against,11017,0.44340564582009623,-6.259705907800583
g_rsi_extreme_with,1318,0.44157814871016693,-5.024600380401903
g_btc_f7_against,11020,0.4357531760435572,-6.670962838591657
g_vol_expanding,778,0.43573264781491,-9.461999953511011
g_rsi_overbought_with,3046,0.41726854891661197,-7.13264361435204
g_ev_in_30_60,14651,0.41649034195618045,-2.780467444001414
g_sms_choch_with,518,0.4015444015444015,-2.673552920523668
g_vwap_in_25_60,16569,0.39429054257951596,-3.0281626826076478
g_offset_late,5241,0.38332379316924253,-11.820523780089523
g_sms_bos_with,894,0.3724832214765101,-8.612544673754302
g_ev_in_20_50,12949,0.31021700517414474,-3.970555247190219
g_ev_le_70,33583,0.3047077390346306,-6.981772775585537
g_bet_imb_strong,3121,0.2800384492149952,-9.64927308530966
g_bet_imb_dominant,3120,0.2798076923076923,-9.66087274585224
g_mp_wt_skew_with,23239,0.2727311846464994,-7.409397739677494
g_ev_le_60,29017,0.2520591377468381,-7.991491767256162
g_ev_le_50,23466,0.18980652859456235,-9.47475148251761
g_underdog,23466,0.18980652859456235,-9.47475148251761
g_ev_le_40,18590,0.13222162452931685,-11.259448918821086
g_strong_underdog,18590,0.13222162452931685,-11.259448918821086
g_ev_le_30,14366,0.08436586384519003,-13.30589503608571
