combo,is_sharpe
"('MAx', 45, 100)",0.17917817467042207
"('MAx', 65, 120)",0.1771101524053572
"('MAx', 30, 180)",0.17414145387262975
"('MAx', 45, 340)",0.16553390947510005
"('MAx', 45, 400)",0.1653808054233186
"('MAx', 30, 340)",0.1621821903088252
"('MAx', 50, 120)",0.15220993829604032
"('MAx', 40, 360)",0.1497409340781282
"('MAx', 85, 120)",0.1494671714692844
"('MAx', 15, 140)",0.1441945057844986
"('MAx', 30, 360)",0.1406520851988404
"('MAx', 55, 320)",0.13414745408313744
"('MAx', 100, 140)",0.12850954394088565
"('MAx', 15, 300)",0.12450751174811688
"('MAx', 95, 300)",0.12403222531917295
"('MAx', 5, 380)",0.12386983101143476
"('MAx', 60, 340)",0.11294189543260659
"('MAx', 90, 240)",0.1120515500060369
"('MAx', 10, 180)",0.10208981478751789
"('MAx', 25, 400)",0.09823439370914455
"('MAx', 50, 400)",0.09667422104276036
"('MAx', 80, 100)",0.08924395122442248
"('MAx', 30, 320)",0.088709246503471
"('MAx', 5, 200)",0.07122071604907203
"('MAx', 5, 180)",0.06621507704212501
"('MAx', 60, 320)",0.06469605218194434
"('MAx', 25, 300)",0.05313551856066137
"('MAx', 75, 320)",0.052972220582582386
"('MAx', 80, 380)",0.045821959108350865
"('MAx', 80, 120)",0.04190985586719833
"('MAx', 100, 240)",0.040357859743231916
"('MAx', 50, 340)",0.03257041783090336
"('MAx', 60, 120)",0.03256714599388868
"('MAx', 10, 300)",0.02957450837608024
"('MAx', 90, 160)",0.028364823028600362
"('MAx', 45, 360)",0.021876696801684966
"('MAx', 40, 340)",0.021027650574000287
"('MAx', 95, 240)",0.006769076679744654
"('MAx', 75, 100)",0.004141507861765992
"('MAx', 75, 380)",-0.0017680007551511248
"('MAx', 20, 380)",-0.005713723325037552
"('MAx', 60, 180)",-0.006126114262715393
"('MAx', 80, 320)",-0.013326950003982574
"('MAx', 15, 100)",-0.021020984279927976
"('MAx', 45, 380)",-0.026105092827240692
"('MAx', 30, 400)",-0.029681068484566354
"('MAx', 50, 360)",-0.031187221492630937
"('MAx', 80, 340)",-0.03202752619070919
"('MAx', 20, 300)",-0.054186363518315836
"('MAx', 10, 340)",-0.056887838990445146
"('MAx', 50, 320)",-0.06086257318995742
"('MAx', 35, 360)",-0.06514870293449886
"('MAx', 35, 400)",-0.06830478674002019
"('MAx', 90, 380)",-0.07365587719650431
"('MAx', 50, 380)",-0.07650076546509697
"('MAx', 45, 120)",-0.07747390563707361
"('MAx', 15, 120)",-0.07966644566013534
"('MAx', 95, 120)",-0.08001985673147888
"('MAx', 10, 380)",-0.08094774992967521
"('MAx', 75, 340)",-0.08968292996681836
"('MAx', 95, 320)",-0.09380370041996776
"('MAx', 55, 360)",-0.09587824398383177
"('MAx', 55, 380)",-0.10083774215524545
"('MAx', 5, 80)",-0.10826139065484161
"('MAx', 20, 400)",-0.12631561541596167
"('MAx', 95, 100)",-0.12931098890558929
"('MAx', 5, 400)",-0.13809107261564083
"('MAx', 85, 360)",-0.14398398670427237
"('MAx', 100, 160)",-0.15317830056476814
"('MAx', 100, 380)",-0.1539819094178906
"('MAx', 65, 100)",-0.15596915514868717
"('MAx', 70, 340)",-0.1655884652132846
"('MAx', 15, 160)",-0.1699305709718359
"('MAx', 20, 60)",-0.1756685618115781
"('MAx', 15, 320)",-0.17719314600778846
"('MAx', 85, 100)",-0.19263281991395856
"('MAx', 85, 320)",-0.1928576363504704
"('MAx', 40, 400)",-0.1969777384124999
"('MAx', 95, 160)",-0.19852281437479724
"('MAx', 10, 80)",-0.20221548437380427
"('MAx', 20, 320)",-0.2054095931081951
"('MAx', 75, 120)",-0.21990188305146943
"('MAx', 60, 360)",-0.2246124897285213
"('MAx', 95, 360)",-0.237647989408678
"('MAx', 85, 340)",-0.2465324038988721
"('MAx', 100, 400)",-0.24718696220486222
"('MAx', 95, 380)",-0.27215733547134463
"('MAx', 20, 340)",-0.27451347218135985
"('MAx', 70, 160)",-0.27699656121360006
"('MAx', 65, 380)",-0.2776041540703457
"('MAx', 65, 160)",-0.2835545003230379
"('MAx', 90, 100)",-0.2966665584068627
"('MAx', 60, 380)",-0.3080816929721036
"('MAx', 90, 320)",-0.3081761239134875
"('MAx', 75, 80)",-0.3101068605626359
"('MAx', 70, 120)",-0.3102984157131529
"('MAx', 40, 120)",-0.3122489052607511
"('MAx', 70, 100)",-0.31946401317569695
"('MAx', 90, 360)",-0.3315382855738971
"('MAx', 10, 360)",-0.3359665213056222
"('MAx', 100, 320)",-0.34220188140229796
"('MAx', 70, 380)",-0.3547049694154943
"('MAx', 15, 340)",-0.35525188109207106
"('MAx', 25, 320)",-0.37790939625596326
"('MAx', 10, 400)",-0.37898232759355366
"('MAx', 100, 360)",-0.38406069861375447
"('MAx', 5, 160)",-0.3906816388527437
"('MAx', 55, 400)",-0.39567727528799607
"('MAx', 80, 360)",-0.4073011764821726
"('MAx', 65, 320)",-0.40763767185126343
"('MAx', 80, 400)",-0.41433670841237874
"('MAx', 15, 380)",-0.415533138630378
"('MAx', 10, 160)",-0.43177695402320726
"('MAx', 65, 360)",-0.4367350023785431
"('MAx', 90, 140)",-0.43683036589530316
"('MAx', 20, 360)",-0.44377937213526986
"('MAx', 70, 320)",-0.45222610730306456
"('MAx', 90, 340)",-0.4631830093940311
