sleeve,filter,n,wr,avg,sum
sol_15m_v1,NoF7+MARKOV:w20_5m_voladaptive,98,51.02,-2.85,-279.29
sol_15m_v1,F7+MARKOV:w20_5m_voladaptive,3,0.0,-25.911,-77.73
sol_15m_v1,MARKOV:w20_1m_fixed,40,70.0,-4.083,-163.33
sol_15m_v1,NoF7+MARKOV:w20_1m_fixed,40,70.0,-4.083,-163.33
sol_15m_v1,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
sol_15m_v1,MARKOV:w20_5m_fixed,24,66.67,7.76,186.25
sol_15m_v1,NoF7+MARKOV:w20_5m_fixed,24,66.67,7.76,186.25
sol_15m_v1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
sol_15m_v2,BASELINE_ALL,9,100.0,20.133,181.2
sol_15m_v2,BASELINE_no_f7,6,100.0,24.215,145.29
sol_15m_v2,F7_production,3,100.0,11.969,35.91
sol_15m_v2,MARKOV:w20_1m_voladaptive,9,100.0,20.133,181.2
sol_15m_v2,NoF7+MARKOV:w20_1m_voladaptive,6,100.0,24.215,145.29
sol_15m_v2,F7+MARKOV:w20_1m_voladaptive,3,100.0,11.969,35.91
sol_15m_v2,MARKOV:w20_5m_voladaptive,9,100.0,20.133,181.2
sol_15m_v2,NoF7+MARKOV:w20_5m_voladaptive,6,100.0,24.215,145.29
sol_15m_v2,F7+MARKOV:w20_5m_voladaptive,3,100.0,11.969,35.91
sol_15m_v2,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
sol_15m_v2,NoF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
sol_15m_v2,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
sol_15m_v2,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
sol_15m_v2,NoF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
sol_15m_v2,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
sol_5m_v1,BASELINE_ALL,406,61.33,4.149,1684.44
sol_5m_v1,BASELINE_no_f7,364,60.16,3.468,1262.26
sol_5m_v1,F7_production,42,71.43,10.052,422.18
sol_5m_v1,MARKOV:w20_1m_voladaptive,232,59.05,3.458,802.3
sol_5m_v1,NoF7+MARKOV:w20_1m_voladaptive,190,56.32,2.001,380.12
sol_5m_v1,F7+MARKOV:w20_1m_voladaptive,42,71.43,10.052,422.18
sol_5m_v1,MARKOV:w20_5m_voladaptive,132,62.12,4.072,537.48
sol_5m_v1,NoF7+MARKOV:w20_5m_voladaptive,126,60.32,3.664,461.66
sol_5m_v1,F7+MARKOV:w20_5m_voladaptive,6,100.0,12.637,75.82
sol_5m_v1,MARKOV:w20_1m_fixed,70,54.29,2.889,202.26
sol_5m_v1,NoF7+MARKOV:w20_1m_fixed,40,20.0,-13.202,-528.07
sol_5m_v1,F7+MARKOV:w20_1m_fixed,30,100.0,24.344,730.33
sol_5m_v1,MARKOV:w20_5m_fixed,48,41.67,2.725,130.79
sol_5m_v1,NoF7+MARKOV:w20_5m_fixed,48,41.67,2.725,130.79
sol_5m_v1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
sol_5m_v2,BASELINE_ALL,109,73.39,7.303,795.98
sol_5m_v2,BASELINE_no_f7,12,0.0,-21.557,-258.68
sol_5m_v2,F7_production,97,82.47,10.873,1054.66
sol_5m_v2,MARKOV:w20_1m_voladaptive,109,73.39,7.303,795.98
sol_5m_v2,NoF7+MARKOV:w20_1m_voladaptive,12,0.0,-21.557,-258.68
sol_5m_v2,F7+MARKOV:w20_1m_voladaptive,97,82.47,10.873,1054.66
sol_5m_v2,MARKOV:w20_5m_voladaptive,73,76.71,7.098,518.16
sol_5m_v2,NoF7+MARKOV:w20_5m_voladaptive,9,0.0,-20.343,-183.08
sol_5m_v2,F7+MARKOV:w20_5m_voladaptive,64,87.5,10.957,701.24
sol_5m_v2,MARKOV:w20_1m_fixed,88,90.91,13.828,1216.91
sol_5m_v2,NoF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
sol_5m_v2,F7+MARKOV:w20_1m_fixed,88,90.91,13.828,1216.91
sol_5m_v2,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
sol_5m_v2,NoF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
sol_5m_v2,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
