stack,depth,n,wr,dpt,dd,ls,score
g_mp_change_500ms_with|g_mp_no_extreme|g_tr_above_ema200,3,247,0.7125506072874493,2.728804479059263,386.3565474865548,6,42.88652876578696
g_mp_change_500ms_with|g_rf_with|g_stoch_with,3,200,0.82,3.0288280841157,178.242126228056,5,42.83409754652941
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_ribbon_slope_with,3,287,0.7700348432055749,2.5229999986838223,420.2771318673872,8,42.74233055290632
g_cci_with|g_mp_change_500ms_with|g_stoch_with,3,196,0.8418367346938775,3.038866071966299,125.62488891615226,4,42.54412500752819
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_tr_above_ema800,3,372,0.803763440860215,2.201888818159801,411.5456996065114,6,42.46849355373729
g_mp_change_500ms_with|g_prewindow_rsi_extreme_with|g_tr_above_ema800,3,30,0.8333333333333334,7.740475194275598,125.0,5,42.39632869713928
g_mp_change_500ms_with|g_rf_fresh|g_vol_high,3,43,0.7674418604651163,6.4593873916817275,175.0,7,42.357035725604376
g_mp_change_500ms_with|g_tr_in_active_session|g_vol_high,3,43,0.7674418604651163,6.4593873916817275,175.0,7,42.357035725604376
g_mp_change_500ms_with|g_rf_with|g_tr_above_ema800,3,225,0.8088888888888889,2.819520420778073,191.11974107176184,5,42.29280631167109
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_tight_ribbon,3,523,0.7074569789674953,1.8360894325799366,970.9056810323559,19,41.989884061733086
g_mp_change_500ms_with|g_mp_no_extreme|g_rf_strong,3,189,0.6878306878306878,3.053846475618257,382.96378973798045,8,41.983447905884326
g_ribbon_agrees|g_tr_above_ema800|g_vol_high,3,499,0.7074148296593187,1.8735839035766138,389.1727696173954,5,41.85269412148936
g_mp_change_500ms_with|g_tr_above_ema50|g_tr_above_ema800,3,262,0.8053435114503816,2.5712566523023814,259.87818191017107,6,41.619424819024395
g_hod_european_morning|g_mp_change_500ms_with|g_tr_above_ema800,3,43,0.8372093023255814,6.245689325076688,150.0,6,40.955723791079635
g_prewindow_mp_skew_with|g_rf_aged|g_tr_above_ema800,3,532,0.7481203007518797,1.7713116541620717,585.7449404973395,5,40.85552505258792
g_prewindow_mp_skew_strong_with|g_rf_aged|g_tr_above_ema800,3,532,0.7481203007518797,1.7713116541620717,585.7449404973395,5,40.85552505258792
g_bb_pos_with|g_entry_vwap_gt_35|g_mp_change_500ms_with,3,296,0.7905405405405406,2.374345693721681,347.2748881152219,8,40.84978790759174
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_ribbon_slope_with,3,307,0.739413680781759,2.31506419980834,452.0025186315222,11,40.563201679784946
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_rf_fresh,3,539,0.7031539888682746,1.7329160666993737,940.5237905263018,19,40.2320267049422
g_mp_change_500ms_with|g_rf_strong|g_stoch_with,3,166,0.8072289156626506,3.098942345109947,156.73965519992532,4,39.927079122825646
g_hod_european_morning|g_tr_stack_with|g_tr_within_adr,3,358,0.7737430167597765,2.078207248180306,182.8251059777014,4,39.32152643485905
g_hod_european_morning|g_tr_stack_full_with|g_tr_within_adr,3,358,0.7737430167597765,2.078207248180306,182.8251059777014,4,39.32152643485905
g_cci_with|g_entry_vwap_gt_35|g_mp_change_500ms_with,3,294,0.7891156462585034,2.2681702072022296,344.65150355053726,8,38.8910176019978
g_mfi_with|g_mp_change_500ms_with|g_mp_no_extreme,3,204,0.6911764705882353,2.716315006789571,420.7335829342605,11,38.79673842072921
g_mp_change_500ms_with|g_ribbon_slope_with|g_stoch_with,3,194,0.8041237113402062,2.782867860521563,196.47300800714385,6,38.760864085440986
g_mp_change_500ms_with|g_rf_fresh|g_stoch_with,3,336,0.7738095238095238,2.0992181258615155,404.41649027652954,8,38.47930384793492
g_mp_change_500ms_with|g_tr_above_pp|g_vol_high,3,33,0.7878787878787878,6.69360733188555,175.0,7,38.45184664934281
g_mp_change_500ms_with|g_tight_ribbon|g_vol_high,3,31,0.7741935483870968,6.86175689642233,100.0,4,38.20464551430338
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_ribbon_agrees,3,314,0.7738853503184714,2.155914625242449,466.79047362674885,9,38.20290449166093
g_hod_european_morning|g_mfi_with|g_tr_stack_with,3,454,0.7929515418502202,1.7828629407789924,286.5890912842443,4,37.98795230838081
g_hod_european_morning|g_mfi_with|g_tr_stack_full_with,3,454,0.7929515418502202,1.7828629407789924,286.5890912842443,4,37.98795230838081
g_mp_change_500ms_with|g_ribbon_agrees|g_tr_above_ema800,3,265,0.8113207547169812,2.325265642784155,299.9454421389295,6,37.852582237157726
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_off_240_480,3,250,0.704,2.3684065475223535,461.5182940056517,8,37.44779557713229
g_mp_change_500ms_with|g_prewindow_rsi_extreme_with|g_tr_above_ema200,3,30,0.8,6.818577554000135,150.0,6,37.34688736424274
g_bb_pos_with|g_mp_change_500ms_with|g_prewindow_mp_skew_strong_with,3,275,0.7381818181818182,2.2207202110176074,354.6930945127622,11,36.82647852152136
g_bb_pos_with|g_mp_change_500ms_with|g_prewindow_mp_skew_with,3,275,0.7381818181818182,2.2207202110176074,354.6930945127622,11,36.82647852152136
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_rf_strong,3,259,0.7374517374517374,2.2827326751138646,409.6414733015391,8,36.7371056658308
g_cci_with|g_mp_change_500ms_with|g_prewindow_mp_skew_with,3,272,0.7389705882352942,2.204903579432647,354.6930945127622,11,36.36420140921305
g_cci_with|g_mp_change_500ms_with|g_prewindow_mp_skew_strong_with,3,272,0.7389705882352942,2.204903579432647,354.6930945127622,11,36.36420140921305
g_mp_change_500ms_with|g_mp_no_extreme|g_off_240_480,3,191,0.6910994764397905,2.6110483103977375,428.05310436399736,6,36.08540558637381
g_mp_change_500ms_with|g_mp_no_extreme|g_ribbon_agrees,3,220,0.7090909090909091,2.4322701269047275,414.52009688527323,8,36.076396070717635
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_prewindow_rsi_extreme_with,3,36,0.8333333333333334,6.007998469932789,150.0,6,36.047990819596734
g_dir_up|g_mp_change_500ms_with|g_tr_above_ema800,3,209,0.8086124401913876,2.4906975622380623,307.1520094872189,5,36.007596954345246
