stack_canon,depth,n_f,wr_f,dpt_f,dd_f,ls_f,sum_f,n_l,wr_l,dpt_l,dd_l,ls_l,bp_lock,bp_full,score_l,sharpe_f
g_hod_european_morning|g_rf_with|g_tr_above_ema800|g_tr_stack_with,4,797,0.794228356336261,1.9523206220093547,273.47483431071646,5,1555.9995357414557,114,0.7631578947368421,1.5075814531587566,125.0,5,0.019,0.008,16.09656514668712,0.587136533484333
g_hod_european_morning|g_rf_with|g_tr_in_active_session|g_tr_stack_with,4,797,0.794228356336261,1.9523206220093547,273.47483431071646,5,1555.9995357414557,114,0.7631578947368421,1.5075814531587566,125.0,5,0.019,0.008,16.09656514668712,0.587136533484333
g_hod_european_morning|g_rf_with|g_tr_above_ema200|g_tr_stack_with,4,797,0.794228356336261,1.9523206220093547,273.47483431071646,5,1555.9995357414557,114,0.7631578947368421,1.5075814531587566,125.0,5,0.019,0.008,16.09656514668712,0.587136533484333
g_hod_european_morning|g_rf_with|g_tr_above_ema50|g_tr_stack_with,4,785,0.7910828025477707,1.8532182509675472,277.69771996793475,5,1454.7763270095245,114,0.7631578947368421,1.5075814531587566,125.0,5,0.019,0.01,16.09656514668712,0.5546113835523118
g_hod_european_morning|g_rf_with|g_tr_above_cloud|g_tr_stack_with,4,791,0.7926675094816688,1.8986636929344038,273.97483382414794,5,1501.8429811111134,114,0.7631578947368421,1.5075814531587566,125.0,5,0.019,0.008,16.09656514668712,0.5698229200314211
g_tr_stack_with|g_tr_within_adr|g_vol_high,3,170,0.7941176470588235,1.9588952171338352,171.74807956637062,5,333.012186912752,40,0.725,2.422068206997398,113.30546838241764,2,0.365,0.072,15.318504364783909,0.6627070766418437
g_hod_european_morning|g_off_60_240|g_ribbon_slope_with|g_tr_stack_with,4,333,0.7237237237237237,2.615895155257798,293.6304104049856,5,871.0930867008467,57,0.6842105263157895,1.9876373300939751,126.23481933206094,5,0.123,0.008,15.006332759573109,0.830395295811127
g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,4,85,0.7058823529411765,3.8223323958452475,93.98877453356451,2,324.89825364684606,15,0.6666666666666666,3.62435022935608,50.0,2,0.0,0.005,14.03704807911913,1.1461184678085865
g_hod_european_morning|g_off_60|g_tr_stack_with,3,138,0.6811594202898551,3.0561671500131213,101.84138859586051,3,421.7510667018107,23,0.6521739130434783,2.90749607813665,50.0,2,0.019,0.022,13.943861345435849,0.8900100135901233
g_tr_above_cloud|g_tr_above_ema800|g_vol_high,3,904,0.6913716814159292,0.30375955884432293,957.5305095192709,8,274.59864119526793,124,0.7016129032258065,1.1827710841958572,202.1176380254756,8,0.365,0.431,13.17078138394304,0.045890803828244994
g_hod_european_morning|g_rf_with|g_ribbon_slope_with|g_tr_stack_with,4,667,0.7931034482758621,2.1171544100539648,328.76343807806006,4,1412.1419915059946,98,0.7551020408163265,1.3194258516766384,100.0,4,0.058,0.008,13.061649537907416,0.6134108107507511
g_hod_european_morning|g_off_60_240|g_tight_ribbon|g_tr_stack_with,4,370,0.6972972972972973,2.0235160364616154,312.07791858439316,6,748.7009334907978,62,0.6612903225806451,1.6544065103063386,150.0,6,0.233,0.036,13.026809888968511,0.6210873588870169
g_rf_with|g_tr_above_cloud|g_tr_above_ema800|g_vol_high,4,648,0.7021604938271605,1.2044590424506296,484.20646095497807,5,780.4894595080079,86,0.7093023255813954,1.335786463518328,146.90636795825975,4,0.147,0.229,12.387574054116362,0.16021129788508962
g_tr_above_ema200|g_vol_high,2,1349,0.6071163825055597,0.12759454003865803,1968.0145337284366,7,172.12503451214968,172,0.627906976744186,0.8964405215451527,206.6276533140904,5,0.0,0.523,11.756707221451125,0.011161226134766418
g_rf_strong|g_rf_with|g_tr_above_ema800|g_vol_high,4,457,0.7024070021881839,2.704671934344166,477.9213559142088,5,1236.0350739952837,65,0.6923076923076923,1.4227627732292616,144.9382734526995,5,0.25,0.096,11.470680192458346,0.3079531597298956
g_cci_with|g_hod_european_morning|g_tight_ribbon|g_tr_stack_with,4,836,0.777511961722488,1.690587109408979,317.00041081441657,6,1413.3308234659064,120,0.7416666666666667,0.9908581729832744,172.28056527751636,6,0.141,0.024,10.854307452625903,0.492884858785009
g_bb_pos_with|g_hod_european_morning|g_tight_ribbon|g_tr_stack_with,4,837,0.7777777777777778,1.7302113102096326,317.0004108144167,6,1448.1868666454625,120,0.7416666666666667,0.9908581729832744,172.28056527751636,6,0.141,0.024,10.854307452625903,0.5042218945309997
g_hod_european_morning|g_off_60_240|g_rf_fresh|g_tr_stack_with,4,344,0.7005813953488372,1.9685782045905456,264.6559716535269,5,677.1909023791477,62,0.6612903225806451,1.373729034846897,132.9891786167798,5,0.289,0.028,10.816753237143113,0.6072577880936405
g_hod_european_morning|g_off_60_240|g_tr_above_ema200|g_tr_stack_with,4,400,0.7075,1.928088302502598,283.180625780131,6,771.2353210010392,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.036,10.799469058519731,0.6053303036328542
g_hod_european_morning|g_off_60_240|g_ribbon_agrees|g_tr_stack_with,4,400,0.7075,1.928088302502598,283.180625780131,6,771.2353210010392,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.036,10.799469058519731,0.6053303036328542
g_entry_vwap_gt_35|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,399,0.7092731829573935,1.9955772456166398,283.180625780131,6,796.2353210010393,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.036,10.799469058519731,0.6274403137308304
g_hod_european_morning|g_off_60_240|g_tr_in_active_session|g_tr_stack_with,4,400,0.7075,1.928088302502598,283.180625780131,6,771.2353210010392,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.036,10.799469058519731,0.6053303036328542
g_hod_european_morning|g_off_60_240|g_tr_above_cloud|g_tr_stack_with,4,397,0.7052896725440806,1.8078751621159415,283.1806257801312,6,717.7264393600287,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.043,10.799469058519731,0.5675719494356535
g_entry_vwap_gt_25|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,400,0.7075,1.928088302502598,283.180625780131,6,771.2353210010392,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.036,10.799469058519731,0.6053303036328542
g_hod_european_morning|g_off_60_240|g_tr_above_ema800|g_tr_stack_with,4,400,0.7075,1.928088302502598,283.180625780131,6,771.2353210010392,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.036,10.799469058519731,0.6053303036328542
g_hod_european_morning|g_off_60_240|g_tr_above_ema50|g_tr_stack_with,4,395,0.7063291139240506,1.873475502184901,283.18062578013115,6,740.0228233630359,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.043,10.799469058519731,0.5882814101683326
g_hod_european_morning|g_off_60_240|g_tr_stack_with,3,400,0.7075,1.928088302502598,283.180625780131,6,771.2353210010392,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,0.258,0.036,10.799469058519731,0.6053303036328542
g_bb_pos_with|g_rf_with|g_tr_above_ema800|g_vol_high,4,634,0.6971608832807571,1.144286342646838,632.0527058402943,6,725.4775412380952,83,0.6987951807228916,1.184264043603778,161.4128923425956,4,0.25,0.278,10.789158909421069,0.15036161755283778
g_cci_with|g_rf_with|g_tr_above_ema800|g_vol_high,4,632,0.6962025316455697,1.096592947471037,667.7907456452742,6,693.0467428016954,83,0.6987951807228916,1.184264043603778,161.4128923425956,4,0.25,0.287,10.789158909421069,0.1439080490141626
g_hod_european_morning|g_tight_ribbon|g_tr_above_ema50|g_tr_stack_with,4,847,0.7756788665879575,1.674828562219653,271.0025648176786,6,1418.579792200046,123,0.7398373983739838,0.9296189515471784,172.28056527751636,6,0.197,0.021,10.309972919184029,0.48832839469443945
g_bb_pos_with|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,388,0.7061855670103093,1.8853427068726758,329.43238063062006,6,731.5129702665982,68,0.6617647058823529,1.2202282286795303,157.9891786167798,6,0.258,0.047,10.06225974841209,0.5912203668384208
g_cci_with|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,388,0.7061855670103093,1.8202597331620805,329.4323806306203,6,706.2607764668873,68,0.6617647058823529,1.2202282286795303,157.9891786167798,6,0.258,0.051,10.06225974841209,0.5721512475970405
g_mfi_with|g_tr_above_ema800|g_tr_within_adr|g_vol_high,4,328,0.7103658536585366,2.4832215098327444,310.4487458114405,5,814.4966552251401,77,0.6883116883116883,1.083935977973908,140.58956836055842,4,0.262,0.185,9.511499604934096,0.2710701958355723
g_cci_with|g_hod_european_morning|g_tr_stack_with,3,903,0.7807308970099668,1.4684829544386673,331.6382906896828,7,1326.0401078581165,131,0.7480916030534351,0.8279574090712514,190.81403607494255,7,0.181,0.031,9.476405686330304,0.4384865726102606
g_bb_pos_with|g_hod_european_morning|g_tr_stack_with,3,904,0.7809734513274337,1.5054160962806118,331.638290689683,7,1360.896151037673,131,0.7480916030534351,0.8279574090712514,190.81403607494255,7,0.181,0.031,9.476405686330304,0.44930631180623537
g_hod_european_morning|g_tight_ribbon|g_tr_stack_with|g_tr_within_adr,4,527,0.7685009487666035,1.6341777803828794,201.0280210469699,6,861.2116902617774,83,0.7469879518072289,1.023721371355516,197.2805652775163,6,0.147,0.041,9.326545557284945,0.4467019037684601
g_rf_with|g_ribbon_agrees|g_tr_above_ema800|g_vol_high,4,633,0.7045813586097947,1.2360356688595704,583.0514155121665,5,782.4105783881081,81,0.7037037037037037,1.009195200139511,115.97461937646464,4,0.147,0.237,9.0827568012556,0.16312425964805263
g_hod_european_morning|g_tr_above_ema50|g_tr_stack_with,3,914,0.7789934354485777,1.4565526002103464,285.64044469294424,7,1331.2890765922566,134,0.746268656716418,0.7753923199301788,190.81403607494255,7,0.203,0.029,8.975815031187889,0.4348322917242651
g_hod_european_morning|g_tight_ribbon|g_tr_stack_with,3,868,0.7776497695852534,1.715820839102109,266.5257703067091,6,1489.3324883406306,125,0.736,0.7995172281533811,197.2805652775164,6,0.311,0.016,8.938874356665844,0.5031861989189675
g_hod_european_morning|g_ribbon_agrees|g_tight_ribbon|g_tr_stack_with,4,868,0.7776497695852534,1.715820839102109,266.5257703067091,6,1489.3324883406306,125,0.736,0.7995172281533811,197.2805652775164,6,0.311,0.016,8.938874356665844,0.5031861989189675
g_hod_european_morning|g_tight_ribbon|g_tr_above_cloud|g_tr_stack_with,4,858,0.7762237762237763,1.6688312816237976,267.2796786738918,6,1431.8572396332183,125,0.736,0.7995172281533811,197.2805652775164,6,0.311,0.021,8.938874356665844,0.48818042619807206
g_hod_european_morning|g_tight_ribbon|g_tr_above_ema200|g_tr_stack_with,4,867,0.7773933102652826,1.6917152272169136,266.5257703067093,6,1466.717101997064,125,0.736,0.7995172281533811,197.2805652775164,6,0.311,0.017,8.938874356665844,0.49615688556104415
g_hod_european_morning|g_tight_ribbon|g_tr_in_active_session|g_tr_stack_with,4,868,0.7776497695852534,1.715820839102109,266.5257703067091,6,1489.3324883406306,125,0.736,0.7995172281533811,197.2805652775164,6,0.311,0.016,8.938874356665844,0.5031861989189675
g_hod_european_morning|g_tight_ribbon|g_tr_above_ema800|g_tr_stack_with,4,868,0.7776497695852534,1.715820839102109,266.5257703067091,6,1489.3324883406306,125,0.736,0.7995172281533811,197.2805652775164,6,0.311,0.016,8.938874356665844,0.5031861989189675
g_rf_with|g_tr_above_ema50|g_tr_above_ema800|g_vol_high,4,655,0.7022900763358778,1.3670992406215083,580.7817980479332,5,895.450002607088,86,0.6976744186046512,0.9246158687458322,167.34464092439072,4,0.365,0.218,8.574534821630179,0.1820418196159989
g_hod_european_morning|g_mfi_with|g_rf_with|g_tr_stack_with,4,602,0.792358803986711,1.9077797998109696,188.3150422860001,5,1148.4834394862037,83,0.7349397590361446,0.9073460892715428,133.92299362348706,5,0.0,0.006,8.266316279604723,0.543570433813649
g_hod_european_morning|g_tr_above_ema50|g_tr_stack_with|g_tr_within_adr,4,547,0.7696526508226691,1.446692982406363,191.93566817521082,7,791.3410613762805,87,0.7471264367816092,0.8310648180372271,190.81403607494252,7,0.147,0.068,7.7516565755195,0.4008393465499732
g_hod_european_morning|g_tr_in_active_session|g_tr_stack_with,3,935,0.7807486631016043,1.499509917361327,281.1636501819755,7,1402.0417727328409,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,0.233,0.021,7.67448394048945,0.44992874104236275
g_hod_european_morning|g_tr_above_ema200|g_tr_stack_with,3,934,0.7805139186295503,1.4769019126223493,281.16365018197564,7,1379.4263863892743,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,0.233,0.021,7.67448394048945,0.44319686289863497
g_hod_european_morning|g_ribbon_agrees|g_tr_stack_with,3,935,0.7807486631016043,1.499509917361327,281.1636501819755,7,1402.0417727328409,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,0.233,0.021,7.67448394048945,0.44992874104236275
g_hod_european_morning|g_tr_stack_with,3,935,0.7807486631016043,1.499509917361327,281.1636501819755,7,1402.0417727328409,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,0.233,0.021,7.67448394048945,0.44992874104236275
g_hod_european_morning|g_tr_above_ema800|g_tr_stack_with,3,935,0.7807486631016043,1.499509917361327,281.1636501819755,7,1402.0417727328409,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,0.233,0.021,7.67448394048945,0.44992874104236275
g_hod_european_morning|g_tr_above_cloud|g_tr_stack_with,3,925,0.7794594594594595,1.4535854313788417,281.9175585491578,7,1344.5665240254286,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,0.233,0.026,7.67448394048945,0.43520961291003357
g_cci_with|g_hod_european_morning|g_tr_stack_with|g_tr_within_adr,4,543,0.7697974217311234,1.4603768650692757,202.35561808158639,7,792.9846377326166,86,0.7441860465116279,0.7624538526872259,190.81403607494255,7,0.25,0.078,7.070706150242215,0.40376543597092357
g_bb_pos_with|g_hod_european_morning|g_tr_stack_with|g_tr_within_adr,4,542,0.7693726937269373,1.4621794508567316,203.11334929537043,7,792.5012623643486,86,0.7441860465116279,0.7624538526872259,190.81403607494255,7,0.25,0.078,7.070706150242215,0.4038918363845318
g_hod_european_morning|g_ribbon_slope_with|g_tight_ribbon|g_tr_stack_with,4,704,0.7784090909090909,2.047488159957351,265.31196926407847,6,1441.431664609975,102,0.7254901960784313,0.6868889144529277,165.5262059927975,6,0.187,0.007,6.937237983623509,0.5750571561628351
g_rf_with|g_tr_above_ema800|g_vol_high,3,750,0.7013333333333334,1.19444552588948,625.7274305288962,6,895.83414441711,101,0.693069306930693,0.6834910792262955,196.1058821004633,4,0.25,0.217,6.869000334369954,0.16719842742704652
g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_with|g_tr_within_adr,4,462,0.7662337662337663,1.6590966575703974,210.70767657019644,7,766.5026557975236,74,0.7297297297297297,0.7974193423674805,184.05967679022368,7,0.147,0.032,6.8596605572762925,0.43934951137552053
g_rf_with|g_tr_above_ema200|g_tr_above_ema800|g_vol_high,4,652,0.7055214723926381,1.2082907035197583,548.1804435532108,5,787.8055386948824,87,0.7011494252873564,0.6677574312631955,140.97461937646463,4,0.25,0.22,6.228426676908724,0.16098274125995282
g_hod_european_morning|g_tr_stack_with|g_tr_within_adr,3,563,0.7708703374777975,1.441679217176223,215.81403607494258,7,811.6653992702135,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,0.25,0.053,6.137298860114044,0.40243178994718287
g_hod_european_morning|g_tr_above_ema800|g_tr_stack_with|g_tr_within_adr,4,563,0.7708703374777975,1.441679217176223,215.81403607494258,7,811.6653992702135,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,0.25,0.053,6.137298860114044,0.40243178994718287
g_hod_european_morning|g_tr_above_ema200|g_tr_stack_with|g_tr_within_adr,4,562,0.7704626334519573,1.404003581720012,215.81403607494258,7,789.0500129266468,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,0.25,0.061,6.137298860114044,0.391936062112209
g_hod_european_morning|g_tr_above_cloud|g_tr_stack_with|g_tr_within_adr,4,556,0.7697841726618705,1.3999628774893451,215.81403607494258,7,778.3793598840758,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,0.25,0.069,6.137298860114044,0.38974840648770603
g_hod_european_morning|g_ribbon_agrees|g_tr_stack_with|g_tr_within_adr,4,563,0.7708703374777975,1.441679217176223,215.81403607494258,7,811.6653992702135,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,0.25,0.053,6.137298860114044,0.40243178994718287
g_hod_european_morning|g_tr_in_active_session|g_tr_stack_with|g_tr_within_adr,4,563,0.7708703374777975,1.441679217176223,215.81403607494258,7,811.6653992702135,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,0.25,0.053,6.137298860114044,0.40243178994718287
g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_with,3,759,0.7786561264822134,1.7480128614708608,301.3135168435947,7,1326.7417618563834,111,0.7297297297297297,0.5280802106457219,184.0596767902237,7,0.311,0.014,5.5636702530968645,0.5016308744621405
g_hod_european_morning|g_ribbon_agrees|g_ribbon_slope_with|g_tr_stack_with,4,759,0.7786561264822134,1.7480128614708608,301.3135168435947,7,1326.7417618563834,111,0.7297297297297297,0.5280802106457219,184.0596767902237,7,0.311,0.014,5.5636702530968645,0.5016308744621405
g_hod_european_morning|g_ribbon_slope_with|g_tr_in_active_session|g_tr_stack_with,4,759,0.7786561264822134,1.7480128614708608,301.3135168435947,7,1326.7417618563834,111,0.7297297297297297,0.5280802106457219,184.0596767902237,7,0.311,0.014,5.5636702530968645,0.5016308744621405
g_hod_european_morning|g_ribbon_slope_with|g_tr_above_ema800|g_tr_stack_with,4,759,0.7786561264822134,1.7480128614708608,301.3135168435947,7,1326.7417618563834,111,0.7297297297297297,0.5280802106457219,184.0596767902237,7,0.311,0.014,5.5636702530968645,0.5016308744621405
g_bb_pos_with|g_tr_above_cloud|g_tr_above_ema800|g_vol_high,4,759,0.691699604743083,0.6521106255687782,798.1688751283502,6,494.9519648067026,105,0.6761904761904762,0.5045470206914902,213.53193920848196,6,0.365,0.357,5.1700684801372985,0.09176991915692173
