stack,depth,n_tr,wr_tr,dpt_tr,dd_tr,ls_tr,n_v,wr_v,dpt_v,dd_v,ls_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l,stack_canon
g_hod_european_morning|g_rf_with|g_tr_above_ema800|g_tr_stack_full_with,4,521,0.7984644913627639,2.375117948090684,273.47483431071646,4,162,0.8024691358024691,0.9055481427537692,161.85292154398937,3,114,0.7631578947368421,1.5075814531587566,125.0,5,171.86428566009826,16.09656514668712,g_hod_european_morning|g_rf_with|g_tr_above_ema800|g_tr_stack_with
g_hod_european_morning|g_rf_with|g_tr_in_active_session|g_tr_stack_with,4,521,0.7984644913627639,2.375117948090684,273.47483431071646,4,162,0.8024691358024691,0.9055481427537692,161.85292154398937,3,114,0.7631578947368421,1.5075814531587566,125.0,5,171.86428566009826,16.09656514668712,g_hod_european_morning|g_rf_with|g_tr_in_active_session|g_tr_stack_with
g_hod_european_morning|g_rf_with|g_tr_above_ema200|g_tr_stack_full_with,4,521,0.7984644913627639,2.375117948090684,273.47483431071646,4,162,0.8024691358024691,0.9055481427537692,161.85292154398937,3,114,0.7631578947368421,1.5075814531587566,125.0,5,171.86428566009826,16.09656514668712,g_hod_european_morning|g_rf_with|g_tr_above_ema200|g_tr_stack_with
g_hod_european_morning|g_rf_with|g_tr_above_ema50|g_tr_stack_full_with,4,512,0.794921875,2.2679645546921794,277.69771996793475,4,159,0.7987421383647799,0.7654980462077385,161.85292154398937,3,114,0.7631578947368421,1.5075814531587566,125.0,5,171.86428566009826,16.09656514668712,g_hod_european_morning|g_rf_with|g_tr_above_ema50|g_tr_stack_with
g_hod_european_morning|g_rf_with|g_tr_above_cloud|g_tr_stack_with,4,518,0.7972972972972973,2.332556961590704,273.97483382414794,4,159,0.7987421383647799,0.7654980462077385,161.85292154398937,3,114,0.7631578947368421,1.5075814531587566,125.0,5,171.86428566009826,16.09656514668712,g_hod_european_morning|g_rf_with|g_tr_above_cloud|g_tr_stack_with
g_tr_stack_with|g_tr_within_adr|g_vol_high,3,70,0.7857142857142857,2.1911832724297406,171.74807956637062,5,60,0.85,1.3791104927129032,50.0,2,40,0.725,2.422068206997398,113.30546838241764,2,96.88272827989591,15.318504364783909,g_tr_stack_with|g_tr_within_adr|g_vol_high
g_hod_european_morning|g_off_60_240|g_ribbon_slope_with|g_tr_stack_with,4,205,0.7219512195121951,2.5532072033605844,226.6186741616034,5,71,0.7605633802816901,3.3012715802333843,187.28585336043125,3,57,0.6842105263157895,1.9876373300939751,126.23481933206094,5,113.2953278153566,15.006332759573109,g_hod_european_morning|g_off_60_240|g_ribbon_slope_with|g_tr_stack_with
g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,4,50,0.7,3.8040267242879793,93.98877453356452,2,20,0.75,4.016583199605295,48.2134058005826,1,15,0.6666666666666666,3.62435022935608,50.0,2,54.36525344034119,14.03704807911913,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_off_60|g_tr_stack_full_with,3,85,0.6588235294117647,2.167612028120043,101.84138859586052,3,30,0.7666666666666667,5.687721150482138,58.3161810263197,2,23,0.6521739130434783,2.90749607813665,50.0,2,66.87240979714295,13.943861345435849,g_hod_european_morning|g_off_60|g_tr_stack_with
g_tr_above_cloud|g_tr_above_ema800|g_vol_high,3,491,0.6945010183299389,1.559887868375225,466.2707906344178,6,289,0.6816608996539792,-2.207508361997417,641.1903091051711,5,124,0.7016129032258065,1.1827710841958572,202.1176380254756,8,146.6636144402863,13.17078138394304,g_tr_above_cloud|g_tr_above_ema800|g_vol_high
g_hod_european_morning|g_rf_with|g_ribbon_slope_with|g_tr_stack_with,4,441,0.7981859410430839,2.5448330726517003,328.76343807806006,4,128,0.8046875,1.254428695330346,149.6324155428856,2,98,0.7551020408163265,1.3194258516766384,100.0,4,129.30373346431057,13.061649537907416,g_hod_european_morning|g_rf_with|g_ribbon_slope_with|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_tight_ribbon|g_tr_stack_full_with,4,234,0.7094017094017094,2.4392256305379645,167.70373300731603,5,74,0.6891891891891891,1.0182288149448802,265.89820219131764,4,62,0.6612903225806451,1.6544065103063386,150.0,6,102.573203638993,13.026809888968511,g_hod_european_morning|g_off_60_240|g_tight_ribbon|g_tr_stack_with
g_rf_with|g_tr_above_cloud|g_tr_above_ema800|g_vol_high,4,353,0.7110481586402266,2.9363070146824177,294.0718139032432,5,209,0.6842105263157895,-1.7746629308012536,426.85718515143566,4,86,0.7093023255813954,1.335786463518328,146.90636795825975,4,114.8776358625762,12.387574054116362,g_rf_with|g_tr_above_cloud|g_tr_above_ema800|g_vol_high
g_tr_above_ema200|g_vol_high,2,753,0.600265604249668,2.116630497243659,1449.8894414827366,7,424,0.6108490566037735,-3.7167110840049338,1632.3399114047968,6,172,0.627906976744186,0.8964405215451527,206.6276533140904,5,154.18776970576627,11.756707221451125,g_tr_above_ema200|g_vol_high
g_rf_strong|g_rf_with|g_tr_above_ema800|g_vol_high,4,252,0.7023809523809523,5.089188224826854,234.447656404383,5,140,0.7071428571428572,-0.99228527800704,397.468469721546,4,65,0.6923076923076923,1.4227627732292616,144.9382734526995,5,92.479580259902,11.470680192458346,g_rf_strong|g_rf_with|g_tr_above_ema800|g_vol_high
g_cci_with|g_hod_european_morning|g_tight_ribbon|g_tr_stack_full_with,4,543,0.7863720073664825,2.1468393862389386,213.4687482948898,4,173,0.7745664739884393,0.7438962773420231,233.38338956766356,4,120,0.7416666666666667,0.9908581729832744,172.28056527751636,6,118.9029807579929,10.854307452625903,g_cci_with|g_hod_european_morning|g_tight_ribbon|g_tr_stack_with
g_bb_pos_with|g_hod_european_morning|g_tight_ribbon|g_tr_stack_with,4,544,0.7867647058823529,2.2069665990943013,213.4687482948898,4,173,0.7745664739884393,0.7438962773420231,233.38338956766356,4,120,0.7416666666666667,0.9908581729832744,172.28056527751636,6,118.9029807579929,10.854307452625903,g_bb_pos_with|g_hod_european_morning|g_tight_ribbon|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_rf_fresh|g_tr_stack_with,4,205,0.7024390243902439,2.127321406581669,171.1643473509995,4,77,0.7272727272727273,2.024919660641532,214.46476603097955,3,62,0.6612903225806451,1.373729034846897,132.9891786167798,5,85.17120016050761,10.816753237143113,g_hod_european_morning|g_off_60_240|g_rf_fresh|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_tr_above_ema200|g_tr_stack_with,4,248,0.7137096774193549,2.192867002502409,170.66153217984856,5,83,0.7228915662650602,1.6590021324348967,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_hod_european_morning|g_off_60_240|g_tr_above_ema200|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_ribbon_agrees|g_tr_stack_full_with,4,248,0.7137096774193549,2.192867002502409,170.66153217984856,5,83,0.7228915662650602,1.6590021324348967,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_hod_european_morning|g_off_60_240|g_ribbon_agrees|g_tr_stack_with
g_entry_vwap_gt_35|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,247,0.7165991902834008,2.3029595814599086,170.66153217984856,5,83,0.7228915662650602,1.6590021324348967,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_entry_vwap_gt_35|g_hod_european_morning|g_off_60_240|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_tr_in_active_session|g_tr_stack_full_with,4,248,0.7137096774193549,2.192867002502409,170.66153217984856,5,83,0.7228915662650602,1.6590021324348967,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_hod_european_morning|g_off_60_240|g_tr_in_active_session|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_tr_above_cloud|g_tr_stack_with,4,246,0.7113821138211383,2.09250107497701,170.66153217984868,5,82,0.7195121951219512,1.3812688722846187,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_hod_european_morning|g_off_60_240|g_tr_above_cloud|g_tr_stack_with
g_entry_vwap_gt_25|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,248,0.7137096774193549,2.192867002502409,170.66153217984856,5,83,0.7228915662650602,1.6590021324348967,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_entry_vwap_gt_25|g_hod_european_morning|g_off_60_240|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_tr_above_ema800|g_tr_stack_with,4,248,0.7137096774193549,2.192867002502409,170.66153217984856,5,83,0.7228915662650602,1.6590021324348967,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_hod_european_morning|g_off_60_240|g_tr_above_ema800|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_tr_above_ema50|g_tr_stack_full_with,4,244,0.7131147540983607,2.201031346095704,170.66153217984868,5,82,0.7195121951219512,1.3812688722846187,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_hod_european_morning|g_off_60_240|g_tr_above_ema50|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_tr_stack_full_with,3,248,0.7137096774193549,2.192867002502409,170.66153217984856,5,83,0.7228915662650602,1.6590021324348967,249.66663454523277,4,69,0.6666666666666666,1.3001032954832668,157.98917861677978,6,89.7071273883454,10.799469058519731,g_hod_european_morning|g_off_60_240|g_tr_stack_with
g_bb_pos_with|g_rf_with|g_tr_above_ema800|g_vol_high,4,345,0.7159420289855073,3.35444543481826,301.20806937693146,5,206,0.6650485436893204,-2.5733012106471755,569.2158162648866,6,83,0.6987951807228916,1.184264043603778,161.4128923425956,4,98.29391561911356,10.789158909421069,g_bb_pos_with|g_rf_with|g_tr_above_ema800|g_vol_high
g_cci_with|g_rf_with|g_tr_above_ema800|g_vol_high,4,343,0.717201166180758,3.3836469865331766,303.0528702591249,5,206,0.6601941747572816,-2.7467868407684355,604.9538560698662,6,83,0.6987951807228916,1.184264043603778,161.4128923425956,4,98.29391561911356,10.789158909421069,g_cci_with|g_rf_with|g_tr_above_ema800|g_vol_high
g_hod_european_morning|g_tight_ribbon|g_tr_above_ema50|g_tr_stack_full_with,4,549,0.7832422586520947,2.0946985738222974,213.4687482948898,4,175,0.7771428571428571,0.8814122521788701,222.68626915731647,3,123,0.7398373983739838,0.9296189515471784,172.28056527751636,6,114.34313104030294,10.309972919184029,g_hod_european_morning|g_tight_ribbon|g_tr_above_ema50|g_tr_stack_with
g_bb_pos_with|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,240,0.7166666666666667,2.3212167857282617,178.89417296750565,5,80,0.7125,1.143067776770092,260.36375495557974,4,68,0.6617647058823529,1.2202282286795303,157.9891786167798,6,82.97551955020808,10.06225974841209,g_bb_pos_with|g_hod_european_morning|g_off_60_240|g_tr_stack_with
g_cci_with|g_hod_european_morning|g_off_60_240|g_tr_stack_with,4,240,0.7166666666666667,2.2159993115627987,177.6046989596799,5,80,0.7125,1.143067776770092,260.36375495557974,4,68,0.6617647058823529,1.2202282286795303,157.9891786167798,6,82.97551955020808,10.06225974841209,g_cci_with|g_hod_european_morning|g_off_60_240|g_tr_stack_with
g_mfi_with|g_tr_above_ema800|g_tr_within_adr|g_vol_high,4,139,0.7122302158273381,6.405502762228366,229.1938843508902,5,112,0.7232142857142857,-1.4226008841838715,268.7588291851748,3,77,0.6883116883116883,1.083935977973908,140.58956836055842,4,83.46307030399092,9.511499604934096,g_mfi_with|g_tr_above_ema800|g_tr_within_adr|g_vol_high
g_cci_with|g_hod_european_morning|g_tr_stack_with,3,584,0.7876712328767124,1.82235784078722,245.59987793790128,4,188,0.7819148936170213,0.8155356821810982,241.69379609564103,4,131,0.7480916030534351,0.8279574090712514,190.81403607494255,7,108.46242058833391,9.476405686330304,g_cci_with|g_hod_european_morning|g_tr_stack_with
g_bb_pos_with|g_hod_european_morning|g_tr_stack_full_with,3,585,0.788034188034188,1.8788256789731488,245.5998779379014,4,188,0.7819148936170213,0.8155356821810982,241.69379609564103,4,131,0.7480916030534351,0.8279574090712514,190.81403607494255,7,108.46242058833391,9.476405686330304,g_bb_pos_with|g_hod_european_morning|g_tr_stack_with
g_hod_european_morning|g_tight_ribbon|g_tr_stack_with|g_tr_within_adr,4,337,0.771513353115727,2.3504807522189144,183.58283719148545,4,107,0.7757009345794392,-0.1483102528832214,167.4621049430026,3,83,0.7469879518072289,1.023721371355516,197.2805652775163,6,84.96887382250783,9.326545557284945,g_hod_european_morning|g_tight_ribbon|g_tr_stack_with|g_tr_within_adr
g_rf_with|g_ribbon_agrees|g_tr_above_ema800|g_vol_high,4,346,0.7225433526011561,3.343250075843923,282.0284707071545,5,206,0.6747572815533981,-2.214071645947523,520.4865914017139,5,81,0.7037037037037037,1.009195200139511,115.97461937646464,4,81.7448112113004,9.0827568012556,g_rf_with|g_ribbon_agrees|g_tr_above_ema800|g_vol_high
g_hod_european_morning|g_tr_above_ema50|g_tr_stack_full_with,3,590,0.7847457627118644,1.7771401852888706,245.59987793790103,4,190,0.7842105263157895,0.9414410336904144,230.996675685294,3,134,0.746268656716418,0.7753923199301788,190.81403607494255,7,103.90257087064396,8.975815031187889,g_hod_european_morning|g_tr_above_ema50|g_tr_stack_with
g_hod_european_morning|g_tight_ribbon|g_tr_stack_with,3,565,0.7858407079646018,2.1418780193116387,209.2458626376715,4,178,0.7808988764044944,1.0069199657886647,222.68626915731647,3,125,0.736,0.7995172281533811,197.2805652775164,6,99.93965351917264,8.938874356665844,g_hod_european_morning|g_tight_ribbon|g_tr_stack_with
g_hod_european_morning|g_ribbon_agrees|g_tight_ribbon|g_tr_stack_full_with,4,565,0.7858407079646018,2.1418780193116387,209.2458626376715,4,178,0.7808988764044944,1.0069199657886647,222.68626915731647,3,125,0.736,0.7995172281533811,197.2805652775164,6,99.93965351917264,8.938874356665844,g_hod_european_morning|g_ribbon_agrees|g_tight_ribbon|g_tr_stack_with
g_hod_european_morning|g_tight_ribbon|g_tr_above_cloud|g_tr_stack_full_with,4,558,0.7849462365591398,2.110520505345419,209.74586215110295,4,175,0.7771428571428571,0.8814122521788701,222.68626915731647,3,125,0.736,0.7995172281533811,197.2805652775164,6,99.93965351917264,8.938874356665844,g_hod_european_morning|g_tight_ribbon|g_tr_above_cloud|g_tr_stack_with
g_hod_european_morning|g_tight_ribbon|g_tr_above_ema200|g_tr_stack_with,4,564,0.7854609929078015,2.105577472637428,209.2458626376715,4,178,0.7808988764044944,1.0069199657886647,222.68626915731647,3,125,0.736,0.7995172281533811,197.2805652775164,6,99.93965351917264,8.938874356665844,g_hod_european_morning|g_tight_ribbon|g_tr_above_ema200|g_tr_stack_with
g_hod_european_morning|g_tight_ribbon|g_tr_in_active_session|g_tr_stack_full_with,4,565,0.7858407079646018,2.1418780193116387,209.2458626376715,4,178,0.7808988764044944,1.0069199657886647,222.68626915731647,3,125,0.736,0.7995172281533811,197.2805652775164,6,99.93965351917264,8.938874356665844,g_hod_european_morning|g_tight_ribbon|g_tr_in_active_session|g_tr_stack_with
g_hod_european_morning|g_tight_ribbon|g_tr_above_ema800|g_tr_stack_with,4,565,0.7858407079646018,2.1418780193116387,209.2458626376715,4,178,0.7808988764044944,1.0069199657886647,222.68626915731647,3,125,0.736,0.7995172281533811,197.2805652775164,6,99.93965351917264,8.938874356665844,g_hod_european_morning|g_tight_ribbon|g_tr_above_ema800|g_tr_stack_with
g_rf_with|g_tr_above_ema50|g_tr_above_ema800|g_vol_high,4,358,0.7206703910614525,3.594852371074941,274.6050938556634,5,211,0.6729857819905213,-2.2323417580563163,527.2242180729369,4,86,0.6976744186046512,0.9246158687458322,167.34464092439072,4,79.51696471214157,8.574534821630179,g_rf_with|g_tr_above_ema50|g_tr_above_ema800|g_vol_high
g_hod_european_morning|g_mfi_with|g_rf_with|g_tr_stack_full_with,4,390,0.8051282051282052,2.519792081052344,188.3150422860001,3,129,0.7906976744186046,0.7012000191182307,152.7668155592719,3,83,0.7349397590361446,0.9073460892715428,133.92299362348706,5,75.30972540953805,8.266316279604723,g_hod_european_morning|g_mfi_with|g_rf_with|g_tr_stack_with
g_hod_european_morning|g_tr_above_ema50|g_tr_stack_full_with|g_tr_within_adr,4,346,0.7716763005780347,2.1213904056613164,191.9356681752108,4,114,0.7807017543859649,-0.1312513872962607,150.7725114709801,3,87,0.7471264367816092,0.8310648180372271,190.81403607494252,7,72.30263916923876,7.7516565755195,g_hod_european_morning|g_tr_above_ema50|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_tr_in_active_session|g_tr_stack_full_with,3,606,0.7871287128712872,1.829512001985261,241.376992280683,4,193,0.7875647668393783,1.0562611719184398,230.996675685294,3,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,89.49909334951357,7.67448394048945,g_hod_european_morning|g_tr_in_active_session|g_tr_stack_with
g_hod_european_morning|g_tr_above_ema200|g_tr_stack_with,3,605,0.7867768595041322,1.7951551848917382,241.37699228068288,4,193,0.7875647668393783,1.0562611719184398,230.996675685294,3,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,89.49909334951357,7.67448394048945,g_hod_european_morning|g_tr_above_ema200|g_tr_stack_with
g_hod_european_morning|g_ribbon_agrees|g_tr_stack_full_with,3,606,0.7871287128712872,1.829512001985261,241.376992280683,4,193,0.7875647668393783,1.0562611719184398,230.996675685294,3,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,89.49909334951357,7.67448394048945,g_hod_european_morning|g_ribbon_agrees|g_tr_stack_with
g_hod_european_morning|g_tr_stack_full_with|g_tr_stack_with,3,606,0.7871287128712872,1.829512001985261,241.376992280683,4,193,0.7875647668393783,1.0562611719184398,230.996675685294,3,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,89.49909334951357,7.67448394048945,g_hod_european_morning|g_tr_stack_with
g_hod_european_morning|g_tr_above_ema800|g_tr_stack_full_with,3,606,0.7871287128712872,1.829512001985261,241.376992280683,4,193,0.7875647668393783,1.0562611719184398,230.996675685294,3,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,89.49909334951357,7.67448394048945,g_hod_european_morning|g_tr_above_ema800|g_tr_stack_with
g_hod_european_morning|g_tr_above_cloud|g_tr_stack_full_with,3,599,0.7863105175292153,1.796650474582197,241.8769917941144,4,190,0.7842105263157895,0.9414410336904144,230.996675685294,3,136,0.7426470588235294,0.6580815687464233,215.81403607494255,7,89.49909334951357,7.67448394048945,g_hod_european_morning|g_tr_above_cloud|g_tr_stack_with
g_cci_with|g_hod_european_morning|g_tr_stack_with|g_tr_within_adr,4,344,0.7732558139534884,2.129734381157064,202.3556180815864,4,113,0.7787610619469026,-0.0461506258098654,126.2305372969177,3,86,0.7441860465116279,0.7624538526872259,190.81403607494255,7,65.57103133110142,7.070706150242215,g_cci_with|g_hod_european_morning|g_tr_stack_with|g_tr_within_adr
g_bb_pos_with|g_hod_european_morning|g_tr_stack_full_with|g_tr_within_adr,4,343,0.7725947521865889,2.1345342616611127,203.11334929537043,4,113,0.7787610619469026,-0.0461506258098654,126.2305372969177,3,86,0.7441860465116279,0.7624538526872259,190.81403607494255,7,65.57103133110142,7.070706150242215,g_bb_pos_with|g_hod_european_morning|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_ribbon_slope_with|g_tight_ribbon|g_tr_stack_with,4,464,0.7844827586206896,2.4406772775141627,253.6564554964507,4,138,0.7971014492753623,1.7311212939797465,165.7423205632225,2,102,0.7254901960784313,0.6868889144529277,165.5262059927975,6,70.06266927419863,6.937237983623509,g_hod_european_morning|g_ribbon_slope_with|g_tight_ribbon|g_tr_stack_with
g_rf_with|g_tr_above_ema800|g_vol_high,3,419,0.7183770883054893,3.13363004306197,401.1669032846489,6,230,0.6739130434782609,-2.1138671418596133,547.1698505539,5,101,0.693069306930693,0.6834910792262955,196.1058821004633,4,69.03259900185584,6.869000334369954,g_rf_with|g_tr_above_ema800|g_vol_high
g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_with|g_tr_within_adr,4,293,0.7679180887372014,2.2036909079212244,159.27263096387287,4,95,0.7894736842105263,0.6506546151727493,134.68487202747048,3,74,0.7297297297297297,0.7974193423674805,184.05967679022368,7,59.00903133519356,6.8596605572762925,g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_with|g_tr_within_adr
g_rf_with|g_tr_above_ema200|g_tr_above_ema800|g_vol_high,4,359,0.7214484679665738,3.253726740932001,282.0284707071545,5,206,0.6796116504854369,-2.128044940871867,458.8608077977398,4,87,0.7011494252873564,0.6677574312631955,140.97461937646463,4,58.09489651989801,6.228426676908724,g_rf_with|g_tr_above_ema200|g_tr_above_ema800|g_vol_high
g_hod_european_morning|g_tr_stack_with|g_tr_within_adr,3,358,0.7737430167597765,2.078207248180306,182.8251059777014,4,116,0.7844827586206896,0.0842072652892715,150.7725114709801,3,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,57.89916164810839,6.137298860114044,g_hod_european_morning|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_tr_above_ema800|g_tr_stack_full_with|g_tr_within_adr,4,358,0.7737430167597765,2.078207248180306,182.8251059777014,4,116,0.7844827586206896,0.0842072652892715,150.7725114709801,3,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,57.89916164810839,6.137298860114044,g_hod_european_morning|g_tr_above_ema800|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_tr_above_ema200|g_tr_stack_with|g_tr_within_adr,4,357,0.773109243697479,2.0206801358682998,182.8251059777014,4,116,0.7844827586206896,0.0842072652892715,150.7725114709801,3,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,57.89916164810839,6.137298860114044,g_hod_european_morning|g_tr_above_ema200|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_tr_above_cloud|g_tr_stack_full_with|g_tr_within_adr,4,353,0.773371104815864,2.0834075251777366,182.8251059777014,4,114,0.7807017543859649,-0.1312513872962607,150.7725114709801,3,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,57.89916164810839,6.137298860114044,g_hod_european_morning|g_tr_above_cloud|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_ribbon_agrees|g_tr_stack_with|g_tr_within_adr,4,358,0.7737430167597765,2.078207248180306,182.8251059777014,4,116,0.7844827586206896,0.0842072652892715,150.7725114709801,3,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,57.89916164810839,6.137298860114044,g_hod_european_morning|g_ribbon_agrees|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_tr_in_active_session|g_tr_stack_with|g_tr_within_adr,4,358,0.7737430167597765,2.078207248180306,182.8251059777014,4,116,0.7844827586206896,0.0842072652892715,150.7725114709801,3,89,0.7415730337078652,0.6505523780686336,215.81403607494252,7,57.89916164810839,6.137298860114044,g_hod_european_morning|g_tr_in_active_session|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_with,3,499,0.7835671342685371,2.0291220567873256,300.2436480462316,4,149,0.7986577181208053,1.7153889405223683,174.05272709120004,2,111,0.7297297297297297,0.5280802106457219,184.0596767902237,7,58.61690338167513,5.5636702530968645,g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_with
g_hod_european_morning|g_ribbon_agrees|g_ribbon_slope_with|g_tr_stack_full_with,4,499,0.7835671342685371,2.0291220567873256,300.2436480462316,4,149,0.7986577181208053,1.7153889405223683,174.05272709120004,2,111,0.7297297297297297,0.5280802106457219,184.0596767902237,7,58.61690338167513,5.5636702530968645,g_hod_european_morning|g_ribbon_agrees|g_ribbon_slope_with|g_tr_stack_with
