rule,asset,tf,n,wr,dpt,sum_pnl,median_pnl,sharpe_dpt
O_C,ALL,15m,11957,0.6933177218365811,-1.207044169087446,-14432.627129778593,0.8393643657301569,-0.7964936396240409
O_E,SOL,5m,32100,0.6735514018691589,-1.214665568305155,-38990.76474259548,0.9628127202482146,-0.5919293026671387
O_E,BTC,15m,14755,0.6035920027109455,-1.2223404935684503,-18035.633982602485,1.020833903768422,-0.6426429439800149
O_A,BTC,15m,14751,0.6048403498067928,-1.2339552292443352,-18202.07358658319,1.020833903768422,-0.6595830366656624
O_B,BTC,15m,14752,0.6046637744034707,-1.24379898882028,-18348.52268307677,1.020833903768422,-0.6648692302849754
O_A,SOL,ALL,42770,0.6711947626841244,-1.386705084063976,-59309.37644541626,1.020833903768422,-0.7238196885174517
O_B,SOL,ALL,42771,0.6710387879638072,-1.401160544783475,-59929.03766093401,1.020833903768422,-0.7318413576873737
O_B,ETH,15m,13093,0.5993278851294584,-1.4241915746048934,-18646.94028630187,1.020833903768422,-0.6903822152868375
O_A,ETH,15m,13091,0.5990375066839814,-1.440867227054867,-18862.392869375264,1.020833903768422,-0.6985110676472077
O_E,SOL,ALL,42796,0.658799887839985,-1.4484545323083782,-61988.060164669354,0.8514883835894389,-0.7457346462042339
O_A,ALL,15m,38536,0.606238322607432,-1.5613907496092816,-60169.753926943275,1.020833903768422,-0.8390341346664979
O_B,ALL,15m,38539,0.606165183320792,-1.5621724447723624,-60204.56384908207,1.020833903768422,-0.8393132693436512
O_E,ETH,15m,13100,0.5925190839694656,-1.5698746680457896,-20565.358151399843,0.7577312137840356,-0.7569268468471226
O_E,ALL,15m,38551,0.6028637389432181,-1.5978389031692102,-61598.28755607622,0.7921829325184538,-0.8507007788901387
O_E,SOL,15m,10696,0.6145287958115183,-2.1500837156015224,-22997.295422073883,0.7577312137840356,-1.3722609821018323
O_A,SOL,15m,10694,0.6169814849448289,-2.1605842033836553,-23105.28747098481,0.7577312137840356,-1.3827792753490717
O_B,SOL,15m,10694,0.6166074434262203,-2.1702918346459175,-23209.10087970344,0.7577312137840356,-1.387944602406379
O_C,SOL,15m,4450,0.6975280898876405,-2.2131352505957715,-9848.451865151183,0.636499381551948,-1.4757443134746542
O_D,ETH,5m,2140,0.02336448598130841,-15.04336045485036,-32192.79137337977,-25.0,-1.754720038861442
O_D,ETH,ALL,2197,0.024123805188893947,-15.250997059954852,-33506.44054072081,-25.0,-1.8023022550348917
O_D,SOL,5m,1912,0.03399581589958159,-15.697769535642804,-30014.135352149042,-25.0,-2.1110838913472616
O_D,SOL,ALL,1975,0.033417721518987344,-15.979651556225699,-31559.811823545755,-25.0,-2.1838979609829234
O_D,ALL,5m,7050,0.02269503546099291,-16.853644771102374,-118818.19563627175,-25.0,-2.2352968767299086
O_D,ALL,ALL,7176,0.022993311036789296,-16.97352581877036,-121802.02127549608,-25.0,-2.2710946230158298
O_D,BTC,5m,2998,0.015010006671114077,-18.883011644677435,-56611.26891074295,-25.0,-2.7851670548123244
O_D,BTC,ALL,3004,0.015312916111850865,-18.88674064954378,-56735.76891122951,-25.0,-2.788481578408199
O_D,ETH,15m,57,0.05263157894736842,-23.046476620018247,-1313.64916734104,-25.0,-40.64077071893435
O_D,ALL,15m,126,0.03968253968253968,-23.681155866859697,-2983.825639224322,-25.0,-54.05092158337773
O_D,SOL,15m,63,0.015873015873015872,-24.5345471650272,-1545.6764713967136,-25.0,-105.42226976213756
