slug,fav_side,fire_us,maker_bid,taker_ask,won,cl_basis_bps,outcome_cl,total_sell_usd,first_fill_us,fill_usd_opt,filled_opt,fill_shares_opt,fill_usd_cons,filled_cons,fill_shares_cons,maker_pnl_opt,maker_pnl_cons,taker_pnl,price_improvement,spread_pnl_opt,basis_q
btc-updown-5m-1778194500,Up,1778194620000000,0.7799999713897705,0.7900000214576721,True,1.119485345062734,Up,683.903,1778194631798000.0,25.0,True,32.05128322691611,25.0,True,32.05128322691611,7.041283226916113,7.041283226916113,6.512657385494387,0.010000050067901611,0.31051443700965625,0
btc-updown-5m-1778194800,Up,1778194920000000,0.3199999928474426,0.33000001311302185,True,1.7846699558144463,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,49.74242129229548,0.010000020265579224,0.0,0
btc-updown-5m-1778195100,Up,1778195220000000,0.6299999952316284,0.6399999856948853,True,0.9248100818679216,Up,334.8018,1778195220932000.0,25.0,True,39.68253998289063,25.0,True,39.68253998289063,14.67253998289063,14.67253998289063,13.781250855652635,0.009999990463256836,0.3868250213867144,0
btc-updown-5m-1778195400,Up,1778195520000000,0.2800000011920929,0.28999999165534973,False,1.5944539512835019,Down,287.420474,1778195523463000.0,25.0,True,89.28571390558263,25.0,True,89.28571390558263,-25.01,-25.01,-25.0,0.009999990463256836,0.8828562875609045,0
btc-updown-5m-1778195700,Up,1778195820000000,0.5400000214576721,0.550000011920929,False,1.774023909069082,Down,177.6393,1778195851517000.0,25.0,True,46.29629445664684,25.0,True,46.29629445664684,-25.01,-25.01,-25.000000000000004,0.009999990463256836,0.4529625030505987,0
btc-updown-5m-1778196000,Up,1778196120000000,0.949999988079071,0.9599999785423279,True,1.580507570609077,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,1.0208339037684229,0.009999990463256836,0.0,0
btc-updown-5m-1778196300,Up,1778196420000000,0.7300000190734863,0.7400000095367432,True,1.2763617542710115,Up,101.38969999999999,1778196432226000.0,25.0,True,34.24657444766908,25.0,True,34.24657444766908,9.236574447669083,9.236574447669083,8.608107681427676,0.009999990463256836,0.33246541787590606,0
btc-updown-5m-1778196600,Up,1778196720000000,0.30000001192092896,0.3100000023841858,False,1.2687436779928014,Down,311.753054,1778196721172000.0,25.0,True,83.33333002196431,25.0,True,83.33333002196431,-25.01,-25.01,-25.0,0.009999990463256836,0.8233325054910777,0
btc-updown-5m-1778196900,Up,1778197020000000,0.8299999833106995,0.8399999737739563,True,1.915119280418941,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,4.666667577293212,0.009999990463256836,0.0,0
btc-updown-5m-1778197200,Up,1778197320000000,0.5099999904632568,0.5199999809265137,True,1.5006465111726721,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,22.615386343566684,0.009999990463256836,0.0,0
btc-updown-5m-1778197500,Up,1778197620000000,0.44999998807907104,0.46000000834465027,True,1.6653397063081505,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,28.760868599036254,0.010000020265579224,0.0,0
btc-updown-5m-1778197800,Up,1778197920000000,0.46000000834465027,0.4699999988079071,False,1.0096545554637195,Down,252.9198,1778197975597000.0,25.0,True,54.3478251010574,25.0,True,54.3478251010574,-25.01,-25.01,-25.0,0.009999990463256836,0.5334777327093245,0
btc-updown-5m-1778198100,Up,1778198220000000,0.75,0.7599999904632568,False,0.9901395184500179,Down,561.871796,1778198220859000.0,25.0,True,33.333333333333336,25.0,True,33.333333333333336,-25.01,-25.01,-24.999999999999996,0.009999990463256836,0.3233330154418945,0
btc-updown-5m-1778198400,Up,1778198520000000,0.7099999785423279,0.7200000286102295,True,0.6043928160693188,Up,288.213598,1778198524713000.0,25.0,True,35.21126866979135,25.0,True,35.21126866979135,10.20126866979135,10.20126866979135,9.527776425635427,0.010000050067901611,0.34211444965224885,0
btc-updown-5m-1778198700,Up,1778198820000000,0.8700000047683716,0.8799999952316284,True,0.8140346939725949,Up,347.0086,1778198820555000.0,25.0,True,28.7356320264113,25.0,True,28.7356320264113,3.725632026411298,3.725632026411298,3.340909241767955,0.009999990463256836,0.27735604621977067,0
btc-updown-5m-1778199000,Up,1778199120000000,0.7699999809265137,0.7900000214576721,True,0.9323064671551748,Up,1674.2312849999998,1778199122049000.0,25.0,True,32.46753327177799,25.0,True,32.46753327177799,7.457533271777989,7.457533271777989,6.512657385494387,0.020000040531158447,0.6393519813822952,0
btc-updown-5m-1778199300,Up,1778199420000000,0.33000001311302185,0.3400000035762787,True,1.042836793440163,Up,346.481605,1778199427115000.0,25.0,True,75.75757274724029,25.0,True,75.75757274724029,50.74757274724029,50.74757274724029,47.55882277146344,0.009999990463256836,0.7475750049918889,0
