slot_start_us,signal,reason,rsi_14,ret_2m,f7,entry_phase,mode,thr
,NONE,no_signal,66.34459537390168,0.00012127665722012738,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,58.99378419773936,-0.00022007024382786434,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,13.301972743116153,-0.00006678595193317393,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,51.50750930144596,0.00004976195161423594,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,56.88014021840549,-0.00035728634065731747,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,74.1905476653103,-0.00008253386867660082,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,27.40722376866917,0.0001182308824659085,pass,t_plus_120,paper,0.0009817261525836808
,NONE,no_signal,60.02607546941379,-0.00007055407860904385,pass,t_plus_120,paper,0.0009817261525836808
,NONE,no_signal,25.929600178988906,0.0003017209607118292,pass,t_plus_120,paper,0.0009817261525836808
,NONE,no_signal,31.23647382768648,-0.00010315135554326708,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,59.80893603085126,-0.000325602516886614,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,80.79308609348165,0.0002674630170899822,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,23.505034383860846,0.0001377452144046382,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,60.010209456943336,0.00006806372098280714,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,69.1318273482427,0.0000644182609956473,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,54.81784598740083,0.0003790086378969261,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,66.91821364116018,0.000044488001273694954,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,78.4482500892066,-0.00006880079468320968,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,44.05192804457019,0.00015794687643798226,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,21.652012760753237,-0.0005182174690068806,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,39.873093354610084,-0.0008531330147702582,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,35.84804800186549,0.0005869828266330021,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,17.87657408456009,0.00035336023308498327,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,18.696890813713907,-0.0002468260866159035,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,45.70588354087383,-0.00042738948930750133,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,74.8471652682228,-0.00030741975712245313,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,69.16498550434125,0.000001221030624555196,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,24.583017720710046,0.0005150565898695367,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,45.83114093503843,0.00023302840466529536,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,60.94103769741155,0.00038576335539268627,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,39.207525055992235,0.000342745991016392,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,74.9258754831999,0.00033242780559540467,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,68.2281473612156,0.0,pass,t_plus_120,paper,0.0009869724118862957
,NONE,no_signal,45.80553132958268,-0.00028861778612518336,pass,t_plus_120,paper,0.000987605368785169
,NONE,no_signal,77.26602673079141,0.00003346084272410169,pass,t_plus_120,paper,0.000987605368785169
,NONE,no_signal,39.84349811943489,-0.0007694751207470746,pass,t_plus_120,paper,0.000987605368785169
,NONE,no_signal,58.20233267572344,0.00023006829429084334,pass,t_plus_120,paper,0.000987605368785169
