at_s,signal,outcome,won,entry_price,entry_qty,pnl_usd,hedged,condition_id,price_source
1779750054.128524,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x82a75dfc0e4f8652401d450c120ba6b8f9dea765007e77d2b9f61ee49ec8301d,onchain_oracle
1779641134.016696,UP,Down,false,0.51,49.0196,-24.999996,false,0x83f6a84bd6239dcc860af8f253a496703960729d2155772577c4bdf4f0c18750,onchain_oracle
1779939930.668927,DOWN,Down,true,0.49,51.0204,25.12790414,false,0x857a89b2f19127df5331f2c645789cabbe48ab88f5354f06b3d624570b5fb744,onchain_oracle
1779887744.799830,DOWN,Down,true,0.51,49.0196,23.16210414,false,0x871694129034a6ec346d5cf21b4f6ed03278bf3084309d6d55c0a2101157332d,onchain_oracle
1779480034.050922,DOWN,Up,false,0.47,53.1914,-24.999958,false,0x8adc7954b6bd2ea5536fd1ebec5db536c48de44de1dba3ae96d15fbd987e8513,onchain_oracle
1779993930.492360,UP,Up,true,0.48,52.0833,26.17331658,false,0x8c6f6d8c345d836b4c16a17c74e1333332e6688c19f660bb9e315ed5b7e5126e,onchain_oracle
1779374737.301330,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x991c3a3f837c2fe1587437f27fb5b19015632b1dff40f3068fbf1560a1ade320,onchain_oracle
1779374731.763005,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x991c3a3f837c2fe1587437f27fb5b19015632b1dff40f3068fbf1560a1ade320,onchain_oracle
1779979602.238405,UP,Down,false,0.51,49.0196,-24.999996,false,0xa689a98f1a90ba0657ca5cfe9c853dd4d9ee563f338b7012f3c1da57d5ed70f9,onchain_oracle
1779804922.478353,UP,Up,true,0.51,49.0196,23.16210414,false,0xab198d374f29bb4679f8e1839485953d5d638ece56d73ca9e090b4c58eaa36b5,onchain_oracle
1779932730.401065,DOWN,Down,true,0.49,51.0204,25.12790414,false,0xb1ca834f70f68334cd337c555aa1bfc43dbc333655d41f43bcc764b2388ca84b,onchain_oracle
1779765345.063729,DOWN,Down,true,0.5,50.0000,24.12500000,false,0xbfc828a235e0b5d5ab9ded1d19bfd05d59352b121940db585ea4aaf99e43a173,onchain_oracle
1779435044.339480,DOWN,Up,false,0.49,51.0204,-24.999996,false,0xc4f7356bdf71044186b381cff11ef8eabec3d04f01dbf47b44356bb8087274d3,onchain_oracle
1779435044.808365,DOWN,Up,false,0.49,51.0204,-24.999996,false,0xc4f7356bdf71044186b381cff11ef8eabec3d04f01dbf47b44356bb8087274d3,onchain_oracle
1779481844.058714,UP,Up,true,0.5113769186203069792491166799,49.0196,23.09470914,false,0xd3df33c44b3b083fa1557ad70106333bd199ee4a6c7c59baecb72a0ae7abfc44,onchain_oracle
1780078524.266678,DOWN,Up,false,0.5,50.0000,-25.00000,false,0xda5fa5281a6cf28cc8909d7b6725983aabc89556141dcf3aa4e62758e009ba1b,onchain_oracle
1779633937.772585,DOWN,Up,false,0.48,52.0833,-24.999984,false,0xdb5a1e9ca9a59def56dfd8d9fc12b37d728bec0b04399518cf13bcc3cfeb068b,onchain_oracle
1780063252.573791,DOWN,Down,true,0.5,50.0000,24.12500000,false,0xe11788f9c550cf5c0910e8fd5281d3a94d0fea6cbbdcb8477d46d92304c7acd3,onchain_oracle
1779981331.393701,DOWN,Down,true,0.49,51.0204,25.12790414,false,0xf565ff3778b67fa876b0ffe78b403fe0dccf38057ae08ff088c49be51d76fe30,onchain_oracle
1779499848.184360,UP,Up,true,0.51,49.0196,23.16210414,false,0xf5d5274becf4a045c9dad1e5c86d03211bfeb7f208cbc8e3c1e6e22f9f674dd9,onchain_oracle
1779811241.400558,DOWN,Down,true,0.5,50.0000,24.12500000,false,0xf82beb42e507cdec76fd43fe8b4b3472113330d3987573fa19d55a999e123425,onchain_oracle
1779900334.777931,DOWN,Up,false,0.5,50.0000,-25.00000,false,0xfc417a8b68a21c2ed411602d73517114d48d20abe89d433a331cd2dc20e2abc6,onchain_oracle
1780041625.246042,DOWN,Up,false,0.5,50.0000,-25.00000,false,0xfe8e434f9e7bda02c0fb96ecc5234bb91bd27e9d5c46341f69189563c0be9222,onchain_oracle
1780487489.651681,UP,Up,true,0.51,49.0196,23.1621041372,false,0xd57ec4a3cf2b97a99baf82094bd43452841aefd8c21224f14d739451e2494130,onchain_oracle
1780487409.354246,UP,Up,true,0.51,49.0196,23.1621041372,false,0xd57ec4a3cf2b97a99baf82094bd43452841aefd8c21224f14d739451e2494130,onchain_oracle
1780481777.376747,DOWN,Up,false,0.508,50.0000,-25.4000000,false,0xd57ec4a3cf2b97a99baf82094bd43452841aefd8c21224f14d739451e2494130,onchain_oracle
1780452309.860299,DOWN,Up,false,0.51,49.0196,-24.999996,false,0xa43a5efa496544eb7c76a2a55870feb82c167f6fe41432a2514ee8ca29093a7c,onchain_oracle
1780444859.706317,DOWN,Up,false,0.5,50.0000,-25.00000,false,0x40cef9de18161d2ad3b83128dfc79bbe77143d723f503338d584a8ec5dddcec1,onchain_oracle
1780443022.725715,DOWN,Down,true,0.48,52.0833,26.1733165824,false,0xc3dae34fea6af274ebe53d41ec2499583464221b78c4c733e7020bbadd54b3c1,onchain_oracle
1780442174.367839,DOWN,Up,false,0.5,50.0000,-25.00000,false,0x35ff131348f908d3f593c607d9df6a72eec3c54c8a20f3e4c9d324f7d0e08357,onchain_oracle
1780439445.712412,DOWN,Up,false,0.5,50.0000,-25.00000,false,0xc66ab9e0bac6f848b735a462707063f34b5a3c13afbb5825a3d9e01bd945d72e,onchain_oracle
1780430423.560232,DOWN,Up,false,0.48,52.0833,-24.999984,false,0x52f99da6fc941efeee52dceab79617fb071ce9d34579012765ea035eb9a08c9d,onchain_oracle
1780429523.180355,DOWN,Down,true,0.5,50.0000,24.12500000,false,0xd19fee95574d293017145376ebb9d8e995b3d9d85de73ff1fcc67c348add7864,onchain_oracle
1780425070.256426,UP,Down,false,0.51,49.0196,-24.999996,false,0xc3ce8450a3e7fa65db6cf6790e0f3557f7cc18df40d26ea4eb2521862fd40137,onchain_oracle
1780416956.712507,UP,Up,true,0.5,50.0000,24.12500000,false,0xc2c167acee9ae6b73d19f0eb434a7a0faf9180b9b99d572c48497bae55402431,onchain_oracle
1780415153.170272,DOWN,Down,true,0.51,49.0196,23.1621041372,false,0x40e2cf0e3b2bd8f6f7d01878ed8d8eaf7f0f09fd1d685cafe5d677650e1d3563,onchain_oracle
1780414281.220144,DOWN,Down,true,0.51,49.0196,23.1621041372,false,0xe8865168ff0246e43cb36f9efe94a444e7562e915bed0f6e6fbe61097ac54a46,onchain_oracle
1780413345.778082,UP,Down,false,0.5,50.0000,-25.00000,false,0xffbea5a5b5100c7fadab1128653af06acd30de37845be2d2c847a4dd31318405,onchain_oracle
1780410652.271338,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x524c4286253c8d17913aa6292f9dfa4d32ebdd4603621267aebde710d7ecbf27,onchain_oracle
1780392621.472057,DOWN,Down,true,0.47,53.1914,27.2639435582,false,0x452b502b72b3f2f3782e23d73cab475764d457c9342d90a62e5fde9b5bf61099,onchain_oracle
1780385489.176413,DOWN,Down,true,0.48,52.0833,26.1733165824,false,0x5d8ed3ab229cc8b35a47ab6b8200d49565d9833611a9293fb925c84cf0c4bf55,onchain_oracle
1780379140.121791,DOWN,Down,true,0.5,50.0000,24.12500000,false,0xb044fecd86f19bbeed273c0245b569fecefef26904c82346dfb31bf264c32ca4,onchain_oracle
1780368322.319759,DOWN,Down,true,0.48,52.0833,26.1733165824,false,0xbdafa08190c47baa9126ce65ace6c319199c3a55fb43c25a1b203caf11b77829,onchain_oracle
1780366534.273885,DOWN,Down,true,0.48,52.0833,26.1733165824,false,0xf30205797247f15c4bcca4a4846371dfeba40866227eae567592d937ad36447e,onchain_oracle
1780365626.468448,DOWN,Down,true,0.5,50.0000,24.12500000,false,0xd9dbb375e9d9442a62481cad510e4c916d233d4e7cef2ebe1a00687d217688f3,onchain_oracle
1780344951.780556,DOWN,Down,true,0.504764,50.0000,23.886879434936000000,false,0x44cf7e25af025993aa216fd9be1ea2ab46c2b2cedaaa2bdaad2ad646248fafa5,onchain_oracle
1780341341.010840,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x438ab5991ec83774295ac120ca0000aa95f82d211b897a1b900094a3b8df38fa,onchain_oracle
1780328730.587980,DOWN,Up,false,0.47,53.1914,-24.999958,false,0xf6714df318643dc27e7bedcf4d8bb88d8a0b2184746e02df0b501fe6ec328f92,onchain_oracle
1780324252.093576,UP,Down,false,0.5245164791226366596218655395,49.0196,-25.71158800000000000000000000,false,0x791e1c1c288a7226e62aeb861b8f9f23586ee14cecc7d37ae6d1e59bee936d8d,onchain_oracle
