sleeve_id,n_full,n_train,n_held,pnl_train,pnl_held,win_train,win_held,perm_p_train,perm_p_held,ppt_train,ppt_held,verdict,pnl_full
poly_updown_eth_15m_volume_INV_NIGHT,554,421,133,-82.46528582000019,-362.81715432,0.5154394299287411,0.45864661654135336,0.569,0.891,-0.19587953876484607,-2.7279485287218046,NULL,-445.2824401400002
poly_updown_eth_5m_momo_SELL,346,234,112,-144.66275258000002,-330.38041821999997,0.46153846153846156,0.42857142857142855,0.6465,0.897,-0.6182168913675214,-2.949825162678571,NULL,-475.0431708
poly_updown_btc_5m_momo_v2_HEDGE,519,347,172,-495.7682806999998,-13.130407560000037,0.484149855907781,0.5290697674418605,0.872,0.523,-1.4287270337175788,-0.07633957883720952,NULL,-508.89868825999986
poly_updown_eth_5m_momo_HEDGE,353,235,118,-165.1313718799998,-349.8830754,0.46808510638297873,0.5084745762711864,0.6655,0.9215,-0.7026866888510629,-2.9651108084745763,NULL,-515.0144472799998
poly_updown_eth_5m_momo_v2_SELL,333,234,99,-379.0869255745736,-157.76362684,0.44017094017094016,0.40404040404040403,0.865,0.753,-1.6200295964725369,-1.5935719882828283,NULL,-536.8505524145736
poly_updown_sol_15m_sniper,390,305,85,-768.65323106,140.75864744,0.4721311475409836,0.5764705882352941,0.9795,0.2405,-2.520174528065574,1.6559840875294118,NULL,-627.89458362
poly_updown_sol_5m_sniper,548,460,88,-871.71586458,190.89695763999998,0.49782608695652175,0.5454545454545454,0.978,0.172,-1.8950344882173913,2.169283609545454,NULL,-680.81890694
poly_updown_eth_5m_momo_v2_HEDGE,330,231,99,-521.6557262199999,-169.59897804,0.47186147186147187,0.43434343434343436,0.93,0.779,-2.2582498970562765,-1.7131209903030302,NULL,-691.2547042599999
poly_updown_btc_15m_volume_INV_NIGHT,553,420,133,-291.01172169999984,-405.18287168,0.5,0.45112781954887216,0.729,0.9105,-0.6928850516666663,-3.046487756992481,NULL,-696.1945933799998
poly_updown_eth_5m_momo_v2_HOLD,316,225,91,-456.45222676000003,-252.06011208000004,0.4666666666666667,0.45054945054945056,0.8885,0.862,-2.028676563377778,-2.769891341538462,NULL,-708.5123388400001
poly_updown_sol_5m_sniper_INV,518,432,86,-363.58895038,-358.5519844000001,0.5115740740740741,0.4418604651162791,0.7785,0.941,-0.8416410888425927,-4.169209120930233,NULL,-722.1409347800002
poly_updown_btc_5m_momo_HOLD,524,359,165,-387.68265177999984,-517.7691775000001,0.48467966573816157,0.43636363636363634,0.7825,0.941,-1.0798959659610023,-3.1379950151515157,NULL,-905.4518292799999
poly_updown_sol_5m_volume_INV_NIGHT,1293,1069,224,-566.5458498200003,-396.9528374000001,0.5163704396632367,0.49107142857142855,0.774,0.8565,-0.5299774086248833,-1.7721108812500004,NULL,-963.4986872200004
poly_updown_btc_5m_momo_SELL,551,366,185,-540.3440546200002,-559.2910076200001,0.45901639344262296,0.4,0.883,0.974,-1.4763498760109295,-3.023194635783784,NULL,-1099.6350622400003
poly_updown_eth_15m_sniper,366,245,121,-751.4003090999997,-428.59480207999997,0.45714285714285713,0.48760330578512395,0.991,0.9715,-3.066940037142856,-3.5421058023140493,FADE_RIGOROUS,-1179.9951111799996
poly_updown_btc_5m_momo_HEDGE,544,367,177,-578.1531085,-611.1392049799999,0.48501362397820164,0.4519774011299435,0.909,0.969,-1.575349069482289,-3.4527638699435026,NULL,-1189.2923134799998
poly_updown_btc_5m_volume_INV_NIGHT,1646,1250,396,-814.6084008999997,-406.33707686,0.4992,0.49242424242424243,0.8305,0.801,-0.6516867207199997,-1.0261037294444446,NULL,-1220.9454777599997
poly_updown_eth_5m_volume_INV_NIGHT,1440,1169,271,-931.96724486,-344.77258448,0.5072711719418306,0.4944649446494465,0.864,0.8135,-0.7972345978272027,-1.2722235589667896,NULL,-1276.7398293400001
poly_updown_sol_15m_volume_INV_NIGHT,538,409,129,-1165.6043473,-141.74023648000005,0.4669926650366748,0.49612403100775193,0.9935,0.694,-2.8498883797066012,-1.0987615231007757,FADE_RIGOROUS,-1307.34458378
poly_updown_btc_5m_sniper,647,429,218,-908.1542091,-566.27633886,0.5454545454545454,0.48623853211009177,0.9995,0.995,-2.1169095783216783,-2.597597884678899,FADE_RIGOROUS,-1474.43054796
