slug,fire_us,slot_start_us,outcome,vwap_down,shares,won_down,pnl_down,book_lag_s,ts,date
btc-updown-15m-1777635900,1777635120000000,1777635900000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,40.228,2026-05-01 11:32:00+00:00,2026-05-01
btc-updown-15m-1777874400,1777873620000000,1777874400000000,Down,0.5102040720846048,49.000000916994566,1,23.52000089865468,62.124,2026-05-04 05:47:00+00:00,2026-05-04
btc-updown-15m-1777875300,1777874520000000,1777875300000000,Down,0.503952565445194,49.6078435039117,1,24.115686633833466,414.952,2026-05-04 06:02:00+00:00,2026-05-04
btc-updown-15m-1777876200,1777875420000000,1777876200000000,Up,0.47999998927116394,52.083334497486575,0,-25.0,4.18,2026-05-04 06:17:00+00:00,2026-05-04
btc-updown-15m-1777877100,1777876320000000,1777877100000000,Up,0.4699999988079071,53.19148949661531,0,-25.0,65.805,2026-05-04 06:32:00+00:00,2026-05-04
btc-updown-15m-1777878000,1777877220000000,1777878000000000,Up,0.5093846543914691,49.078824390314594,0,-25.000000000000004,39.123,2026-05-04 06:47:00+00:00,2026-05-04
btc-updown-15m-1777879800,1777879020000000,1777879800000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,69.217,2026-05-04 07:17:00+00:00,2026-05-04
btc-updown-15m-1777880700,1777879920000000,1777880700000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,101.021,2026-05-04 07:32:00+00:00,2026-05-04
btc-updown-15m-1777881600,1777880820000000,1777881600000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,66.477,2026-05-04 07:47:00+00:00,2026-05-04
btc-updown-15m-1777883400,1777882620000000,1777883400000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,64.344,2026-05-04 08:17:00+00:00,2026-05-04
btc-updown-15m-1777884300,1777883520000000,1777884300000000,Down,0.5099999904632568,49.01960875977925,1,23.539216584583667,152.672,2026-05-04 08:32:00+00:00,2026-05-04
btc-updown-15m-1777889700,1777888920000000,1777889700000000,Down,0.5,50.0,1,24.5,98.98,2026-05-04 10:02:00+00:00,2026-05-04
btc-updown-15m-1777890600,1777889820000000,1777890600000000,Up,0.4870775383838947,51.3265302336648,0,-25.0,99.31,2026-05-04 10:17:00+00:00,2026-05-04
btc-updown-15m-1777892400,1777891620000000,1777892400000000,Up,0.5,50.0,0,-25.0,77.839,2026-05-04 10:47:00+00:00,2026-05-04
btc-updown-15m-1777894200,1777893420000000,1777894200000000,Down,0.518262765768672,48.2380785409516,1,22.773316970132562,82.583,2026-05-04 11:17:00+00:00,2026-05-04
btc-updown-15m-1777895100,1777894320000000,1777895100000000,Up,0.4990019969578551,50.09999990463257,0,-25.0,89.92,2026-05-04 11:32:00+00:00,2026-05-04
btc-updown-15m-1777961700,1777960920000000,1777961700000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,83.724,2026-05-05 06:02:00+00:00,2026-05-05
btc-updown-15m-1777965300,1777964520000000,1777965300000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,17.186,2026-05-05 07:02:00+00:00,2026-05-05
btc-updown-15m-1777966200,1777965420000000,1777966200000000,Down,0.5,50.0,1,24.5,106.491,2026-05-05 07:17:00+00:00,2026-05-05
btc-updown-15m-1777967100,1777966320000000,1777967100000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,102.142,2026-05-05 07:32:00+00:00,2026-05-05
btc-updown-15m-1777974300,1777973520000000,1777974300000000,Down,0.503952565445194,49.6078435039117,1,24.115686633833466,76.327,2026-05-05 09:32:00+00:00,2026-05-05
btc-updown-15m-1777975200,1777974420000000,1777975200000000,Up,0.47999998927116394,52.083334497486575,0,-25.0,105.943,2026-05-05 09:47:00+00:00,2026-05-05
btc-updown-15m-1777976100,1777975320000000,1777976100000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,18.851,2026-05-05 10:02:00+00:00,2026-05-05
btc-updown-15m-1777977000,1777976220000000,1777977000000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,87.122,2026-05-05 10:17:00+00:00,2026-05-05
btc-updown-15m-1777977900,1777977120000000,1777977900000000,Up,0.5191444317426823,48.15615553474997,0,-25.0,81.21,2026-05-05 10:32:00+00:00,2026-05-05
btc-updown-15m-1777978800,1777978020000000,1777978800000000,Up,0.5,50.0,0,-25.0,83.939,2026-05-05 10:47:00+00:00,2026-05-05
btc-updown-15m-1777979700,1777978920000000,1777979700000000,Down,0.5227979144755599,47.819624577268115,1,22.363232085722753,103.149,2026-05-05 11:02:00+00:00,2026-05-05
btc-updown-15m-1777980600,1777979820000000,1777980600000000,Up,0.5299999713897705,47.1698138670551,0,-25.000000000000004,95.826,2026-05-05 11:17:00+00:00,2026-05-05
