asset,tf,fire_offset_s,n,wr,pnl_per,sum_pnl,rule
BTC,15m,720,238,66.38655462184873,-0.19377493450871486,-46.118434413074134,pmE
ETH,15m,480,73,46.57534246575342,-0.6950484369946524,-50.73853590060962,pmD
ETH,15m,60,51,35.294117647058826,-1.223316396670693,-62.389136230205345,pmG
SOL,5m,180,200,41.5,-0.32363069480167483,-64.72613896033496,pmD
ETH,15m,600,228,71.49122807017544,-0.3141957146949756,-71.63662295045444,pmE
ETH,5m,240,453,49.88962472406181,-0.15841357835344666,-71.76135099411134,pmE
ETH,15m,60,1328,38.10240963855422,-0.05627836919185416,-74.73767428678232,pmB_strong
BTC,15m,480,85,58.82352941176471,-0.9455318136135966,-80.37020415715571,pmD
SOL,15m,480,336,58.92857142857143,-0.2598147188734449,-87.2977455414775,pmE
ETH,15m,120,65,35.38461538461539,-1.4601088480808677,-94.9070751252564,pmC
BTC,5m,120,123,81.30081300813008,-0.7942191739721525,-97.68895839857475,pmE
SOL,15m,600,346,59.53757225433526,-0.282601372236423,-97.78007479380237,pmE
SOL,5m,180,638,60.18808777429467,-0.15427717827167423,-98.42883973732816,pmE
SOL,15m,720,52,42.30769230769231,-1.927093722233504,-100.20887355614221,pmD
SOL,15m,240,52,32.69230769230769,-1.9303621148625534,-100.37882997285277,pmD
BTC,15m,240,78,50.0,-1.5690132488253823,-122.38303340837982,pmD
BTC,15m,60,2096,42.93893129770993,-0.0585070875608302,-122.6308555275001,pmB
BTC,5m,300,73,21.91780821917808,-1.7388026305628168,-126.93259203108562,pmE
SOL,15m,240,338,52.071005917159766,-0.3896931656154693,-131.7162899780286,pmE
ETH,15m,240,64,46.875,-2.1661229634411483,-138.6318696602335,pmD
ETH,5m,150,262,57.25190839694656,-0.5362783918217278,-140.50493865729268,pmE
SOL,5m,30,161,36.64596273291926,-0.9009861371033756,-145.05876807364348,pmE
ETH,15m,720,302,61.258278145695364,-0.48146833387438404,-145.40343683006398,pmE
BTC,5m,180,1103,64.64188576609247,-0.13379715769404396,-147.5782649365305,pmD
BTC,15m,60,58,39.6551724137931,-2.56101070635527,-148.53862096860564,pmG
BTC,15m,600,84,59.523809523809526,-1.7731077244765128,-148.94104885602707,pmD
SOL,5m,120,366,51.91256830601093,-0.41593706402373115,-152.2329654326856,pmE
BTC,5m,180,164,60.97560975609756,-0.9500319995535452,-155.80524792678142,pmG
ETH,15m,480,73,26.027397260273972,-2.188627610129504,-159.7698155394538,pmC
SOL,15m,120,296,43.58108108108108,-0.5418223948019196,-160.3794288613682,pmE
BTC,15m,360,60,51.66666666666667,-2.673626918571341,-160.41761511428044,pmG
SOL,15m,360,297,59.59595959595959,-0.5463489763157079,-162.26564596576526,pmE
ETH,15m,240,816,33.21078431372549,-0.20543814224300413,-167.63752407029136,pmF
BTC,15m,240,58,46.55172413793103,-2.9984172148441375,-173.90819846095997,pmG
SOL,5m,210,180,43.333333333333336,-1.005906072805751,-181.06309310503516,pmD
SOL,5m,30,84,16.666666666666664,-2.165783301923876,-181.9257973616056,pmC
SOL,5m,120,178,34.831460674157306,-1.1202688550378443,-199.4078561967363,pmD
ETH,15m,360,76,48.68421052631579,-2.805615660581515,-213.2267902041951,pmD
ETH,15m,600,72,38.88888888888889,-2.9702281241511983,-213.85642493888628,pmC
SOL,5m,210,694,51.15273775216138,-0.31001888663598853,-215.15310732537603,pmE
ETH,15m,840,383,39.947780678851174,-0.5705090498402398,-218.50496608881184,pmE
BTC,15m,60,84,42.857142857142854,-2.6330373812113623,-221.17514002175443,pmD
BTC,5m,120,6241,64.49286973241468,-0.03843583936798156,-239.87807349557292,pmA
BTC,15m,360,86,55.81395348837209,-2.797142732710142,-240.55427501307219,pmD
BTC,15m,600,56,57.14285714285714,-4.484942496691406,-251.15677981471876,pmG
BTC,5m,240,147,58.50340136054422,-1.7574346849530962,-258.34289868810515,pmG
BTC,5m,120,167,56.287425149700596,-1.6362202095959184,-273.24877500251836,pmG
ETH,15m,720,64,42.1875,-4.393193893181946,-281.16440916364456,pmC
ETH,5m,90,143,66.43356643356644,-2.060112108594138,-294.5960315289617,pmE
ETH,5m,90,95,43.15789473684211,-3.165564653439186,-300.7286420767227,pmG
ETH,5m,270,93,37.634408602150536,-3.2434373190863885,-301.63967067503415,pmG
BTC,15m,120,86,39.53488372093023,-3.648115699872204,-313.73795018900955,pmC
ETH,5m,240,95,46.31578947368421,-3.3049909604307413,-313.9741412409204,pmG
BTC,15m,120,1268,56.54574132492114,-0.24924992887168024,-316.04890980929054,pmA_strong
BTC,15m,840,64,46.875,-4.958123083657954,-317.31987735410905,pmD
ETH,5m,120,93,50.53763440860215,-3.580731677145221,-333.00804597450554,pmG
SOL,5m,240,149,38.25503355704698,-2.292754000384979,-341.62034605736187,pmD
ETH,15m,60,104,50.0,-3.374868924958331,-350.98636819566644,pmE
BTC,15m,600,84,36.904761904761905,-4.223806540700921,-354.79974941887735,pmC
SOL,15m,720,52,19.230769230769234,-7.055112486635249,-366.86584930503295,pmC
SOL,15m,360,1954,48.15762538382805,-0.18803888869999927,-367.4279885197986,pmA
ETH,15m,120,2086,38.39884947267498,-0.17738214645709968,-370.0191575095099,pmB
SOL,5m,270,138,36.231884057971016,-2.9305652573866015,-404.418005519351,pmD
ETH,15m,600,72,48.61111111111111,-5.655074385624017,-407.16535576492925,pmD
SOL,5m,150,193,39.89637305699482,-2.129496718797748,-410.99286672796535,pmD
BTC,5m,60,168,48.80952380952381,-2.4693249429136315,-414.8465904094901,pmG
BTC,5m,30,151,41.72185430463576,-2.806565455719081,-423.79138381358126,pmG
SOL,15m,240,1698,47.17314487632509,-0.2499111410718287,-424.34911753996516,pmA_strong
BTC,5m,210,159,55.9748427672956,-2.7387908897936355,-435.4677514771881,pmG
SOL,5m,60,170,21.764705882352942,-2.5867208682734035,-439.7425476064786,pmC
BTC,5m,120,1117,60.07162041181737,-0.4417184603141697,-493.3995201709276,pmD
ETH,5m,90,233,48.06866952789699,-2.13019811573925,-496.33616096724535,pmD
ETH,15m,720,64,43.75,-7.76666860587306,-497.06679077587586,pmD
ETH,5m,30,139,35.97122302158273,-3.6205046058657375,-503.2501402153375,pmC
BTC,15m,60,616,40.0974025974026,-0.8440415021829184,-519.9295653446777,pmF
BTC,5m,300,120,11.666666666666666,-4.425213410060434,-531.025609207252,pmG
SOL,5m,120,178,22.47191011235955,-3.083003875759388,-548.774689885171,pmC
ETH,15m,840,55,30.909090909090907,-10.197017692132322,-560.8359730672777,pmD
ETH,15m,120,1448,37.70718232044199,-0.3947688953164337,-571.625360418196,pmB_strong
BTC,5m,270,139,45.32374100719424,-4.202278832064918,-584.1167576570236,pmG
SOL,15m,360,1648,49.51456310679612,-0.35926964485263335,-592.0763747171397,pmA_strong
BTC,15m,600,1682,78.00237812128418,-0.352384253925462,-592.7103151026271,pmA_strong
SOL,5m,240,149,18.79194630872483,-3.9843715632017878,-593.6713629170664,pmC
BTC,5m,150,4255,74.28907168037603,-0.13976819167975965,-594.7136555973773,pmA_strong
ETH,5m,270,214,44.85981308411215,-2.7805360451153143,-595.0347136546773,pmD
ETH,15m,60,2101,39.0290337934317,-0.28322905466457665,-595.0642438502756,pmB
ETH,5m,60,216,37.03703703703704,-2.807975583356304,-606.5227260049617,pmC
BTC,5m,30,1121,32.47100802854594,-0.541952293514585,-607.5285210298497,pmF
SOL,15m,240,1983,45.89006555723651,-0.310514858660944,-615.750964724652,pmA
SOL,5m,150,193,22.279792746113987,-3.2080316154887916,-619.1501017893368,pmC
SOL,5m,300,102,10.784313725490197,-6.0759494943131145,-619.7468484199377,pmD
ETH,15m,360,1603,58.951965065502186,-0.40847693451504874,-654.7885260276231,pmA_strong
ETH,5m,300,78,8.974358974358974,-8.411389252931823,-656.0883617286821,pmG
SOL,15m,60,918,31.263616557734203,-0.7228076038251655,-663.5373803115019,pmF
ETH,5m,120,240,50.416666666666664,-2.774877895042118,-665.9706948101083,pmD
ETH,15m,480,1615,61.54798761609908,-0.4378695197562796,-707.1592744063915,pmA_strong
ETH,5m,240,236,52.96610169491526,-3.0075560946539666,-709.7832383383361,pmD
ETH,5m,120,240,34.166666666666664,-3.02393128318844,-725.7435079652256,pmC
SOL,15m,480,1867,50.72308516336369,-0.4133693161623639,-771.7605132751333,pmA
BTC,15m,720,72,27.77777777777778,-10.957051334631267,-788.9076960934511,pmC
SOL,15m,480,1637,52.10751374465485,-0.49818333702118867,-815.5261227036858,pmA_strong
BTC,5m,90,1118,53.9355992844365,-0.7359632470929701,-822.8069102499406,pmD
ETH,5m,90,233,33.047210300429185,-3.5480041597609215,-826.6849692242947,pmC
SOL,15m,120,1661,41.300421432871765,-0.513569450399866,-853.0388571141774,pmA_strong
ETH,15m,360,2078,55.72666025024061,-0.42072628306223453,-874.2692162033234,pmA
SOL,5m,270,138,13.043478260869565,-6.4366697586746175,-888.2604266970973,pmC
BTC,15m,360,1442,67.68377253814147,-0.6163968344785006,-888.8442353179978,pmA_strong
SOL,15m,840,1828,56.564551422319475,-0.5051121042083149,-923.3449264927996,pmA
ETH,5m,30,2858,51.78446466060181,-0.3273310441033828,-935.5121240474681,pmA_strong
SOL,15m,840,1699,58.505002942907595,-0.5588583943962221,-949.5004120791813,pmA_strong
BTC,5m,60,1115,48.25112107623318,-0.8658762647669208,-965.4520352151167,pmD
BTC,5m,90,6249,60.10561689870379,-0.15465606648264857,-966.4457594500709,pmA
BTC,15m,600,2091,72.64466762314682,-0.4800890761728017,-1003.8662582773284,pmA
ETH,5m,240,236,32.20338983050847,-4.407912907038801,-1040.267446061157,pmC
ETH,15m,360,814,28.746928746928745,-1.3156835986082496,-1070.9664492671152,pmF
BTC,5m,30,2072,32.04633204633205,-0.5353795439250776,-1109.3064150127607,pmB_strong
BTC,15m,120,628,36.146496815286625,-1.7744893913288435,-1114.3793377545137,pmF
SOL,5m,180,200,18.0,-5.575585110268649,-1115.1170220537297,pmC
BTC,5m,180,1103,24.750679963735266,-1.0127064983841865,-1117.0152677177578,pmC
BTC,5m,30,1050,42.095238095238095,-1.1243971875197776,-1180.6170468957664,pmD
BTC,5m,30,6245,38.11048839071257,-0.18973209635952168,-1184.876941765213,pmB
SOL,15m,120,1956,41.15541922290388,-0.6067553260134962,-1186.8134176823987,pmA
BTC,5m,60,6240,55.84935897435898,-0.19200507612813053,-1198.1116750395345,pmA
SOL,5m,210,5317,49.012601090840704,-0.225868473222297,-1200.9426721229531,pmA_strong
ETH,15m,480,2057,58.483228001944575,-0.5857805932050829,-1204.9506802228555,pmA
ETH,5m,300,168,10.119047619047619,-7.261957142558081,-1220.0087999497575,pmD
ETH,5m,90,3701,60.87543907052147,-0.33495880733404654,-1239.6825459433062,pmA_strong
BTC,5m,240,1065,20.187793427230048,-1.1697812007060706,-1245.8169787519653,pmC
SOL,5m,210,180,15.555555555555555,-7.021637210085765,-1263.8946978154377,pmC
ETH,5m,210,237,29.957805907172997,-5.389232859576204,-1277.2481877195603,pmC
SOL,5m,180,5232,47.477064220183486,-0.24687465025253635,-1291.6481701212701,pmA_strong
SOL,15m,60,1616,31.806930693069308,-0.8023180187378653,-1296.5459182803904,pmB_strong
BTC,5m,180,4547,74.99450186936441,-0.2882144148791596,-1310.5109444555387,pmA_strong
SOL,15m,720,1665,58.25825825825825,-0.7985907712253824,-1329.6536340902617,pmA_strong
ETH,5m,30,1482,31.24156545209177,-0.9062755294743047,-1343.1003346809196,pmF
ETH,5m,120,4032,64.16170634920636,-0.33461321758778173,-1349.1604933139358,pmA_strong
SOL,15m,600,1683,54.248366013071895,-0.8631065975730982,-1452.6084037155242,pmA_strong
SOL,5m,300,102,2.941176470588235,-14.45350565169371,-1474.2575764727585,pmC
SOL,15m,600,1909,52.383446830801475,-0.785158301265481,-1498.8671971158033,pmA
BTC,5m,90,1118,33.54203935599284,-1.3428942818569918,-1501.355807116117,pmC
ETH,5m,150,242,27.27272727272727,-6.231298856835608,-1507.974323354217,pmC
SOL,5m,180,6284,44.49395289624443,-0.24441391761117284,-1535.8970582686102,pmA
SOL,15m,60,2037,32.84241531664212,-0.7637073676801066,-1555.6719079643772,pmB
ETH,15m,600,1680,66.48809523809524,-0.92640178911434,-1556.3550057120913,pmA_strong
SOL,5m,150,5009,45.09882212018367,-0.31236657856166894,-1564.6441920153998,pmA_strong
BTC,15m,120,1268,37.69716088328076,-1.2403016560745572,-1572.7024999025384,pmB_strong
ETH,15m,240,2082,33.861671469740635,-0.7586578228865789,-1579.5255872498574,pmB
ETH,5m,150,6310,61.014263074484944,-0.2549043131208435,-1608.4462157925225,pmA
BTC,5m,30,2072,55.74324324324324,-0.7923242251366873,-1641.695794483216,pmA_strong
BTC,5m,60,1115,39.73094170403588,-1.4880502746170303,-1659.1760561979888,pmC
SOL,15m,720,1855,55.63342318059299,-0.8954490063947879,-1661.0579068623315,pmA
ETH,15m,240,1564,53.70843989769821,-1.0644655638587182,-1664.8241418750351,pmA_strong
BTC,5m,180,6228,68.36865767501605,-0.27189853649474965,-1693.3840852893009,pmA
BTC,15m,360,2102,62.0837297811608,-0.8068710372490228,-1696.0429202974458,pmA
BTC,5m,120,1117,32.05013428827216,-1.5398749371584581,-1720.0403048059977,pmC
BTC,5m,240,1065,58.49765258215962,-1.6267957303440144,-1732.5374528163752,pmD
ETH,15m,120,1448,47.3756906077348,-1.202376203468425,-1741.0407426222796,pmA_strong
BTC,15m,60,1164,51.37457044673539,-1.5153897141086552,-1763.9136272224746,pmA_strong
ETH,5m,150,4313,66.82123811731972,-0.40898417889616917,-1763.9487635791777,pmA_strong
ETH,5m,270,214,21.49532710280374,-8.324605891690823,-1781.465660821836,pmC
BTC,15m,480,818,18.94865525672372,-2.28820597014408,-1871.7524835778572,pmF
ETH,15m,600,2037,63.18114874815905,-0.9303667594484859,-1895.1570889965658,pmA
ETH,15m,240,1564,31.9693094629156,-1.2343228700951931,-1930.480968828882,pmB_strong
SOL,15m,120,865,26.358381502890172,-2.280963313813431,-1973.033266448618,pmF
ETH,15m,60,1328,46.76204819277108,-1.4872896583806736,-1975.1206663295345,pmA_strong
ETH,5m,180,231,22.943722943722943,-8.60341438273308,-1987.3887224113414,pmC
SOL,5m,30,4046,32.92140385565991,-0.5050465986332066,-2043.4185380699537,pmA_strong
BTC,5m,210,4923,73.49177330895796,-0.4204952806125004,-2070.0982664553394,pmA_strong
SOL,5m,120,4830,42.670807453416145,-0.4365359272463765,-2108.4685285999985,pmA_strong
BTC,15m,360,748,26.203208556149733,-2.885248347727192,-2158.1657640999397,pmF
BTC,5m,150,6240,67.11538461538461,-0.3482380545584709,-2173.0054604448583,pmA
ETH,15m,720,1643,66.40292148508826,-1.3305325132299142,-2186.064919236749,pmA_strong
SOL,5m,120,6285,40.36595067621321,-0.3496660378707014,-2197.6510480173583,pmA
SOL,15m,60,1616,38.551980198019805,-1.3989635216505945,-2260.7250509873606,pmA_strong
BTC,15m,240,689,31.059506531204644,-3.327180741139281,-2292.4275306449645,pmF
SOL,5m,210,6250,45.92,-0.37316131770783983,-2332.258235673999,pmA
BTC,5m,210,1097,62.807657247037376,-2.1935216909242183,-2406.2932949438677,pmD
ETH,5m,60,3304,55.690072639225185,-0.7294796409676315,-2410.2007337570544,pmA_strong
SOL,15m,360,857,21.353558926487747,-2.9129191373326817,-2496.3717006941083,pmF
ETH,15m,720,1902,63.30178759200841,-1.328272796275981,-2526.374858516916,pmA
SOL,5m,30,6310,32.01267828843106,-0.4024417894164722,-2539.4076912179394,pmA
ETH,5m,300,168,6.547619047619048,-15.229405070405484,-2558.5400518281212,pmC
SOL,15m,60,2037,38.38978890525283,-1.2637278260049851,-2574.213581572155,pmA
BTC,5m,210,6245,68.35868694955964,-0.4157908743815183,-2596.614010512582,pmA
ETH,15m,120,2086,45.445829338446785,-1.247633603005822,-2602.5636958701443,pmA
BTC,15m,720,1772,71.21896162528216,-1.5299493092650258,-2711.0701760176257,pmA_strong
ETH,5m,60,1760,29.545454545454547,-1.5881078716857024,-2795.069854166836,pmF
SOL,15m,120,1661,27.69416014449127,-1.6866844044873017,-2801.5827958534082,pmB_strong
ETH,15m,480,837,22.22222222222222,-3.3895834556757594,-2837.0813524006107,pmF
ETH,15m,60,2101,45.16896715849595,-1.3570306692792664,-2851.1214361557386,pmA
ETH,5m,120,6309,57.94896180060232,-0.4567715668249749,-2881.7718150987666,pmA
BTC,15m,60,2096,49.76145038167939,-1.3826012233884162,-2897.9321642221203,pmA
SOL,15m,240,912,21.162280701754383,-3.2693305500479486,-2981.629461643729,pmF
ETH,15m,240,2082,51.15273775216138,-1.4368350767910534,-2991.4906298789733,pmA
ETH,15m,840,1550,58.70967741935483,-1.9564745830538017,-3032.5356037333927,pmA_strong
ETH,15m,720,839,13.3492252681764,-3.685005731716332,-3091.7198089100025,pmF
BTC,15m,720,2050,68.34146341463415,-1.5779525069558642,-3234.8026392595216,pmA
SOL,15m,120,1956,28.578732106339466,-1.6717852755970033,-3270.0119990677385,pmB
BTC,15m,360,1442,26.28294036061026,-2.2836784842185875,-3293.064374243203,pmB_strong
SOL,5m,90,4607,37.89884957673107,-0.7160165954044786,-3298.688455028433,pmA_strong
SOL,5m,60,4492,36.798753339269815,-0.747206647593357,-3356.4522609893597,pmA_strong
SOL,5m,240,5411,49.39937165034189,-0.6244965608041554,-3379.1508905112846,pmA_strong
SOL,5m,150,6300,41.82539682539683,-0.5434139502476597,-3423.507886560256,pmA
ETH,5m,90,6307,54.76454732836531,-0.5466413358720406,-3447.6669053449596,pmA
BTC,15m,120,2105,39.47743467933492,-1.6883586805809856,-3553.995022622975,pmB
SOL,5m,60,2500,21.4,-1.447939367650048,-3619.84841912512,pmF
BTC,5m,240,5166,68.9121176926055,-0.7033301966533618,-3633.4037959112675,pmA_strong
BTC,5m,210,1097,23.792160437556973,-3.3127225662008897,-3634.056655122376,pmC
BTC,15m,240,1366,30.96632503660322,-2.6804634374337146,-3661.5130555344545,pmB_strong
BTC,5m,270,1012,43.280632411067195,-3.6331180104685847,-3676.7154265942077,pmD
BTC,15m,360,2102,31.303520456707894,-1.7550945994415472,-3689.2088480261323,pmB
SOL,5m,30,2178,21.90082644628099,-1.696119372949119,-3694.1479942831816,pmF
ETH,15m,840,1729,56.853672643146325,-2.1567530043565557,-3729.0259445324846,pmA
BTC,5m,60,1334,27.511244377811096,-2.81421354577087,-3754.1608700583406,pmF
ETH,5m,60,3304,29.600484261501208,-1.1871794316552549,-3922.440842188962,pmB_strong
BTC,5m,150,1112,26.798561151079138,-3.538422853227133,-3934.726212788572,pmC
BTC,15m,600,875,15.085714285714285,-4.551757005190837,-3982.7873795419823,pmF
ETH,5m,240,5091,67.3934394028678,-0.8086684129076955,-4116.930890113078,pmA_strong
ETH,15m,360,1603,26.699937616968185,-2.5830191550951946,-4140.579705617597,pmB_strong
SOL,5m,90,6301,36.18473258212982,-0.6857508587137807,-4320.9161607555325,pmA
BTC,5m,240,6241,65.45425412594136,-0.6965432230117897,-4347.12625481658,pmA
ETH,5m,60,6307,34.200095132392576,-0.6946825747180343,-4381.362998746642,pmB
SOL,15m,240,1698,22.614840989399294,-2.6229524770408994,-4453.773306015447,pmB_strong
SOL,5m,60,6303,35.42757417102967,-0.7122870321864998,-4489.5451638715085,pmA
SOL,5m,240,6120,46.61764705882353,-0.736370310873255,-4506.5863025443205,pmA
BTC,5m,300,876,7.534246575342466,-5.173016753474299,-4531.562676043485,pmD
ETH,5m,90,1931,24.598653547384774,-2.3494009677266527,-4536.6932686801665,pmF
ETH,15m,360,2078,29.64388835418672,-2.204807026164782,-4581.589000370417,pmB
SOL,15m,240,1983,24.05446293494705,-2.435347700669655,-4829.294490427926,pmB
ETH,5m,240,6193,63.765541740674955,-0.7834118570772137,-4851.669630879184,pmA
SOL,15m,480,848,18.985849056603772,-5.742700969209058,-4869.810421889281,pmF
BTC,15m,240,2100,34.14285714285714,-2.456916455245513,-5159.524556015577,pmB
ETH,5m,30,2858,30.545836249125262,-1.8162503610024334,-5190.843531744955,pmB_strong
SOL,5m,270,5874,42.45829077289752,-0.8884904075226366,-5218.992653787967,pmA
SOL,5m,90,2484,18.115942028985508,-2.1234639256709644,-5274.684391366675,pmF
SOL,15m,360,1648,22.026699029126213,-3.244303847013962,-5346.6127398790095,pmB_strong
SOL,5m,270,5310,44.53860640301318,-1.0075716745196843,-5350.205591699523,pmA_strong
ETH,15m,600,877,17.217787913340935,-6.110643045900632,-5359.033951254854,pmF
ETH,5m,300,426,6.103286384976526,-13.298851341252757,-5665.310671373674,pmE
ETH,5m,30,6308,46.401395053899805,-0.9058749394652187,-5714.2591181466,pmA
BTC,5m,30,6245,50.50440352281825,-0.9160419227698474,-5720.681807697697,pmA
SOL,15m,720,847,10.979929161747345,-6.820667162087476,-5777.105086288092,pmF
ETH,5m,30,6308,35.668991756499686,-0.9206189335908171,-5807.264233090875,pmB
BTC,15m,480,1566,18.837803320561942,-3.8133216069820954,-5971.661636533961,pmB_strong
SOL,5m,30,4046,22.41720217498764,-1.5335548480046484,-6204.762915026808,pmB_strong
BTC,5m,60,2473,27.456530529720986,-2.5228704639559525,-6239.058657363071,pmB_strong
BTC,5m,90,1700,22.470588235294116,-3.8700693018485737,-6579.117813142575,pmF
