offset,direction,gates,n_gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,gate_stack_str
600,DOWN,"['g_rf_with', 'g_rf_strong', 'g_hawkes_imbalance_with']",3,137,0.583941605839416,4.628037187539922,62,0.5483870967741935,-3.2347976829688174,10,0.9,32.21339418496488,25.0,1,1,0.0,2254.937592947542,g_rf_with+g_rf_strong+g_hawkes_imbalance_with
600,DOWN,"['g_rf_strong', 'g_hawkes_imb_loose_with', 'g_hawkes_imbalance_with']",3,139,0.5827338129496403,4.407928158840663,63,0.5555555555555556,-3.024609730915415,10,0.9,32.21339418496488,25.0,1,1,0.0,2254.937592947542,g_rf_strong+g_hawkes_imb_loose_with+g_hawkes_imbalance_with
600,DOWN,"['g_hawkes_imbalance_with', 'g_rf_with']",2,149,0.5570469798657718,3.967825532267741,69,0.5217391304347826,-1.9246811106182302,10,0.9,32.21339418496488,25.0,1,1,0.0,2254.937592947542,g_hawkes_imbalance_with+g_rf_with
600,DOWN,"['g_hawkes_imbalance_with', 'g_rf_strong']",2,139,0.5827338129496403,4.407928158840663,63,0.5555555555555556,-3.024609730915415,10,0.9,32.21339418496488,25.0,1,1,0.0,2254.937592947542,g_hawkes_imbalance_with+g_rf_strong
600,DOWN,"['g_imb1_strong_with', 'g_ribbon_slope_with']",2,175,0.5771428571428572,1.1253485152213587,59,0.559322033898305,-2.6144551642401783,12,0.8333333333333334,31.720252889350856,50.0,2,1,0.0,2664.5012427054717,g_imb1_strong_with+g_ribbon_slope_with
600,DOWN,"['g_mp_skew_with', 'g_ribbon_slope_with', 'g_imb1_strong_with']",3,175,0.5771428571428572,1.1253485152213587,59,0.559322033898305,-2.6144551642401783,12,0.8333333333333334,31.720252889350856,50.0,2,1,0.0,2664.5012427054717,g_mp_skew_with+g_ribbon_slope_with+g_imb1_strong_with
600,DOWN,"['g_mp_skew_strong_with', 'g_ribbon_slope_with', 'g_imb1_strong_with']",3,175,0.5771428571428572,1.1253485152213587,59,0.559322033898305,-2.6144551642401783,12,0.8333333333333334,31.720252889350856,50.0,2,1,0.0,2664.5012427054717,g_mp_skew_strong_with+g_ribbon_slope_with+g_imb1_strong_with
600,BOTH,"['g_rf_strong', 'g_imb5_with', 'g_hawkes_imb_strong_with']",3,98,0.6428571428571429,5.831544698196819,53,0.5471698113207547,-3.9561232817903775,12,0.6666666666666666,31.571442868262064,46.339080614116924,1,1,0.0,2652.0012009340135,g_rf_strong+g_imb5_with+g_hawkes_imb_strong_with
600,BOTH,"['g_rf_with', 'g_imb5_with', 'g_hawkes_imb_strong_with']",3,114,0.5877192982456141,4.014166365210662,56,0.5357142857142857,-4.577386155234321,12,0.6666666666666666,31.571442868262064,46.339080614116924,1,1,0.0,2652.0012009340135,g_rf_with+g_imb5_with+g_hawkes_imb_strong_with
600,DOWN,"['g_imb1_strong_with', 'g_mfi_with']",2,161,0.6273291925465838,3.7931085993781317,66,0.6060606060606061,-0.4334847781505664,10,0.7,30.973871809263745,50.0,2,1,0.0,2168.171026648462,g_imb1_strong_with+g_mfi_with
600,BOTH,"['g_imb5_strong_with', 'g_tr_above_cloud']",2,209,0.6076555023923444,1.3431502265381225,83,0.5662650602409639,-1.9040937160469602,11,0.8181818181818182,30.84080306108552,25.0,1,1,0.0,2374.741835703585,g_imb5_strong_with+g_tr_above_cloud
600,BOTH,"['g_tr_above_ema200', 'g_tr_above_cloud', 'g_imb5_strong_with']",3,192,0.6302083333333334,2.480821193133841,78,0.5769230769230769,-1.5185831420177465,11,0.8181818181818182,30.84080306108552,25.0,1,1,0.0,2374.741835703585,g_tr_above_ema200+g_tr_above_cloud+g_imb5_strong_with
600,BOTH,"['g_tr_above_cloud', 'g_imb5_with', 'g_imb5_strong_with']",3,209,0.6076555023923444,1.3431502265381225,83,0.5662650602409639,-1.9040937160469602,11,0.8181818181818182,30.84080306108552,25.0,1,1,0.0,2374.741835703585,g_tr_above_cloud+g_imb5_with+g_imb5_strong_with
600,DOWN,"['g_queue_top_high', 'g_rf_with']",2,205,0.6487804878048781,1.757236902513049,71,0.6338028169014085,-2.025908502822941,12,0.8333333333333334,30.345393235789828,25.0,1,1,0.0,2549.0130318063457,g_queue_top_high+g_rf_with
600,DOWN,"['g_queue_top_high', 'g_rf_strong']",2,188,0.6542553191489362,1.2839309077148697,68,0.6323529411764706,-2.32106557147555,12,0.8333333333333334,30.345393235789828,25.0,1,1,0.0,2549.0130318063457,g_queue_top_high+g_rf_strong
600,DOWN,"['g_queue_top_high', 'g_rf_with', 'g_rf_strong']",3,182,0.6538461538461539,1.306892975316668,67,0.6268656716417911,-2.505067196369148,12,0.8333333333333334,30.345393235789828,25.0,1,1,0.0,2549.0130318063457,g_queue_top_high+g_rf_with+g_rf_strong
600,DOWN,"['g_queue_top_high', 'g_sms_rsi_mid']",2,222,0.6306306306306306,2.3203083962994677,98,0.6530612244897959,1.7232118667744392,12,0.75,30.251579890102395,43.43586134430802,1,1,0.0,2541.132710768601,g_queue_top_high+g_sms_rsi_mid
600,BOTH,"['g_imb5_strong_with', 'g_sms_rsi_mid']",2,206,0.5631067961165048,1.671559991768279,85,0.5294117647058824,-3.697741929665084,10,0.8,30.173350508541084,25.0,1,1,0.0,2112.134535597876,g_imb5_strong_with+g_sms_rsi_mid
600,DOWN,"['g_imb5_with', 'g_queue_top_high']",2,269,0.6022304832713755,1.1161070986873933,98,0.6632653061224489,-0.7135138059665637,13,0.8461538461538461,30.119702753526433,25.0,1,1,0.0,2740.892950570905,g_imb5_with+g_queue_top_high
600,BOTH,"['g_rf_strong', 'g_imb5_with', 'g_hawkes_imbalance_with']",3,138,0.6086956521739131,3.6537879223105385,67,0.5970149253731343,-2.759203159763985,13,0.6923076923076923,30.07111366826023,46.339080614116924,1,1,0.0,2736.471343811681,g_rf_strong+g_imb5_with+g_hawkes_imbalance_with
600,BOTH,"['g_rf_with', 'g_imb5_with', 'g_hawkes_imbalance_with']",3,156,0.5705128205128205,2.367530064799573,74,0.581081081081081,-3.709584331258963,13,0.6923076923076923,30.07111366826023,46.339080614116924,1,1,0.0,2736.471343811681,g_rf_with+g_imb5_with+g_hawkes_imbalance_with
