slug,outcome,taker_side,n_trades,total_size
sol-updown-15m-1777360500,Up,buy,2,9.823600
sol-updown-15m-1777361400,Down,buy,1,9.625600
sol-updown-15m-1777361400,Up,buy,2,9.830800
sol-updown-15m-1777362300,Down,buy,5,31.427274
sol-updown-15m-1777362300,Up,buy,1,18.936276
sol-updown-15m-1777363200,Down,buy,2,10.809920
sol-updown-15m-1777364100,Up,buy,5,45.377840
sol-updown-15m-1777365000,Down,buy,2,9.823600
sol-updown-15m-1777365900,Up,buy,2,10.822370
sol-updown-15m-1777366800,Down,buy,2,10.880560
sol-updown-15m-1777368600,Up,buy,2,9.830800
sol-updown-15m-1777369500,Up,buy,2,106.182708
sol-updown-15m-1777370400,Down,buy,2,11.766720
sol-updown-15m-1777370400,Up,buy,4,20.659800
sol-updown-15m-1777371300,Down,buy,2,28.046856
sol-updown-15m-1777373100,Down,buy,2,10.817840
sol-updown-15m-1777373100,Up,buy,1,5.000000
sol-updown-15m-1777374000,Down,buy,4,33.388000
sol-updown-15m-1777379400,Up,buy,2,17.855270
sol-updown-15m-1777382100,Up,buy,2,4.380000
sol-updown-15m-1777383900,Down,buy,2,11.886790
sol-updown-15m-1777384800,Up,buy,2,10.000000
sol-updown-15m-1777385700,Up,buy,2,11.886790
sol-updown-15m-1777386600,Up,buy,2,10.000000
sol-updown-15m-1777387500,Up,buy,2,1.660000
sol-updown-15m-1777388400,Down,buy,3,8.773582
sol-updown-15m-1777389300,Up,buy,1,5.000000
sol-updown-15m-1777392900,Down,buy,2,11.886790
sol-updown-15m-1777393800,Down,buy,6,56.366068
sol-updown-15m-1777394700,Up,buy,2,11.886790
sol-updown-15m-1777395600,Down,buy,2,10.000000
sol-updown-15m-1777401000,Down,buy,2,10.000000
sol-updown-15m-1777402800,Down,buy,2,20.000000
sol-updown-15m-1777405500,Down,buy,2,35.714280
sol-updown-15m-1777407300,Up,buy,2,10.000000
sol-updown-15m-1777410000,Up,buy,2,10.714280
sol-updown-15m-1777411800,Up,buy,2,11.471696
sol-updown-15m-1777414500,Down,buy,2,11.076920
sol-updown-15m-1777415400,Up,buy,4,22.740582
sol-updown-15m-1777418100,Down,buy,2,10.000000
sol-updown-15m-1777419000,Down,buy,1,11.761729
sol-updown-15m-1777419900,Down,buy,2,11.285712
sol-updown-15m-1777419900,Up,buy,2,13.478258
sol-updown-15m-1777420800,Down,buy,2,11.087716
sol-updown-15m-1777421700,Up,buy,3,36.170209
sol-updown-15m-1777422600,Up,buy,2,11.471696
sol-updown-15m-1777423500,Up,sell,1,5.000000
sol-updown-15m-1777424400,Down,buy,2,11.272724
sol-updown-15m-1777424400,Up,sell,1,4.230000
sol-updown-15m-1777426200,Up,buy,2,11.692304
sol-updown-15m-1777427100,Down,buy,2,3.500000
sol-updown-15m-1777427100,Up,sell,1,5.000000
sol-updown-15m-1777428000,Up,sell,1,5.000000
sol-updown-15m-1777428900,Down,buy,3,38.856000
sol-updown-15m-1777428900,Up,sell,1,5.000000
sol-updown-15m-1777430700,Up,buy,2,12.115382
sol-updown-15m-1777431600,Down,buy,2,26.481478
sol-updown-15m-1777432500,Down,buy,1,100.000000
sol-updown-15m-1777433400,Down,buy,4,62.000000
sol-updown-15m-1777434300,Down,buy,4,21.999992
sol-updown-15m-1777435200,Down,buy,1,2.040815
sol-updown-15m-1777437000,Down,buy,1,11.666665
sol-updown-15m-1777437900,Down,buy,2,9.836060
sol-updown-15m-1777437900,Up,buy,2,6.666664
sol-updown-15m-1777438800,Down,buy,3,77.571420
sol-updown-15m-1777443300,Up,buy,1,5.000000
sol-updown-15m-1777444200,Up,buy,2,20.900000
sol-updown-15m-1777446900,Down,buy,2,27.169808
sol-updown-15m-1777450500,Down,buy,1,5.000000
sol-updown-15m-1777450500,Up,buy,6,322.593390
sol-updown-15m-1777452300,Up,buy,2,11.272724
sol-updown-15m-1777453200,Down,buy,1,3.921567
sol-updown-15m-1777455000,Down,buy,4,58.280696
sol-updown-15m-1777456800,Down,buy,4,16.551407
sol-updown-15m-1777457700,Down,buy,4,16.666664
sol-updown-15m-1777458600,Down,buy,2,6.896546
sol-updown-15m-1777462200,Up,buy,4,86.100000
sol-updown-15m-1777464900,Down,buy,2,10.200000
sol-updown-15m-1777464900,Up,buy,4,20.000000
sol-updown-15m-1777465800,Up,buy,2,11.285712
sol-updown-15m-1777466700,Down,buy,2,10.000000
sol-updown-15m-1777468500,Down,buy,2,68.666664
sol-updown-15m-1777470300,Down,buy,2,12.000000
sol-updown-15m-1777470300,Up,buy,4,10.980000
sol-updown-15m-1777472100,Up,buy,2,11.886790
sol-updown-15m-1777474800,Down,buy,2,10.000000
sol-updown-15m-1777475700,Down,buy,2,12.000000
sol-updown-15m-1777476600,Up,buy,2,10.000000
sol-updown-15m-1777477500,Down,buy,1,6.000000
sol-updown-15m-1777478400,Down,buy,2,23.809520
sol-updown-15m-1777479300,Up,buy,2,7.906975
sol-updown-15m-1777482900,Up,buy,1,5.050000
sol-updown-15m-1777483800,Up,buy,2,11.165712
sol-updown-15m-1777486500,Up,buy,2,11.285712
sol-updown-15m-1777487400,Up,buy,2,11.272724
sol-updown-15m-1777489200,Down,buy,2,11.520000
sol-updown-15m-1777491000,Down,buy,2,11.098036
sol-updown-15m-1777491000,Up,buy,2,10.000000
sol-updown-15m-1777491900,Up,buy,2,11.272724
sol-updown-15m-1777492800,Up,buy,2,4.000000
sol-updown-15m-1777493700,Down,buy,2,10.400000
sol-updown-15m-1777493700,Up,buy,1,16.260000
sol-updown-15m-1777495500,Down,buy,1,10.614034
sol-updown-15m-1777496400,Down,buy,2,11.272724
sol-updown-15m-1777497300,Down,buy,3,98.832262
sol-updown-15m-1777498200,Down,buy,4,20.000000
sol-updown-5m-1776875400,Down,buy,1,4.081631
sol-updown-5m-1776875700,Down,buy,2,28.365000
sol-updown-5m-1776875700,Up,buy,2,10.000000
sol-updown-5m-1776876000,Down,buy,2,18.000000
sol-updown-5m-1776876000,Up,buy,1,3.846152
sol-updown-5m-1776876300,Down,buy,2,7.083332
sol-updown-5m-1776876300,Up,buy,3,27.943393
sol-updown-5m-1776876600,Down,buy,1,2.040815
sol-updown-5m-1776876600,Up,buy,3,58.490562
sol-updown-5m-1776876900,Down,buy,1,2.083332
sol-updown-5m-1776876900,Up,buy,4,199.999997
sol-updown-5m-1776877500,Down,buy,3,20.941175
sol-updown-5m-1776877500,Up,buy,1,5.000000
sol-updown-5m-1776877800,Down,buy,2,22.254900
sol-updown-5m-1776878100,Down,buy,2,41.147764
sol-updown-5m-1776878100,Up,buy,1,5.000000
sol-updown-5m-1776878400,Down,buy,2,85.150941
sol-updown-5m-1776878400,Up,buy,2,13.000000
sol-updown-5m-1776878700,Down,buy,1,1.923075
sol-updown-5m-1776878700,Up,buy,2,5.120000
sol-updown-5m-1776879000,Down,buy,1,3.884614
sol-updown-5m-1776879300,Down,buy,1,1.923075
sol-updown-5m-1776879300,Up,buy,1,5.000000
sol-updown-5m-1776879600,Down,buy,1,3.921567
sol-updown-5m-1776879600,Up,buy,2,4.040000
sol-updown-5m-1776880200,Down,buy,3,10.805426
sol-updown-5m-1776880200,Up,buy,1,4.000000
sol-updown-5m-1776880500,Down,buy,3,13.846152
sol-updown-5m-1776880500,Up,buy,1,5.000000
sol-updown-5m-1776880800,Down,buy,2,6.923075
sol-updown-5m-1776881100,Down,buy,2,8.980391
sol-updown-5m-1776881100,Up,buy,1,3.000000
sol-updown-5m-1776881400,Down,buy,2,12.788460
sol-updown-5m-1776881700,Down,buy,3,12.923075
sol-updown-5m-1776881700,Up,buy,2,21.326529
sol-updown-5m-1776882000,Down,buy,7,67.081131
sol-updown-5m-1776882000,Up,buy,1,31.456077
sol-updown-5m-1776882300,Down,buy,4,11.993075
